# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.604e-10, Err(IET)=9.996e-13, Q_net=8.295e-09
# {"name":"C3", "Z":6, "Zstar":2.5225816620291956, "A":12.011,  "μ[AU]": 4.0973551661e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.177653e+04    2.925470e+00    1.177360e+04    0.000000e+00    2.459950e+03   -1.696434e+01    1.057172e+01    1.648017e+03  -1.547511e-123
   4.840144e-03    4.134892e+03    2.158674e+00    4.132734e+03    0.000000e+00    1.220695e+03   -1.200508e+01    8.879779e+00    1.319306e+03    0.000000e+00
   7.260215e-03    2.233744e+03    1.755950e+00    2.231988e+03    0.000000e+00    8.078216e+02   -9.800071e+00    7.916602e+00    9.905949e+02   3.095022e-124
   9.680287e-03    1.439507e+03    1.516629e+00    1.437990e+03    0.000000e+00    6.015079e+02   -8.479623e+00    7.311777e+00    6.618839e+02   4.198673e-140
   1.210036e-02    1.021846e+03    1.353400e+00    1.020493e+03    0.000000e+00    4.778052e+02   -7.576621e+00    6.881927e+00    5.522943e+02  -3.095022e-124
   1.452043e-02    7.711249e+02    1.232081e+00    7.698928e+02    0.000000e+00    3.953994e+02   -6.907495e+00    6.552112e+00    4.427048e+02   1.007681e-138
   1.694050e-02    6.070234e+02    1.137471e+00    6.058859e+02    0.000000e+00    3.365869e+02   -6.385356e+00    6.287907e+00    3.878946e+02   9.285067e-124
   1.936057e-02    4.928555e+02    1.061130e+00    4.917944e+02    0.000000e+00    2.925166e+02   -5.963835e+00    6.069502e+00    3.330844e+02    0.000000e+00
   2.178065e-02    4.097314e+02    9.975611e-01    4.087338e+02    0.000000e+00    2.582721e+02   -5.613971e+00    5.884051e+00    3.001868e+02  -3.404524e-123
   2.420072e-02    3.470408e+02    9.438447e-01    3.460969e+02    0.000000e+00    2.309036e+02   -5.316974e+00    5.724642e+00    2.672892e+02  -1.343575e-138
   2.662079e-02    2.984145e+02    8.975556e-01    2.975169e+02    0.000000e+00    2.085344e+02   -5.060437e+00    5.584924e+00    2.453476e+02   1.268959e-122
   2.904086e-02    2.598251e+02    8.568792e-01    2.589682e+02    0.000000e+00    1.899136e+02   -4.836840e+00    5.460065e+00    2.234060e+02  -5.374301e-137
   3.146093e-02    2.286097e+02    8.211162e-01    2.277886e+02    0.000000e+00    1.741751e+02   -4.638433e+00    5.348991e+00    2.077254e+02  -4.735384e-122
   3.388100e-02    2.029506e+02    7.892180e-01    2.021614e+02    0.000000e+00    1.607007e+02   -4.461426e+00    5.248591e+00    1.920447e+02    0.000000e+00
   3.630108e-02    1.815660e+02    7.604410e-01    1.808055e+02    0.000000e+00    1.490368e+02   -4.302197e+00    5.156821e+00    1.802770e+02   1.767258e-121
   3.872115e-02    1.635300e+02    7.343319e-01    1.627956e+02    0.000000e+00    1.388434e+02   -4.158048e+00    5.072579e+00    1.685093e+02    0.000000e+00
   4.114122e-02    1.481585e+02    7.105560e-01    1.474480e+02    0.000000e+00    1.298605e+02   -4.026600e+00    4.995058e+00    1.593506e+02  -6.595492e-121
   4.356129e-02    1.349362e+02    6.886726e-01    1.342476e+02    0.000000e+00    1.218861e+02   -3.905719e+00    4.922992e+00    1.501918e+02  -6.019217e-135
   4.598136e-02    1.234699e+02    6.686215e-01    1.228012e+02    0.000000e+00    1.147605e+02   -3.794282e+00    4.856293e+00    1.428591e+02   2.461471e-120
