# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.976e-10, Err(IET)=9.944e-13, Q_net=4.547e-13
# {"name":"C3", "Z":6, "Zstar":2.6948588741183768, "A":12.011,  "μ[AU]": 5.5623741140e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.177669e+04    3.970254e+00    1.177272e+04    0.000000e+00    2.459832e+03   -1.696441e+01    1.288148e+01    3.005745e+03    0.000000e+00
   4.840144e-03    4.135008e+03    2.845103e+00    4.132163e+03   6.431893e-154    1.220578e+03   -1.200525e+01    1.061631e+01    1.505286e+03    0.000000e+00
   7.260215e-03    2.233841e+03    2.314912e+00    2.231526e+03  -1.800930e-152    8.077041e+02   -9.800734e+00    9.452605e+00    1.005112e+03  -9.924161e-264
   9.680287e-03    1.439589e+03    1.999396e+00    1.437590e+03   5.145515e-153    6.013904e+02   -8.479865e+00    8.720878e+00    7.550072e+02   3.969664e-264
   1.210036e-02    1.021920e+03    1.784019e+00    1.020136e+03    0.000000e+00    4.776877e+02   -7.577084e+00    8.200256e+00    6.049314e+02   1.587866e-263
   1.452043e-02    7.711925e+02    1.624088e+00    7.695684e+02   1.070267e-150    3.952819e+02   -6.908099e+00    7.800948e+00    5.048696e+02   5.716317e-262
   1.694050e-02    6.070849e+02    1.499366e+00    6.055855e+02    0.000000e+00    3.364694e+02   -6.385623e+00    7.480857e+00    4.333876e+02    0.000000e+00
   1.936057e-02    4.929130e+02    1.398738e+00    4.915143e+02    0.000000e+00    2.923992e+02   -5.964152e+00    7.216567e+00    3.797678e+02   5.081170e-262
   2.178065e-02    4.097867e+02    1.314943e+00    4.084718e+02   1.159182e-148    2.581546e+02   -5.614822e+00    6.991892e+00    3.380564e+02   6.097405e-260
   2.420072e-02    3.470925e+02    1.244116e+00    3.458484e+02    0.000000e+00    2.307862e+02   -5.317513e+00    6.798541e+00    3.046806e+02    0.000000e+00
   2.662079e-02    2.984642e+02    1.183098e+00    2.972811e+02    0.000000e+00    2.084170e+02   -5.061190e+00    6.629325e+00    2.773674e+02  -3.251949e-260
   2.904086e-02    2.598723e+02    1.129513e+00    2.587427e+02   5.395463e-147    1.897962e+02   -4.837440e+00    6.477998e+00    2.546011e+02   2.991793e-258
   3.146093e-02    2.286557e+02    1.082358e+00    2.275734e+02   4.316371e-146    1.740578e+02   -4.639456e+00    6.343449e+00    2.353324e+02   2.393435e-257
   3.388100e-02    2.029936e+02    1.040260e+00    2.019533e+02    0.000000e+00    1.605833e+02   -4.461753e+00    6.221560e+00    2.188118e+02    0.000000e+00
   3.630108e-02    1.816090e+02    1.002311e+00    1.806067e+02    0.000000e+00    1.489195e+02   -4.303392e+00    6.110169e+00    2.044898e+02    0.000000e+00
   3.872115e-02    1.635702e+02    9.679005e-01    1.626023e+02    0.000000e+00    1.387261e+02   -4.158466e+00    6.008048e+00    1.919541e+02    0.000000e+00
   4.114122e-02    1.481976e+02    9.365358e-01    1.472611e+02  -1.726548e-145    1.297433e+02   -4.027061e+00    5.914006e+00    1.808896e+02    0.000000e+00
   4.356129e-02    1.349747e+02    9.076749e-01    1.340670e+02  -3.107787e-143    1.217688e+02   -3.906532e+00    5.826574e+00    1.710510e+02  -1.731598e-254
   4.598136e-02    1.235073e+02    8.812411e-01    1.226260e+02  -1.160240e-142    1.146432e+02   -3.795150e+00    5.745706e+00    1.622448e+02  -6.500152e-254
   4.840144e-02    1.134894e+02    8.566596e-01    1.126328e+02    0.000000e+00    1.082388e+02   -3.691950e+00    5.669873e+00    1.543162e+02    0.000000e+00
   5.082151e-02    1.046804e+02    8.338791e-01    1.038465e+02    0.000000e+00    1.024523e+02   -3.596063e+00    5.598993e+00    1.471399e+02   1.704958e-254
   5.324158e-02    9.688806e+01    8.124114e-01    9.607565e+01   8.839927e-143    9.719925e+01   -3.506703e+00    5.531568e+00    1.406132e+02    0.000000e+00
   5.566165e-02    8.995790e+01    7.924455e-01    8.916545e+01   3.535971e-142    9.240976e+01   -3.423161e+00    5.468297e+00    1.346514e+02   2.727933e-253
   5.808172e-02    8.376388e+01    7.737307e-01    8.299015e+01   8.344891e-140    8.802574e+01   -3.344801e+00    5.408408e+00    1.291840e+02   4.473809e-251
   6.050179e-02    7.820268e+01    7.562870e-01    7.744640e+01  -5.657553e-141    8.399837e+01   -3.271047e+00    5.352180e+00    1.241516e+02  -4.364692e-252
   6.292187e-02    7.318871e+01    7.398274e-01    7.244888e+01  -2.308282e-138    8.028632e+01   -3.201384e+00    5.298917e+00    1.195040e+02  -1.274490e-249
   6.534194e-02    6.865061e+01    7.242022e-01    6.792641e+01    0.000000e+00    7.685443e+01   -3.135349e+00    5.247848e+00    1.151986e+02   3.491754e-251
   6.776201e-02    6.452853e+01    7.093559e-01    6.381917e+01  -3.620834e-139    7.367255e+01   -3.072549e+00    5.198845e+00    1.111986e+02  -1.396701e-250
