# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.924e-10, Err(IET)=9.950e-13, Q_net=0.000e+00
# {"name":"C3", "Z":6, "Zstar":2.9515010986015513, "A":12.011,  "μ[AU]": 5.9795891580e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.420e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.420072e-03    1.166330e+04    4.257673e+00    1.165905e+04    0.000000e+00    2.460515e+03    0.000000e+00    1.452462e+01    3.605223e+03    0.000000e+00
   4.840144e-03    4.079938e+03    3.032469e+00    4.076906e+03   6.431893e-154    1.221257e+03    0.000000e+00    1.197853e+01    1.805368e+03   2.626904e-287
   7.260215e-03    2.198003e+03    2.465881e+00    2.195537e+03  -1.800930e-152    8.083789e+02    0.000000e+00    1.068645e+01    1.205392e+03  -1.050761e-285
   9.680287e-03    1.413293e+03    2.128564e+00    1.411164e+03   5.145515e-153    6.020612e+02    0.000000e+00    9.870182e+00    9.053835e+02    0.000000e+00
   1.210036e-02    1.001297e+03    1.897296e+00    9.994002e+02    0.000000e+00    4.783546e+02    0.000000e+00    9.285074e+00    7.253636e+02   8.406091e-286
   1.452043e-02    7.543267e+02    1.725868e+00    7.526008e+02   1.070267e-150    3.959449e+02    0.000000e+00    8.835833e+00    6.053373e+02   5.043655e-284
   1.694050e-02    5.928871e+02    1.592488e+00    5.912946e+02    0.000000e+00    3.371286e+02    0.000000e+00    8.475566e+00    5.195936e+02    0.000000e+00
   1.936057e-02    4.807011e+02    1.485165e+00    4.792159e+02    0.000000e+00    2.930546e+02    0.000000e+00    8.178539e+00    4.552762e+02    0.000000e+00
   2.178065e-02    3.991077e+02    1.395774e+00    3.977120e+02   1.159182e-148    2.588063e+02    0.000000e+00    7.925447e+00    4.052434e+02   5.595094e-282
   2.420072e-02    3.376342e+02    1.319893e+00    3.363143e+02    0.000000e+00    2.314341e+02    0.000000e+00    7.706099e+00    3.652096e+02  -8.607838e-283
   2.662079e-02    2.899984e+02    1.254651e+00    2.887438e+02    0.000000e+00    2.090612e+02    0.000000e+00    7.514443e+00    3.324479e+02    0.000000e+00
   2.904086e-02    2.522280e+02    1.197475e+00    2.510305e+02   5.395463e-147    1.904368e+02    0.000000e+00    7.343264e+00    3.051404e+02   2.754508e-280
   3.146093e-02    2.217026e+02    1.147048e+00    2.205556e+02   4.316371e-146    1.746948e+02    0.000000e+00    7.190264e+00    2.820284e+02   2.203606e-279
   3.388100e-02    1.966311e+02    1.101989e+00    1.955291e+02    0.000000e+00    1.612168e+02    0.000000e+00    7.051332e+00    2.622129e+02    0.000000e+00
   3.630108e-02    1.757526e+02    1.061471e+00    1.746911e+02    0.000000e+00    1.495494e+02    0.000000e+00    6.924623e+00    2.450346e+02  -4.407213e-280
   3.872115e-02    1.581565e+02    1.024711e+00    1.571318e+02    0.000000e+00    1.393526e+02    0.000000e+00    6.808481e+00    2.299991e+02   1.762885e-279
   4.114122e-02    1.431708e+02    9.912053e-01    1.421796e+02  -1.726548e-145    1.303663e+02    0.000000e+00    6.701288e+00    2.167283e+02    0.000000e+00
   4.356129e-02    1.302901e+02    9.605152e-01    1.293296e+02  -3.107787e-143    1.223885e+02    0.000000e+00    6.601946e+00    2.049281e+02  -1.579545e-276
   4.598136e-02    1.191274e+02    9.321644e-01    1.181952e+02  -1.160240e-142    1.152595e+02    0.000000e+00    6.509151e+00    1.943663e+02  -5.979706e-276
   4.840144e-02    1.093825e+02    9.059889e-01    1.084765e+02    0.000000e+00    1.088517e+02    0.000000e+00    6.422548e+00    1.848572e+02  -4.512986e-277
   5.082151e-02    1.008189e+02    8.816607e-01    9.993727e+01    0.000000e+00    1.030619e+02    0.000000e+00    6.341251e+00    1.762503e+02   1.805194e-276
   5.324158e-02    9.324852e+01    8.588612e-01    9.238966e+01   8.839927e-143    9.780554e+01    0.000000e+00    6.264507e+00    1.684228e+02   7.220778e-276
   5.566165e-02    8.651970e+01    8.374886e-01    8.568221e+01   3.535971e-142    9.301280e+01    0.000000e+00    6.191867e+00    1.612729e+02    0.000000e+00
   5.808172e-02    8.050921e+01    8.176917e-01    7.969152e+01   8.344891e-140    8.862556e+01    0.000000e+00    6.123910e+00    1.547160e+02   4.390233e-273
   6.050179e-02    7.511596e+01    7.990558e-01    7.431690e+01  -5.657553e-141    8.459498e+01    0.000000e+00    6.059283e+00    1.486809e+02    0.000000e+00
   6.292187e-02    7.025632e+01    7.813028e-01    6.947502e+01  -2.308282e-138    8.087976e+01    0.000000e+00    5.997301e+00    1.431074e+02  -1.183052e-271
   6.534194e-02    6.586057e+01    7.645591e-01    6.509601e+01    0.000000e+00    7.744473e+01    0.000000e+00    5.938490e+00    1.379443e+02    0.000000e+00
   6.776201e-02    6.187028e+01    7.487633e-01    6.112152e+01  -3.620834e-139    7.425973e+01    0.000000e+00    5.882408e+00    1.331476e+02  -1.478815e-272
