# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=8.941e-10, Err(IET)=2.425e-07, Q_net=9.094e-08
# {"name":"V1", "Z":23, "Zstar":5.268669606332754, "A":50.9415,  "μ[AU]": 5.2934404482e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.954290e+04    6.866252e+00    6.953603e+04    0.000000e+00    8.061811e+03   -3.055087e+01    1.961970e+01    6.189671e+03    0.000000e+00
   5.629794e-03    2.417686e+04    4.808076e+00    2.417205e+04    0.000000e+00    3.979422e+03   -2.152467e+01    1.612506e+01    4.956810e+03    0.000000e+00
   8.444692e-03    1.294301e+04    3.900442e+00    1.293911e+04    0.000000e+00    2.620298e+03   -1.750454e+01    1.443538e+01    3.723949e+03    0.000000e+00
   1.125959e-02    8.270021e+03    3.357134e+00    8.266664e+03    0.000000e+00    1.941702e+03   -1.509358e+01    1.336444e+01    2.491089e+03    0.000000e+00
   1.407449e-02    5.822856e+03    2.989371e+00    5.819866e+03    0.000000e+00    1.535208e+03   -1.344266e+01    1.260859e+01    2.080024e+03    0.000000e+00
   1.688938e-02    4.359789e+03    2.713687e+00    4.357075e+03    0.000000e+00    1.264696e+03   -1.221793e+01    1.202216e+01    1.668959e+03    0.000000e+00
   1.970428e-02    3.406025e+03    2.496869e+00    3.403529e+03    0.000000e+00    1.071846e+03   -1.126127e+01    1.154782e+01    1.463338e+03    0.000000e+00
   2.251918e-02    2.745103e+03    2.323167e+00    2.742780e+03    0.000000e+00    9.275058e+02   -1.048825e+01    1.115803e+01    1.257717e+03    0.000000e+00
   2.533407e-02    2.265787e+03    2.180501e+00    2.263607e+03    0.000000e+00    8.154846e+02   -9.846128e+00    1.083096e+01    1.134278e+03    0.000000e+00
   2.814897e-02    1.905705e+03    2.057186e+00    1.903648e+03    0.000000e+00    7.260707e+02   -9.300640e+00    1.054285e+01    1.010839e+03    0.000000e+00
   3.096387e-02    1.627492e+03    1.951968e+00    1.625540e+03    0.000000e+00    6.530866e+02   -8.829171e+00    1.029257e+01    9.284901e+02    0.000000e+00
   3.377877e-02    1.407553e+03    1.859734e+00    1.405694e+03    0.000000e+00    5.924151e+02   -8.418002e+00    1.006928e+01    8.461409e+02    0.000000e+00
   3.659366e-02    1.230329e+03    1.778461e+00    1.228550e+03    0.000000e+00    5.412071e+02   -8.052985e+00    9.870040e+00    7.872739e+02    0.000000e+00
   3.940856e-02    1.085205e+03    1.705042e+00    1.083500e+03    0.000000e+00    4.974284e+02   -7.727193e+00    9.687240e+00    7.284068e+02    0.000000e+00
   4.222346e-02    9.647173e+02    1.639685e+00    9.630776e+02    0.000000e+00    4.595877e+02   -7.434014e+00    9.522114e+00    6.842154e+02    0.000000e+00
   4.503835e-02    8.634810e+02    1.579689e+00    8.619013e+02    0.000000e+00    4.265672e+02   -7.168515e+00    9.368999e+00    6.400240e+02    0.000000e+00
   4.785325e-02    7.775270e+02    1.525810e+00    7.760012e+02    0.000000e+00    3.975125e+02   -6.926346e+00    9.229807e+00    6.056179e+02    0.000000e+00
   5.066815e-02    7.038698e+02    1.475962e+00    7.023938e+02    0.000000e+00    3.717591e+02   -6.703601e+00    9.099525e+00    5.712118e+02    0.000000e+00
   5.348305e-02    6.402327e+02    1.429887e+00    6.388028e+02    0.000000e+00    3.487831e+02   -6.498221e+00    8.977789e+00    5.436550e+02    0.000000e+00
   5.629794e-02    5.848495e+02    1.387133e+00    5.834623e+02    0.000000e+00    3.281652e+02   -6.308420e+00    8.863609e+00    5.160983e+02    0.000000e+00
   5.911284e-02    5.363299e+02    1.347697e+00    5.349822e+02    0.000000e+00    3.095665e+02   -6.131802e+00    8.757223e+00    4.935239e+02    0.000000e+00
   6.192774e-02    4.935680e+02    1.310787e+00    4.922572e+02    0.000000e+00    2.927095e+02   -5.966561e+00    8.656660e+00    4.709496e+02    0.000000e+00
   6.474264e-02    4.556797e+02    1.276505e+00    4.544032e+02    0.000000e+00    2.773653e+02   -5.812965e+00    8.562280e+00    4.521119e+02    0.000000e+00
   6.755753e-02    4.219393e+02    1.244126e+00    4.206952e+02    0.000000e+00    2.633434e+02   -5.668402e+00    8.472631e+00    4.332742e+02    0.000000e+00
   7.037243e-02    3.917569e+02    1.213734e+00    3.905432e+02    0.000000e+00    2.504835e+02   -5.532159e+00    8.387755e+00    4.173117e+02    0.000000e+00
