# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=8.428e-10, Err(IET)=5.634e-06, Q_net=-1.844e-07
# {"name":"V1", "Z":23, "Zstar":5.735001424690678, "A":50.9415,  "μ[AU]": 5.4491046601e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.917952e+04    7.066945e+00    6.917245e+04    0.000000e+00    8.063794e+03    0.000000e+00    2.132720e+01    7.333306e+03    0.000000e+00
   5.629794e-03    2.400299e+04    4.936055e+00    2.399805e+04    0.000000e+00    3.981389e+03    0.000000e+00    1.757789e+01    5.872551e+03    0.000000e+00
   8.444692e-03    1.283128e+04    4.000465e+00    1.282728e+04    0.000000e+00    2.622248e+03    0.000000e+00    1.576360e+01    4.411796e+03    0.000000e+00
   1.125959e-02    8.188963e+03    3.448338e+00    8.185514e+03    0.000000e+00    1.943635e+03    0.000000e+00    1.462588e+01    2.951041e+03    0.000000e+00
   1.407449e-02    5.759951e+03    3.064684e+00    5.756886e+03    0.000000e+00    1.537125e+03    0.000000e+00    1.379943e+01    2.463994e+03    0.000000e+00
   1.688938e-02    4.308853e+03    2.781676e+00    4.306072e+03    0.000000e+00    1.266596e+03    0.000000e+00    1.316701e+01    1.976948e+03    0.000000e+00
   1.970428e-02    3.363547e+03    2.559281e+00    3.360988e+03    0.000000e+00    1.073731e+03    0.000000e+00    1.265525e+01    1.733322e+03    0.000000e+00
   2.251918e-02    2.708895e+03    2.382160e+00    2.706513e+03    0.000000e+00    9.293745e+02    0.000000e+00    1.223611e+01    1.489697e+03    0.000000e+00
   2.533407e-02    2.234400e+03    2.234239e+00    2.232166e+03    0.000000e+00    8.173379e+02    0.000000e+00    1.187818e+01    1.343446e+03    0.000000e+00
   2.814897e-02    1.878137e+03    2.108461e+00    1.876029e+03    0.000000e+00    7.279088e+02    0.000000e+00    1.156759e+01    1.197194e+03    0.000000e+00
   3.096387e-02    1.603018e+03    1.999514e+00    1.601018e+03    0.000000e+00    6.549098e+02    0.000000e+00    1.129350e+01    1.099628e+03    0.000000e+00
   3.377877e-02    1.385626e+03    1.904132e+00    1.383722e+03    0.000000e+00    5.942237e+02    0.000000e+00    1.104890e+01    1.002062e+03    0.000000e+00
   3.659366e-02    1.210540e+03    1.820878e+00    1.208719e+03    0.000000e+00    5.430014e+02    0.000000e+00    1.083224e+01    9.323182e+02    0.000000e+00
   3.940856e-02    1.067229e+03    1.745329e+00    1.065484e+03    0.000000e+00    4.992085e+02    0.000000e+00    1.063218e+01    8.625747e+02    0.000000e+00
   4.222346e-02    9.482974e+02    1.678336e+00    9.466191e+02    0.000000e+00    4.613539e+02    0.000000e+00    1.045269e+01    8.102197e+02    0.000000e+00
   4.503835e-02    8.484075e+02    1.617014e+00    8.467905e+02    0.000000e+00    4.283196e+02    0.000000e+00    1.028610e+01    7.578646e+02    0.000000e+00
