# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.921e-10, Err(IET)=3.235e-05, Q_net=0.000e+00
# {"name":"V1", "Z":23, "Zstar":6.637440769361698, "A":50.9415,  "μ[AU]": 8.2044915005e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.954290e+04    1.061848e+01    6.953229e+04    0.000000e+00    8.061544e+03   -3.055087e+01    2.672077e+01    1.568743e+04    0.000000e+00
   5.629794e-03    2.417686e+04    7.446351e+00    2.416942e+04    0.000000e+00    3.979156e+03   -2.152477e+01    2.203460e+01    7.861720e+03    0.000000e+00
   8.444692e-03    1.294302e+04    6.042582e+00    1.293698e+04    0.000000e+00    2.620031e+03   -1.750550e+01    1.975987e+01    5.252983e+03    0.000000e+00
   1.125959e-02    8.270024e+03    5.202085e+00    8.264822e+03    0.000000e+00    1.941435e+03   -1.509373e+01    1.831765e+01    3.948482e+03    0.000000e+00
   1.407449e-02    5.822861e+03    4.630621e+00    5.818230e+03    0.000000e+00    1.534941e+03   -1.344318e+01    1.729435e+01    3.165681e+03    0.000000e+00
   1.688938e-02    4.359795e+03    4.203955e+00    4.355591e+03    0.000000e+00    1.264429e+03   -1.221868e+01    1.650342e+01    2.643727e+03    0.000000e+00
   1.970428e-02    3.406027e+03    3.869346e+00    3.402158e+03    0.000000e+00    1.071580e+03   -1.126138e+01    1.586519e+01    2.270832e+03    0.000000e+00
   2.251918e-02    2.745105e+03    3.600351e+00    2.741505e+03    0.000000e+00    9.272392e+02   -1.048842e+01    1.533899e+01    1.991097e+03    0.000000e+00
   2.533407e-02    2.265793e+03    3.378490e+00    2.262415e+03    0.000000e+00    8.152179e+02   -9.847238e+00    1.489534e+01    1.773471e+03    0.000000e+00
   2.814897e-02    1.905708e+03    3.187961e+00    1.902520e+03    0.000000e+00    7.258040e+02   -9.301157e+00    1.450694e+01    1.599320e+03    0.000000e+00
   3.096387e-02    1.627496e+03    3.024743e+00    1.624472e+03    0.000000e+00    6.528199e+02   -8.830054e+00    1.416801e+01    1.456789e+03    0.000000e+00
   3.377877e-02    1.407557e+03    2.881775e+00    1.404675e+03    0.000000e+00    5.921484e+02   -8.418582e+00    1.386607e+01    1.337972e+03    0.000000e+00
   3.659366e-02    1.230334e+03    2.755622e+00    1.227579e+03    0.000000e+00    5.409405e+02   -8.054313e+00    1.359584e+01    1.237397e+03    0.000000e+00
   3.940856e-02    1.085206e+03    2.642110e+00    1.082564e+03    0.000000e+00    4.971618e+02   -7.727228e+00    1.334914e+01    1.151156e+03    0.000000e+00
