# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.892e-10, Err(IET)=2.832e-04, Q_net=-9.095e-13
# {"name":"V1", "Z":23, "Zstar":7.309300446231706, "A":50.9415,  "μ[AU]": 8.7495745309e-01, "Te[AU]": 1.837e-02, "Ti[AU]": 1.837e-02, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.917953e+04    1.131368e+01    6.916822e+04    0.000000e+00    8.063465e+03    0.000000e+00    2.950871e+01    1.902249e+04    0.000000e+00
   5.629794e-03    2.400300e+04    7.920056e+00    2.399508e+04    0.000000e+00    3.981060e+03    0.000000e+00    2.440562e+01    9.532325e+03    0.000000e+00
   8.444692e-03    1.283129e+04    6.422132e+00    1.282487e+04    0.000000e+00    2.621919e+03    0.000000e+00    2.192415e+01    6.368742e+03    0.000000e+00
   1.125959e-02    8.188969e+03    5.533208e+00    8.183436e+03    0.000000e+00    1.943306e+03    0.000000e+00    2.036014e+01    4.786794e+03    0.000000e+00
   1.407449e-02    5.759957e+03    4.918733e+00    5.755038e+03    0.000000e+00    1.536796e+03    0.000000e+00    1.922959e+01    3.837508e+03    0.000000e+00
   1.688938e-02    4.308859e+03    4.464663e+00    4.304394e+03    0.000000e+00    1.266267e+03    0.000000e+00    1.836292e+01    3.204549e+03    0.000000e+00
   1.970428e-02    3.363552e+03    4.108833e+00    3.359444e+03    0.000000e+00    1.073402e+03    0.000000e+00    1.766306e+01    2.752352e+03    0.000000e+00
   2.251918e-02    2.708900e+03    3.823768e+00    2.705076e+03    0.000000e+00    9.290456e+02    0.000000e+00    1.708710e+01    2.413130e+03    0.000000e+00
   2.533407e-02    2.234404e+03    3.586151e+00    2.230818e+03    0.000000e+00    8.170089e+02    0.000000e+00    1.659579e+01    2.149226e+03    0.000000e+00
   2.814897e-02    1.878141e+03    3.384255e+00    1.874757e+03    0.000000e+00    7.275799e+02    0.000000e+00    1.616974e+01    1.938044e+03    0.000000e+00
   3.096387e-02    1.603022e+03    3.209633e+00    1.599812e+03    0.000000e+00    6.545809e+02    0.000000e+00    1.579404e+01    1.765207e+03    0.000000e+00
   3.377877e-02    1.385630e+03    3.056807e+00    1.382574e+03    0.000000e+00    5.938948e+02    0.000000e+00    1.545895e+01    1.621128e+03    0.000000e+00
   3.659366e-02    1.210544e+03    2.922737e+00    1.207621e+03    0.000000e+00    5.426724e+02    0.000000e+00    1.516092e+01    1.499171e+03    0.000000e+00
   3.940856e-02    1.067233e+03    2.801810e+00    1.064431e+03    0.000000e+00    4.988795e+02    0.000000e+00    1.488751e+01    1.394597e+03    0.000000e+00
   4.222346e-02    9.483008e+02    2.693956e+00    9.456068e+02    0.000000e+00    4.610249e+02    0.000000e+00    1.463986e+01    1.303928e+03    0.000000e+00
   4.503835e-02    8.484108e+02    2.595583e+00    8.458152e+02    0.000000e+00    4.279907e+02    0.000000e+00    1.441154e+01    1.224558e+03    0.000000e+00
   4.785325e-02    7.636320e+02    2.505986e+00    7.611261e+02    0.000000e+00    3.989224e+02    0.000000e+00    1.420072e+01    1.154493e+03    0.000000e+00
   5.066815e-02    6.910112e+02    2.423662e+00    6.885875e+02    0.000000e+00    3.731557e+02    0.000000e+00    1.400456e+01    1.092182e+03    0.000000e+00
   5.348305e-02    6.282926e+02    2.347927e+00    6.259447e+02    0.000000e+00    3.501665e+02    0.000000e+00    1.382193e+01    1.036402e+03    0.000000e+00
   5.629794e-02    5.737271e+02    2.277831e+00    5.714493e+02    0.000000e+00    3.295357e+02    0.000000e+00    1.365096e+01    9.861727e+02    0.000000e+00
   5.911284e-02    5.259405e+02    2.212646e+00    5.237279e+02    0.000000e+00    3.109242e+02    0.000000e+00    1.349022e+01    9.407016e+02    0.000000e+00
   6.192774e-02    4.838398e+02    2.151778e+00    4.816880e+02    0.000000e+00    2.940546e+02    0.000000e+00    1.333850e+01    8.993398e+02    0.000000e+00
   6.474264e-02    4.465466e+02    2.094815e+00    4.444518e+02    0.000000e+00    2.786980e+02    0.000000e+00    1.319498e+01    8.615517e+02    0.000000e+00
   6.755753e-02    4.133481e+02    2.041561e+00    4.113065e+02    0.000000e+00    2.646637e+02    0.000000e+00    1.305962e+01    8.268906e+02    0.000000e+00
   7.037243e-02    3.836597e+02    1.991378e+00    3.816684e+02    0.000000e+00    2.517917e+02    0.000000e+00    1.293107e+01    7.949816e+02    0.000000e+00
   7.318733e-02    3.569992e+02    1.943950e+00    3.550553e+02    0.000000e+00    2.399466e+02    0.000000e+00    1.280832e+01    7.655070e+02    0.000000e+00
   7.600222e-02    3.329653e+02    1.899190e+00    3.310661e+02    0.000000e+00    2.290132e+02    0.000000e+00    1.269125e+01    7.381967e+02    0.000000e+00
   7.881712e-02    3.112216e+02    1.856922e+00    3.093647e+02    0.000000e+00    2.188927e+02    0.000000e+00    1.257958e+01    7.128187e+02    0.000000e+00
   8.163202e-02    2.914843e+02    1.816597e+00    2.896677e+02    0.000000e+00    2.095000e+02    0.000000e+00    1.247265e+01    6.891735e+02    0.000000e+00
   8.444692e-02    2.735133e+02    1.778551e+00    2.717347e+02    0.000000e+00    2.007616e+02    0.000000e+00    1.237064e+01    6.670878e+02    0.000000e+00
   8.726181e-02    2.571026e+02    1.742139e+00    2.553605e+02    0.000000e+00    1.926134e+02    0.000000e+00    1.227188e+01    6.464108e+02    0.000000e+00
   9.007671e-02    2.420765e+02    1.707380e+00    2.403691e+02    0.000000e+00    1.849992e+02    0.000000e+00    1.217746e+01    6.270105e+02    0.000000e+00
   9.289161e-02    2.282833e+02    1.674150e+00    2.266092e+02    0.000000e+00    1.778698e+02    0.000000e+00    1.208617e+01    6.087711e+02    0.000000e+00
   9.570650e-02    2.155918e+02    1.642549e+00    2.139493e+02    0.000000e+00    1.711819e+02    0.000000e+00    1.199850e+01    5.915901e+02    0.000000e+00
