# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=8.550e-10, Err(IET)=9.976e-13, Q_net=-1.877e-07
# {"name":"V2", "Z":23, "Zstar":5.7215190788099894, "A":50.9415,  "μ[AU]": 5.3866576501e-01, "Te[AU]": 7.350e-02, "Ti[AU]": 7.350e-02, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.917948e+04    6.966102e+00    6.917252e+04    0.000000e+00    8.063800e+03    0.000000e+00    2.114292e+01    7.299313e+03  -1.021264e-268
   5.629794e-03    2.400299e+04    4.889485e+00    2.399810e+04    0.000000e+00    3.981395e+03    0.000000e+00    1.747336e+01    5.845414e+03    0.000000e+00
   8.444692e-03    1.283128e+04    3.962245e+00    1.282732e+04    0.000000e+00    2.622253e+03    0.000000e+00    1.566969e+01    4.391516e+03   2.042528e-269
   1.125959e-02    8.188951e+03    3.404072e+00    8.185547e+03    0.000000e+00    1.943640e+03    0.000000e+00    1.451545e+01    2.937618e+03  -1.681218e-285
   1.407449e-02    5.759944e+03    3.028733e+00    5.756915e+03    0.000000e+00    1.537130e+03    0.000000e+00    1.370308e+01    2.452855e+03  -2.042528e-269
   1.688938e-02    4.308847e+03    2.748773e+00    4.306098e+03    0.000000e+00    1.266601e+03    0.000000e+00    1.307534e+01    1.968092e+03  -1.344975e-284
   1.970428e-02    3.363544e+03    2.532013e+00    3.361012e+03    0.000000e+00    1.073736e+03    0.000000e+00    1.257420e+01    1.725608e+03   6.127583e-269
   2.251918e-02    2.708890e+03    2.354516e+00    2.706536e+03    0.000000e+00    9.293797e+02    0.000000e+00    1.215295e+01    1.483123e+03    0.000000e+00
   2.533407e-02    2.234395e+03    2.208652e+00    2.232187e+03    0.000000e+00    8.173430e+02    0.000000e+00    1.179869e+01    1.337555e+03  -2.246780e-268
   2.814897e-02    1.878133e+03    2.083973e+00    1.876049e+03    0.000000e+00    7.279140e+02    0.000000e+00    1.148931e+01    1.191987e+03  -8.607838e-283
   3.096387e-02    1.603014e+03    1.976973e+00    1.601037e+03    0.000000e+00    6.549150e+02    0.000000e+00    1.121897e+01    1.094876e+03   8.374364e-268
   3.377877e-02    1.385623e+03    1.883052e+00    1.383740e+03    0.000000e+00    5.942289e+02    0.000000e+00    1.097747e+01    9.977647e+02  -4.303919e-283
   3.659366e-02    1.210536e+03    1.799725e+00    1.208736e+03    0.000000e+00    5.430065e+02    0.000000e+00    1.075951e+01    9.283455e+02  -3.125067e-267
   3.940856e-02    1.067226e+03    1.725883e+00    1.065500e+03    0.000000e+00    4.992136e+02    0.000000e+00    1.056345e+01    8.589264e+02    0.000000e+00
   4.222346e-02    9.482936e+02    1.658712e+00    9.466349e+02    0.000000e+00    4.613590e+02    0.000000e+00    1.038277e+01    8.068141e+02   1.166283e-266
   4.503835e-02    8.484039e+02    1.598158e+00    8.468057e+02    0.000000e+00    4.283248e+02    0.000000e+00    1.021750e+01    7.547018e+02    0.000000e+00
   4.785325e-02    7.636258e+02    1.543389e+00    7.620824e+02    0.000000e+00    3.992565e+02    0.000000e+00    1.006604e+01    7.141291e+02  -4.352627e-266
   5.066815e-02    6.910052e+02    1.492928e+00    6.895123e+02    0.000000e+00    3.734898e+02    0.000000e+00    9.924811e+00    6.735564e+02  -3.443135e-280
   5.348305e-02    6.282868e+02    1.446244e+00    6.268405e+02    0.000000e+00    3.505006e+02    0.000000e+00    9.792662e+00    6.410611e+02   1.624422e-265
   5.629794e-02    5.737214e+02    1.403007e+00    5.723184e+02    0.000000e+00    3.298698e+02    0.000000e+00    9.668939e+00    6.085658e+02   1.322164e-279
   5.911284e-02    5.259349e+02    1.362856e+00    5.245720e+02    0.000000e+00    3.112582e+02    0.000000e+00    9.552830e+00    5.819462e+02  -6.062426e-265
   6.192774e-02    4.838345e+02    1.325470e+00    4.825090e+02    0.000000e+00    2.943886e+02    0.000000e+00    9.443602e+00    5.553266e+02    0.000000e+00
   6.474264e-02    4.465414e+02    1.290350e+00    4.452511e+02    0.000000e+00    2.790320e+02    0.000000e+00    9.339942e+00    5.331135e+02   2.262528e-264
   6.755753e-02    4.133430e+02    1.257595e+00    4.120854e+02    0.000000e+00    2.649978e+02    0.000000e+00    9.242261e+00    5.109005e+02  -8.814426e-280
   7.037243e-02    3.836547e+02    1.226686e+00    3.824281e+02    0.000000e+00    2.521258e+02    0.000000e+00    9.149130e+00    4.920780e+02  -8.443871e-264
   7.318733e-02    3.569943e+02    1.197471e+00    3.557969e+02    0.000000e+00    2.402807e+02    0.000000e+00    9.060399e+00    4.732556e+02  -1.339793e-277
   7.600222e-02    3.329606e+02    1.170001e+00    3.317906e+02    0.000000e+00    2.293472e+02    0.000000e+00    8.976404e+00    4.570971e+02   3.151295e-263
   7.881712e-02    3.112168e+02    1.143790e+00    3.100730e+02    0.000000e+00    2.192267e+02    0.000000e+00    8.895425e+00    4.409386e+02    0.000000e+00
   8.163202e-02    2.914798e+02    1.119142e+00    2.903607e+02    0.000000e+00    2.098341e+02    0.000000e+00    8.818429e+00    4.269120e+02  -1.176079e-262
   8.444692e-02    2.735085e+02    1.095486e+00    2.724131e+02    0.000000e+00    2.010957e+02    0.000000e+00    8.744237e+00    4.128853e+02    0.000000e+00
   8.726181e-02    2.570980e+02    1.073075e+00    2.560249e+02    0.000000e+00    1.929474e+02    0.000000e+00    8.673326e+00    4.005909e+02   4.389188e-262
   9.007671e-02    2.420722e+02    1.051877e+00    2.410203e+02    0.000000e+00    1.853332e+02    0.000000e+00    8.605453e+00    3.882964e+02    0.000000e+00
   9.289161e-02    2.282791e+02    1.031454e+00    2.272477e+02    0.000000e+00    1.782038e+02    0.000000e+00    8.539916e+00    3.774289e+02  -1.638067e-261
   9.570650e-02    2.155876e+02    1.011954e+00    2.145757e+02    0.000000e+00    1.715159e+02    0.000000e+00    8.476715e+00    3.665615e+02    0.000000e+00
   9.852140e-02    2.038834e+02    9.931618e-01    2.028903e+02    0.000000e+00    1.652310e+02    0.000000e+00    8.415219e+00    3.568833e+02   6.113351e-261
   1.013363e-01    1.930671e+02    9.752491e-01    1.920918e+02    0.000000e+00    1.593150e+02    0.000000e+00    8.356475e+00    3.472051e+02   9.387011e-275
   1.041512e-01    1.830512e+02    9.580537e-01    1.820931e+02    0.000000e+00    1.537375e+02    0.000000e+00    8.299325e+00    3.385288e+02  -2.281534e-260
   1.069661e-01    1.737591e+02    9.416219e-01    1.728175e+02    0.000000e+00    1.484713e+02    0.000000e+00    8.244661e+00    3.298525e+02    0.000000e+00
   1.097810e-01    1.651228e+02    9.256828e-01    1.641971e+02    0.000000e+00    1.434920e+02    0.000000e+00    8.191033e+00    3.220278e+02   8.514799e-260
   1.125959e-01    1.570825e+02    9.103653e-01    1.561721e+02    0.000000e+00    1.387777e+02    0.000000e+00    8.139280e+00    3.142032e+02   1.299740e-273
   1.154108e-01    1.495850e+02    8.956563e-01    1.486894e+02    0.000000e+00    1.343087e+02    0.000000e+00    8.089164e+00    3.071090e+02  -3.177766e-259
   1.182257e-01    1.425828e+02    8.813979e-01    1.417015e+02    0.000000e+00    1.300670e+02    0.000000e+00    8.040295e+00    3.000147e+02  -5.198960e-273
   1.210406e-01    1.360338e+02    8.676958e-01    1.351661e+02    0.000000e+00    1.260364e+02    0.000000e+00    7.993017e+00    2.935513e+02   1.185959e-258
   1.238555e-01    1.298999e+02    8.544122e-01    1.290455e+02    0.000000e+00    1.222023e+02    0.000000e+00    7.946882e+00    2.870880e+02  -4.621298e-274
   1.266704e-01    1.241472e+02    8.415865e-01    1.233057e+02    0.000000e+00    1.185513e+02    0.000000e+00    7.902051e+00    2.811735e+02  -4.426058e-258
   1.294853e-01    1.187452e+02    8.291635e-01    1.179160e+02    0.000000e+00    1.150710e+02    0.000000e+00    7.858377e+00    2.752590e+02  -1.848519e-273
   1.323002e-01    1.136661e+02    8.171011e-01    1.128490e+02    0.000000e+00    1.117505e+02    0.000000e+00    7.815647e+00    2.698249e+02   1.651827e-257
   1.351151e-01    1.088853e+02    8.054794e-01    1.080798e+02    0.000000e+00    1.085794e+02    0.000000e+00    7.774324e+00    2.643908e+02    0.000000e+00
   1.379300e-01    1.043801e+02    7.942029e-01    1.035859e+02    0.000000e+00    1.055483e+02    0.000000e+00    7.733801e+00    2.593796e+02  -6.164703e-257
   1.407449e-01    1.001300e+02    7.832461e-01    9.934678e+01    0.000000e+00    1.026487e+02    0.000000e+00    7.694444e+00    2.543685e+02  -2.957630e-272
