# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.692e-10, Err(IET)=9.887e-13, Q_net=9.032e-08
# {"name":"V3", "Z":23, "Zstar":5.199006310111256, "A":50.9415,  "μ[AU]": 4.7522748886e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.954282e+04    6.181368e+00    6.953663e+04    0.000000e+00    8.061856e+03   -3.055086e+01    1.840338e+01    6.029302e+03  -4.654419e-202
   5.629794e-03    2.417680e+04    4.325805e+00    2.417247e+04    0.000000e+00    3.979468e+03   -2.152465e+01    1.514440e+01    4.828809e+03    0.000000e+00
   8.444692e-03    1.294296e+04    3.502805e+00    1.293946e+04    0.000000e+00    2.620343e+03   -1.750452e+01    1.356010e+01    3.628317e+03   9.308838e-203
   1.125959e-02    8.269976e+03    3.016748e+00    8.266959e+03    0.000000e+00    1.941747e+03   -1.509355e+01    1.256893e+01    2.427825e+03   5.665694e-219
   1.407449e-02    5.822812e+03    2.757561e+00    5.820054e+03    0.000000e+00    1.535253e+03   -1.344263e+01    1.201971e+01    2.027541e+03  -9.308838e-203
   1.688938e-02    4.359750e+03    2.504644e+00    4.357246e+03    0.000000e+00    1.264741e+03   -1.221790e+01    1.146791e+01    1.627257e+03    0.000000e+00
   1.970428e-02    3.405991e+03    2.305767e+00    3.403685e+03    0.000000e+00    1.071891e+03   -1.126124e+01    1.102119e+01    1.427020e+03   2.792651e-202
   2.251918e-02    2.745072e+03    2.145716e+00    2.742926e+03    0.000000e+00    9.275511e+02   -1.048821e+01    1.065336e+01    1.226784e+03    0.000000e+00
   2.533407e-02    2.265757e+03    2.012916e+00    2.263744e+03    0.000000e+00    8.155298e+02   -9.846084e+00    1.034119e+01    1.106571e+03  -1.023972e-201
   2.814897e-02    1.905677e+03    1.899697e+00    1.903777e+03    0.000000e+00    7.261159e+02   -9.300594e+00    1.006974e+01    9.863579e+02  -3.626044e-216
   3.096387e-02    1.627465e+03    1.802313e+00    1.625662e+03    0.000000e+00    6.531318e+02   -8.829122e+00    9.831949e+00    9.061553e+02   3.816624e-201
   3.377877e-02    1.407527e+03    1.717067e+00    1.405810e+03    0.000000e+00    5.924603e+02   -8.417951e+00    9.620858e+00    8.259526e+02    0.000000e+00
   3.659366e-02    1.230303e+03    1.641233e+00    1.228661e+03    0.000000e+00    5.412523e+02   -8.052929e+00    9.429656e+00    7.686155e+02  -1.424252e-200
   3.940856e-02    1.085180e+03    1.573963e+00    1.083606e+03    0.000000e+00    4.974736e+02   -7.727135e+00    9.258165e+00    7.112785e+02    0.000000e+00
   4.222346e-02    9.646939e+02    1.513674e+00    9.631802e+02    0.000000e+00    4.596329e+02   -7.433955e+00    9.102229e+00    6.682317e+02   5.315347e-200
   4.503835e-02    8.634586e+02    1.458592e+00    8.620000e+02    0.000000e+00    4.266124e+02   -7.168454e+00    8.957841e+00    6.251849e+02    0.000000e+00
   4.785325e-02    7.775050e+02    1.408518e+00    7.760965e+02    0.000000e+00    3.975576e+02   -6.926282e+00    8.824991e+00    5.916666e+02  -1.983713e-199
