# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=0.000e+00, Err(n_e)=9.903e-10, Err(IET)=9.969e-13, Q_net=0.000e+00
# {"name":"V3", "Z":23, "Zstar":6.35305759469126, "A":50.9415,  "μ[AU]": 7.5889415742e-01, "Te[AU]": 1.837e-01, "Ti[AU]": 1.837e-01, "rs[AU]": 2.815e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   2.814897e-03    6.954291e+04    9.837736e+00    6.953308e+04   1.517952e-247    8.061601e+03   -3.055087e+01    2.530385e+01    1.437507e+04    0.000000e+00
   5.629794e-03    2.417687e+04    6.896678e+00    2.416997e+04  -7.347990e-248    3.979212e+03   -2.152477e+01    2.085006e+01    7.205564e+03    0.000000e+00
   8.444692e-03    1.294302e+04    5.590198e+00    1.293743e+04    0.000000e+00    2.620088e+03   -1.750550e+01    1.868097e+01    4.815561e+03    0.000000e+00
   1.125959e-02    8.270025e+03    4.814545e+00    8.265211e+03  -2.155410e-246    1.941492e+03   -1.509373e+01    1.731631e+01    3.620426e+03    0.000000e+00
   1.407449e-02    5.822858e+03    4.281965e+00    5.818576e+03   7.837856e-246    1.534998e+03   -1.344318e+01    1.633801e+01    2.903245e+03    0.000000e+00
   1.688938e-02    4.359794e+03    3.903777e+00    4.355890e+03    0.000000e+00    1.264486e+03   -1.221868e+01    1.561980e+01    2.425038e+03    0.000000e+00
   1.970428e-02    3.406028e+03    3.594237e+00    3.402434e+03   2.131897e-244    1.071636e+03   -1.126138e+01    1.501552e+01    2.083390e+03    0.000000e+00
   2.251918e-02    2.745106e+03    3.344735e+00    2.741762e+03  -7.524342e-244    9.272959e+02   -1.048842e+01    1.451567e+01    1.827091e+03    0.000000e+00
   2.533407e-02    2.265793e+03    3.137617e+00    2.262655e+03  -1.003246e-244    8.152746e+02   -9.847238e+00    1.409184e+01    1.627692e+03    0.000000e+00
   2.814897e-02    1.905709e+03    2.961271e+00    1.902747e+03  -1.163765e-242    7.258607e+02   -9.301158e+00    1.372358e+01    1.468123e+03    0.000000e+00
   3.096387e-02    1.627496e+03    2.809445e+00    1.624687e+03   4.173502e-242    6.528766e+02   -8.830054e+00    1.340136e+01    1.337523e+03    0.000000e+00
   3.377877e-02    1.407557e+03    2.676571e+00    1.404880e+03  -6.420772e-243    5.922051e+02   -8.418582e+00    1.311418e+01    1.228648e+03    0.000000e+00
   3.659366e-02    1.230333e+03    2.558597e+00    1.227775e+03    0.000000e+00    5.409972e+02   -8.054311e+00    1.285541e+01    1.136486e+03    0.000000e+00
   3.940856e-02    1.085206e+03    2.453668e+00    1.082752e+03  -4.417491e-240    4.972184e+02   -7.727228e+00    1.262157e+01    1.057456e+03    0.000000e+00
   4.222346e-02    9.647231e+02    2.359529e+00    9.623636e+02   1.684811e-239    4.593778e+02   -7.435614e+00    1.240950e+01    9.889314e+02    0.000000e+00
   4.503835e-02    8.634826e+02    2.273699e+00    8.612089e+02  -5.917383e-239    4.263573e+02   -7.168674e+00    1.221351e+01    9.289427e+02    0.000000e+00
   4.785325e-02    7.775283e+02    2.195602e+00    7.753327e+02   2.366953e-238    3.973025e+02   -6.926562e+00    1.203288e+01    8.759841e+02    0.000000e+00
   5.066815e-02    7.038728e+02    2.123863e+00    7.017490e+02   2.629948e-239    3.715492e+02   -6.704439e+00    1.186502e+01    8.288837e+02    0.000000e+00
   5.348305e-02    6.402360e+02    2.057747e+00    6.381783e+02   3.208537e-237    3.485732e+02   -6.499140e+00    1.170864e+01    7.867170e+02    0.000000e+00
   5.629794e-02    5.848517e+02    1.996452e+00    5.828552e+02  -1.199256e-236    3.279553e+02   -6.308899e+00    1.156215e+01    7.487438e+02    0.000000e+00
   5.911284e-02    5.363315e+02    1.939479e+00    5.343920e+02    0.000000e+00    3.093565e+02   -6.132121e+00    1.142460e+01    7.143656e+02    0.000000e+00
   6.192774e-02    4.935708e+02    1.886472e+00    4.916844e+02  -1.716830e-235    2.924995e+02   -5.967366e+00    1.129535e+01    6.830920e+02    0.000000e+00
   6.474264e-02    4.556813e+02    1.836948e+00    4.538444e+02   1.252276e-234    2.771554e+02   -5.813334e+00    1.117339e+01    6.545184e+02    0.000000e+00
   6.755753e-02    4.219409e+02    1.790125e+00    4.201508e+02    0.000000e+00    2.631334e+02   -5.668855e+00    1.105691e+01    6.283072e+02    0.000000e+00
   7.037243e-02    3.917591e+02    1.746336e+00    3.900127e+02   1.766652e-233    2.502735e+02   -5.532875e+00    1.094697e+01    6.041753e+02    0.000000e+00
   7.318733e-02    3.646472e+02    1.705171e+00    3.629420e+02  -8.617814e-235    2.384404e+02   -5.404449e+00    1.084313e+01    5.818828e+02    0.000000e+00
   7.600222e-02    3.401982e+02    1.665944e+00    3.385322e+02    0.000000e+00    2.275187e+02   -5.282725e+00    1.074316e+01    5.612255e+02    0.000000e+00
   7.881712e-02    3.180720e+02    1.629109e+00    3.164429e+02  -8.962527e-232    2.174099e+02   -5.166980e+00    1.064835e+01    5.420281e+02    0.000000e+00
   8.163202e-02    2.979854e+02    1.593904e+00    2.963915e+02   2.757701e-233    2.080288e+02   -5.058790e+00    1.055694e+01    5.241400e+02    0.000000e+00
   8.444692e-02    2.796901e+02    1.560651e+00    2.781295e+02  -1.257511e-230    1.993018e+02   -4.955363e+00    1.047028e+01    5.074301e+02    0.000000e+00
   8.726181e-02    2.629776e+02    1.528804e+00    2.614487e+02   4.632937e-230    1.911647e+02   -4.856128e+00    1.038636e+01    4.917847e+02    0.000000e+00
   9.007671e-02    2.476716e+02    1.498603e+00    2.461730e+02  -1.764928e-229    1.835616e+02   -4.761668e+00    1.030613e+01    4.771039e+02    0.000000e+00
   9.289161e-02    2.336196e+02    1.469638e+00    2.321500e+02   7.059713e-231    1.764432e+02   -4.672309e+00    1.022888e+01    4.633003e+02    0.000000e+00
   9.570650e-02    2.206847e+02    1.441955e+00    2.192427e+02  -2.428541e-228    1.697662e+02   -4.585776e+00    1.015420e+01    4.502965e+02    0.000000e+00
   9.852140e-02    2.087538e+02    1.415381e+00    2.073385e+02   1.129554e-229    1.634920e+02   -4.503296e+00    1.008225e+01    4.380241e+02    0.000000e+00
   1.013363e-01    1.977261e+02    1.389917e+00    1.963362e+02    0.000000e+00    1.575866e+02   -4.424617e+00    1.001271e+01    4.264220e+02    0.000000e+00
   1.041512e-01    1.875097e+02    1.365570e+00    1.861442e+02   2.566347e-226    1.520195e+02   -4.347701e+00    9.945671e+00    4.154363e+02    0.000000e+00
   1.069661e-01    1.780327e+02    1.342095e+00    1.766906e+02  -4.698945e-226    1.467637e+02   -4.275700e+00    9.880810e+00    4.050181e+02    0.000000e+00
   1.097810e-01    1.692202e+02    1.319562e+00    1.679007e+02   1.778370e-225    1.417946e+02   -4.205022e+00    9.817744e+00    3.951240e+02    0.000000e+00
   1.125959e-01    1.610154e+02    1.297830e+00    1.597176e+02  -6.650815e-225    1.370905e+02   -4.137751e+00    9.757044e+00    3.857147e+02    0.000000e+00
   1.154108e-01    1.533620e+02    1.276846e+00    1.520852e+02   2.498393e-224    1.326314e+02   -4.072451e+00    9.697533e+00    3.767548e+02    0.000000e+00
   1.182257e-01    1.462131e+02    1.256656e+00    1.449564e+02  -9.253308e-226    1.283996e+02   -4.009605e+00    9.640393e+00    3.682123e+02    0.000000e+00
   1.210406e-01    1.395253e+02    1.237075e+00    1.382882e+02   3.479244e-223    1.243788e+02   -3.948930e+00    9.584146e+00    3.600581e+02    0.000000e+00
   1.238555e-01    1.332601e+02    1.218256e+00    1.320418e+02  -1.288060e-222    1.205544e+02   -3.890223e+00    9.530195e+00    3.522658e+02    0.000000e+00
   1.266704e-01    1.273831e+02    1.200004e+00    1.261831e+02   9.475387e-222    1.169129e+02   -3.833500e+00    9.477080e+00    3.448115e+02    0.000000e+00
   1.294853e-01    1.218634e+02    1.182439e+00    1.206810e+02  -3.553270e-221    1.134422e+02   -3.778666e+00    9.426117e+00    3.376729e+02    0.000000e+00
