Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
 # {"name":"CS2014_Xe", "Z":54, "Zstar":nan, "A":131.293,  "μ_core[AU]": -1.4919387679e-01, "μ_empty[AU]": -1.4917999041e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.345e+01 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    3.786906e+07    3.786906e+07    8.857032e-06    3.786906e+07    5.792812e+00
   1.007015e-04    3.747378e+07    3.747376e+07    8.857032e-06    3.747378e+07    1.360096e+01
   1.014080e-04    3.708260e+07    3.708260e+07    8.857032e-06    3.708260e+07    5.823358e+00
   1.021194e-04    3.669551e+07    3.669551e+07    8.857032e-06    3.669551e+07   -2.678457e+00
   1.028358e-04    3.631247e+07    3.631246e+07    8.857032e-06    3.631247e+07    7.957513e+00
   1.035572e-04    3.593342e+07    3.593341e+07    8.857032e-06    3.593342e+07    1.141817e+01
   1.042837e-04    3.555832e+07    3.555832e+07    8.857032e-06    3.555832e+07    7.724407e-02
   1.050153e-04    3.518714e+07    3.518714e+07    8.857032e-06    3.518714e+07   -7.897440e-01
   1.057520e-04    3.481984e+07    3.481983e+07    8.857032e-06    3.481984e+07    1.105251e+01
   1.064939e-04    3.445636e+07    3.445635e+07    8.857032e-06    3.445636e+07    9.104948e+00
   1.072410e-04    3.409667e+07    3.409667e+07    8.857032e-06    3.409667e+07   -1.346739e+00
   1.079934e-04    3.374074e+07    3.374074e+07    8.857032e-06    3.374074e+07    1.802598e+00
   1.087510e-04    3.338853e+07    3.338852e+07    8.857032e-06    3.338853e+07    1.019174e+01
   1.095139e-04    3.303998e+07    3.303998e+07    8.857032e-06    3.303998e+07    4.715543e+00
   1.102822e-04    3.269507e+07    3.269507e+07    8.857032e-06    3.269507e+07   -5.639999e+00
   1.110558e-04    3.235377e+07    3.235377e+07    8.857032e-06    3.235377e+07    6.441861e+00
   1.118349e-04    3.201603e+07    3.201602e+07    8.857032e-06    3.201603e+07    1.003889e+01
   1.126195e-04    3.168180e+07    3.168180e+07    8.857032e-06    3.168180e+07    5.627113e-01
   1.134096e-04    3.135106e+07    3.135106e+07    8.857032e-06    3.135106e+07   -5.251037e+00
   1.142052e-04    3.102379e+07    3.102378e+07    8.857032e-06    3.102379e+07    7.349751e+00
   1.150064e-04    3.069992e+07    3.069991e+07    8.857032e-06    3.069992e+07    6.942857e+00
   1.158132e-04    3.037942e+07    3.037942e+07    8.857032e-06    3.037942e+07   -6.156668e+00
   1.166256e-04    3.006228e+07    3.006228e+07    8.857032e-06    3.006228e+07    9.324503e-01
   1.174438e-04    2.974845e+07    2.974844e+07    8.857032e-06    2.974845e+07    9.081438e+00
   1.182677e-04    2.943789e+07    2.943788e+07    8.857032e-06    2.943789e+07    4.247376e+00
   1.190974e-04    2.913056e+07    2.913056e+07    8.857032e-06    2.913056e+07   -5.222683e+00
   1.199329e-04    2.882645e+07    2.882645e+07    8.857032e-06    2.882645e+07    3.269249e+00
   1.207743e-04    2.852552e+07    2.852551e+07    8.857032e-06    2.852552e+07    7.222542e+00
   1.216216e-04    2.822771e+07    2.822771e+07    8.857032e-06    2.822771e+07   -7.043798e-01
   1.224748e-04    2.793301e+07    2.793302e+07    8.857032e-06    2.793301e+07   -2.745365e+00
   1.233340e-04    2.764140e+07    2.764140e+07    8.857032e-06    2.764140e+07    5.932597e+00
   1.241992e-04    2.735283e+07    2.735282e+07    8.857032e-06    2.735283e+07    6.394318e+00
   1.250705e-04    2.706726e+07    2.706726e+07    8.857032e-06    2.706726e+07   -2.851818e+00
   1.259479e-04    2.678467e+07    2.678467e+07    8.857032e-06    2.678467e+07   -1.741303e+00
   1.268315e-04    2.650504e+07    2.650504e+07    8.857032e-06    2.650504e+07    5.950948e+00
   1.277213e-04    2.622832e+07    2.622832e+07    8.857032e-06    2.622832e+07    2.558084e+00
   1.286173e-04    2.595448e+07    2.595449e+07    8.857032e-06    2.595448e+07   -5.253131e+00
   1.295196e-04    2.568352e+07    2.568352e+07    8.857032e-06    2.568352e+07    1.788106e+00
   1.304282e-04    2.541538e+07    2.541537e+07    8.857032e-06    2.541538e+07    6.343867e+00
   1.313432e-04    2.515002e+07    2.515002e+07    8.857032e-06    2.515002e+07   -1.869080e-01
   1.322646e-04    2.488744e+07    2.488744e+07    8.857032e-06    2.488744e+07   -7.377407e+00
   1.331925e-04    2.462761e+07    2.462760e+07    8.857032e-06    2.462761e+07    3.503760e+00
   1.341269e-04    2.437048e+07    2.437048e+07    8.857032e-06    2.437048e+07    3.985452e+00
   1.350679e-04    2.411603e+07    2.411603e+07    8.857032e-06    2.411603e+07   -5.586260e+00
   1.360154e-04    2.386424e+07    2.386424e+07    8.857032e-06    2.386424e+07   -2.515979e+00
   1.369696e-04    2.361508e+07    2.361508e+07    8.857032e-06    2.361508e+07    4.715964e+00
   1.379305e-04    2.336852e+07    2.336852e+07    8.857032e-06    2.336852e+07    2.473216e+00
   1.388981e-04    2.312452e+07    2.312453e+07    8.857032e-06    2.312452e+07   -7.247655e+00
   1.398726e-04    2.288308e+07    2.288308e+07    8.857032e-06    2.288308e+07    1.582336e-01
   1.408538e-04    2.264416e+07    2.264416e+07    8.857032e-06    2.264416e+07    3.974223e+00
   1.418420e-04    2.240773e+07    2.240773e+07    8.857032e-06    2.240773e+07   -1.610666e+00
   1.428370e-04    2.217376e+07    2.217376e+07    8.857032e-06    2.217376e+07   -4.225109e+00
   1.438391e-04    2.194224e+07    2.194224e+07    8.857032e-06    2.194224e+07    2.117060e+00
   1.448482e-04    2.171314e+07    2.171314e+07    8.857032e-06    2.171314e+07    3.268009e+00
   1.458643e-04    2.148642e+07    2.148642e+07    8.857032e-06    2.148642e+07   -4.316173e+00
   1.468876e-04    2.126207e+07    2.126207e+07    8.857032e-06    2.126207e+07   -3.860230e+00
   1.479181e-04    2.104006e+07    2.104006e+07    8.857032e-06    2.104006e+07    2.849897e+00
   1.489558e-04    2.082037e+07    2.082037e+07    8.857032e-06    2.082037e+07    7.066763e-01
