# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
5300 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.0027173 0.000586
17 1.74628 0.00859354 0.002686
18 1.85212 0.0581784 0.018678
19 1.95795 0.171905 0.071484
20 2.06379 0.377104 0.200182
21 2.16963 0.692882 0.461518
22 2.27546 1.05953 0.901076
23 2.3813 1.34055 1.51015
24 2.48713 1.63269 2.31934
25 2.59297 1.7133 3.24227
26 2.6988 1.66876 4.21609
27 2.80464 1.63198 5.24459
28 2.91047 1.4776 6.2474
29 3.01631 1.33135 7.21784
30 3.12214 1.20102 8.1558
31 3.22798 1.08824 9.06426
32 3.33382 0.963615 9.9223
33 3.43965 0.908269 10.7832
34 3.54549 0.844173 11.6334
35 3.65132 0.802586 12.4906
36 3.75716 0.792972 13.3874
37 3.86299 0.781324 14.3215
38 3.96883 0.791589 15.3204
39 4.07466 0.829933 16.4244
40 4.1805 0.857992 17.6256
41 4.28633 0.886359 18.9303
42 4.39217 0.941996 20.3861
43 4.498 0.969181 21.957
44 4.60384 1.00251 23.6593
45 4.70968 1.05415 25.5325
46 4.81551 1.07231 27.5246
47 4.92135 1.10721 29.6729
48 5.02718 1.09915 31.8983
49 5.13302 1.10485 34.2304
50 5.23885 1.08258 36.6107
51 5.34469 1.08083 39.0842
52 5.45052 1.05596 41.5973
53 5.55636 1.04063 44.1711
54 5.66219 1.01164 46.7694
55 5.76803 0.988427 49.4039
56 5.87386 0.971793 52.09
57 5.9797 0.97464 54.8819
58 6.08554 0.969975 57.7596
59 6.19137 0.952495 60.6847
60 6.29721 0.960544 63.7361
61 6.40304 0.947043 66.8467
62 6.50888 0.959452 70.103
63 6.61471 0.96667 73.4914
64 6.72055 0.975877 77.0224
65 6.82638 0.987768 80.7099
66 6.93222 1.00544 84.5807
67 7.03805 1.00903 88.5847
68 7.14389 1.01089 92.7177
69 7.24972 1.02146 97.0186
70 7.35556 1.02272 101.451
71 7.4614 1.03056 106.048
72 7.56723 1.019 110.722
73 7.67307 1.00857 115.479
74 7.7789 1.01809 120.415
75 7.88474 1.01507 125.47
76 7.99057 1.00489 130.61
77 8.09641 1.00536 135.89
78 8.20224 1.00103 141.285
79 8.30808 0.995356 146.789
80 8.41391 0.995161 152.433
81 8.51975 0.982174 158.144
82 8.62559 0.986147 164.022
83 8.73142 0.986439 170.046
84 8.83726 0.996124 176.278
85 8.94309 0.988072 182.609
86 9.04893 0.99079 189.108
87 9.15476 0.997436 195.805
88 9.2606 1.0053 202.712
89 9.36643 0.997124 209.72
90 9.47227 0.994339 216.867
91 9.5781 1.00254 224.235
92 9.68394 1.01327 231.847
93 9.78977 1.00971 239.599
94 9.89561 1.00702 247.499
95 10.0014 1.00652 255.565
96 10.1073 0.998848 263.739
97 10.2131 0.997538 272.075
98 10.319 1.00462 280.644
99 10.4248 0.999913 289.35
100 10.5306 0.999409 298.228
5400 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.00254109 0.000548
17 1.74628 0.0119655 0.003472
18 1.85212 0.0528234 0.017992
19 1.95795 0.172432 0.07096
20 2.06379 0.373693 0.198494
21 2.16963 0.708567 0.465746
22 2.27546 1.02233 0.88987
23 2.3813 1.38334 1.51838
24 2.48713 1.63041 2.32644
25 2.59297 1.69334 3.23863
