# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
11000 200
1 0 138 1.39269e+08 7.52928e+07 4.4779e+07
2 5 137 1.39358e+08 7.54809e+07 4.43011e+07
3 10 136 1.39426e+08 7.5663e+07 4.3803e+07
4 15 135 1.39473e+08 7.5839e+07 4.3285e+07
5 20 134 1.39499e+08 7.6009e+07 4.27468e+07
6 25 133 1.39504e+08 7.61728e+07 4.21888e+07
7 30 132 1.39487e+08 7.63306e+07 4.16113e+07
8 35 131 1.39449e+08 7.64824e+07 4.1014e+07
9 40 130 1.3939e+08 7.6628e+07 4.03973e+07
10 45 129 1.39309e+08 7.67674e+07 3.97615e+07
11 50 128 1.39207e+08 7.69006e+07 3.91067e+07
12 55 127 1.39083e+08 7.70277e+07 3.84331e+07
13 60 126 1.38937e+08 7.71485e+07 3.77409e+07
14 65 125 1.3877e+08 7.72631e+07 3.70305e+07
15 70 124 1.3858e+08 7.73715e+07 3.63019e+07
16 75 123 1.38368e+08 7.74736e+07 3.55556e+07
17 80 122 1.38135e+08 7.75692e+07 3.47918e+07
18 85 121 1.37879e+08 7.76586e+07 3.40108e+07
19 90 120 1.37602e+08 7.77415e+07 3.32127e+07
20 95 119 1.37302e+08 7.78181e+07 3.23979e+07
21 100 118 1.36981e+08 7.78883e+07 3.15668e+07
22 105 117 1.36637e+08 7.7952e+07 3.07198e+07
23 110 116 1.36272e+08 7.80092e+07 2.9857e+07
24 115 115 1.35884e+08 7.80599e+07 2.8979e+07
25 120 114 1.35474e+08 7.81042e+07 2.80861e+07
26 125 113 1.35043e+08 7.81419e+07 2.71786e+07
27 130 112 1.34589e+08 7.81731e+07 2.62569e+07
28 135 111 1.34114e+08 7.81978e+07 2.53214e+07
29 140 110 1.33617e+08 7.8216e+07 2.43726e+07
30 145 109 1.33098e+08 7.82274e+07 2.34107e+07
31 150 108 1.32558e+08 7.82322e+07 2.24364e+07
32 155 107 1.31996e+08 7.82304e+07 2.14499e+07
33 160 106 1.31413e+08 7.8222e+07 2.04516e+07
34 165 105 1.30808e+08 7.8207e+07 1.94421e+07
35 170 104 1.30182e+08 7.81855e+07 1.84216e+07
36 175 103 1.29535e+08 7.81574e+07 1.73907e+07
37 180 102 1.28868e+08 7.81228e+07 1.63498e+07
38 185 101 1.28179e+08 7.80815e+07 1.52994e+07
39 190 100 1.2747e+08 7.80335e+07 1.42397e+07
40 195 99 1.2674e+08 7.7979e+07 1.31714e+07
41 200 98 1.25991e+08 7.79178e+07 1.20947e+07
