# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
11000 200
1 0 183 7.51968e+06 3.19427e+06 2.02552e+06
2 5 182 7.53758e+06 3.19764e+06 2.02816e+06
3 10 181 7.55194e+06 3.19887e+06 2.03061e+06
4 15 180 7.56274e+06 3.19795e+06 2.03289e+06
5 20 179 7.56997e+06 3.19489e+06 2.03501e+06
6 25 178 7.57359e+06 3.18967e+06 2.03698e+06
7 30 177 7.57361e+06 3.1823e+06 2.03881e+06
8 35 176 7.57002e+06 3.17277e+06 2.04051e+06
9 40 175 7.56281e+06 3.16112e+06 2.04209e+06
10 45 174 7.55199e+06 3.14733e+06 2.04359e+06
11 50 173 7.53755e+06 3.13145e+06 2.04498e+06
12 55 172 7.5195e+06 3.1135e+06 2.04628e+06
13 60 171 7.49783e+06 3.0935e+06 2.04752e+06
14 65 170 7.47254e+06 3.07145e+06 2.04868e+06
15 70 169 7.44364e+06 3.04738e+06 2.04979e+06
16 75 168 7.41115e+06 3.02132e+06 2.05085e+06
17 80 167 7.37504e+06 2.9933e+06 2.05187e+06
18 85 166 7.33535e+06 2.96334e+06 2.05286e+06
19 90 165 7.29207e+06 2.93148e+06 2.05383e+06
20 95 164 7.24526e+06 2.89774e+06 2.05477e+06
21 100 163 7.19491e+06 2.86217e+06 2.0557e+06
22 105 162 7.14106e+06 2.82479e+06 2.05662e+06
23 110 161 7.08373e+06 2.78567e+06 2.05755e+06
24 115 160 7.02294e+06 2.74485e+06 2.05847e+06
25 120 159 6.95873e+06 2.70235e+06 2.05939e+06
26 125 158 6.89111e+06 2.65823e+06 2.06031e+06
27 130 157 6.82009e+06 2.61253e+06 2.06122e+06
28 135 156 6.74571e+06 2.56529e+06 2.06213e+06
29 140 155 6.66801e+06 2.51655e+06 2.06302e+06
30 145 154 6.58705e+06 2.46636e+06 2.0639e+06
31 150 153 6.50284e+06 2.41479e+06 2.06478e+06
32 155 152 6.41545e+06 2.36188e+06 2.06563e+06
33 160 151 6.3249e+06 2.30768e+06 2.06648e+06
34 165 150 6.23126e+06 2.25227e+06 2.06731e+06
35 170 149 6.13454e+06 2.1957e+06 2.06812e+06
36 175 148 6.03482e+06 2.138e+06 2.0689e+06
37 180 147 5.93214e+06 2.07925e+06 2.06964e+06
38 185 146 5.82654e+06 2.01949e+06 2.07036e+06
39 190 145 5.71809e+06 1.95879e+06 2.07104e+06
40 195 144 5.60684e+06 1.89722e+06 2.07169e+06
41 200 143 5.49286e+06 1.83481e+06 2.07228e+06
42 205 142 5.37619e+06 1.77166e+06 2.07281e+06
43 210 141 5.25689e+06 1.70782e+06 2.07327e+06
44 215 140 5.13505e+06 1.64334e+06 2.07364e+06
45 220 139 5.01071e+06 1.57827e+06 2.07393e+06
46 225 138 4.88394e+06 1.51268e+06 2.07413e+06
47 230 137 4.75479e+06 1.44665e+06 2.07421e+06
48 235 136 4.62334e+06 1.38022e+06 2.07418e+06
49 240 135 4.4897e+06 1.31346e+06 2.07402e+06
50 245 134 4.3539e+06 1.24642e+06 2.07374e+06
51 250 133 4.21603e+06 1.17917e+06 2.07331e+06
52 255 132 4.07617e+06 1.11179e+06 2.07273e+06
53 260 131 3.93439e+06 1.0443e+06 2.07198e+06
54 265 130 3.79079e+06 976760 2.07106e+06
55 270 129 3.64542e+06 909275 2.06995e+06
56 275 128 3.49837e+06 841869 2.06866e+06
57 280 127 3.34972e+06 774612 2.06717e+06
58 285 126 3.19959e+06 707558 2.06548e+06
59 290 125 3.04809e+06 640792 2.06358e+06
60 295 124 2.89525e+06 574364 2.06145e+06
61 300 123 2.7412e+06 508310 2.05912e+06
62 305 122 2.58603e+06 442692 2.05654e+06
63 310 121 2.42982e+06 377581 2.05374e+06
64 315 120 2.27269e+06 313008 2.05069e+06
65 320 119 2.11471e+06 249030 2.04741e+06
66 325 118 1.95601e+06 185720 2.04389e+06
67 330 117 1.79669e+06 123128 2.0401e+06
68 335 116 1.63683e+06 61302.1 2.03606e+06
69 340 115 1.47653e+06 288.709 2.03178e+06
70 345 114 1.31588e+06 -59870 2.02722e+06
71 350 113 1.15501e+06 -119096 2.0224e+06
72 355 112 994005 -177347 2.01734e+06
73 360 111 832978 -234593 2.01203e+06
74 365 110 672042 -290765 2.00647e+06
75 370 109 511275 -345831 2.00069e+06
76 375 108 350779 -399750 1.99465e+06
77 380 107 190680 -452466 1.98837e+06
78 385 106 31092 -503977 1.98185e+06
79 390 105 -127908 -554226 1.97509e+06
80 395 104 -286206 -603157 1.9681e+06
81 400 103 -443688 -650745 1.96089e+06
82 405 102 -600252 -696949 1.95344e+06
83 410 101 -755817 -741709 1.94576e+06
84 415 100 -910274 -785021 1.93789e+06
85 420 99 -1.06355e+06 -826845 1.92982e+06
86 425 98 -1.21551e+06 -867136 1.92156e+06
87 430 97 -1.36609e+06 -905883 1.91314e+06
88 435 96 -1.51518e+06 -943054 1.90455e+06
89 440 95 -1.66267e+06 -978614 1.89582e+06
90 445 94 -1.80851e+06 -1.01257e+06 1.88697e+06
91 450 93 -1.95259e+06 -1.04487e+06 1.87797e+06
92 455 92 -2.09484e+06 -1.07551e+06 1.86886e+06
93 460 91 -2.23521e+06 -1.10446e+06 1.85963e+06
94 465 90 -2.37363e+06 -1.13172e+06 1.85031e+06
95 470 89 -2.50998e+06 -1.15727e+06 1.8409e+06
96 475 88 -2.6442e+06 -1.18112e+06 1.83141e+06
97 480 87 -2.77621e+06 -1.20321e+06 1.82184e+06
98 485 86 -2.90594e+06 -1.22355e+06 1.81223e+06
99 490 85 -3.03334e+06 -1.24217e+06 1.80258e+06
100 495 84 -3.15835e+06 -1.25904e+06 1.79291e+06
101 500 83 -3.2809e+06 -1.27414e+06 1.78323e+06
102 505 82 -3.40096e+06 -1.28753e+06 1.77356e+06
103 510 81 -3.51848e+06 -1.29918e+06 1.7639e+06
104 515 80 -3.63341e+06 -1.30906e+06 1.75425e+06
105 520 79 -3.74569e+06 -1.3172e+06 1.74465e+06
106 525 78 -3.85526e+06 -1.32361e+06 1.73509e+06
107 530 77 -3.96212e+06 -1.32833e+06 1.72558e+06
108 535 76 -4.06624e+06 -1.33137e+06 1.71613e+06
109 540 75 -4.16756e+06 -1.33277e+06 1.70677e+06
110 545 74 -4.26605e+06 -1.33256e+06 1.69748e+06
111 550 73 -4.36171e+06 -1.33077e+06 1.68831e+06
112 555 72 -4.45452e+06 -1.32739e+06 1.67922e+06
113 560 71 -4.54442e+06 -1.3224e+06 1.67022e+06
