# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10400 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0 0
18 1.85212 0.00116051 0.000319
19 1.95795 0.00847706 0.002923
20 2.06379 0.058893 0.023022
21 2.16963 0.21632 0.104612
22 2.27546 0.561474 0.337545
23 2.3813 1.10044 0.837523
24 2.48713 1.65834 1.65943
25 2.59297 2.07986 2.77983
26 2.6988 2.21564 4.07278
27 2.80464 2.12534 5.4122
28 2.91047 1.88736 6.6931
29 3.01631 1.60142 7.86041
30 3.12214 1.33028 8.89931
31 3.22798 1.10602 9.82262
32 3.33382 0.920832 10.6426
33 3.43965 0.813684 11.4138
34 3.54549 0.718575 12.1375
35 3.65132 0.661022 12.8435
36 3.75716 0.645403 13.5734
37 3.86299 0.637466 14.3356
38 3.96883 0.640934 15.1444
39 4.07466 0.675587 16.043
40 4.1805 0.732968 17.0692
41 4.28633 0.79264 18.2359
42 4.39217 0.853576 19.5551
43 4.498 0.93161 21.0651
44 4.60384 1.02299 22.8022
45 4.70968 1.08131 24.7236
46 4.81551 1.14313 26.8473
47 4.92135 1.21287 29.2006
48 5.02718 1.23547 31.702
49 5.13302 1.23414 34.307
50 5.23885 1.21619 36.9811
51 5.34469 1.18599 39.6952
52 5.45052 1.13973 42.4077
53 5.55636 1.08761 45.0977
54 5.66219 1.03363 47.7525
55 5.76803 0.97608 50.3541
56 5.87386 0.938865 52.9491
57 5.9797 0.904483 55.5401
58 6.08554 0.890603 58.1823
59 6.19137 0.865477 60.8401
60 6.29721 0.872364 63.6115
61 6.40304 0.875088 66.4857
62 6.50888 0.889964 69.5062
63 6.61471 0.912503 72.7047
64 6.72055 0.940183 76.1066
65 6.82638 0.971919 79.7349
66 6.93222 0.995745 83.5683
67 7.03805 1.02962 87.6541
68 7.14389 1.04964 91.9455
69 7.24972 1.07619 96.4768
70 7.35556 1.08694 101.188
71 7.4614 1.09053 106.052
72 7.56723 1.08196 111.015
73 7.67307 1.06977 116.061
74 7.7789 1.04712 121.137
75 7.88474 1.02894 126.261
76 7.99057 1.02447 131.502
77 8.09641 0.996914 136.737
78 8.20224 0.990986 142.078
79 8.30808 0.977428 147.483
80 8.41391 0.9575 152.913
81 8.51975 0.947856 158.425
82 8.62559 0.947372 164.071
83 8.73142 0.941563 169.822
84 8.83726 0.957064 175.81
85 8.94309 0.968526 182.015
86 9.04893 0.969783 188.376
87 9.15476 0.984748 194.988
88 9.2606 0.999172 201.853
89 9.36643 1.00848 208.94
90 9.47227 1.01596 216.243
91 9.5781 1.02132 223.749
92 9.68394 1.02703 231.464
93 9.78977 1.03772 239.432
94 9.89561 1.03344 247.539
95 10.0014 1.0362 255.842
96 10.1073 1.02558 264.235
97 10.2131 1.02513 272.802
98 10.319 1.01226 281.436
99 10.4248 1.0012 290.153
100 10.5306 0.991079 298.957
10600 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0 0
17 1.74628 0.000339649 8.3e-05
18 1.85212 0.000571162 0.00024
19 1.95795 0.00942764 0.003136
20 2.06379 0.0579114 0.0229
21 2.16963 0.209106 0.101769
22 2.27546 0.556159 0.332497
23 2.3813 1.09606 0.830481
24 2.48713 1.69701 1.67155
25 2.59297 2.08574 2.79512
26 2.6988 2.2116 4.08571
