 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    4.35322408794477     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.22315875582E-006        0.87028868041E-009        0.15249076789E-011        0.86876377273E-009        0.87029932385E-009        0.10643441532E-013
        0.89263502326E-006        0.13924618887E-007        0.24398522863E-010        0.13900220364E-007        0.13924789182E-007        0.17029506451E-012
        0.20084288023E-005        0.70525115600E-007        0.12357310096E-009        0.70401542499E-007        0.70525978130E-007        0.86252913357E-012
        0.35705400931E-005        0.22293172127E-006        0.39061767260E-009        0.22254110360E-006        0.22293444786E-006        0.27265846842E-011
        0.55789688954E-005        0.54429528986E-006        0.95370583198E-009        0.54334158403E-006        0.54430194725E-006        0.66573923184E-011
        0.80337152094E-005        0.11286450284E-005        0.19775935765E-008        0.11266674348E-005        0.11286588340E-005        0.13805576336E-010
        0.10934779035E-004        0.20908721618E-005        0.36635904841E-008        0.20872085713E-005        0.20908977393E-005        0.25577455128E-010
        0.14282160372E-004        0.35667099415E-005        0.62495244400E-008        0.35604604171E-005        0.35667535766E-005        0.43635041273E-010
        0.18075859221E-004        0.57127100201E-005        0.10009699951E-007        0.57027003201E-005        0.57127799161E-005        0.69896041567E-010
        0.22315875582E-004        0.87062151994E-005        0.15254850059E-007        0.86909603493E-005        0.87063217332E-005        0.10653385703E-009
        0.27002209454E-004        0.12745328558E-004        0.22332081870E-007        0.12722996477E-004        0.12745484536E-004        0.15597758293E-009
        0.32134860838E-004        0.18048878965E-004        0.31624815699E-007        0.18017254149E-004        0.18049099877E-004        0.22091200875E-009
        0.37713829733E-004        0.24856382979E-004        0.43552717843E-007        0.24812830261E-004        0.24856687257E-004        0.30427761822E-009
        0.43739116140E-004        0.33428003151E-004        0.58571627000E-007        0.33369431524E-004        0.33428412421E-004        0.40927058930E-009
        0.50210720059E-004        0.44044502723E-004        0.77173474339E-007        0.43967329249E-004        0.44045042066E-004        0.53934279419E-009
        0.57128641489E-004        0.57007196746E-004        0.99886197227E-007        0.56907310549E-004        0.57007894948E-004        0.69820179935E-009
        0.64492880431E-004        0.72637899609E-004        0.12727364665E-006        0.72510625963E-004        0.72638789420E-004        0.88981086543E-009
        0.72303436884E-004        0.91278868999E-004        0.15993548831E-006        0.91118933511E-004        0.91279987388E-004        0.11183889474E-008
        0.80560310850E-004        0.11329274630E-003        0.19850709744E-006        0.11309423920E-003        0.11329413471E-003        0.13884106943E-008
        0.89263502326E-004        0.13906249342E-003        0.24365944737E-006        0.13881883397E-003        0.13906419803E-003        0.17046064496E-008
        0.98413011315E-004        0.16899132613E-003        0.29609899176E-006        0.16869522713E-003        0.16899339809E-003        0.20719622510E-008
        0.10800883781E-003        0.20350264377E-003        0.35656754070E-006        0.20314607623E-003        0.20350513949E-003        0.24957198303E-008
        0.11805098183E-003        0.24303995555E-003        0.42584213052E-006        0.24261411342E-003        0.24304293693E-003        0.29813766136E-008
        0.12853944335E-003        0.28806680327E-003        0.50473488739E-006        0.28756206838E-003        0.28807033795E-003        0.35346857214E-008
        0.13947422239E-003        0.33906668053E-003        0.59409288483E-006        0.33847258764E-003        0.33907084218E-003        0.41616559681E-008
        0.15085531893E-003        0.39654294853E-003        0.69479799499E-006        0.39584815053E-003        0.39654781708E-003        0.48685518627E-008
        0.16268273299E-003        0.46101874833E-003        0.80776673382E-006        0.46021098159E-003        0.46102441022E-003        0.56618936083E-008
        0.17495646456E-003        0.53303690969E-003        0.93395010013E-006        0.53210295959E-003        0.53304345815E-003        0.65484571023E-008
        0.18767651364E-003        0.61315985648E-003        0.10743334086E-005        0.61208552307E-003        0.61316739175E-003        0.75352739362E-008
