 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88757004311296     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.44628667169E-007        0.47493614294E+012        0.16188546875E+005        0.47493612675E+012        0.47493614294E+012        0.14733632287E-002
        0.17851466868E-006        0.59369315842E+011        0.22884170074E+004        0.59369313553E+011        0.59369315842E+011        0.14733632389E-002
        0.40165800452E-006        0.17591579129E+011        0.80882581329E+003        0.17591578320E+011        0.17591579129E+011        0.14733632559E-002
        0.71405867471E-006        0.74217261217E+010        0.41846051311E+003        0.74217257032E+010        0.74217261217E+010        0.14733632798E-002
        0.11157166792E-005        0.38000642601E+010        0.26509524345E+003        0.38000639950E+010        0.38000642601E+010        0.14733633104E-002
        0.16066320181E-005        0.21991912900E+010        0.18937330580E+003        0.21991911006E+010        0.21991912900E+010        0.14733633479E-002
        0.21868046913E-005        0.13849630618E+010        0.14601952314E+003        0.13849629158E+010        0.13849630618E+010        0.14733633922E-002
        0.28562346988E-005        0.92784974072E+009        0.11851002026E+003        0.92784962221E+009        0.92784974072E+009        0.14733634433E-002
        0.36149220407E-005        0.65168111100E+009        0.99700917363E+002        0.65168101130E+009        0.65168111101E+009        0.14733635012E-002
        0.44628667169E-005        0.47509171833E+009        0.86099245906E+002        0.47509163223E+009        0.47509171833E+009        0.14733635659E-002
        0.54000687275E-005        0.35695539640E+009        0.75829445958E+002        0.35695532057E+009        0.35695539640E+009        0.14733636374E-002
        0.64265280724E-005        0.27495559775E+009        0.67807430208E+002        0.27495552994E+009        0.27495559775E+009        0.14733637157E-002
        0.75422447516E-005        0.21626701838E+009        0.61368235767E+002        0.21626695701E+009        0.21626701838E+009        0.14733638008E-002
        0.87472187652E-005        0.17316098112E+009        0.56083579898E+002        0.17316092503E+009        0.17316098112E+009        0.14733638927E-002
        0.10041450113E-004        0.14079068192E+009        0.51666148812E+002        0.14079063026E+009        0.14079068192E+009        0.14733639914E-002
        0.11424938795E-004        0.11601149841E+009        0.47916446492E+002        0.11601145049E+009        0.11601149841E+009        0.14733640969E-002
        0.12897684812E-004        0.96722444601E+008        0.44691817969E+002        0.96722399909E+008        0.96722444602E+008        0.14733642093E-002
        0.14459688163E-004        0.81483431105E+008        0.41887634367E+002        0.81483389217E+008        0.81483431106E+008        0.14733643284E-002
        0.16110948848E-004        0.69284895364E+008        0.39425445229E+002        0.69284855939E+008        0.69284895366E+008        0.14733644543E-002
        0.17851466868E-004        0.59404818976E+008        0.37245281830E+002        0.59404781730E+008        0.59404818977E+008        0.14733645870E-002
        0.19681242222E-004        0.51317539564E+008        0.35300515756E+002        0.51317504264E+008        0.51317539566E+008        0.14733647264E-002
        0.21600274910E-004        0.44634170152E+008        0.33554339506E+002        0.44634136598E+008        0.44634170154E+008        0.14733648727E-002
        0.23608564933E-004        0.39062815948E+008        0.31977304131E+002        0.39062783971E+008        0.39062815950E+008        0.14733650257E-002
        0.25706112290E-004        0.34381484930E+008        0.30545561627E+002        0.34381454384E+008        0.34381484931E+008        0.14733651856E-002
        0.27892916981E-004        0.30419311492E+008        0.29239588410E+002        0.30419282252E+008        0.30419311493E+008        0.14733653522E-002
        0.30168979006E-004        0.27043329826E+008        0.28043243192E+002        0.27043301782E+008        0.27043329827E+008        0.14733655255E-002
        0.32534298366E-004        0.24149017768E+008        0.26943061005E+002        0.24148990825E+008        0.24149017770E+008        0.14733657057E-002
        0.34988875061E-004        0.21653443759E+008        0.25927717511E+002        0.21653417832E+008        0.21653443761E+008        0.14733658926E-002
        0.37532709089E-004        0.19490237699E+008        0.24987617388E+002        0.19490212711E+008        0.19490237700E+008        0.14733660863E-002
        0.40165800452E-004        0.17605857275E+008        0.24114574339E+002        0.17605833161E+008        0.17605857277E+008        0.14733662867E-002
        0.42888149150E-004        0.15956786116E+008        0.23301560035E+002        0.15956762815E+008        0.15956786118E+008        0.14733664939E-002
        0.45699755181E-004        0.14507410087E+008        0.22542504918E+002        0.14507387544E+008        0.14507410088E+008        0.14733667079E-002
        0.48600618547E-004        0.13228392526E+008        0.21832139073E+002        0.13228370694E+008        0.13228392528E+008        0.14733669286E-002
        0.51590739248E-004        0.12095420336E+008        0.21165863827E+002        0.12095399170E+008        0.12095420337E+008        0.14733671560E-002
        0.54670117282E-004        0.11088228337E+008        0.20539647434E+002        0.11088207797E+008        0.11088228338E+008        0.14733673902E-002
        0.57838752652E-004        0.10189834310E+008        0.19949939759E+002        0.10189814360E+008        0.10189834311E+008        0.14733676311E-002
        0.61096645355E-004        0.93859348901E+007        0.19393601920E+002        0.93859154965E+007        0.93859348916E+007        0.14733678788E-002
        0.64443795393E-004        0.86644252335E+007        0.18867848055E+002        0.86644063656E+007        0.86644252350E+007        0.14733681331E-002
        0.67880202765E-004        0.80150146503E+007        0.18370196695E+002        0.80149962801E+007        0.80150146518E+007        0.14733683943E-002
        0.71405867471E-004        0.74289171577E+007        0.17898429998E+002        0.74288992592E+007        0.74289171591E+007        0.14733686621E-002
        0.75020789512E-004        0.68986009164E+007        0.17450559470E+002        0.68985834659E+007        0.68986009179E+007        0.14733689366E-002
        0.78724968887E-004        0.64175842412E+007        0.17024796835E+002        0.64175672164E+007        0.64175842427E+007        0.14733692179E-002
        0.82518405596E-004        0.59802686658E+007        0.16619529298E+002        0.59802520463E+007        0.59802686673E+007        0.14733695058E-002
        0.86401099640E-004        0.55818016601E+007        0.16233298415E+002        0.55817854268E+007        0.55818016615E+007        0.14733698004E-002
        0.90373051018E-004        0.52179632030E+007        0.15864781940E+002        0.52179473382E+007        0.52179632045E+007        0.14733701018E-002
        0.94434259730E-004        0.48850716468E+007        0.15512778184E+002        0.48850561340E+007        0.48850716483E+007        0.14733704098E-002
        0.98584725777E-004        0.45799052584E+007        0.15176192522E+002        0.45798900822E+007        0.45799052598E+007        0.14733707245E-002
        0.10282444916E-003        0.42996365611E+007        0.14854025639E+002        0.42996217071E+007        0.42996365626E+007        0.14733710459E-002
        0.10715342987E-003        0.40417771744E+007        0.14545363330E+002        0.40417626291E+007        0.40417771759E+007        0.14733713740E-002
        0.11157166792E-003        0.38041313004E+007        0.14249367564E+002        0.38041170511E+007        0.38041313019E+007        0.14733717087E-002
        0.11607916331E-003        0.35847563610E+007        0.13965268697E+002        0.35847423958E+007        0.35847563625E+007        0.14733720501E-002
        0.12067591603E-003        0.33819295736E+007        0.13692358570E+002        0.33819158813E+007        0.33819295751E+007        0.14733723981E-002
        0.12536192608E-003        0.31941194751E+007        0.13429984468E+002        0.31941060451E+007        0.31941194766E+007        0.14733727528E-002
        0.13013719347E-003        0.30199615854E+007        0.13177543780E+002        0.30199484079E+007        0.30199615869E+007        0.14733731141E-002
        0.13500171819E-003        0.28582375457E+007        0.12934479238E+002        0.28582246112E+007        0.28582375471E+007        0.14733734820E-002
        0.13995550024E-003        0.27078571830E+007        0.12700274727E+002        0.27078444827E+007        0.27078571844E+007        0.14733738566E-002
        0.14499853963E-003        0.25678430472E+007        0.12474451533E+002        0.25678305728E+007        0.25678430487E+007        0.14733742378E-002
        0.15013083636E-003        0.24373170440E+007        0.12256564990E+002        0.24373047874E+007        0.24373170455E+007        0.14733746256E-002
        0.15535239042E-003        0.23154888483E+007        0.12046201509E+002        0.23154768021E+007        0.23154888498E+007        0.14733750200E-002
        0.16066320181E-003        0.22016458377E+007        0.11842975886E+002        0.22016339947E+007        0.22016458392E+007        0.14733754210E-002
        0.16606327054E-003        0.20951443231E+007        0.11646528895E+002        0.20951326765E+007        0.20951443245E+007        0.14733758286E-002
        0.17155259660E-003        0.19954018930E+007        0.11456525137E+002        0.19953904364E+007        0.19954018944E+007        0.14733762428E-002
        0.17713118000E-003        0.19018907142E+007        0.11272651077E+002        0.19018794415E+007        0.19018907157E+007        0.14733766636E-002
        0.18279902073E-003        0.18141316567E+007        0.11094613289E+002        0.18141205621E+007        0.18141316582E+007        0.14733770909E-002
        0.18855611879E-003        0.17316891302E+007        0.10922136866E+002        0.17316782080E+007        0.17316891316E+007        0.14733775248E-002
        0.19440247419E-003        0.16541665369E+007        0.10754963967E+002        0.16541557819E+007        0.16541665384E+007        0.14733779652E-002
        0.20033808692E-003        0.15812022596E+007        0.10592852516E+002        0.15811916667E+007        0.15812022611E+007        0.14733784122E-002
        0.20636295699E-003        0.15124661139E+007        0.10435575006E+002        0.15124556783E+007        0.15124661154E+007        0.14733788657E-002
        0.21247708439E-003        0.14476562063E+007        0.10282917421E+002        0.14476459233E+007        0.14476562077E+007        0.14733793258E-002
        0.21868046913E-003        0.13864961459E+007        0.10134678240E+002        0.13864860112E+007        0.13864961474E+007        0.14733797924E-002
        0.22497311120E-003        0.13287325662E+007        0.99906675387E+001        0.13287225755E+007        0.13287325676E+007        0.14733802654E-002
        0.23135501061E-003        0.12741329176E+007        0.98507061645E+001        0.12741230669E+007        0.12741329190E+007        0.14733807450E-002
        0.23782616735E-003        0.12224834993E+007        0.97146249814E+001        0.12224737847E+007        0.12224835008E+007        0.14733812311E-002
        0.24438658142E-003        0.11735877006E+007        0.95822641752E+001        0.11735781183E+007        0.11735877021E+007        0.14733817237E-002
        0.25103625283E-003        0.11272644273E+007        0.94534726192E+001        0.11272549738E+007        0.11272644288E+007        0.14733822227E-002
        0.25777518157E-003        0.10833466916E+007        0.93281072895E+001        0.10833373635E+007        0.10833466931E+007        0.14733827282E-002
        0.26460336765E-003        0.10416803467E+007        0.92060327288E+001        0.10416711407E+007        0.10416803482E+007        0.14733832402E-002
        0.27152081106E-003        0.10021229491E+007        0.90871205505E+001        0.10021138620E+007        0.10021229506E+007        0.14733837586E-002
        0.27852751180E-003        0.96454273511E+006        0.89712489794E+001        0.96453376386E+006        0.96454273658E+006        0.14733842835E-002
        0.28562346988E-003        0.92881769814E+006        0.88583024355E+001        0.92880883984E+006        0.92881769962E+006        0.14733848147E-002
