 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.00045714612893     
 #
 # screening length =  0.924612864249089     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.14606087825E-001        0.58994301538E+003       -0.41917286579E+005
        0.21909131737E-001        0.38668529489E+003       -0.18430806249E+005
        0.29212175650E-001        0.28641267406E+003       -0.10209708202E+005
        0.36515219562E-001        0.22727713083E+003       -0.64167275206E+004
        0.43818263475E-001        0.18859808822E+003       -0.43730271665E+004
        0.51121307387E-001        0.16147784535E+003       -0.31570770858E+004
        0.58424351300E-001        0.14146955047E+003       -0.23822834507E+004
        0.65727395212E-001        0.12610192088E+003       -0.18631991519E+004
        0.73030439125E-001        0.11390337915E+003       -0.15012220973E+004
        0.80333483037E-001        0.10395038439E+003       -0.12403204946E+004
        0.87636526950E-001        0.95638002452E+002       -0.10470020769E+004
        0.94939570862E-001        0.88555306286E+002       -0.90006960130E+003
        0.10224261477E+000        0.82418728472E+002       -0.78555042322E+003
        0.10954565869E+000        0.77028198670E+002       -0.69424728900E+003
        0.11684870260E+000        0.72238440176E+002       -0.62002453246E+003
        0.12415174651E+000        0.67941278588E+002       -0.55849554008E+003
        0.13145479042E+000        0.64056733697E+002       -0.50646267256E+003
        0.13875783434E+000        0.60524279707E+002       -0.46170624136E+003
        0.14606087825E+000        0.57296952483E+002       -0.42271062412E+003
        0.15336392216E+000        0.54336773781E+002       -0.38835930891E+003
        0.16066696607E+000        0.51613271981E+002       -0.35777297298E+003
        0.16797000999E+000        0.49101486832E+002       -0.33026980555E+003
        0.17527305390E+000        0.46781004674E+002       -0.30535522386E+003
        0.18257609781E+000        0.44634204850E+002       -0.28269344252E+003
        0.18987914172E+000        0.42645630409E+002       -0.26203874478E+003
        0.19718218564E+000        0.40801296228E+002       -0.24316655693E+003
        0.20448522955E+000        0.39089027027E+002       -0.22586124373E+003
        0.21178827346E+000        0.37498016403E+002       -0.20994871707E+003
        0.21909131737E+000        0.36018647899E+002       -0.19531117000E+003
        0.22639436129E+000        0.34641864787E+002       -0.18186298023E+003
        0.23369740520E+000        0.33359301876E+002       -0.16952057140E+003
        0.24100044911E+000        0.32163132631E+002       -0.15819212256E+003
        0.24830349302E+000        0.31046328827E+002       -0.14778458911E+003
        0.25560653694E+000        0.30002433574E+002       -0.13821508577E+003
        0.26290958085E+000        0.29025630234E+002       -0.12941723663E+003
        0.27021262476E+000        0.28110442505E+002       -0.12133846151E+003
        0.27751566867E+000        0.27251821187E+002       -0.11393122987E+003
        0.28481871259E+000        0.26444990056E+002       -0.10714530486E+003
        0.29212175650E+000        0.25685630241E+002       -0.10092568994E+003
        0.29942480041E+000        0.24969773001E+002       -0.95216521291E+002
        0.30672784432E+000        0.24293913806E+002       -0.89967736650E+002
        0.31403088824E+000        0.23654820949E+002       -0.85139383769E+002
        0.32133393215E+000        0.23049573390E+002       -0.80700076902E+002
        0.32863697606E+000        0.22475402256E+002       -0.76621256218E+002
        0.33594001997E+000        0.21929801691E+002       -0.72872418920E+002
        0.34324306389E+000        0.21410450663E+002       -0.69420650965E+002
        0.35054610780E+000        0.20915322192E+002       -0.66233571897E+002
        0.35784915171E+000        0.20442571099E+002       -0.63282648076E+002
        0.36515219562E+000        0.19990586471E+002       -0.60544671159E+002
        0.37245523954E+000        0.19557865051E+002       -0.58001086846E+002
        0.37975828345E+000        0.19143066082E+002       -0.55636147631E+002
        0.38706132736E+000        0.18744918376E+002       -0.53435048703E+002
        0.39436437127E+000        0.18362296135E+002       -0.51382787530E+002
        0.40166741519E+000        0.17994148814E+002       -0.49464025909E+002
        0.40897045910E+000        0.17639573465E+002       -0.47663876896E+002
        0.41627350301E+000        0.17297738535E+002       -0.45969132806E+002
        0.42357654692E+000        0.16967933228E+002       -0.44369198381E+002
        0.43087959084E+000        0.16649482360E+002       -0.42856171631E+002
        0.43818263475E+000        0.16341789876E+002       -0.41424060699E+002
        0.44548567866E+000        0.16044269359E+002       -0.40067605951E+002
        0.45278872257E+000        0.15756400677E+002       -0.38781322597E+002
        0.46009176649E+000        0.15477678432E+002       -0.37559175989E+002
        0.46739481040E+000        0.15207669744E+002       -0.36394931014E+002
        0.47469785431E+000        0.14945961184E+002       -0.35282869653E+002
        0.48200089822E+000        0.14692202741E+002       -0.34218429349E+002
        0.48930394214E+000        0.14446048583E+002       -0.33198421599E+002
        0.49660698605E+000        0.14207194720E+002       -0.32220765850E+002
        0.50391002996E+000        0.13975326517E+002       -0.31283933421E+002
        0.51121307387E+000        0.13750161691E+002       -0.30386403311E+002
        0.51851611779E+000        0.13531408447E+002       -0.29526351061E+002
        0.52581916170E+000        0.13318810520E+002       -0.28701626209E+002
        0.53312220561E+000        0.13112108092E+002       -0.27909937789E+002
        0.54042524952E+000        0.12911077816E+002       -0.27149121364E+002
        0.54772829344E+000        0.12715492067E+002       -0.26417374432E+002
        0.55503133735E+000        0.12525153365E+002       -0.25713384434E+002
        0.56233438126E+000        0.12339853811E+002       -0.25036312241E+002
        0.56963742517E+000        0.12159407757E+002       -0.24385641140E+002
        0.57694046909E+000        0.11983615333E+002       -0.23760947135E+002
        0.58424351300E+000        0.11812296647E+002       -0.23161677345E+002
        0.59154655691E+000        0.11645260310E+002       -0.22587017788E+002
        0.59884960082E+000        0.11482337892E+002       -0.22035892991E+002
        0.60615264474E+000        0.11323354090E+002       -0.21507082850E+002
        0.61345568865E+000        0.11168157917E+002       -0.20999396809E+002
        0.62075873256E+000        0.11016591840E+002       -0.20511828276E+002
        0.62806177647E+000        0.10868519252E+002       -0.20043629999E+002
        0.63536482039E+000        0.10723793899E+002       -0.19594289917E+002
        0.64266786430E+000        0.10582286346E+002       -0.19163429515E+002
        0.64997090821E+000        0.10443856194E+002       -0.18750672597E+002
        0.65727395212E+000        0.10308379194E+002       -0.18355536040E+002
        0.66457699604E+000        0.10175722288E+002       -0.17977376846E+002
        0.67188003995E+000        0.10045770324E+002       -0.17615404591E+002
        0.67918308386E+000        0.99184020576E+001       -0.17268744216E+002
        0.68648612777E+000        0.97935148514E+001       -0.16936520510E+002
        0.69378917169E+000        0.96710005084E+001       -0.16617933422E+002
        0.70109221560E+000        0.95507678388E+001       -0.16312302191E+002
        0.70839525951E+000        0.94327188434E+001       -0.16019069844E+002
        0.71569830342E+000        0.93167702442E+001       -0.15737773649E+002
        0.72300134734E+000        0.92028310353E+001       -0.15467995745E+002
        0.73030439125E+000        0.90908238247E+001       -0.15209311216E+002
        0.73760743516E+000        0.89806640258E+001       -0.14961248131E+002
        0.74491047907E+000        0.88722809295E+001       -0.14723268942E+002
        0.75221352299E+000        0.87655979983E+001       -0.14494775907E+002
        0.75951656690E+000        0.86605530567E+001       -0.14275137211E+002
        0.76681961081E+000        0.85570789859E+001       -0.14063725169E+002
        0.77412265472E+000        0.84551225977E+001       -0.13859955196E+002
        0.78142569864E+000        0.83546254962E+001       -0.13663314264E+002
        0.78872874255E+000        0.82555418200E+001       -0.13473371255E+002
        0.79603178646E+000        0.81578196459E+001       -0.13289767329E+002
        0.80333483037E+000        0.80614181944E+001       -0.13112190848E+002
        0.81063787429E+000        0.79662902574E+001       -0.12940345708E+002
        0.81794091820E+000        0.78723992253E+001       -0.12773923322E+002
        0.82524396211E+000        0.77797025476E+001       -0.12612586130E+002
        0.83254700602E+000        0.76881683967E+001       -0.12455966180E+002
        0.83985004994E+000        0.75977597389E+001       -0.12303677239E+002
        0.84715309385E+000        0.75084502484E+001       -0.12155335260E+002
        0.85445613776E+000        0.74202086387E+001       -0.12010580303E+002
        0.86175918167E+000        0.73330137117E+001       -0.11869093744E+002
        0.86906222559E+000        0.72468389674E+001       -0.11730606722E+002
        0.87636526950E+000        0.71616670128E+001       -0.11594898807E+002
        0.88366831341E+000        0.70774746935E+001       -0.11461788459E+002
        0.89097135732E+000        0.69942471506E+001       -0.11331118706E+002
        0.89827440124E+000        0.69119636405E+001       -0.11202742097E+002
        0.90557744515E+000        0.68306113448E+001       -0.11076508567E+002
        0.91288048906E+000        0.67501718225E+001       -0.10952258567E+002
        0.92018353297E+000        0.66706344769E+001       -0.10829822308E+002
        0.92748657688E+000        0.65919834525E+001       -0.10709024430E+002
        0.93478962080E+000        0.65142106107E+001       -0.10589692281E+002
        0.94209266471E+000        0.64373027195E+001       -0.10471665430E+002
        0.94939570862E+000        0.63612538864E+001       -0.10354804044E+002
        0.95669875253E+000        0.62860530195E+001       -0.10238994239E+002
        0.96400179645E+000        0.62116957973E+001       -0.10124149376E+002
        0.97130484036E+000        0.61381724870E+001       -0.10010207245E+002
        0.97860788427E+000        0.60654795874E+001       -0.98971240136E+001
        0.98591092818E+000        0.59936080945E+001       -0.97848664191E+001
        0.99321397210E+000        0.59225549076E+001       -0.96734040169E+001
        0.10005170160E+001        0.58523115513E+001       -0.95627031109E+001
        0.10078200599E+001        0.57828753346E+001       -0.94527235331E+001
        0.10151231038E+001        0.57142384489E+001       -0.93434186782E+001
        0.10224261477E+001        0.56463988053E+001       -0.92347384415E+001
        0.10297291917E+001        0.55793494036E+001       -0.91266340519E+001
        0.10370322356E+001        0.55130887925E+001       -0.90190634363E+001
        0.10443352795E+001        0.54476106605E+001       -0.89119957377E+001
        0.10516383234E+001        0.53829139357E+001       -0.88054139485E+001
        0.10589413673E+001        0.53189926262E+001       -0.86993151492E+001
        0.10662444112E+001        0.52558456345E+001       -0.85937084653E+001
        0.10735474551E+001        0.51934669036E+001       -0.84886113690E+001
        0.10808504990E+001        0.51318550147E+001       -0.83840452595E+001
        0.10881535430E+001        0.50710036634E+001       -0.82800312787E+001
        0.10954565869E+001        0.50109110584E+001       -0.81765871805E+001
        0.11027596308E+001        0.49515706980E+001       -0.80737257130E+001
        0.11100626747E+001        0.48929805433E+001       -0.79714546114E+001
        0.11173657186E+001        0.48351340394E+001       -0.78697779557E+001
        0.11246687625E+001        0.47780290289E+001       -0.77686984194E+001
        0.11319718064E+001        0.47216589756E+001       -0.76682198310E+001
        0.11392748503E+001        0.46660216096E+001       -0.75683494714E+001
        0.11465778943E+001        0.46111103440E+001       -0.74690996759E+001
        0.11538809382E+001        0.45569226749E+001       -0.73704884693E+001
        0.11611839821E+001        0.45034518054E+001       -0.72725391848E+001
        0.11684870260E+001        0.44506948389E+001       -0.71752791986E+001
        0.11757900699E+001        0.43986446300E+001       -0.70787380744E+001
        0.11830931138E+001        0.43472978001E+001       -0.69829454830E+001
        0.11903961577E+001        0.42966468197E+001       -0.68879292695E+001
        0.11976992016E+001        0.42466878547E+001       -0.67937139999E+001
        0.12050022456E+001        0.41974130645E+001       -0.67003201951E+001
        0.12123052895E+001        0.41488182683E+001       -0.66077643245E+001
        0.12196083334E+001        0.41008954305E+001       -0.65160594817E+001
        0.12269113773E+001        0.40536401340E+001       -0.64252165556E+001
        0.12342144212E+001        0.40070442283E+001       -0.63352456307E+001
        0.12415174651E+001        0.39611031055E+001       -0.62461573236E+001
        0.12488205090E+001        0.39158085028E+001       -0.61579638155E+001
        0.12561235529E+001        0.38711555926E+001       -0.60706793839E+001
        0.12634265969E+001        0.38271359448E+001       -0.59843203854E+001
        0.12707296408E+001        0.37837444525E+001       -0.58989047134E+001
        0.12780326847E+001        0.37409724641E+001       -0.58144508753E+001
        0.12853357286E+001        0.36988145633E+001       -0.57309768768E+001
        0.12926387725E+001        0.36572618738E+001       -0.56484991383E+001
        0.12999418164E+001        0.36163087017E+001       -0.55670316236E+001
        0.13072448603E+001        0.35759460037E+001       -0.54865853286E+001
        0.13145479042E+001        0.35361678887E+001       -0.54071681803E+001
        0.13218509482E+001        0.34969652334E+001       -0.53287853324E+001
        0.13291539921E+001        0.34583320360E+001       -0.52514397625E+001
        0.13364570360E+001        0.34202591643E+001       -0.51751330435E+001
        0.13437600799E+001        0.33827405594E+001       -0.50998661326E+001
        0.13510631238E+001        0.33457671089E+001       -0.50256400493E+001
        0.13583661677E+001        0.33093327057E+001       -0.49524563325E+001
        0.13656692116E+001        0.32734282476E+001       -0.48803172283E+001
        0.13729722555E+001        0.32380475628E+001       -0.48092256070E+001
        0.13802752995E+001        0.32031815384E+001       -0.47391846517E+001
        0.13875783434E+001        0.31688239255E+001       -0.46701973872E+001
        0.13948813873E+001        0.31349655974E+001       -0.46022661587E+001
        0.14021844312E+001        0.31016002408E+001       -0.45353921362E+001
