 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    2.88446135661227     
 #
 # screening length =  0.962582901574277     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.14606087825E-001        0.16892095365E+004       -0.11687363491E+006
        0.21909131737E-001        0.11203018126E+004       -0.51911990188E+005
        0.29212175650E-001        0.83608235867E+003       -0.29182663615E+005
        0.36515219562E-001        0.66561839285E+003       -0.18665081888E+005
        0.43818263475E-001        0.55207451563E+003       -0.12953783571E+005
        0.51121307387E-001        0.47100234178E+003       -0.95109203673E+004
        0.58424351300E-001        0.41025380126E+003       -0.72770564326E+004
        0.65727395212E-001        0.36302326579E+003       -0.57460710058E+004
        0.73030439125E-001        0.32527283819E+003       -0.46512367479E+004
        0.80333483037E-001        0.29439921310E+003       -0.38414459200E+004
        0.87636526950E-001        0.26869444556E+003       -0.32257519589E+004
        0.94939570862E-001        0.24695329525E+003       -0.27467428527E+004
        0.10224261477E+000        0.22833505442E+003       -0.23667769982E+004
        0.10954565869E+000        0.21220613396E+003       -0.20603476738E+004
        0.11684870260E+000        0.19810617148E+003       -0.18096446182E+004
        0.12415174651E+000        0.18567030004E+003       -0.16019357944E+004
        0.13145479042E+000        0.17462628280E+003       -0.14279307118E+004
        0.13875783434E+000        0.16474900007E+003       -0.12807216547E+004
        0.14606087825E+000        0.15586753821E+003       -0.11550815666E+004
        0.15336392216E+000        0.14783531532E+003       -0.10469969949E+004
        0.16066696607E+000        0.14053992107E+003       -0.95334580190E+003
        0.16797000999E+000        0.13388170037E+003       -0.87167108624E+003
        0.17527305390E+000        0.12778385259E+003       -0.80001718746E+003
        0.18257609781E+000        0.12217615610E+003       -0.73681157989E+003
        0.18987914172E+000        0.11700447724E+003       -0.68077795292E+003
        0.19718218564E+000        0.11221784408E+003       -0.63087223715E+003
        0.20448522955E+000        0.10777709154E+003       -0.58623363805E+003
        0.21178827346E+000        0.10364426666E+003       -0.54614742909E+003
        0.21909131737E+000        0.99790395146E+002       -0.51001595808E+003
        0.22639436129E+000        0.96186593135E+002       -0.47733645128E+003
        0.23369740520E+000        0.92811014958E+002       -0.44768344503E+003
        0.24100044911E+000        0.89641257521E+002       -0.42069506924E+003
        0.24830349302E+000        0.86660576248E+002       -0.39606192173E+003
        0.25560653694E+000        0.83851300956E+002       -0.37351824312E+003
        0.26290958085E+000        0.81200410698E+002       -0.35283466860E+003
        0.27021262476E+000        0.78693760140E+002       -0.33381244471E+003
        0.27751566867E+000        0.76321095571E+002       -0.31627862475E+003
        0.28481871259E+000        0.74070942776E+002       -0.30008219154E+003
        0.29212175650E+000        0.71935136758E+002       -0.28509078052E+003
        0.29942480041E+000        0.69904258601E+002       -0.27118800655E+003
        0.30672784432E+000        0.67971741858E+002       -0.25827117918E+003
        0.31403088824E+000        0.66129771215E+002       -0.24624943126E+003
        0.32133393215E+000        0.64373019210E+002       -0.23504210581E+003
        0.32863697606E+000        0.62694937612E+002       -0.22457742693E+003
        0.33594001997E+000        0.61091170163E+002       -0.21479133981E+003
        0.34324306389E+000        0.59556181253E+002       -0.20562654856E+003
        0.35054610780E+000        0.58086383686E+002       -0.19703166706E+003
        0.35784915171E+000        0.56677059556E+002       -0.18896051225E+003
        0.36515219562E+000        0.55325236360E+002       -0.18137147518E+003
        0.37245523954E+000        0.54026862867E+002       -0.17422699648E+003
        0.37975828345E+000        0.52779462083E+002       -0.16749309544E+003
        0.38706132736E+000        0.51579531123E+002       -0.16113897581E+003
        0.39436437127E+000        0.50424995534E+002       -0.15513666858E+003
        0.40166741519E+000        0.49312807110E+002       -0.14946073189E+003
        0.40897045910E+000        0.48241220738E+002       -0.14408797700E+003
        0.41627350301E+000        0.47207568076E+002       -0.13899723766E+003
        0.42357654692E+000        0.46210375232E+002       -0.13416915786E+003
        0.43087959084E+000        0.45247293451E+002       -0.12958601329E+003
        0.43818263475E+000        0.44317073559E+002       -0.12523154554E+003
        0.44548567866E+000        0.43417637436E+002       -0.12109082253E+003
        0.45278872257E+000        0.42547923128E+002       -0.11715010776E+003
        0.46009176649E+000        0.41706083088E+002       -0.11339675026E+003
        0.46739481040E+000        0.40891212154E+002       -0.10981908060E+003
        0.47469785431E+000        0.40101660341E+002       -0.10640632356E+003
        0.48200089822E+000        0.39336654417E+002       -0.10314851476E+003
        0.48930394214E+000        0.38594714589E+002       -0.10003643083E+003
        0.49660698605E+000        0.37875179129E+002       -0.97061522283E+002
        0.50391002996E+000        0.37176715589E+002       -0.94215857233E+002
        0.51121307387E+000        0.36498756873E+002       -0.91492066919E+002
        0.51851611779E+000        0.35840098702E+002       -0.88883300144E+002
        0.52581916170E+000        0.35200254598E+002       -0.86383178661E+002
        0.53312220561E+000        0.34578132272E+002       -0.83985760174E+002
        0.54042524952E+000        0.33973314165E+002       -0.81685501558E+002
        0.54772829344E+000        0.33384806254E+002       -0.79477228572E+002
        0.55503133735E+000        0.32812250094E+002       -0.77356105510E+002
        0.56233438126E+000        0.32254738232E+002       -0.75317610223E+002
        0.56963742517E+000        0.31711963079E+002       -0.73357508894E+002
        0.57694046909E+000        0.31183093735E+002       -0.71471835403E+002
        0.58424351300E+000        0.30667866489E+002       -0.69656870251E+002
        0.59154655691E+000        0.30165518381E+002       -0.67909123372E+002
        0.59884960082E+000        0.29675823654E+002       -0.66225316464E+002
        0.60615264474E+000        0.29198079850E+002       -0.64602368696E+002
        0.61345568865E+000        0.28732094120E+002       -0.63037381665E+002
        0.62075873256E+000        0.28277218059E+002       -0.61527627560E+002
        0.62806177647E+000        0.27833287418E+002       -0.60070536396E+002
        0.63536482039E+000        0.27399702233E+002       -0.58663685954E+002
        0.64266786430E+000        0.26976323158E+002       -0.57304791026E+002
        0.64997090821E+000        0.26562593767E+002       -0.55991694925E+002
        0.65727395212E+000        0.26158396442E+002       -0.54722360243E+002
        0.66457699604E+000        0.25763214002E+002       -0.53494861632E+002
        0.67188003995E+000        0.25376947814E+002       -0.52307378013E+002
        0.67918308386E+000        0.24999116165E+002       -0.51158186303E+002
        0.68648612777E+000        0.24629637040E+002       -0.50045654726E+002
        0.69378917169E+000        0.24268060863E+002       -0.48968237593E+002
        0.70109221560E+000        0.23914320182E+002       -0.47924469346E+002
        0.70839525951E+000        0.23567994614E+002       -0.46912960199E+002
        0.71569830342E+000        0.23229029485E+002       -0.45932390959E+002
        0.72300134734E+000        0.22897030989E+002       -0.44981509293E+002
        0.73030439125E+000        0.22571955678E+002       -0.44059125207E+002
        0.73760743516E+000        0.22253434001E+002       -0.43164107835E+002
        0.74491047907E+000        0.21941432373E+002       -0.42295381521E+002
        0.75221352299E+000        0.21635603427E+002       -0.41451923036E+002
        0.75951656690E+000        0.21335922258E+002       -0.40632758132E+002
        0.76681961081E+000        0.21042061825E+002       -0.39836959189E+002
        0.77412265472E+000        0.20754004862E+002       -0.39063642151E+002
        0.78142569864E+000        0.20471442996E+002       -0.38311964464E+002
        0.78872874255E+000        0.20194365687E+002       -0.37581122442E+002
        0.79603178646E+000        0.19922481734E+002       -0.36870349467E+002
        0.80333483037E+000        0.19655786521E+002       -0.36178913607E+002
        0.81063787429E+000        0.19394004678E+002       -0.35506116122E+002
        0.81794091820E+000        0.19137136801E+002       -0.34851289298E+002
        0.82524396211E+000        0.18884922139E+002       -0.34213795206E+002
        0.83254700602E+000        0.18637365878E+002       -0.33593023744E+002
        0.83985004994E+000        0.18394220789E+002       -0.32988391515E+002
        0.84715309385E+000        0.18155496097E+002       -0.32399340194E+002
        0.85445613776E+000        0.17920957097E+002       -0.31825335467E+002
        0.86175918167E+000        0.17690616567E+002       -0.31265865578E+002
        0.86906222559E+000        0.17464251429E+002       -0.30720440424E+002
        0.87636526950E+000        0.17241877576E+002       -0.30188590252E+002
        0.88366831341E+000        0.17023282737E+002       -0.29669864884E+002
        0.89097135732E+000        0.16808485538E+002       -0.29163832478E+002
        0.89827440124E+000        0.16597283768E+002       -0.28670078961E+002
        0.90557744515E+000        0.16389698445E+002       -0.28188206819E+002
        0.91288048906E+000        0.16185536733E+002       -0.27717834621E+002
