 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.73119609380E-002        0.25802871577E+004       -0.35441672428E+006
        0.10967941407E-001        0.17165107498E+004       -0.15749163959E+006
        0.14623921876E-001        0.12847194161E+004       -0.88564103089E+005
        0.18279902345E-001        0.10257324065E+004       -0.56658795927E+005
        0.21935882814E-001        0.85315132741E+003       -0.39327028192E+005
        0.25591863283E-001        0.72994550337E+003       -0.28876742053E+005
        0.29247843752E-001        0.63759746273E+003       -0.22094733275E+005
        0.32903824221E-001        0.56581853733E+003       -0.17445853638E+005
        0.36559804690E-001        0.50843461735E+003       -0.14121474484E+005
        0.40215785159E-001        0.46151630659E+003       -0.11662764981E+005
        0.43871765628E-001        0.42244369042E+003       -0.97936408186E+004
        0.47527746097E-001        0.38940293262E+003       -0.83398915449E+004
        0.51183726566E-001        0.36109840390E+003       -0.71871819410E+004
        0.54839707035E-001        0.33658009475E+003       -0.62579503216E+004
        0.58495687504E-001        0.31513559497E+003       -0.54980758108E+004
        0.62151667973E-001        0.29622030366E+003       -0.48688633457E+004
        0.65807648442E-001        0.27941078726E+003       -0.43420534656E+004
        0.69463628911E-001        0.26437295162E+003       -0.38966191536E+004
        0.73119609380E-001        0.25083967301E+003       -0.35166539679E+004
        0.76775589849E-001        0.23859489038E+003       -0.31899462743E+004
        0.80431570318E-001        0.22746196488E+003       -0.29069961172E+004
        0.84087550787E-001        0.21729513489E+003       -0.26603243307E+004
        0.87743531256E-001        0.20797304927E+003       -0.24439786361E+004
        0.91399511725E-001        0.19939390277E+003       -0.22531750359E+004
        0.95055492194E-001        0.19147164584E+003       -0.20840337336E+004
        0.98711472663E-001        0.18413307987E+003       -0.19333821286E+004
        0.10236745313E+000        0.17731553419E+003       -0.17986060926E+004
        0.10602343360E+000        0.17096506121E+003       -0.16775364598E+004
        0.10967941407E+000        0.16503495763E+003       -0.15683615105E+004
        0.11333539454E+000        0.15948460475E+003       -0.14695588629E+004
        0.11699137501E+000        0.15427849598E+003       -0.13798420033E+004
        0.12064735548E+000        0.14938547008E+003       -0.12981179682E+004
        0.12430333595E+000        0.14477805328E+003       -0.12234535984E+004
        0.12795931642E+000        0.14043193977E+003       -0.11550484371E+004
        0.13161529688E+000        0.13632553540E+003       -0.10922128203E+004
        0.13527127735E+000        0.13243959820E+003       -0.10343500541E+004
        0.13892725782E+000        0.12875691486E+003       -0.98094183232E+003
        0.14258323829E+000        0.12526204732E+003       -0.93153623901E+003
        0.14623921876E+000        0.12194109880E+003       -0.88573782712E+003
        0.14989519923E+000        0.11878153238E+003       -0.84319937390E+003
        0.15355117970E+000        0.11577199858E+003       -0.80361499799E+003
        0.15720716017E+000        0.11290220378E+003       -0.76671438820E+003
        0.16086314064E+000        0.11016278102E+003       -0.73225794453E+003
        0.16451912111E+000        0.10754519332E+003       -0.70003267108E+003
        0.16817510157E+000        0.10504163548E+003       -0.66984869176E+003
        0.17183108204E+000        0.10264496227E+003       -0.64153628364E+003
        0.17548706251E+000        0.10034861269E+003       -0.61494334275E+003
        0.17914304298E+000        0.98146556130E+002       -0.58993321211E+003
        0.18279902345E+000        0.96033233192E+002       -0.56638281467E+003
        0.18645500392E+000        0.94003515018E+002       -0.54418104346E+003
        0.19011098439E+000        0.92052656393E+002       -0.52322736964E+003
        0.19376696486E+000        0.90176264870E+002       -0.50343063576E+003
        0.19742294533E+000        0.88370263140E+002       -0.48470800670E+003
        0.20107892580E+000        0.86630865450E+002       -0.46698405551E+003
        0.20473490626E+000        0.84954547071E+002       -0.45018996473E+003
        0.20839088673E+000        0.83338026201E+002       -0.43426282708E+003
        0.21204686720E+000        0.81778238917E+002       -0.41914503164E+003
        0.21570284767E+000        0.80272325247E+002       -0.40478372389E+003
        0.21935882814E+000        0.78817608397E+002       -0.39113032975E+003
        0.22301480861E+000        0.77411584013E+002       -0.37814013503E+003
        0.22667078908E+000        0.76051902776E+002       -0.36577191315E+003
        0.23032676955E+000        0.74736362127E+002       -0.35398759487E+003
        0.23398275002E+000        0.73462891532E+002       -0.34275197476E+003
        0.23763873049E+000        0.72229546120E+002       -0.33203244973E+003
        0.24129471095E+000        0.71034494100E+002       -0.32179878571E+003
        0.24495069142E+000        0.69876011881E+002       -0.31202290910E+003
        0.24860667189E+000        0.68752473231E+002       -0.30267871991E+003
        0.25226265236E+000        0.67662345566E+002       -0.29374192408E+003
        0.25591863283E+000        0.66604180530E+002       -0.28518988281E+003
        0.25957461330E+000        0.65576611202E+002       -0.27700147674E+003
        0.26323059377E+000        0.64578343848E+002       -0.26915698353E+003
        0.26688657424E+000        0.63608155861E+002       -0.26163796710E+003
        0.27054255471E+000        0.62664888477E+002       -0.25442717749E+003
        0.27419853518E+000        0.61747445302E+002       -0.24750845992E+003
        0.27785451564E+000        0.60854785837E+002       -0.24086667222E+003
        0.28151049611E+000        0.59985924470E+002       -0.23448760976E+003
        0.28516647658E+000        0.59139924690E+002       -0.22835793693E+003
        0.28882245705E+000        0.58315898443E+002       -0.22246512466E+003
        0.29247843752E+000        0.57513000936E+002       -0.21679739327E+003
        0.29613441799E+000        0.56730430287E+002       -0.21134366017E+003
        0.29979039846E+000        0.55967422828E+002       -0.20609349184E+003
        0.30344637893E+000        0.55223252998E+002       -0.20103705978E+003
