 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.31556914295421     
 #
 # screening length =   1.15966433863224     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.73119609380E-002        0.14967103786E+004       -0.20555132956E+006
        0.10967941407E-001        0.99574316468E+003       -0.91341188348E+005
        0.14623921876E-001        0.74531437073E+003       -0.51370929794E+005
        0.18279902345E-001        0.59507386150E+003       -0.32871945006E+005
        0.21935882814E-001        0.49493555279E+003       -0.22823927592E+005
        0.25591863283E-001        0.42341634444E+003       -0.16765747275E+005
        0.29247843752E-001        0.36978907267E+003       -0.12834085254E+005
        0.32903824221E-001        0.32808376844E+003       -0.10138764419E+005
        0.36559804690E-001        0.29472718738E+003       -0.82109718366E+004
        0.40215785159E-001        0.26743865795E+003       -0.67847394606E+004
        0.43871765628E-001        0.24470349505E+003       -0.57000624386E+004
        0.47527746097E-001        0.22546835544E+003       -0.48559980917E+004
        0.51183726566E-001        0.20898495449E+003       -0.41863146254E+004
        0.54839707035E-001        0.19470107757E+003       -0.36460933751E+004
        0.58495687504E-001        0.18220563331E+003       -0.32039993353E+004
        0.62151667973E-001        0.17118159661E+003       -0.28376337764E+004
        0.65807648442E-001        0.16138477675E+003       -0.25306422460E+004
        0.69463628911E-001        0.15262028765E+003       -0.22708577460E+004
        0.73119609380E-001        0.14473412587E+003       -0.20490772823E+004
        0.76775589849E-001        0.13759991696E+003       -0.18582356600E+004
        0.80431570318E-001        0.13111582152E+003       -0.16928362555E+004
        0.84087550787E-001        0.12519630185E+003       -0.15485508723E+004
        0.87743531256E-001        0.11977137404E+003       -0.14219339755E+004
        0.91399511725E-001        0.11478106697E+003       -0.13102151267E+004
        0.95055492194E-001        0.11017573328E+003       -0.12111463163E+004
        0.98711472663E-001        0.10591207120E+003       -0.11228880183E+004
        0.10236745313E+000        0.10195390528E+003       -0.10439232903E+004
        0.10602343360E+000        0.98269179169E+002       -0.97299217360E+003
        0.10967941407E+000        0.94830925463E+002       -0.90904119354E+003
        0.11333539454E+000        0.91614897931E+002       -0.85118402808E+003
        0.11699137501E+000        0.88600593889E+002       -0.79867068090E+003
        0.12064735548E+000        0.85769329133E+002       -0.75086306080E+003
        0.12430333595E+000        0.83105246397E+002       -0.70721553987E+003
        0.12795931642E+000        0.80593710071E+002       -0.66725932037E+003
        0.13161529688E+000        0.78222269573E+002       -0.63058981876E+003
        0.13527127735E+000        0.75979293493E+002       -0.59685638591E+003
        0.13892725782E+000        0.73854874741E+002       -0.56575391129E+003
        0.14258323829E+000        0.71839649480E+002       -0.53701590069E+003
        0.14623921876E+000        0.69925640172E+002       -0.51040876237E+003
        0.14989519923E+000        0.68105220799E+002       -0.48572704539E+003
        0.15355117970E+000        0.66371898666E+002       -0.46278947247E+003
        0.15720716017E+000        0.64719397934E+002       -0.44143560157E+003
        0.16086314064E+000        0.63142383300E+002       -0.42152302105E+003
        0.16451912111E+000        0.61635640972E+002       -0.40292496856E+003
        0.16817510157E+000        0.60194748342E+002       -0.38552831490E+003
        0.17183108204E+000        0.58815336455E+002       -0.36923183991E+003
        0.17548706251E+000        0.57493710073E+002       -0.35394476077E+003
        0.17914304298E+000        0.56226179200E+002       -0.33958546539E+003
        0.18279902345E+000        0.55009633893E+002       -0.32608042461E+003
        0.18645500392E+000        0.53840934946E+002       -0.31336324848E+003
        0.19011098439E+000        0.52717447560E+002       -0.30137387213E+003
        0.19376696486E+000        0.51636483214E+002       -0.29005784504E+003
        0.19742294533E+000        0.50595795982E+002       -0.27936571391E+003
        0.20107892580E+000        0.49593069058E+002       -0.26925248151E+003
        0.20473490626E+000        0.48626377172E+002       -0.25967713418E+003
