# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=6.053e-11, Err(n_e)=5.294e-12, Err(IET)=9.961e-13, Q_net=-7.547e-10
# {"name":"Al", "Z":13, "Zstar":2.8898668795018336, "A":26.981539,  "μ[AU]": 2.6671027515e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    5.678375e+02    0.000000e+00
   2.990107e-02             nan    2.884568e+02    0.000000e+00
   4.485160e-02             nan    1.952100e+02    0.000000e+00
   5.980213e-02             nan    1.484342e+02    0.000000e+00
   7.475267e-02             nan    1.202575e+02    0.000000e+00
   8.970320e-02             nan    1.013719e+02    0.000000e+00
   1.046537e-01             nan    8.780253e+01    0.000000e+00
   1.196043e-01             nan    7.755277e+01    0.000000e+00
   1.345548e-01             nan    6.952128e+01    0.000000e+00
   1.495053e-01             nan    6.304268e+01    0.000000e+00
   1.644559e-01             nan    5.769677e+01    0.000000e+00
   1.794064e-01             nan    5.320067e+01    0.000000e+00
   1.943569e-01             nan    4.936100e+01    0.000000e+00
   2.093075e-01             nan    4.603752e+01    0.000000e+00
   2.242580e-01             nan    4.312926e+01    0.000000e+00
   2.392085e-01             nan    4.055871e+01    0.000000e+00
   2.541591e-01             nan    3.826803e+01    0.000000e+00
   2.691096e-01             nan    3.621094e+01    0.000000e+00
   2.840601e-01             nan    3.435204e+01    0.000000e+00
   2.990107e-01             nan    3.266202e+01    0.000000e+00
   3.139612e-01             nan    3.111789e+01    0.000000e+00
   3.289117e-01             nan    2.970007e+01    0.000000e+00
   3.438623e-01             nan    2.839310e+01    0.000000e+00
   3.588128e-01             nan    2.718343e+01    0.000000e+00
   3.737633e-01             nan    2.606019e+01    0.000000e+00
   3.887139e-01             nan    2.501364e+01    0.000000e+00
   4.036644e-01             nan    2.403603e+01    0.000000e+00
   4.186149e-01             nan    2.312014e+01    0.000000e+00
   4.335655e-01             nan    2.226022e+01    0.000000e+00
   4.485160e-01             nan    2.145085e+01    0.000000e+00
   4.634665e-01             nan    2.068765e+01    0.000000e+00
   4.784171e-01             nan    1.996646e+01    0.000000e+00
   4.933676e-01             nan    1.928392e+01    0.000000e+00
   5.083181e-01             nan    1.863675e+01    0.000000e+00
   5.232687e-01             nan    1.802231e+01    0.000000e+00
   5.382192e-01             nan    1.743798e+01    0.000000e+00
   5.531697e-01             nan    1.688168e+01    0.000000e+00
   5.681203e-01             nan    1.635127e+01    0.000000e+00
   5.830708e-01             nan    1.584508e+01    0.000000e+00
   5.980213e-01             nan    1.536136e+01    0.000000e+00
   6.129719e-01             nan    1.489874e+01    0.000000e+00
   6.279224e-01             nan    1.445577e+01    0.000000e+00
   6.428729e-01             nan    1.403132e+01    0.000000e+00
   6.578235e-01             nan    1.362418e+01    0.000000e+00
   6.727740e-01             nan    1.323342e+01    0.000000e+00
   6.877245e-01             nan    1.285799e+01    0.000000e+00
   7.026751e-01             nan    1.249710e+01    0.000000e+00
   7.176256e-01             nan    1.214989e+01    0.000000e+00
   7.325761e-01             nan    1.181569e+01    0.000000e+00
   7.475267e-01             nan    1.149373e+01    0.000000e+00
   7.624772e-01             nan    1.118345e+01    0.000000e+00
   7.774277e-01             nan    1.088420e+01    0.000000e+00
   7.923783e-01             nan    1.059548e+01    0.000000e+00
   8.073288e-01             nan    1.031672e+01    0.000000e+00
   8.222793e-01             nan    1.004751e+01    0.000000e+00
   8.372299e-01             nan    9.787336e+00    0.000000e+00
   8.521804e-01             nan    9.535832e+00    0.000000e+00
   8.671309e-01             nan    9.292554e+00    0.000000e+00
   8.820815e-01             nan    9.057189e+00    0.000000e+00
   8.970320e-01             nan    8.829339e+00    0.000000e+00
   9.119825e-01             nan    8.608726e+00    0.000000e+00
   9.269331e-01             nan    8.394998e+00    0.000000e+00
   9.418836e-01             nan    8.187910e+00    0.000000e+00
   9.568341e-01             nan    7.987143e+00    0.000000e+00
   9.717847e-01             nan    7.792484e+00    0.000000e+00
