# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.783e-11, Err(n_e)=2.479e-11, Err(IET)=1.145e-12, Q_net=-2.725e-09
# {"name":"Al", "Z":13, "Zstar":4.725884772434015, "A":26.981539,  "μ[AU]": -1.4933866765e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    1.550057e+03    0.000000e+00
   2.990107e-02             nan    8.004466e+02    0.000000e+00
   4.485160e-02             nan    5.490137e+02    0.000000e+00
   5.980213e-02             nan    4.220864e+02    0.000000e+00
   7.475267e-02             nan    3.450868e+02    0.000000e+00
   8.970320e-02             nan    2.930557e+02    0.000000e+00
   1.046537e-01             nan    2.553579e+02    0.000000e+00
   1.196043e-01             nan    2.266391e+02    0.000000e+00
   1.345548e-01             nan    2.039503e+02    0.000000e+00
   1.495053e-01             nan    1.854906e+02    0.000000e+00
   1.644559e-01             nan    1.701380e+02    0.000000e+00
   1.794064e-01             nan    1.571238e+02    0.000000e+00
   1.943569e-01             nan    1.459308e+02    0.000000e+00
   2.093075e-01             nan    1.361750e+02    0.000000e+00
   2.242580e-01             nan    1.275860e+02    0.000000e+00
   2.392085e-01             nan    1.199496e+02    0.000000e+00
   2.541591e-01             nan    1.131105e+02    0.000000e+00
   2.691096e-01             nan    1.069397e+02    0.000000e+00
   2.840601e-01             nan    1.013419e+02    0.000000e+00
   2.990107e-01             nan    9.623398e+01    0.000000e+00
   3.139612e-01             nan    9.155378e+01    0.000000e+00
   3.289117e-01             nan    8.724519e+01    0.000000e+00
   3.438623e-01             nan    8.326604e+01    0.000000e+00
   3.588128e-01             nan    7.957699e+01    0.000000e+00
   3.737633e-01             nan    7.614826e+01    0.000000e+00
   3.887139e-01             nan    7.295108e+01    0.000000e+00
   4.036644e-01             nan    6.996398e+01    0.000000e+00
   4.186149e-01             nan    6.716543e+01    0.000000e+00
   4.335655e-01             nan    6.453942e+01    0.000000e+00
   4.485160e-01             nan    6.206923e+01    0.000000e+00
   4.634665e-01             nan    5.974270e+01    0.000000e+00
   4.784171e-01             nan    5.754681e+01    0.000000e+00
   4.933676e-01             nan    5.547223e+01    0.000000e+00
   5.083181e-01             nan    5.350846e+01    0.000000e+00
   5.232687e-01             nan    5.164805e+01    0.000000e+00
   5.382192e-01             nan    4.988252e+01    0.000000e+00
   5.531697e-01             nan    4.820591e+01    0.000000e+00
   5.681203e-01             nan    4.661129e+01    0.000000e+00
   5.830708e-01             nan    4.509385e+01    0.000000e+00
   5.980213e-01             nan    4.364773e+01    0.000000e+00
   6.129719e-01             nan    4.226900e+01    0.000000e+00
   6.279224e-01             nan    4.095278e+01    0.000000e+00
   6.428729e-01             nan    3.969581e+01    0.000000e+00
   6.578235e-01             nan    3.849389e+01    0.000000e+00
   6.727740e-01             nan    3.734432e+01    0.000000e+00
   6.877245e-01             nan    3.624352e+01    0.000000e+00
   7.026751e-01             nan    3.518922e+01    0.000000e+00
   7.176256e-01             nan    3.417831e+01    0.000000e+00
   7.325761e-01             nan    3.320887e+01    0.000000e+00
   7.475267e-01             nan    3.227819e+01    0.000000e+00
   7.624772e-01             nan    3.138464e+01    0.000000e+00
   7.774277e-01             nan    3.052585e+01    0.000000e+00
   7.923783e-01             nan    2.970044e+01    0.000000e+00
   8.073288e-01             nan    2.890630e+01    0.000000e+00
   8.222793e-01             nan    2.814225e+01    0.000000e+00
   8.372299e-01             nan    2.740643e+01    0.000000e+00
   8.521804e-01             nan    2.669782e+01    0.000000e+00
   8.671309e-01             nan    2.601477e+01    0.000000e+00
   8.820815e-01             nan    2.535638e+01    0.000000e+00
   8.970320e-01             nan    2.472118e+01    0.000000e+00
   9.119825e-01             nan    2.410842e+01    0.000000e+00
   9.269331e-01             nan    2.351675e+01    0.000000e+00
   9.418836e-01             nan    2.294552e+01    0.000000e+00
   9.568341e-01             nan    2.239354e+01    0.000000e+00
   9.717847e-01             nan    2.186021e+01    0.000000e+00
   9.867352e-01             nan    2.134447e+01    0.000000e+00
   1.001686e+00             nan    2.084581e+01    0.000000e+00
   1.016636e+00             nan    2.036325e+01    0.000000e+00
   1.031587e+00             nan    1.989635e+01    0.000000e+00
   1.046537e+00             nan    1.944423e+01    0.000000e+00
   1.061488e+00             nan    1.900648e+01    0.000000e+00
   1.076438e+00             nan    1.858232e+01    0.000000e+00
   1.091389e+00             nan    1.817138e+01    0.000000e+00
