# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.793e-11, Err(n_e)=1.082e-13, Err(IET)=9.931e-13, Q_net=-1.493e-11
# {"name":"CS2014_Al", "Z":13, "Zstar":3.3533781021378966, "A":26.981539,  "μ[AU]": 5.6338443106e-03, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483061e+06    4.483058e+06    8.685500e-03    4.483061e+06    3.088424e+00
   1.006327e-04    4.440854e+06    4.440852e+06    8.685500e-03    4.440854e+06    1.733484e+00
   1.012694e-04    4.399046e+06    4.399044e+06    8.685500e-03    4.399046e+06    1.482281e+00
   1.019102e-04    4.357632e+06    4.357629e+06    8.685500e-03    4.357632e+06    2.880820e+00
   1.025550e-04    4.316608e+06    4.316605e+06    8.685500e-03    4.316608e+06    3.603906e+00
   1.032039e-04    4.275970e+06    4.275966e+06    8.685500e-03    4.275970e+06    3.614499e+00
   1.038569e-04    4.235713e+06    4.235710e+06    8.685500e-03    4.235713e+06    2.938494e+00
   1.045140e-04    4.195835e+06    4.195833e+06    8.685500e-03    4.195835e+06    1.651739e+00
   1.051753e-04    4.156333e+06    4.156331e+06    8.685500e-03    4.156333e+06    1.524430e+00
   1.058408e-04    4.117204e+06    4.117202e+06    8.685500e-03    4.117204e+06    2.710744e+00
   1.065104e-04    4.078443e+06    4.078440e+06    8.685500e-03    4.078443e+06    3.371657e+00
   1.071843e-04    4.040047e+06    4.040043e+06    8.685500e-03    4.040047e+06    3.411901e+00
   1.078625e-04    4.002011e+06    4.002008e+06    8.685500e-03    4.002011e+06    2.848447e+00
   1.085450e-04    3.964333e+06    3.964331e+06    8.685500e-03    3.964333e+06    1.700842e+00
   1.092318e-04    3.927010e+06    3.927009e+06    8.685500e-03    3.927010e+06    1.158569e+00
   1.099229e-04    3.890040e+06    3.890038e+06    8.685500e-03    3.890040e+06    2.459255e+00
   1.106184e-04    3.853418e+06    3.853415e+06    8.685500e-03    3.853418e+06    3.153277e+00
   1.113183e-04    3.817140e+06    3.817137e+06    8.685500e-03    3.817140e+06    3.261544e+00
   1.120226e-04    3.781203e+06    3.781200e+06    8.685500e-03    3.781203e+06    2.792532e+00
   1.127314e-04    3.745603e+06    3.745601e+06    8.685500e-03    3.745603e+06    1.685377e+00
   1.134447e-04    3.710339e+06    3.710338e+06    8.685500e-03    3.710339e+06    1.191491e+00
   1.141625e-04    3.675409e+06    3.675407e+06    8.685500e-03    3.675409e+06    2.265692e+00
   1.148848e-04    3.640807e+06    3.640804e+06    8.685500e-03    3.640807e+06    2.994616e+00
   1.156117e-04    3.606531e+06    3.606527e+06    8.685500e-03    3.606531e+06    3.111210e+00
   1.163432e-04    3.572576e+06    3.572573e+06    8.685500e-03    3.572576e+06    2.656493e+00
   1.170794e-04    3.538941e+06    3.538939e+06    8.685500e-03    3.538941e+06    1.678469e+00
   1.178201e-04    3.505622e+06    3.505621e+06    8.685500e-03    3.505622e+06    1.135697e+00
   1.185656e-04    3.472619e+06    3.472617e+06    8.685500e-03    3.472619e+06    2.121297e+00
   1.193158e-04    3.439926e+06    3.439923e+06    8.685500e-03    3.439926e+06    2.789348e+00
   1.200707e-04    3.407540e+06    3.407537e+06    8.685500e-03    3.407540e+06    2.931807e+00
   1.208304e-04    3.375459e+06    3.375457e+06    8.685500e-03    3.375459e+06    2.565690e+00
   1.215950e-04    3.343679e+06    3.343678e+06    8.685500e-03    3.343679e+06    1.702881e+00
   1.223643e-04    3.312199e+06    3.312198e+06    8.685500e-03    3.312199e+06    7.090638e-01
   1.231385e-04    3.281016e+06    3.281014e+06    8.685500e-03    3.281016e+06    1.914027e+00
   1.239177e-04    3.250127e+06    3.250125e+06    8.685500e-03    3.250127e+06    2.606759e+00
   1.247017e-04    3.219528e+06    3.219526e+06    8.685500e-03    3.219528e+06    2.800139e+00
   1.254907e-04    3.189217e+06    3.189215e+06    8.685500e-03    3.189217e+06    2.497697e+00
   1.262847e-04    3.159190e+06    3.159189e+06    8.685500e-03    3.159190e+06    1.665839e+00
   1.270838e-04    3.129447e+06    3.129446e+06    8.685500e-03    3.129447e+06    1.073720e+00
   1.278879e-04    3.099984e+06    3.099983e+06    8.685500e-03    3.099984e+06    1.757982e+00
   1.286970e-04    3.070800e+06    3.070797e+06    8.685500e-03    3.070800e+06    2.467569e+00
   1.295113e-04    3.041889e+06    3.041886e+06    8.685500e-03    3.041889e+06    2.659880e+00
   1.303308e-04    3.013250e+06    3.013247e+06    8.685500e-03    3.013250e+06    2.371954e+00
   1.311554e-04    2.984880e+06    2.984878e+06    8.685500e-03    2.984880e+06    1.642041e+00
   1.319852e-04    2.956777e+06    2.956776e+06    8.685500e-03    2.956777e+06    7.810415e-01
   1.328203e-04    2.928940e+06    2.928938e+06    8.685500e-03    2.928940e+06    1.630064e+00
   1.336607e-04    2.901365e+06    2.901363e+06    8.685500e-03    2.901365e+06    2.289968e+00
   1.345064e-04    2.874049e+06    2.874047e+06    8.685500e-03    2.874049e+06    2.505027e+00
   1.353575e-04    2.846990e+06    2.846988e+06    8.685500e-03    2.846990e+06    2.287842e+00
   1.362139e-04    2.820186e+06    2.820184e+06    8.685500e-03    2.820186e+06    1.651215e+00
   1.370758e-04    2.793633e+06    2.793632e+06    8.685500e-03    2.793633e+06    8.280235e-01
   1.379431e-04    2.767332e+06    2.767330e+06    8.685500e-03    2.767332e+06    1.459158e+00
   1.388159e-04    2.741278e+06    2.741276e+06    8.685500e-03    2.741278e+06    2.134837e+00
   1.396942e-04    2.715469e+06    2.715467e+06    8.685500e-03    2.715469e+06    2.389542e+00
   1.405780e-04    2.689903e+06    2.689901e+06    8.685500e-03    2.689903e+06    2.216649e+00
   1.414675e-04    2.664577e+06    2.664576e+06    8.685500e-03    2.664577e+06    1.602913e+00
   1.423626e-04    2.639490e+06    2.639489e+06    8.685500e-03    2.639490e+06    9.234345e-01
   1.432634e-04    2.614639e+06    2.614638e+06    8.685500e-03    2.614639e+06    1.331962e+00
   1.441698e-04    2.590023e+06    2.590021e+06    8.685500e-03    2.590023e+06    2.017316e+00
   1.450820e-04    2.565638e+06    2.565636e+06    8.685500e-03    2.565638e+06    2.257826e+00
   1.460000e-04    2.541483e+06    2.541480e+06    8.685500e-03    2.541483e+06    2.101199e+00
