# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=6.053e-11, Err(n_e)=5.294e-12, Err(IET)=9.986e-13, Q_net=-7.547e-10
# {"name":"Al", "Z":13, "Zstar":2.8898668795018336, "A":26.981539,  "μ[AU]": 2.6671027515e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    5.698399e+02    0.000000e+00
   2.990107e-02             nan    2.900778e+02    0.000000e+00
   4.485160e-02             nan    1.965523e+02    0.000000e+00
   5.980213e-02             nan    1.495803e+02    0.000000e+00
   7.475267e-02             nan    1.212470e+02    0.000000e+00
   8.970320e-02             nan    1.022329e+02    0.000000e+00
   1.046537e-01             nan    8.855351e+01    0.000000e+00
   1.196043e-01             nan    7.820926e+01    0.000000e+00
   1.345548e-01             nan    7.009457e+01    0.000000e+00
   1.495053e-01             nan    6.354162e+01    0.000000e+00
   1.644559e-01             nan    5.812881e+01    0.000000e+00
   1.794064e-01             nan    5.357209e+01    0.000000e+00
   1.943569e-01             nan    4.967713e+01    0.000000e+00
   2.093075e-01             nan    4.630298e+01    0.000000e+00
   2.242580e-01             nan    4.334796e+01    0.000000e+00
   2.392085e-01             nan    4.073421e+01    0.000000e+00
   2.541591e-01             nan    3.840350e+01    0.000000e+00
   2.691096e-01             nan    3.630926e+01    0.000000e+00
   2.840601e-01             nan    3.441575e+01    0.000000e+00
   2.990107e-01             nan    3.269339e+01    0.000000e+00
   3.139612e-01             nan    3.111903e+01    0.000000e+00
   3.289117e-01             nan    2.967293e+01    0.000000e+00
   3.438623e-01             nan    2.833945e+01    0.000000e+00
   3.588128e-01             nan    2.710488e+01    0.000000e+00
   3.737633e-01             nan    2.595828e+01    0.000000e+00
   3.887139e-01             nan    2.488978e+01    0.000000e+00
   4.036644e-01             nan    2.389151e+01    0.000000e+00
   4.186149e-01             nan    2.295618e+01    0.000000e+00
   4.335655e-01             nan    2.207795e+01    0.000000e+00
   4.485160e-01             nan    2.125133e+01    0.000000e+00
   4.634665e-01             nan    2.047189e+01    0.000000e+00
   4.784171e-01             nan    1.973540e+01    0.000000e+00
   4.933676e-01             nan    1.903843e+01    0.000000e+00
   5.083181e-01             nan    1.837766e+01    0.000000e+00
   5.232687e-01             nan    1.775041e+01    0.000000e+00
   5.382192e-01             nan    1.715401e+01    0.000000e+00
   5.531697e-01             nan    1.658634e+01    0.000000e+00
   5.681203e-01             nan    1.604522e+01    0.000000e+00
   5.830708e-01             nan    1.552895e+01    0.000000e+00
   5.980213e-01             nan    1.503575e+01    0.000000e+00
   6.129719e-01             nan    1.456422e+01    0.000000e+00
   6.279224e-01             nan    1.411287e+01    0.000000e+00
   6.428729e-01             nan    1.368056e+01    0.000000e+00
   6.578235e-01             nan    1.326605e+01    0.000000e+00
   6.727740e-01             nan    1.286836e+01    0.000000e+00
   6.877245e-01             nan    1.248646e+01    0.000000e+00
   7.026751e-01             nan    1.211954e+01    0.000000e+00
   7.176256e-01             nan    1.176668e+01    0.000000e+00
   7.325761e-01             nan    1.142722e+01    0.000000e+00
   7.475267e-01             nan    1.110037e+01    0.000000e+00
   7.624772e-01             nan    1.078555e+01    0.000000e+00
   7.774277e-01             nan    1.048209e+01    0.000000e+00
   7.923783e-01             nan    1.018949e+01    0.000000e+00
   8.073288e-01             nan    9.907150e+00    0.000000e+00
   8.222793e-01             nan    9.634650e+00    0.000000e+00
   8.372299e-01             nan    9.371468e+00    0.000000e+00
   8.521804e-01             nan    9.117230e+00    0.000000e+00
   8.671309e-01             nan    8.871476e+00    0.000000e+00
   8.820815e-01             nan    8.633881e+00    0.000000e+00
   8.970320e-01             nan    8.404036e+00    0.000000e+00
   9.119825e-01             nan    8.181655e+00    0.000000e+00
   9.269331e-01             nan    7.966374e+00    0.000000e+00
   9.418836e-01             nan    7.757941e+00    0.000000e+00
   9.568341e-01             nan    7.556029e+00    0.000000e+00
   9.717847e-01             nan    7.360415e+00    0.000000e+00
   9.867352e-01             nan    7.170806e+00    0.000000e+00
   1.001686e+00             nan    6.987003e+00    0.000000e+00
   1.016636e+00             nan    6.808741e+00    0.000000e+00
   1.031587e+00             nan    6.635844e+00    0.000000e+00
   1.046537e+00             nan    6.468071e+00    0.000000e+00
   1.061488e+00             nan    6.305264e+00    0.000000e+00
   1.076438e+00             nan    6.147204e+00    0.000000e+00
   1.091389e+00             nan    5.993750e+00    0.000000e+00
   1.106339e+00             nan    5.844703e+00    0.000000e+00
   1.121290e+00             nan    5.699935e+00    0.000000e+00
   1.136241e+00             nan    5.559265e+00    0.000000e+00
   1.151191e+00             nan    5.422576e+00    0.000000e+00
   1.166142e+00             nan    5.289703e+00    0.000000e+00
   1.181092e+00             nan    5.160542e+00    0.000000e+00
   1.196043e+00             nan    5.034938e+00    0.000000e+00
   1.210993e+00             nan    4.912799e+00    0.000000e+00
   1.225944e+00             nan    4.793982e+00    0.000000e+00
   1.240894e+00             nan    4.678403e+00    0.000000e+00
   1.255845e+00             nan    4.565930e+00    0.000000e+00
   1.270795e+00             nan    4.456488e+00    0.000000e+00
   1.285746e+00             nan    4.349953e+00    0.000000e+00
   1.300696e+00             nan    4.246258e+00    0.000000e+00
   1.315647e+00             nan    4.145288e+00    0.000000e+00
   1.330597e+00             nan    4.046981e+00    0.000000e+00
   1.345548e+00             nan    3.951231e+00    0.000000e+00
   1.360499e+00             nan    3.857981e+00    0.000000e+00
   1.375449e+00             nan    3.767133e+00    0.000000e+00
   1.390400e+00             nan    3.678635e+00    0.000000e+00
   1.405350e+00             nan    3.592395e+00    0.000000e+00
   1.420301e+00             nan    3.508366e+00    0.000000e+00
   1.435251e+00             nan    3.426461e+00    0.000000e+00
   1.450202e+00             nan    3.346638e+00    0.000000e+00
   1.465152e+00             nan    3.268817e+00    0.000000e+00
   1.480103e+00             nan    3.192956e+00    0.000000e+00
   1.495053e+00             nan    3.118983e+00    0.000000e+00
   1.510004e+00             nan    3.046859e+00    0.000000e+00
   1.524954e+00             nan    2.976515e+00    0.000000e+00
   1.539905e+00             nan    2.907917e+00    0.000000e+00
   1.554855e+00             nan    2.840999e+00    0.000000e+00
   1.569806e+00             nan    2.775731e+00    0.000000e+00
   1.584757e+00             nan    2.712050e+00    0.000000e+00
   1.599707e+00             nan    2.649928e+00    0.000000e+00
   1.614658e+00             nan    2.589306e+00    0.000000e+00
   1.629608e+00             nan    2.530160e+00    0.000000e+00
   1.644559e+00             nan    2.472433e+00    0.000000e+00
   1.659509e+00             nan    2.416101e+00    0.000000e+00
   1.674460e+00             nan    2.361114e+00    0.000000e+00
   1.689410e+00             nan    2.307448e+00    0.000000e+00
   1.704361e+00             nan    2.255055e+00    0.000000e+00
   1.719311e+00             nan    2.203914e+00    0.000000e+00
   1.734262e+00             nan    2.153980e+00    0.000000e+00
   1.749212e+00             nan    2.105233e+00    0.000000e+00
   1.764163e+00             nan    2.057630e+00    0.000000e+00
   1.779113e+00             nan    2.011153e+00    0.000000e+00
   1.794064e+00             nan    1.965761e+00    0.000000e+00
   1.809015e+00             nan    1.921439e+00    0.000000e+00
   1.823965e+00             nan    1.878146e+00    0.000000e+00
   1.838916e+00             nan    1.835868e+00    0.000000e+00
   1.853866e+00             nan    1.794569e+00    0.000000e+00
   1.868817e+00             nan    1.754233e+00    0.000000e+00
   1.883767e+00             nan    1.714827e+00    0.000000e+00
   1.898718e+00             nan    1.676337e+00    0.000000e+00
   1.913668e+00             nan    1.638731e+00    0.000000e+00
   1.928619e+00             nan    1.601996e+00    0.000000e+00
   1.943569e+00             nan    1.566100e+00    0.000000e+00
   1.958520e+00             nan    1.531033e+00    0.000000e+00
   1.973470e+00             nan    1.496765e+00    0.000000e+00
   1.988421e+00             nan    1.463285e+00    0.000000e+00
   2.003371e+00             nan    1.430566e+00    0.000000e+00
   2.018322e+00             nan    1.398597e+00    0.000000e+00
   2.033273e+00             nan    1.367351e+00    0.000000e+00
   2.048223e+00             nan    1.336820e+00    0.000000e+00
   2.063174e+00             nan    1.306978e+00    0.000000e+00
   2.078124e+00             nan    1.277817e+00    0.000000e+00
   2.093075e+00             nan    1.249311e+00    0.000000e+00
   2.108025e+00             nan    1.221454e+00    0.000000e+00
   2.122976e+00             nan    1.194223e+00    0.000000e+00
   2.137926e+00             nan    1.167609e+00    7.052137e-13
   2.152877e+00             nan    1.141591e+00    3.680611e-12
   2.167827e+00             nan    1.116163e+00    9.338308e-12
   2.182778e+00             nan    1.091302e+00    1.992007e-11
   2.197728e+00             nan    1.067004e+00    3.944756e-11
   2.212679e+00             nan    1.043247e+00    7.495338e-11
   2.227629e+00             nan    1.020026e+00    1.385558e-10
   2.242580e+00             nan    9.973209e-01    2.509477e-10
   2.257531e+00             nan    9.751278e-01    4.467395e-10
   2.272481e+00             nan    9.534270e-01    7.833387e-10
   2.287432e+00             nan    9.322145e-01    1.354159e-09
   2.302382e+00             nan    9.114717e-01    2.310048e-09
   2.317333e+00             nan    8.911951e-01    3.889998e-09
   2.332283e+00             nan    8.713666e-01    6.470237e-09
   2.347234e+00             nan    8.519832e-01    1.063171e-08
   2.362184e+00             nan    8.330276e-01    1.726708e-08
   2.377135e+00             nan    8.144969e-01    2.772118e-08
   2.392085e+00             nan    7.963746e-01    4.401323e-08
   2.407036e+00             nan    7.786582e-01    6.911425e-08
   2.421986e+00             nan    7.613316e-01    1.073879e-07
   2.436937e+00             nan    7.443926e-01    1.651106e-07
   2.451887e+00             nan    7.278260e-01    2.513093e-07
   2.466838e+00             nan    7.116297e-01    3.786877e-07
   2.481789e+00             nan    6.957890e-01    5.651553e-07
   2.496739e+00             nan    6.803021e-01    8.353908e-07
   2.511690e+00             nan    6.651548e-01    1.223532e-06
   2.526640e+00             nan    6.503456e-01    1.775675e-06
   2.541591e+00             nan    6.358608e-01    2.554443e-06
   2.556541e+00             nan    6.216992e-01    3.642754e-06
   2.571492e+00             nan    6.078475e-01    5.151341e-06
   2.586442e+00             nan    5.943046e-01    7.224061e-06
   2.601393e+00             nan    5.810579e-01    1.004995e-05
   2.616343e+00             nan    5.681063e-01    1.387008e-05
   2.631294e+00             nan    5.554377e-01    1.899644e-05
   2.646244e+00             nan    5.430514e-01    2.581981e-05
   2.661195e+00             nan    5.309354e-01    3.483865e-05
   2.676145e+00             nan    5.190892e-01    4.666642e-05
   2.691096e+00             nan    5.075015e-01    6.207520e-05
   2.706047e+00             nan    4.961717e-01    8.199881e-05
   2.720997e+00             nan    4.850889e-01    1.075978e-04
   2.735948e+00             nan    4.742527e-01    1.402523e-04
   2.750898e+00             nan    4.636527e-01    1.816573e-04
   2.765849e+00             nan    4.532885e-01    2.337946e-04
   2.780799e+00             nan    4.431499e-01    2.990727e-04
   2.795750e+00             nan    4.332370e-01    3.802598e-04
   2.810700e+00             nan    4.235398e-01    4.806882e-04
   2.825651e+00             nan    4.140583e-01    6.041221e-04
   2.840601e+00             nan    4.047830e-01    7.550549e-04
   2.855552e+00             nan    3.957141e-01    9.384746e-04
   2.870502e+00             nan    3.868424e-01    1.160291e-03
   2.885453e+00             nan    3.781681e-01    1.426949e-03
