Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.978e-11, Err(n_e)=6.031e-12, Err(IET)=9.933e-13, Q_net=-8.398e-10
# {"name":"Al", "Z":13, "Zstar":3.116554974318824, "A":26.981539,  "μ[AU]": 2.8946762789e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    6.604801e+02    0.000000e+00
   2.990107e-02             nan    3.355336e+02    0.000000e+00
   4.485160e-02             nan    2.270746e+02    0.000000e+00
   5.980213e-02             nan    1.726697e+02    0.000000e+00
   7.475267e-02             nan    1.398987e+02    0.000000e+00
   8.970320e-02             nan    1.179356e+02    0.000000e+00
   1.046537e-01             nan    1.021562e+02    0.000000e+00
   1.196043e-01             nan    9.023903e+01    0.000000e+00
   1.345548e-01             nan    8.090216e+01    0.000000e+00
   1.495053e-01             nan    7.337128e+01    0.000000e+00
   1.644559e-01             nan    6.715790e+01    0.000000e+00
   1.794064e-01             nan    6.193294e+01    0.000000e+00
   1.943569e-01             nan    5.747156e+01    0.000000e+00
   2.093075e-01             nan    5.361045e+01    0.000000e+00
   2.242580e-01             nan    5.023199e+01    0.000000e+00
   2.392085e-01             nan    4.724626e+01    0.000000e+00
   2.541591e-01             nan    4.458590e+01    0.000000e+00
   2.691096e-01             nan    4.219714e+01    0.000000e+00
   2.840601e-01             nan    4.003872e+01    0.000000e+00
   2.990107e-01             nan    3.807650e+01    0.000000e+00
   3.139612e-01             nan    3.628381e+01    0.000000e+00
   3.289117e-01             nan    3.463789e+01    0.000000e+00
   3.438623e-01             nan    3.312073e+01    0.000000e+00
   3.588128e-01             nan    3.171654e+01    0.000000e+00
   3.737633e-01             nan    3.041277e+01    0.000000e+00
   3.887139e-01             nan    2.919808e+01    0.000000e+00
   4.036644e-01             nan    2.806336e+01    0.000000e+00
   4.186149e-01             nan    2.700032e+01    0.000000e+00
   4.335655e-01             nan    2.600224e+01    0.000000e+00
   4.485160e-01             nan    2.506281e+01    0.000000e+00
   4.634665e-01             nan    2.417697e+01    0.000000e+00
   4.784171e-01             nan    2.333984e+01    0.000000e+00
   4.933676e-01             nan    2.254756e+01    0.000000e+00
   5.083181e-01             nan    2.179629e+01    0.000000e+00
   5.232687e-01             nan    2.108298e+01    0.000000e+00
   5.382192e-01             nan    2.040458e+01    0.000000e+00
   5.531697e-01             nan    1.975868e+01    0.000000e+00
   5.681203e-01             nan    1.914280e+01    0.000000e+00
   5.830708e-01             nan    1.855499e+01    0.000000e+00
   5.980213e-01             nan    1.799323e+01    0.000000e+00
   6.129719e-01             nan    1.745591e+01    0.000000e+00
   6.279224e-01             nan    1.694138e+01    0.000000e+00
   6.428729e-01             nan    1.644831e+01    0.000000e+00
   6.578235e-01             nan    1.597529e+01    0.000000e+00
   6.727740e-01             nan    1.552124e+01    0.000000e+00
   6.877245e-01             nan    1.508497e+01    0.000000e+00
   7.026751e-01             nan    1.466555e+01    0.000000e+00
   7.176256e-01             nan    1.426197e+01    0.000000e+00
   7.325761e-01             nan    1.387345e+01    0.000000e+00
   7.475267e-01             nan    1.349913e+01    0.000000e+00
   7.624772e-01             nan    1.313833e+01    0.000000e+00
   7.774277e-01             nan    1.279031e+01    0.000000e+00
   7.923783e-01             nan    1.245450e+01    0.000000e+00
   8.073288e-01             nan    1.213022e+01    0.000000e+00
   8.222793e-01             nan    1.181699e+01    0.000000e+00
   8.372299e-01             nan    1.151423e+01    0.000000e+00
   8.521804e-01             nan    1.122152e+01    0.000000e+00
   8.671309e-01             nan    1.093834e+01    0.000000e+00
   8.820815e-01             nan    1.066432e+01    0.000000e+00
   8.970320e-01             nan    1.039902e+01    0.000000e+00
   9.119825e-01             nan    1.014209e+01    0.000000e+00
   9.269331e-01             nan    9.893150e+00    0.000000e+00
   9.418836e-01             nan    9.651900e+00    0.000000e+00
   9.568341e-01             nan    9.417977e+00    0.000000e+00
   9.717847e-01             nan    9.191132e+00    0.000000e+00
   9.867352e-01             nan    8.971036e+00    0.000000e+00
   1.001686e+00             nan    8.757465e+00    0.000000e+00
   1.016636e+00             nan    8.550125e+00    0.000000e+00
   1.031587e+00             nan    8.348815e+00    0.000000e+00
   1.046537e+00             nan    8.153268e+00    0.000000e+00
   1.061488e+00             nan    7.963308e+00    0.000000e+00
   1.076438e+00             nan    7.778690e+00    0.000000e+00
   1.091389e+00             nan    7.599254e+00    0.000000e+00
   1.106339e+00             nan    7.424778e+00    0.000000e+00
   1.121290e+00             nan    7.255122e+00    0.000000e+00
   1.136241e+00             nan    7.090081e+00    0.000000e+00
   1.151191e+00             nan    6.929526e+00    0.000000e+00
   1.166142e+00             nan    6.773272e+00    0.000000e+00
   1.181092e+00             nan    6.621204e+00    0.000000e+00
   1.196043e+00             nan    6.473148e+00    0.000000e+00
   1.210993e+00             nan    6.329002e+00    0.000000e+00
   1.225944e+00             nan    6.188606e+00    0.000000e+00
   1.240894e+00             nan    6.051867e+00    0.000000e+00
   1.255845e+00             nan    5.918638e+00    0.000000e+00
   1.270795e+00             nan    5.788833e+00    0.000000e+00
   1.285746e+00             nan    5.662318e+00    0.000000e+00
   1.300696e+00             nan    5.539016e+00    0.000000e+00
   1.315647e+00             nan    5.418799e+00    0.000000e+00
   1.330597e+00             nan    5.301596e+00    0.000000e+00
   1.345548e+00             nan    5.187293e+00    0.000000e+00
   1.360499e+00             nan    5.075825e+00    0.000000e+00
   1.375449e+00             nan    4.967082e+00    0.000000e+00
   1.390400e+00             nan    4.861007e+00    0.000000e+00
   1.405350e+00             nan    4.757497e+00    0.000000e+00
   1.420301e+00             nan    4.656500e+00    0.000000e+00
   1.435251e+00             nan    4.557919e+00    0.000000e+00
   1.450202e+00             nan    4.461707e+00    0.000000e+00
   1.465152e+00             nan    4.367777e+00    0.000000e+00
   1.480103e+00             nan    4.276080e+00    0.000000e+00
   1.495053e+00             nan    4.186536e+00    0.000000e+00
