# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.978e-11, Err(n_e)=6.031e-12, Err(IET)=9.933e-13, Q_net=-8.398e-10
# {"name":"CS2014_Al", "Z":13, "Zstar":3.116554974318824, "A":26.981539,  "μ[AU]": 2.8946762789e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.480982e+06    4.480964e+06    4.409973e-03    4.480982e+06    1.813963e+01
   1.006327e-04    4.438790e+06    4.438772e+06    4.409973e-03    4.438790e+06    1.841830e+01
   1.012694e-04    4.396995e+06    4.396977e+06    4.409973e-03    4.396995e+06    1.802974e+01
   1.019102e-04    4.355592e+06    4.355575e+06    4.409973e-03    4.355592e+06    1.699554e+01
   1.025550e-04    4.314579e+06    4.314563e+06    4.409973e-03    4.314579e+06    1.533456e+01
   1.032039e-04    4.273954e+06    4.273938e+06    4.409973e-03    4.273954e+06    1.658376e+01
   1.038569e-04    4.233712e+06    4.233694e+06    4.409973e-03    4.233712e+06    1.757576e+01
   1.045140e-04    4.193848e+06    4.193830e+06    4.409973e-03    4.193848e+06    1.792202e+01
   1.051753e-04    4.154359e+06    4.154341e+06    4.409973e-03    4.154359e+06    1.763805e+01
   1.058408e-04    4.115240e+06    4.115224e+06    4.409973e-03    4.115240e+06    1.673759e+01
   1.065104e-04    4.076490e+06    4.076475e+06    4.409973e-03    4.076490e+06    1.554358e+01
   1.071843e-04    4.038107e+06    4.038091e+06    4.409973e-03    4.038107e+06    1.606697e+01
   1.078625e-04    4.000085e+06    4.000068e+06    4.409973e-03    4.000085e+06    1.708605e+01
   1.085450e-04    3.962420e+06    3.962403e+06    4.409973e-03    3.962420e+06    1.748815e+01
   1.092318e-04    3.925110e+06    3.925093e+06    4.409973e-03    3.925110e+06    1.724709e+01
   1.099229e-04    3.888150e+06    3.888134e+06    4.409973e-03    3.888150e+06    1.638497e+01
   1.106184e-04    3.851538e+06    3.851523e+06    4.409973e-03    3.851538e+06    1.512103e+01
   1.113183e-04    3.815272e+06    3.815256e+06    4.409973e-03    3.815272e+06    1.561614e+01
   1.120226e-04    3.779348e+06    3.779332e+06    4.409973e-03    3.779348e+06    1.664647e+01
   1.127314e-04    3.743762e+06    3.743745e+06    4.409973e-03    3.743762e+06    1.701688e+01
   1.134447e-04    3.708510e+06    3.708493e+06    4.409973e-03    3.708510e+06    1.682408e+01
   1.141625e-04    3.673590e+06    3.673574e+06    4.409973e-03    3.673590e+06    1.608137e+01
   1.148848e-04    3.638997e+06    3.638983e+06    4.409973e-03    3.638997e+06    1.481298e+01
   1.156117e-04    3.604732e+06    3.604717e+06    4.409973e-03    3.604732e+06    1.517211e+01
   1.163432e-04    3.570791e+06    3.570775e+06    4.409973e-03    3.570791e+06    1.614254e+01
   1.170794e-04    3.537168e+06    3.537151e+06    4.409973e-03    3.537168e+06    1.656344e+01
   1.178201e-04    3.503861e+06    3.503845e+06    4.409973e-03    3.503861e+06    1.644997e+01
   1.185656e-04    3.470868e+06    3.470852e+06    4.409973e-03    3.470868e+06    1.581009e+01
   1.193158e-04    3.438184e+06    3.438169e+06    4.409973e-03    3.438184e+06    1.474193e+01
   1.200707e-04    3.405809e+06    3.405795e+06    4.409973e-03    3.405809e+06    1.471122e+01
   1.208304e-04    3.373740e+06    3.373725e+06    4.409973e-03    3.373740e+06    1.569897e+01
   1.215950e-04    3.341973e+06    3.341957e+06    4.409973e-03    3.341973e+06    1.616341e+01
   1.223643e-04    3.310504e+06    3.310488e+06    4.409973e-03    3.310504e+06    1.607530e+01
   1.231385e-04    3.279331e+06    3.279315e+06    4.409973e-03    3.279331e+06    1.547004e+01
   1.239177e-04    3.248450e+06    3.248436e+06    4.409973e-03    3.248450e+06    1.438981e+01
   1.247017e-04    3.217862e+06    3.217848e+06    4.409973e-03    3.217862e+06    1.441493e+01
   1.254907e-04    3.187563e+06    3.187547e+06    4.409973e-03    3.187563e+06    1.529521e+01
   1.262847e-04    3.157548e+06    3.157532e+06    4.409973e-03    3.157548e+06    1.572440e+01
   1.270838e-04    3.127815e+06    3.127799e+06    4.409973e-03    3.127815e+06    1.568042e+01
   1.278879e-04    3.098362e+06    3.098347e+06    4.409973e-03    3.098362e+06    1.517110e+01
   1.286970e-04    3.069186e+06    3.069171e+06    4.409973e-03    3.069186e+06    1.421150e+01
   1.295113e-04    3.040285e+06    3.040271e+06    4.409973e-03    3.040285e+06    1.391108e+01
   1.303308e-04    3.011657e+06    3.011642e+06    4.409973e-03    3.011657e+06    1.484511e+01
   1.311554e-04    2.983298e+06    2.983283e+06    4.409973e-03    2.983298e+06    1.531374e+01
   1.319852e-04    2.955206e+06    2.955191e+06    4.409973e-03    2.955206e+06    1.533040e+01
   1.328203e-04    2.927378e+06    2.927363e+06    4.409973e-03    2.927378e+06    1.488800e+01
   1.336607e-04    2.899812e+06    2.899798e+06    4.409973e-03    2.899812e+06    1.397583e+01
   1.345064e-04    2.872505e+06    2.872492e+06    4.409973e-03    2.872505e+06    1.362871e+01
   1.353575e-04    2.845457e+06    2.845443e+06    4.409973e-03    2.845457e+06    1.444400e+01
   1.362139e-04    2.818663e+06    2.818648e+06    4.409973e-03    2.818663e+06    1.494523e+01
   1.370758e-04    2.792121e+06    2.792106e+06    4.409973e-03    2.792121e+06    1.496851e+01
   1.379431e-04    2.765829e+06    2.765814e+06    4.409973e-03    2.765829e+06    1.456258e+01
   1.388159e-04    2.739783e+06    2.739769e+06    4.409973e-03    2.739783e+06    1.375384e+01
   1.396942e-04    2.713983e+06    2.713970e+06    4.409973e-03    2.713983e+06    1.332828e+01
   1.405780e-04    2.688427e+06    2.688413e+06    4.409973e-03    2.688427e+06    1.407392e+01
   1.414675e-04    2.663112e+06    2.663097e+06    4.409973e-03    2.663112e+06    1.454037e+01
   1.423626e-04    2.638034e+06    2.638020e+06    4.409973e-03    2.638034e+06    1.460152e+01
   1.432634e-04    2.613192e+06    2.613178e+06    4.409973e-03    2.613192e+06    1.427193e+01
   1.441698e-04    2.588584e+06    2.588570e+06    4.409973e-03    2.588584e+06    1.356126e+01
   1.450820e-04    2.564207e+06    2.564195e+06    4.409973e-03    2.564207e+06    1.279005e+01
   1.460000e-04    2.540062e+06    2.540048e+06    4.409973e-03    2.540062e+06    1.367038e+01
   1.469237e-04    2.516143e+06    2.516129e+06    4.409973e-03    2.516143e+06    1.416283e+01
   1.478534e-04    2.492449e+06    2.492435e+06    4.409973e-03    2.492449e+06    1.427410e+01
   1.487889e-04    2.468978e+06    2.468964e+06    4.409973e-03    2.468978e+06    1.399379e+01
   1.497303e-04    2.445727e+06    2.445714e+06    4.409973e-03    2.445727e+06    1.331511e+01
   1.506777e-04    2.422696e+06    2.422683e+06    4.409973e-03    2.422696e+06    1.282253e+01
   1.516310e-04    2.399882e+06    2.399869e+06    4.409973e-03    2.399882e+06    1.331046e+01
   1.525904e-04    2.377283e+06    2.377270e+06    4.409973e-03    2.377283e+06    1.382529e+01
   1.535559e-04    2.354897e+06    2.354883e+06    4.409973e-03    2.354897e+06    1.393128e+01
   1.545275e-04    2.332721e+06    2.332707e+06    4.409973e-03    2.332721e+06    1.367886e+01
   1.555052e-04    2.310753e+06    2.310740e+06    4.409973e-03    2.310753e+06    1.308518e+01
   1.564891e-04    2.288992e+06    2.288980e+06    4.409973e-03    2.288992e+06    1.231655e+01
   1.574792e-04    2.267437e+06    2.267424e+06    4.409973e-03    2.267437e+06    1.296783e+01
   1.584757e-04    2.246085e+06    2.246072e+06    4.409973e-03    2.246085e+06    1.344990e+01
   1.594784e-04    2.224934e+06    2.224920e+06    4.409973e-03    2.224934e+06    1.359050e+01
   1.604874e-04    2.203982e+06    2.203968e+06    4.409973e-03    2.203982e+06    1.339885e+01
   1.615028e-04    2.183226e+06    2.183213e+06    4.409973e-03    2.183226e+06    1.288559e+01
   1.625247e-04    2.162666e+06    2.162653e+06    4.409973e-03    2.162666e+06    1.223008e+01
   1.635530e-04    2.142300e+06    2.142287e+06    4.409973e-03    2.142300e+06    1.260395e+01
   1.645879e-04    2.122126e+06    2.122113e+06    4.409973e-03    2.122126e+06    1.310732e+01
   1.656293e-04    2.102142e+06    2.102129e+06    4.409973e-03    2.102142e+06    1.328502e+01
   1.666772e-04    2.082346e+06    2.082332e+06    4.409973e-03    2.082346e+06    1.312665e+01
   1.677318e-04    2.062735e+06    2.062723e+06    4.409973e-03    2.062735e+06    1.263538e+01
   1.687931e-04    2.043309e+06    2.043297e+06    4.409973e-03    2.043309e+06    1.201914e+01
   1.698611e-04    2.024067e+06    2.024055e+06    4.409973e-03    2.024067e+06    1.227868e+01
   1.709358e-04    2.005007e+06    2.004994e+06    4.409973e-03    2.005007e+06    1.279751e+01
   1.720174e-04    1.986125e+06    1.986112e+06    4.409973e-03    1.986125e+06    1.296122e+01
   1.731058e-04    1.967421e+06    1.967408e+06    4.409973e-03    1.967421e+06    1.283023e+01
   1.742010e-04    1.948893e+06    1.948880e+06    4.409973e-03    1.948893e+06    1.240826e+01
   1.753032e-04    1.930538e+06    1.930527e+06    4.409973e-03    1.930538e+06    1.170611e+01
   1.764124e-04    1.912358e+06    1.912346e+06    4.409973e-03    1.912358e+06    1.196610e+01
   1.775286e-04    1.894349e+06    1.894337e+06    4.409973e-03    1.894349e+06    1.244974e+01
   1.786519e-04    1.876509e+06    1.876497e+06    4.409973e-03    1.876509e+06    1.264706e+01
   1.797822e-04    1.858837e+06    1.858825e+06    4.409973e-03    1.858837e+06    1.256057e+01
   1.809198e-04    1.841331e+06    1.841319e+06    4.409973e-03    1.841331e+06    1.219993e+01
   1.820645e-04    1.823990e+06    1.823978e+06    4.409973e-03    1.823990e+06    1.162754e+01
   1.832164e-04    1.806813e+06    1.806801e+06    4.409973e-03    1.806813e+06    1.163983e+01
   1.843757e-04    1.789797e+06    1.789785e+06    4.409973e-03    1.789797e+06    1.213792e+01
   1.855423e-04    1.772942e+06    1.772930e+06    4.409973e-03    1.772942e+06    1.236010e+01
   1.867162e-04    1.756245e+06    1.756233e+06    4.409973e-03    1.756245e+06    1.229619e+01
   1.878976e-04    1.739705e+06    1.739693e+06    4.409973e-03    1.739705e+06    1.195315e+01
   1.890865e-04    1.723320e+06    1.723309e+06    4.409973e-03    1.723320e+06    1.136154e+01
   1.902829e-04    1.707091e+06    1.707079e+06    4.409973e-03    1.707091e+06    1.139015e+01
   1.914868e-04    1.691014e+06    1.691002e+06    4.409973e-03    1.691014e+06    1.185038e+01
   1.926984e-04    1.675089e+06    1.675077e+06    4.409973e-03    1.675089e+06    1.205951e+01
   1.939177e-04    1.659313e+06    1.659301e+06    4.409973e-03    1.659313e+06    1.201672e+01
   1.951446e-04    1.643686e+06    1.643674e+06    4.409973e-03    1.643686e+06    1.172942e+01
   1.963793e-04    1.628205e+06    1.628194e+06    4.409973e-03    1.628205e+06    1.120244e+01
   1.976219e-04    1.612871e+06    1.612860e+06    4.409973e-03    1.612871e+06    1.105608e+01
   1.988723e-04    1.597681e+06    1.597670e+06    4.409973e-03    1.597681e+06    1.153388e+01
   2.001306e-04    1.582635e+06    1.582623e+06    4.409973e-03    1.582635e+06    1.176684e+01
   2.013968e-04    1.567730e+06    1.567718e+06    4.409973e-03    1.567730e+06    1.176173e+01
   2.026711e-04    1.552965e+06    1.552953e+06    4.409973e-03    1.552965e+06    1.151975e+01
   2.039535e-04    1.538338e+06    1.538327e+06    4.409973e-03    1.538338e+06    1.102271e+01
   2.052439e-04    1.523850e+06    1.523839e+06    4.409973e-03    1.523850e+06    1.081260e+01
   2.065425e-04    1.509499e+06    1.509487e+06    4.409973e-03    1.509499e+06    1.124623e+01
   2.078494e-04    1.495282e+06    1.495271e+06    4.409973e-03    1.495282e+06    1.150052e+01
   2.091645e-04    1.481199e+06    1.481188e+06    4.409973e-03    1.481199e+06    1.150651e+01
   2.104879e-04    1.467249e+06    1.467238e+06    4.409973e-03    1.467249e+06    1.128099e+01
   2.118197e-04    1.453430e+06    1.453419e+06    4.409973e-03    1.453430e+06    1.084308e+01
   2.131599e-04    1.439741e+06    1.439730e+06    4.409973e-03    1.439741e+06    1.060536e+01
   2.145086e-04    1.426181e+06    1.426170e+06    4.409973e-03    1.426181e+06    1.097974e+01
   2.158659e-04    1.412749e+06    1.412738e+06    4.409973e-03    1.412749e+06    1.121841e+01
   2.172317e-04    1.399444e+06    1.399432e+06    4.409973e-03    1.399444e+06    1.124271e+01
   2.186062e-04    1.386263e+06    1.386252e+06    4.409973e-03    1.386263e+06    1.106118e+01
   2.199893e-04    1.373206e+06    1.373195e+06    4.409973e-03    1.373206e+06    1.067701e+01
   2.213812e-04    1.360272e+06    1.360262e+06    4.409973e-03    1.360272e+06    1.023620e+01
   2.227820e-04    1.347461e+06    1.347450e+06    4.409973e-03    1.347461e+06    1.069202e+01
   2.241916e-04    1.334770e+06    1.334759e+06    4.409973e-03    1.334770e+06    1.094826e+01
   2.256101e-04    1.322199e+06    1.322188e+06    4.409973e-03    1.322199e+06    1.100221e+01
   2.270375e-04    1.309745e+06    1.309734e+06    4.409973e-03    1.309745e+06    1.085258e+01
   2.284741e-04    1.297409e+06    1.297399e+06    4.409973e-03    1.297409e+06    1.049054e+01
   2.299197e-04    1.285189e+06    1.285179e+06    4.409973e-03    1.285189e+06    1.019798e+01
   2.313744e-04    1.273084e+06    1.273074e+06    4.409973e-03    1.273084e+06    1.042888e+01
   2.328384e-04    1.261094e+06    1.261083e+06    4.409973e-03    1.261094e+06    1.069987e+01
   2.343116e-04    1.249216e+06    1.249205e+06    4.409973e-03    1.249216e+06    1.075859e+01
   2.357941e-04    1.237450e+06    1.237439e+06    4.409973e-03    1.237450e+06    1.062411e+01
   2.372860e-04    1.225794e+06    1.225784e+06    4.409973e-03    1.225794e+06    1.030974e+01
   2.387874e-04    1.214248e+06    1.214238e+06    4.409973e-03    1.214248e+06    9.863429e+00
   2.402982e-04    1.202812e+06    1.202801e+06    4.409973e-03    1.202812e+06    1.017992e+01
   2.418187e-04    1.191483e+06    1.191472e+06    4.409973e-03    1.191483e+06    1.043606e+01
   2.433487e-04    1.180260e+06    1.180250e+06    4.409973e-03    1.180260e+06    1.051208e+01
   2.448884e-04    1.169143e+06    1.169133e+06    4.409973e-03    1.169143e+06    1.041176e+01
   2.464379e-04    1.158131e+06    1.158121e+06    4.409973e-03    1.158131e+06    1.014176e+01
   2.479971e-04    1.147222e+06    1.147212e+06    4.409973e-03    1.147222e+06    9.774870e+00
   2.495663e-04    1.136416e+06    1.136406e+06    4.409973e-03    1.136416e+06    9.917410e+00
   2.511453e-04    1.125712e+06    1.125702e+06    4.409974e-03    1.125712e+06    1.018573e+01
   2.527344e-04    1.115109e+06    1.115099e+06    4.409974e-03    1.115109e+06    1.028337e+01
