# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.441e-11, Err(n_e)=2.529e-11, Err(IET)=9.668e-13, Q_net=2.671e-09
# {"name":"CS2014_Al", "Z":13, "Zstar":4.829064501629094, "A":26.981539,  "μ[AU]": -1.4662224745e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e+00, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.480957e+06    4.481031e+06    1.885205e-02    4.480957e+06   -7.455034e+01
   1.006327e-04    4.438766e+06    4.438839e+06    1.885205e-02    4.438766e+06   -7.292292e+01
   1.012694e-04    4.396971e+06    4.397043e+06    1.885205e-02    4.396971e+06   -7.197223e+01
   1.019102e-04    4.355570e+06    4.355641e+06    1.885205e-02    4.355570e+06   -7.169349e+01
   1.025550e-04    4.314557e+06    4.314629e+06    1.885205e-02    4.314557e+06   -7.206677e+01
   1.032039e-04    4.273930e+06    4.274003e+06    1.885205e-02    4.273930e+06   -7.307448e+01
   1.038569e-04    4.233687e+06    4.233760e+06    1.885205e-02    4.233687e+06   -7.338541e+01
   1.045140e-04    4.193824e+06    4.193895e+06    1.885205e-02    4.193824e+06   -7.174797e+01
   1.051753e-04    4.154335e+06    4.154406e+06    1.885205e-02    4.154335e+06   -7.076267e+01
   1.058408e-04    4.115218e+06    4.115289e+06    1.885205e-02    4.115218e+06   -7.041590e+01
   1.065104e-04    4.076469e+06    4.076540e+06    1.885205e-02    4.076469e+06   -7.076417e+01
   1.071843e-04    4.038083e+06    4.038155e+06    1.885205e-02    4.038083e+06   -7.171535e+01
   1.078625e-04    4.000060e+06    4.000132e+06    1.885205e-02    4.000060e+06   -7.184813e+01
   1.085450e-04    3.962397e+06    3.962467e+06    1.885205e-02    3.962397e+06   -7.054308e+01
   1.092318e-04    3.925087e+06    3.925157e+06    1.885205e-02    3.925087e+06   -6.957279e+01
   1.099229e-04    3.888128e+06    3.888198e+06    1.885205e-02    3.888128e+06   -6.924034e+01
   1.106184e-04    3.851517e+06    3.851586e+06    1.885205e-02    3.851517e+06   -6.948745e+01
   1.113183e-04    3.815250e+06    3.815320e+06    1.885205e-02    3.815250e+06   -7.029511e+01
   1.120226e-04    3.779324e+06    3.779395e+06    1.885205e-02    3.779324e+06   -7.094954e+01
   1.127314e-04    3.743739e+06    3.743808e+06    1.885205e-02    3.743739e+06   -6.940768e+01
   1.134447e-04    3.708488e+06    3.708556e+06    1.885205e-02    3.708488e+06   -6.844091e+01
   1.141625e-04    3.673568e+06    3.673636e+06    1.885205e-02    3.673568e+06   -6.804124e+01
   1.148848e-04    3.638977e+06    3.639045e+06    1.885205e-02    3.638977e+06   -6.819461e+01
   1.156117e-04    3.604711e+06    3.604779e+06    1.885205e-02    3.604711e+06   -6.892705e+01
   1.163432e-04    3.570767e+06    3.570837e+06    1.885205e-02    3.570767e+06   -6.943521e+01
   1.170794e-04    3.537145e+06    3.537213e+06    1.885205e-02    3.537145e+06   -6.827419e+01
   1.178201e-04    3.503839e+06    3.503906e+06    1.885205e-02    3.503839e+06   -6.728057e+01
   1.185656e-04    3.470846e+06    3.470913e+06    1.885205e-02    3.470846e+06   -6.683620e+01
   1.193158e-04    3.438164e+06    3.438231e+06    1.885205e-02    3.438164e+06   -6.697669e+01
   1.200707e-04    3.405788e+06    3.405856e+06    1.885205e-02    3.405788e+06   -6.762305e+01
   1.208304e-04    3.373718e+06    3.373786e+06    1.885205e-02    3.373717e+06   -6.813563e+01
   1.215950e-04    3.341950e+06    3.342017e+06    1.885205e-02    3.341950e+06   -6.710943e+01
   1.223643e-04    3.310482e+06    3.310548e+06    1.885205e-02    3.310482e+06   -6.614762e+01
   1.231385e-04    3.279310e+06    3.279376e+06    1.885205e-02    3.279310e+06   -6.571590e+01
   1.239177e-04    3.248430e+06    3.248496e+06    1.885205e-02    3.248430e+06   -6.577563e+01
   1.247017e-04    3.217841e+06    3.217908e+06    1.885205e-02    3.217841e+06   -6.631125e+01
   1.254907e-04    3.187540e+06    3.187607e+06    1.885205e-02    3.187540e+06   -6.722898e+01
   1.262847e-04    3.157526e+06    3.157592e+06    1.885205e-02    3.157526e+06   -6.601423e+01
   1.270838e-04    3.127794e+06    3.127859e+06    1.885205e-02    3.127794e+06   -6.505663e+01
   1.278879e-04    3.098341e+06    3.098406e+06    1.885205e-02    3.098341e+06   -6.457728e+01
   1.286970e-04    3.069166e+06    3.069230e+06    1.885205e-02    3.069166e+06   -6.456257e+01
   1.295113e-04    3.040264e+06    3.040330e+06    1.885205e-02    3.040264e+06   -6.505023e+01
   1.303308e-04    3.011635e+06    3.011701e+06    1.885205e-02    3.011635e+06   -6.558732e+01
   1.311554e-04    2.983277e+06    2.983341e+06    1.885205e-02    2.983277e+06   -6.492048e+01
   1.319852e-04    2.955185e+06    2.955249e+06    1.885205e-02    2.955185e+06   -6.394258e+01
   1.328203e-04    2.927358e+06    2.927421e+06    1.885205e-02    2.927358e+06   -6.343766e+01
   1.336607e-04    2.899792e+06    2.899856e+06    1.885205e-02    2.899792e+06   -6.342236e+01
   1.345064e-04    2.872486e+06    2.872549e+06    1.885205e-02    2.872486e+06   -6.383282e+01
   1.353575e-04    2.845436e+06    2.845500e+06    1.885205e-02    2.845436e+06   -6.464030e+01
   1.362139e-04    2.818642e+06    2.818706e+06    1.885205e-02    2.818642e+06   -6.380276e+01
   1.370758e-04    2.792101e+06    2.792163e+06    1.885205e-02    2.792100e+06   -6.286346e+01
   1.379431e-04    2.765809e+06    2.765871e+06    1.885205e-02    2.765809e+06   -6.236653e+01
   1.388159e-04    2.739764e+06    2.739826e+06    1.885205e-02    2.739764e+06   -6.228642e+01
   1.396942e-04    2.713964e+06    2.714026e+06    1.885205e-02    2.713964e+06   -6.261023e+01
   1.405780e-04    2.688406e+06    2.688470e+06    1.885205e-02    2.688406e+06   -6.326802e+01
   1.414675e-04    2.663091e+06    2.663154e+06    1.885205e-02    2.663091e+06   -6.275098e+01
   1.423626e-04    2.638014e+06    2.638076e+06    1.885205e-02    2.638014e+06   -6.181446e+01
   1.432634e-04    2.613173e+06    2.613234e+06    1.885205e-02    2.613173e+06   -6.128191e+01
   1.441698e-04    2.588565e+06    2.588626e+06    1.885205e-02    2.588565e+06   -6.114309e+01
   1.450820e-04    2.564189e+06    2.564250e+06    1.885205e-02    2.564189e+06   -6.143601e+01
   1.460000e-04    2.540041e+06    2.540103e+06    1.885205e-02    2.540041e+06   -6.201519e+01
   1.469237e-04    2.516122e+06    2.516184e+06    1.885205e-02    2.516122e+06   -6.169653e+01
   1.478534e-04    2.492429e+06    2.492490e+06    1.885205e-02    2.492429e+06   -6.074796e+01
   1.487889e-04    2.468959e+06    2.469019e+06    1.885205e-02    2.468959e+06   -6.020419e+01
   1.497303e-04    2.445709e+06    2.445769e+06    1.885205e-02    2.445709e+06   -6.007325e+01
   1.506777e-04    2.422677e+06    2.422738e+06    1.885205e-02    2.422677e+06   -6.030049e+01
   1.516310e-04    2.399862e+06    2.399923e+06    1.885205e-02    2.399862e+06   -6.087987e+01
   1.525904e-04    2.377263e+06    2.377324e+06    1.885205e-02    2.377263e+06   -6.060541e+01
   1.535559e-04    2.354877e+06    2.354937e+06    1.885205e-02    2.354877e+06   -5.971882e+01
   1.545275e-04    2.332702e+06    2.332761e+06    1.885205e-02    2.332702e+06   -5.918423e+01
   1.555052e-04    2.310735e+06    2.310794e+06    1.885205e-02    2.310735e+06   -5.899980e+01
   1.564891e-04    2.288974e+06    2.289033e+06    1.885205e-02    2.288974e+06   -5.916104e+01
   1.574792e-04    2.267418e+06    2.267478e+06    1.885205e-02    2.267418e+06   -5.963635e+01
   1.584757e-04    2.246065e+06    2.246125e+06    1.885205e-02    2.246065e+06   -5.961501e+01
   1.594784e-04    2.224915e+06    2.224973e+06    1.885205e-02    2.224915e+06   -5.871002e+01
   1.604874e-04    2.203963e+06    2.204021e+06    1.885205e-02    2.203963e+06   -5.814881e+01
   1.615028e-04    2.183208e+06    2.183266e+06    1.885205e-02    2.183208e+06   -5.792130e+01
   1.625247e-04    2.162648e+06    2.162706e+06    1.885205e-02    2.162648e+06   -5.806367e+01
   1.635530e-04    2.142281e+06    2.142340e+06    1.885205e-02    2.142281e+06   -5.852409e+01
