# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.341e-10, Err(n_e)=5.232e-12, Err(IET)=9.979e-13, Q_net=-7.510e-10
# {"name":"Al", "Z":13, "Zstar":2.9072943015926564, "A":26.981539,  "μ[AU]": 2.6671011405e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.917872e+02    0.000000e+00
   5.980213e-02             nan    1.499465e+02    0.000000e+00
   8.970320e-02             nan    1.023256e+02    0.000000e+00
   1.196043e-01             nan    7.820486e+01    0.000000e+00
   1.495053e-01             nan    6.352306e+01    0.000000e+00
   1.794064e-01             nan    5.355878e+01    0.000000e+00
   2.093075e-01             nan    4.631174e+01    0.000000e+00
   2.392085e-01             nan    4.076595e+01    0.000000e+00
   2.691096e-01             nan    3.636805e+01    0.000000e+00
   2.990107e-01             nan    3.277658e+01    0.000000e+00
   3.289117e-01             nan    2.978116e+01    0.000000e+00
   3.588128e-01             nan    2.723507e+01    0.000000e+00
   3.887139e-01             nan    2.504141e+01    0.000000e+00
   4.186149e-01             nan    2.312641e+01    0.000000e+00
   4.485160e-01             nan    2.143933e+01    0.000000e+00
   4.784171e-01             nan    1.993867e+01    0.000000e+00
   5.083181e-01             nan    1.859531e+01    0.000000e+00
   5.382192e-01             nan    1.738394e+01    0.000000e+00
   5.681203e-01             nan    1.628658e+01    0.000000e+00
   5.980213e-01             nan    1.528672e+01    0.000000e+00
   6.279224e-01             nan    1.437271e+01    0.000000e+00
   6.578235e-01             nan    1.353324e+01    0.000000e+00
   6.877245e-01             nan    1.276033e+01    0.000000e+00
   7.176256e-01             nan    1.204594e+01    0.000000e+00
   7.475267e-01             nan    1.138444e+01    0.000000e+00
   7.774277e-01             nan    1.076987e+01    0.000000e+00
   8.073288e-01             nan    1.019816e+01    0.000000e+00
   8.372299e-01             nan    9.664771e+00    0.000000e+00
   8.671309e-01             nan    9.166659e+00    0.000000e+00
   8.970320e-01             nan    8.700304e+00    0.000000e+00
   9.269331e-01             nan    8.263386e+00    0.000000e+00
   9.568341e-01             nan    7.853104e+00    0.000000e+00
   9.867352e-01             nan    7.467657e+00    0.000000e+00
   1.016636e+00             nan    7.104790e+00    0.000000e+00
   1.046537e+00             nan    6.763086e+00    0.000000e+00
   1.076438e+00             nan    6.440693e+00    0.000000e+00
   1.106339e+00             nan    6.136482e+00    0.000000e+00
   1.136241e+00             nan    5.848912e+00    0.000000e+00
   1.166142e+00             nan    5.577075e+00    0.000000e+00
   1.196043e+00             nan    5.319677e+00    0.000000e+00
   1.225944e+00             nan    5.075982e+00    0.000000e+00
   1.255845e+00             nan    4.844890e+00    0.000000e+00
   1.285746e+00             nan    4.625796e+00    0.000000e+00
   1.315647e+00             nan    4.417762e+00    0.000000e+00
   1.345548e+00             nan    4.220288e+00    0.000000e+00
   1.375449e+00             nan    4.032563e+00    0.000000e+00
   1.405350e+00             nan    3.854173e+00    0.000000e+00
   1.435251e+00             nan    3.684415e+00    0.000000e+00
   1.465152e+00             nan    3.522944e+00    0.000000e+00
   1.495053e+00             nan    3.369143e+00    0.000000e+00
   1.524954e+00             nan    3.222723e+00    0.000000e+00
   1.554855e+00             nan    3.083144e+00    0.000000e+00
   1.584757e+00             nan    2.950163e+00    0.000000e+00
   1.614658e+00             nan    2.823301e+00    0.000000e+00
   1.644559e+00             nan    2.702354e+00    0.000000e+00
   1.674460e+00             nan    2.586897e+00    0.000000e+00
   1.704361e+00             nan    2.476757e+00    0.000000e+00
   1.734262e+00             nan    2.371555e+00    0.000000e+00
   1.764163e+00             nan    2.271145e+00    0.000000e+00
   1.794064e+00             nan    2.175187e+00    0.000000e+00
   1.823965e+00             nan    2.083556e+00    0.000000e+00
   1.853866e+00             nan    1.995948e+00    0.000000e+00
   1.883767e+00             nan    1.912257e+00    0.000000e+00
   1.913668e+00             nan    1.832207e+00    0.000000e+00
   1.943569e+00             nan    1.755709e+00    0.000000e+00
   1.973470e+00             nan    1.682513e+00    0.000000e+00
   2.003371e+00             nan    1.612542e+00    0.000000e+00
   2.033273e+00             nan    1.545570e+00    0.000000e+00
   2.063174e+00             nan    1.481532e+00    0.000000e+00
   2.093075e+00             nan    1.420220e+00    0.000000e+00
   2.122976e+00             nan    1.361582e+00    0.000000e+00
   2.152877e+00             nan    1.305426e+00    0.000000e+00
   2.182778e+00             nan    1.251707e+00    0.000000e+00
   2.212679e+00             nan    1.200251e+00    5.410783e-12
   2.242580e+00             nan    1.151019e+00    2.728306e-11
   2.272481e+00             nan    1.103852e+00    9.832402e-11
   2.302382e+00             nan    1.058717e+00    3.165308e-10
   2.332283e+00             nan    1.015467e+00    9.534959e-10
   2.362184e+00             nan    9.740753e-01    2.718521e-09
   2.392085e+00             nan    9.344049e-01    7.386118e-09
   2.421986e+00             nan    8.964346e-01    1.915278e-08
   2.451887e+00             nan    8.600372e-01    4.757956e-08
   2.481789e+00             nan    8.251960e-01    1.132997e-07
   2.511690e+00             nan    7.917928e-01    2.594636e-07
   2.541591e+00             nan    7.598136e-01    5.716612e-07
   2.571492e+00             nan    7.291486e-01    1.215416e-06
   2.601393e+00             nan    6.997868e-01    2.494435e-06
   2.631294e+00             nan    6.716250e-01    4.955685e-06
   2.661195e+00             nan    6.446548e-01    9.532981e-06
   2.691096e+00             nan    6.187795e-01    1.780307e-05
   2.720997e+00             nan    5.939925e-01    3.228382e-05
   2.750898e+00             nan    5.702024e-01    5.698854e-05
   2.780799e+00             nan    5.474047e-01    9.794024e-05
   2.810700e+00             nan    5.255138e-01    1.642567e-04
   2.840601e+00             nan    5.045267e-01    2.688530e-04
   2.870502e+00             nan    4.843630e-01    4.304192e-04
   2.900403e+00             nan    4.650223e-01    6.740083e-04
   2.930305e+00             nan    4.464312e-01    1.034447e-03
   2.960206e+00             nan    4.285932e-01    1.555908e-03
   2.990107e+00             nan    4.114442e-01    2.297502e-03
   3.020008e+00             nan    3.949989e-01    3.329325e-03
   3.049909e+00             nan    3.792007e-01    4.741988e-03
   3.079810e+00             nan    3.640580e-01    6.636987e-03
   3.109711e+00             nan    3.495125e-01    9.142932e-03
   3.139612e+00             nan    3.355721e-01    1.239410e-02
   3.169513e+00             nan    3.221806e-01    1.655873e-02
   3.199414e+00             nan    3.093469e-01    2.179832e-02
   3.229315e+00             nan    2.970183e-01    2.831593e-02
   3.259216e+00             nan    2.852040e-01    3.628647e-02
   3.289117e+00             nan    2.738540e-01    4.593693e-02
   3.319018e+00             nan    2.629779e-01    5.743475e-02
   3.348919e+00             nan    2.525286e-01    7.101353e-02
   3.378821e+00             nan    2.425168e-01    8.680439e-02
   3.408722e+00             nan    2.328972e-01    1.050303e-01
   3.438623e+00             nan    2.236811e-01    1.257570e-01
   3.468524e+00             nan    2.148260e-01    1.491764e-01
   3.498425e+00             nan    2.063428e-01    1.752640e-01
   3.528326e+00             nan    1.981916e-01    2.041677e-01
   3.558227e+00             nan    1.903838e-01    2.357503e-01
   3.588128e+00             nan    1.828810e-01    2.701123e-01
   3.618029e+00             nan    1.756951e-01    3.069925e-01
   3.647930e+00             nan    1.687897e-01    3.464465e-01
   3.677831e+00             nan    1.621767e-01    3.880898e-01
   3.707732e+00             nan    1.558215e-01    4.319456e-01
   3.737633e+00             nan    1.497359e-01    4.775171e-01
   3.767534e+00             nan    1.438871e-01    5.248123e-01
   3.797435e+00             nan    1.382871e-01    5.732368e-01
   3.827337e+00             nan    1.329044e-01    6.228096e-01
   3.857238e+00             nan    1.277515e-01    6.728592e-01
   3.887139e+00             nan    1.227977e-01    7.234413e-01
   3.917040e+00             nan    1.180557e-01    7.738347e-01
   3.946941e+00             nan    1.134966e-01    8.241394e-01
   3.976842e+00             nan    1.091326e-01    8.736142e-01
   4.006743e+00             nan    1.049361e-01    9.224328e-01
   4.036644e+00             nan    1.009195e-01    9.698404e-01
   4.066545e+00             nan    9.705640e-02    1.016085e+00
   4.096446e+00             nan    9.335904e-02    1.060431e+00
   4.126347e+00             nan    8.980191e-02    1.103216e+00
   4.156248e+00             nan    8.639742e-02    1.143717e+00
   4.186149e+00             nan    8.312136e-02    1.182348e+00
   4.216050e+00             nan    7.998591e-02    1.218421e+00
