# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.549e-11, Err(n_e)=6.561e-12, Err(IET)=9.985e-13, Q_net=-9.047e-10
# {"name":"Al", "Z":13, "Zstar":2.871436979282937, "A":26.981539,  "μ[AU]": 2.8906855803e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    5.594169e+02    0.000000e+00
   2.990107e-02             nan    2.836685e+02    0.000000e+00
   4.485160e-02             nan    1.916711e+02    0.000000e+00
   5.980213e-02             nan    1.455434e+02    0.000000e+00
   7.475267e-02             nan    1.177718e+02    0.000000e+00
   8.970320e-02             nan    9.916860e+01    0.000000e+00
   1.046537e-01             nan    8.581018e+01    0.000000e+00
   1.196043e-01             nan    7.572729e+01    0.000000e+00
   1.345548e-01             nan    6.783218e+01    0.000000e+00
   1.495053e-01             nan    6.146780e+01    0.000000e+00
   1.644559e-01             nan    5.621985e+01    0.000000e+00
   1.794064e-01             nan    5.180927e+01    0.000000e+00
   1.943569e-01             nan    4.804520e+01    0.000000e+00
   2.093075e-01             nan    4.478936e+01    0.000000e+00
   2.242580e-01             nan    4.194198e+01    0.000000e+00
   2.392085e-01             nan    3.942682e+01    0.000000e+00
   2.541591e-01             nan    3.718682e+01    0.000000e+00
   2.691096e-01             nan    3.517642e+01    0.000000e+00
   2.840601e-01             nan    3.336066e+01    0.000000e+00
   2.990107e-01             nan    3.171062e+01    0.000000e+00
   3.139612e-01             nan    3.020373e+01    0.000000e+00
   3.289117e-01             nan    2.882071e+01    0.000000e+00
   3.438623e-01             nan    2.754631e+01    0.000000e+00
   3.588128e-01             nan    2.636720e+01    0.000000e+00
   3.737633e-01             nan    2.527271e+01    0.000000e+00
   3.887139e-01             nan    2.425328e+01    0.000000e+00
   4.036644e-01             nan    2.330123e+01    0.000000e+00
   4.186149e-01             nan    2.240952e+01    0.000000e+00
   4.335655e-01             nan    2.157246e+01    0.000000e+00
   4.485160e-01             nan    2.078476e+01    0.000000e+00
   4.634665e-01             nan    2.004212e+01    0.000000e+00
   4.784171e-01             nan    1.934045e+01    0.000000e+00
   4.933676e-01             nan    1.867646e+01    0.000000e+00
   5.083181e-01             nan    1.804692e+01    0.000000e+00
   5.232687e-01             nan    1.744927e+01    0.000000e+00
   5.382192e-01             nan    1.688094e+01    0.000000e+00
   5.531697e-01             nan    1.633987e+01    0.000000e+00
   5.681203e-01             nan    1.582401e+01    0.000000e+00
   5.830708e-01             nan    1.533169e+01    0.000000e+00
   5.980213e-01             nan    1.486121e+01    0.000000e+00
   6.129719e-01             nan    1.441124e+01    0.000000e+00
   6.279224e-01             nan    1.398037e+01    0.000000e+00
   6.428729e-01             nan    1.356749e+01    0.000000e+00
   6.578235e-01             nan    1.317141e+01    0.000000e+00
   6.727740e-01             nan    1.279123e+01    0.000000e+00
   6.877245e-01             nan    1.242594e+01    0.000000e+00
   7.026751e-01             nan    1.207477e+01    0.000000e+00
   7.176256e-01             nan    1.173687e+01    0.000000e+00
