# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.800e-11, Err(n_e)=2.932e-03, Err(IET)=2.399e+04, Q_net=-4.955e-03
# {"name":"Al", "Z":13, "Zstar":216.77354812205144, "A":26.981539,  "μ[AU]": -1.2419439033e+00, "Te[AU]": 1.000e+00, "Ti[AU]": 1.000e+00, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    3.182185e+06    0.000000e+00
   2.990107e-02             nan    1.610049e+06    0.000000e+00
   4.485160e-02             nan    1.085646e+06    0.000000e+00
   5.980213e-02             nan    8.231616e+05    0.000000e+00
   7.475267e-02             nan    6.654621e+05    0.000000e+00
   8.970320e-02             nan    5.601509e+05    0.000000e+00
   1.046537e-01             nan    4.847847e+05    0.000000e+00
   1.196043e-01             nan    4.281329e+05    1.084558e+02
   1.345548e-01             nan    3.839630e+05    0.000000e+00
   1.495053e-01             nan    3.485301e+05    1.915464e+01
   1.644559e-01             nan    3.194553e+05    0.000000e+00
   1.794064e-01             nan    2.951492e+05    5.966201e+00
   1.943569e-01             nan    2.745143e+05    0.000000e+00
   2.093075e-01             nan    2.567641e+05    2.521703e+00
   2.242580e-01             nan    2.413240e+05    0.000000e+00
   2.392085e-01             nan    2.277612e+05    1.877815e+00
   2.541591e-01             nan    2.157463e+05    3.982267e-01
   2.691096e-01             nan    2.050217e+05    1.538766e+00
   2.840601e-01             nan    1.953850e+05    6.122894e-01
   2.990107e-01             nan    1.866736e+05    1.361173e+00
   3.139612e-01             nan    1.787565e+05    7.354289e-01
   3.289117e-01             nan    1.715258e+05    1.257173e+00
   3.438623e-01             nan    1.648930e+05    8.117204e-01
   3.588128e-01             nan    1.587837e+05    1.190916e+00
   3.737633e-01             nan    1.531360e+05    8.613276e-01
   3.887139e-01             nan    1.478970e+05    1.146330e+00
   4.036644e-01             nan    1.430221e+05    8.949098e-01
   4.186149e-01             nan    1.384726e+05    1.115106e+00
   4.335655e-01             nan    1.342156e+05    9.184042e-01
   4.485160e-01             nan    1.302220e+05    1.092529e+00
   4.634665e-01             nan    1.264670e+05    9.353038e-01
   4.784171e-01             nan    1.229285e+05    1.075760e+00
   4.933676e-01             nan    1.195874e+05    9.477518e-01
   5.083181e-01             nan    1.164265e+05    1.063016e+00
   5.232687e-01             nan    1.134308e+05    9.571135e-01
   5.382192e-01             nan    1.105869e+05    1.053135e+00
   5.531697e-01             nan    1.078828e+05    9.642840e-01
   5.681203e-01             nan    1.053077e+05    1.045338e+00
   5.830708e-01             nan    1.028521e+05    9.698668e-01
   5.980213e-01             nan    1.005072e+05    1.039091e+00
   6.129719e-01             nan    9.826539e+04    9.742774e-01
   6.279224e-01             nan    9.611933e+04    1.034015e+00
