# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=2.328e-10, Err(n_e)=6.506e-12, Err(IET)=9.948e-13, Q_net=-9.045e-10
# {"name":"CS2014_Al", "Z":13, "Zstar":2.887791471657765, "A":26.981539,  "μ[AU]": 2.8906853703e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.483064e+06    4.483046e+06    1.638503e-03    4.483064e+06    1.746255e+01
   1.003332e-04    4.460759e+06    4.460739e+06    1.638503e-03    4.460759e+06    1.973296e+01
   1.006675e-04    4.438562e+06    4.438543e+06    1.638503e-03    4.438562e+06    1.867429e+01
   1.010028e-04    4.416474e+06    4.416457e+06    1.638503e-03    4.416474e+06    1.662322e+01
   1.013394e-04    4.394501e+06    4.394482e+06    1.638503e-03    4.394501e+06    1.928218e+01
   1.016770e-04    4.372634e+06    4.372615e+06    1.638503e-03    4.372634e+06    1.917812e+01
   1.020158e-04    4.350874e+06    4.350858e+06    1.638503e-03    4.350874e+06    1.611764e+01
   1.023556e-04    4.329227e+06    4.329208e+06    1.638503e-03    4.329227e+06    1.858223e+01
   1.026967e-04    4.307686e+06    4.307667e+06    1.638503e-03    4.307686e+06    1.940537e+01
   1.030388e-04    4.286249e+06    4.286232e+06    1.638503e-03    4.286249e+06    1.702986e+01
   1.033821e-04    4.264922e+06    4.264904e+06    1.638503e-03    4.264922e+06    1.761831e+01
   1.037266e-04    4.243702e+06    4.243683e+06    1.638503e-03    4.243702e+06    1.936319e+01
   1.040721e-04    4.222584e+06    4.222566e+06    1.638503e-03    4.222584e+06    1.792855e+01
   1.044189e-04    4.201572e+06    4.201555e+06    1.638503e-03    4.201572e+06    1.689182e+01
   1.047668e-04    4.180668e+06    4.180649e+06    1.638503e-03    4.180668e+06    1.906511e+01
   1.051158e-04    4.159865e+06    4.159846e+06    1.638503e-03    4.159865e+06    1.854194e+01
   1.054660e-04    4.139164e+06    4.139147e+06    1.638503e-03    4.139164e+06    1.646829e+01
   1.058174e-04    4.118570e+06    4.118551e+06    1.638503e-03    4.118570e+06    1.840601e+01
   1.061700e-04    4.098077e+06    4.098058e+06    1.638503e-03    4.098077e+06    1.888050e+01
   1.065237e-04    4.077683e+06    4.077666e+06    1.638503e-03    4.077683e+06    1.633074e+01
   1.068786e-04    4.057394e+06    4.057376e+06    1.638503e-03    4.057394e+06    1.738568e+01
   1.072347e-04    4.037206e+06    4.037187e+06    1.638503e-03    4.037206e+06    1.897044e+01
   1.075920e-04    4.017116e+06    4.017098e+06    1.638503e-03    4.017116e+06    1.719833e+01
   1.079504e-04    3.997126e+06    3.997110e+06    1.638503e-03    3.997126e+06    1.672273e+01
   1.083101e-04    3.977239e+06    3.977220e+06    1.638503e-03    3.977239e+06    1.876568e+01
   1.086710e-04    3.957448e+06    3.957430e+06    1.638503e-03    3.957448e+06    1.790528e+01
   1.090330e-04    3.937754e+06    3.937738e+06    1.638503e-03    3.937754e+06    1.638216e+01
   1.093963e-04    3.918162e+06    3.918144e+06    1.638503e-03    3.918162e+06    1.813727e+01
   1.097608e-04    3.898666e+06    3.898648e+06    1.638503e-03    3.898666e+06    1.836321e+01
   1.101265e-04    3.879265e+06    3.879248e+06    1.638503e-03    3.879265e+06    1.632217e+01
   1.104934e-04    3.859963e+06    3.859946e+06    1.638503e-03    3.859963e+06    1.728436e+01
   1.108615e-04    3.840757e+06    3.840739e+06    1.638503e-03    3.840757e+06    1.856389e+01
   1.112309e-04    3.821644e+06    3.821627e+06    1.638503e-03    3.821644e+06    1.652326e+01
   1.116014e-04    3.802627e+06    3.802611e+06    1.638503e-03    3.802627e+06    1.622570e+01
   1.119733e-04    3.783708e+06    3.783690e+06    1.638503e-03    3.783708e+06    1.831926e+01
   1.123463e-04    3.764880e+06    3.764862e+06    1.638503e-03    3.764880e+06    1.728653e+01
   1.127206e-04    3.746144e+06    3.746128e+06    1.638503e-03    3.746144e+06    1.592811e+01
   1.130962e-04    3.727506e+06    3.727488e+06    1.638503e-03    3.727506e+06    1.784012e+01
   1.134730e-04    3.708958e+06    3.708940e+06    1.638503e-03    3.708958e+06    1.783907e+01
   1.138511e-04    3.690501e+06    3.690485e+06    1.638503e-03    3.690501e+06    1.593179e+01
   1.142304e-04    3.672138e+06    3.672121e+06    1.638503e-03    3.672138e+06    1.713913e+01
   1.146110e-04    3.653867e+06    3.653849e+06    1.638503e-03    3.653867e+06    1.800438e+01
   1.149928e-04    3.635683e+06    3.635667e+06    1.638503e-03    3.635683e+06    1.618825e+01
   1.153759e-04    3.617592e+06    3.617576e+06    1.638503e-03    3.617592e+06    1.624631e+01
   1.157603e-04    3.599593e+06    3.599575e+06    1.638503e-03    3.599593e+06    1.787204e+01
   1.161460e-04    3.581681e+06    3.581664e+06    1.638503e-03    3.581681e+06    1.667908e+01
   1.165330e-04    3.563857e+06    3.563842e+06    1.638503e-03    3.563857e+06    1.515038e+01
   1.169212e-04    3.546126e+06    3.546108e+06    1.638503e-03    3.546126e+06    1.751710e+01
   1.173108e-04    3.528480e+06    3.528463e+06    1.638503e-03    3.528480e+06    1.723339e+01
   1.177016e-04    3.510920e+06    3.510905e+06    1.638503e-03    3.510920e+06    1.522035e+01
   1.180938e-04    3.493452e+06    3.493435e+06    1.638503e-03    3.493452e+06    1.696431e+01
   1.184872e-04    3.476069e+06    3.476052e+06    1.638503e-03    3.476069e+06    1.743427e+01
   1.188820e-04    3.458770e+06    3.458755e+06    1.638503e-03    3.458770e+06    1.553257e+01
   1.192781e-04    3.441560e+06    3.441544e+06    1.638503e-03    3.441560e+06    1.621766e+01
   1.196755e-04    3.424436e+06    3.424419e+06    1.638503e-03    3.424436e+06    1.741301e+01
   1.200742e-04    3.407395e+06    3.407379e+06    1.638503e-03    3.407395e+06    1.605971e+01
   1.204743e-04    3.390439e+06    3.390424e+06    1.638503e-03    3.390439e+06    1.527705e+01
   1.208756e-04    3.373570e+06    3.373553e+06    1.638503e-03    3.373570e+06    1.718661e+01
   1.212784e-04    3.356783e+06    3.356766e+06    1.638503e-03    3.356783e+06    1.657620e+01
   1.216824e-04    3.340077e+06    3.340063e+06    1.638503e-03    3.340077e+06    1.424574e+01
   1.220878e-04    3.323460e+06    3.323443e+06    1.638503e-03    3.323460e+06    1.676098e+01
   1.224946e-04    3.306922e+06    3.306905e+06    1.638503e-03    3.306922e+06    1.686654e+01
   1.229027e-04    3.290465e+06    3.290450e+06    1.638503e-03    3.290465e+06    1.460460e+01
   1.233122e-04    3.274093e+06    3.274077e+06    1.638503e-03    3.274093e+06    1.614698e+01
   1.237230e-04    3.257802e+06    3.257785e+06    1.638503e-03    3.257802e+06    1.695021e+01
   1.241352e-04    3.241590e+06    3.241574e+06    1.638503e-03    3.241590e+06    1.533760e+01
   1.245488e-04    3.225459e+06    3.225444e+06    1.638503e-03    3.225459e+06    1.535257e+01
   1.249638e-04    3.209411e+06    3.209394e+06    1.638503e-03    3.209411e+06    1.683855e+01
   1.253801e-04    3.193440e+06    3.193424e+06    1.638503e-03    3.193440e+06    1.593329e+01
   1.257979e-04    3.177548e+06    3.177534e+06    1.638503e-03    3.177548e+06    1.438565e+01
   1.262170e-04    3.161739e+06    3.161722e+06    1.638503e-03    3.161738e+06    1.652797e+01
   1.266375e-04    3.146005e+06    3.145989e+06    1.638503e-03    3.146005e+06    1.631036e+01
   1.270594e-04    3.130348e+06    3.130335e+06    1.638503e-03    3.130348e+06    1.377273e+01
   1.274828e-04    3.114774e+06    3.114758e+06    1.638503e-03    3.114774e+06    1.604172e+01
   1.279075e-04    3.099275e+06    3.099259e+06    1.638503e-03    3.099275e+06    1.649321e+01
   1.283336e-04    3.083851e+06    3.083837e+06    1.638503e-03    3.083851e+06    1.464743e+01
   1.287612e-04    3.068507e+06    3.068491e+06    1.638503e-03    3.068507e+06    1.537374e+01
   1.291902e-04    3.053239e+06    3.053222e+06    1.638503e-03    3.053239e+06    1.647796e+01
   1.296206e-04    3.038044e+06    3.038029e+06    1.638503e-03    3.038044e+06    1.531031e+01
   1.300525e-04    3.022926e+06    3.022912e+06    1.638503e-03    3.022926e+06    1.461070e+01
   1.304858e-04    3.007886e+06    3.007870e+06    1.638503e-03    3.007886e+06    1.627716e+01
   1.309205e-04    2.992918e+06    2.992902e+06    1.638503e-03    2.992918e+06    1.576834e+01
   1.313567e-04    2.978023e+06    2.978009e+06    1.638503e-03    2.978023e+06    1.409623e+01
   1.317944e-04    2.963206e+06    2.963190e+06    1.638503e-03    2.963206e+06    1.590385e+01
   1.322335e-04    2.948461e+06    2.948445e+06    1.638503e-03    2.948461e+06    1.603334e+01
   1.326740e-04    2.933788e+06    2.933774e+06    1.638503e-03    2.933788e+06    1.397878e+01
   1.331161e-04    2.919190e+06    2.919175e+06    1.638503e-03    2.919190e+06    1.535378e+01
   1.335596e-04    2.904665e+06    2.904649e+06    1.638503e-03    2.904665e+06    1.611008e+01
   1.340046e-04    2.890210e+06    2.890195e+06    1.638503e-03    2.890210e+06    1.470737e+01
   1.344510e-04    2.875828e+06    2.875813e+06    1.638503e-03    2.875828e+06    1.469586e+01
   1.348990e-04    2.861519e+06    2.861503e+06    1.638503e-03    2.861519e+06    1.600875e+01
   1.353484e-04    2.847279e+06    2.847264e+06    1.638503e-03    2.847279e+06    1.523418e+01
   1.357994e-04    2.833110e+06    2.833095e+06    1.638503e-03    2.833110e+06    1.425151e+01
   1.362518e-04    2.819013e+06    2.818997e+06    1.638503e-03    2.819013e+06    1.573830e+01
   1.367058e-04    2.804985e+06    2.804970e+06    1.638503e-03    2.804985e+06    1.557729e+01
   1.371612e-04    2.791026e+06    2.791012e+06    1.638503e-03    2.791026e+06    1.400804e+01
   1.376182e-04    2.777139e+06    2.777124e+06    1.638503e-03    2.777139e+06    1.517863e+01
   1.380767e-04    2.763320e+06    2.763304e+06    1.638503e-03    2.763320e+06    1.573813e+01
   1.385367e-04    2.749568e+06    2.749554e+06    1.638503e-03    2.749568e+06    1.412533e+01
   1.389983e-04    2.735886e+06    2.735871e+06    1.638503e-03    2.735886e+06    1.449834e+01
   1.394614e-04    2.722273e+06    2.722257e+06    1.638503e-03    2.722273e+06    1.572601e+01
   1.399260e-04    2.708726e+06    2.708711e+06    1.638503e-03    2.708726e+06    1.471441e+01
   1.403922e-04    2.695246e+06    2.695232e+06    1.638503e-03    2.695246e+06    1.411735e+01
   1.408600e-04    2.681836e+06    2.681820e+06    1.638503e-03    2.681836e+06    1.547421e+01
   1.413293e-04    2.668490e+06    2.668475e+06    1.638503e-03    2.668490e+06    1.512409e+01
   1.418002e-04    2.655210e+06    2.655196e+06    1.638503e-03    2.655210e+06    1.393057e+01
   1.422726e-04    2.641999e+06    2.641984e+06    1.638503e-03    2.641999e+06    1.497879e+01
   1.427466e-04    2.628852e+06    2.628837e+06    1.638503e-03    2.628852e+06    1.535932e+01
   1.432222e-04    2.615769e+06    2.615755e+06    1.638503e-03    2.615769e+06    1.393011e+01
   1.436994e-04    2.602753e+06    2.602739e+06    1.638503e-03    2.602753e+06    1.434107e+01
   1.441781e-04    2.589802e+06    2.589787e+06    1.638503e-03    2.589802e+06    1.540022e+01
   1.446585e-04    2.576914e+06    2.576900e+06    1.638503e-03    2.576914e+06    1.420968e+01
   1.451405e-04    2.564090e+06    2.564077e+06    1.638503e-03    2.564090e+06    1.373567e+01
   1.456240e-04    2.551332e+06    2.551317e+06    1.638503e-03    2.551332e+06    1.515602e+01
   1.461092e-04    2.538636e+06    2.538621e+06    1.638503e-03    2.538636e+06    1.468013e+01
   1.465960e-04    2.526002e+06    2.525989e+06    1.638503e-03    2.526002e+06    1.360323e+01
   1.470844e-04    2.513434e+06    2.513419e+06    1.638503e-03    2.513434e+06    1.476356e+01
   1.475745e-04    2.500927e+06    2.500912e+06    1.638503e-03    2.500927e+06    1.498266e+01
   1.480661e-04    2.488480e+06    2.488467e+06    1.638503e-03    2.488480e+06    1.364375e+01
   1.485595e-04    2.476098e+06    2.476083e+06    1.638503e-03    2.476098e+06    1.422611e+01
   1.490544e-04    2.463777e+06    2.463762e+06    1.638503e-03    2.463777e+06    1.498601e+01
   1.495510e-04    2.451516e+06    2.451502e+06    1.638503e-03    2.451516e+06    1.385346e+01
   1.500493e-04    2.439316e+06    2.439302e+06    1.638503e-03    2.439316e+06    1.356003e+01
   1.505492e-04    2.427179e+06    2.427164e+06    1.638503e-03    2.427179e+06    1.483133e+01
   1.510508e-04    2.415100e+06    2.415086e+06    1.638503e-03    2.415100e+06    1.424164e+01
   1.515540e-04    2.403081e+06    2.403068e+06    1.638503e-03    2.403081e+06    1.306024e+01
   1.520590e-04    2.391124e+06    2.391110e+06    1.638503e-03    2.391124e+06    1.453105e+01
   1.525656e-04    2.379225e+06    2.379211e+06    1.638503e-03    2.379225e+06    1.451183e+01
   1.530739e-04    2.367384e+06    2.367371e+06    1.638503e-03    2.367384e+06    1.314519e+01
   1.535839e-04    2.355605e+06    2.355591e+06    1.638503e-03    2.355605e+06    1.409378e+01
   1.540956e-04    2.343883e+06    2.343869e+06    1.638503e-03    2.343883e+06    1.457934e+01
   1.546090e-04    2.332218e+06    2.332205e+06    1.638503e-03    2.332218e+06    1.338736e+01
   1.551241e-04    2.320613e+06    2.320599e+06    1.638503e-03    2.320613e+06    1.352558e+01
   1.556409e-04    2.309066e+06    2.309051e+06    1.638503e-03    2.309066e+06    1.450191e+01
   1.561595e-04    2.297575e+06    2.297561e+06    1.638503e-03    2.297575e+06    1.375904e+01
   1.566798e-04    2.286140e+06    2.286127e+06    1.638503e-03    2.286140e+06    1.282987e+01
