# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.280e-10, Err(n_e)=2.493e-11, Err(IET)=9.860e-13, Q_net=-2.767e-09
# {"name":"Al", "Z":13, "Zstar":4.763643836649454, "A":26.981539,  "μ[AU]": -1.4933693200e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.133744e+02    0.000000e+00
   5.980213e-02             nan    4.286907e+02    0.000000e+00
   8.970320e-02             nan    2.976852e+02    0.000000e+00
   1.196043e-01             nan    2.301831e+02    0.000000e+00
   1.495053e-01             nan    1.884216e+02    0.000000e+00
   1.794064e-01             nan    1.595993e+02    0.000000e+00
   2.093075e-01             nan    1.383428e+02    0.000000e+00
   2.392085e-01             nan    1.218602e+02    0.000000e+00
   2.691096e-01             nan    1.086603e+02    0.000000e+00
   2.990107e-01             nan    9.778588e+01    0.000000e+00
   3.289117e-01             nan    8.866599e+01    0.000000e+00
   3.588128e-01             nan    8.087719e+01    0.000000e+00
   3.887139e-01             nan    7.415393e+01    0.000000e+00
   4.186149e-01             nan    6.827711e+01    0.000000e+00
   4.485160e-01             nan    6.310545e+01    0.000000e+00
   4.784171e-01             nan    5.851111e+01    0.000000e+00
   5.083181e-01             nan    5.441227e+01    0.000000e+00
   5.382192e-01             nan    5.072815e+01    0.000000e+00
   5.681203e-01             nan    4.740740e+01    0.000000e+00
   5.980213e-01             nan    4.439578e+01    0.000000e+00
   6.279224e-01             nan    4.165959e+01    0.000000e+00
   6.578235e-01             nan    3.916037e+01    0.000000e+00
   6.877245e-01             nan    3.687509e+01    0.000000e+00
   7.176256e-01             nan    3.477563e+01    0.000000e+00
   7.475267e-01             nan    3.284568e+01    0.000000e+00
   7.774277e-01             nan    3.106398e+01    0.000000e+00
   8.073288e-01             nan    2.941871e+01    0.000000e+00
   8.372299e-01             nan    2.789343e+01    0.000000e+00
   8.671309e-01             nan    2.647942e+01    0.000000e+00
   8.970320e-01             nan    2.516369e+01    0.000000e+00
   9.269331e-01             nan    2.393972e+01    0.000000e+00
   9.568341e-01             nan    2.279709e+01    0.000000e+00
   9.867352e-01             nan    2.173085e+01    0.000000e+00
   1.016636e+00             nan    2.073251e+01    0.000000e+00
   1.046537e+00             nan    1.979830e+01    0.000000e+00
   1.076438e+00             nan    1.892122e+01    0.000000e+00
   1.106339e+00             nan    1.809838e+01    0.000000e+00
   1.136241e+00             nan    1.732394e+01    0.000000e+00
   1.166142e+00             nan    1.659569e+01    0.000000e+00
   1.196043e+00             nan    1.590870e+01    0.000000e+00
   1.225944e+00             nan    1.526127e+01    0.000000e+00
   1.255845e+00             nan    1.464923e+01    0.000000e+00
   1.285746e+00             nan    1.407126e+01    0.000000e+00
   1.315647e+00             nan    1.352379e+01    0.000000e+00
   1.345548e+00             nan    1.300583e+01    0.000000e+00
   1.375449e+00             nan    1.251429e+01    0.000000e+00
   1.405350e+00             nan    1.204842e+01    7.717382e-12
   1.435251e+00             nan    1.160554e+01    3.474554e-11
   1.465152e+00             nan    1.118510e+01    1.135301e-10
   1.495053e+00             nan    1.078475e+01    3.311080e-10
   1.524954e+00             nan    1.040409e+01    8.993530e-10
   1.554855e+00             nan    1.004107e+01    2.314496e-09
   1.584757e+00             nan    9.695397e+00    5.667940e-09
   1.614658e+00             nan    9.365253e+00    1.329016e-08
   1.644559e+00             nan    9.050463e+00    2.986508e-08
   1.674460e+00             nan    8.749399e+00    6.461378e-08
   1.704361e+00             nan    8.461965e+00    1.346358e-07
   1.734262e+00             nan    8.186706e+00    2.712725e-07
   1.764163e+00             nan    7.923589e+00    5.285810e-07
   1.794064e+00             nan    7.671307e+00    9.996086e-07
   1.823965e+00             nan    7.429877e+00    1.834637e-06
   1.853866e+00             nan    7.198120e+00    3.278466e-06
   1.883767e+00             nan    6.976090e+00    5.703401e-06
   1.913668e+00             nan    6.762722e+00    9.687381e-06
   1.943569e+00             nan    6.558101e+00    1.606178e-05
   1.973470e+00             nan    6.361257e+00    2.606441e-05
   2.003371e+00             nan    6.172299e+00    4.138525e-05
   2.033273e+00             nan    5.990343e+00    6.445233e-05
   2.063174e+00             nan    5.815517e+00    9.841947e-05
   2.093075e+00             nan    5.647012e+00    1.476851e-04
   2.122976e+00             nan    5.484970e+00    2.176914e-04
   2.152877e+00             nan    5.328647e+00    3.158507e-04
   2.182778e+00             nan    5.178197e+00    4.509010e-04
   2.212679e+00             nan    5.032933e+00    6.345362e-04
   2.242580e+00             nan    4.893019e+00    8.798754e-04
   2.272481e+00             nan    4.757819e+00    1.204289e-03
   2.302382e+00             nan    4.627503e+00    1.626268e-03
   2.332283e+00             nan    4.501481e+00    2.170231e-03
   2.362184e+00             nan    4.379926e+00    2.860711e-03
   2.392085e+00             nan    4.262291e+00    3.730339e-03
   2.421986e+00             nan    4.148750e+00    4.809808e-03
   2.451887e+00             nan    4.038795e+00    6.140731e-03
   2.481789e+00             nan    3.932600e+00    7.759294e-03
   2.511690e+00             nan    3.829690e+00    9.716346e-03
   2.541591e+00             nan    3.730240e+00    1.205200e-02
   2.571492e+00             nan    3.633804e+00    1.482597e-02
   2.601393e+00             nan    3.540558e+00    1.807976e-02
   2.631294e+00             nan    3.450082e+00    2.188101e-02
   2.661195e+00             nan    3.362551e+00    2.626922e-02
   2.691096e+00             nan    3.277571e+00    3.131857e-02
   2.720997e+00             nan    3.195313e+00    3.706238e-02
   2.750898e+00             nan    3.115407e+00    4.357978e-02
   2.780799e+00             nan    3.038022e+00    5.089328e-02
   2.810700e+00             nan    2.962807e+00    5.908522e-02
   2.840601e+00             nan    2.889931e+00    6.816266e-02
   2.870502e+00             nan    2.819062e+00    7.820954e-02
   2.900403e+00             nan    2.750363e+00    8.921308e-02
   2.930305e+00             nan    2.683523e+00    1.012575e-01
   2.960206e+00             nan    2.618704e+00    1.143055e-01
   2.990107e+00             nan    2.555610e+00    1.284407e-01
   3.020008e+00             nan    2.494405e+00    1.435967e-01
   3.049909e+00             nan    2.434810e+00    1.598552e-01
   3.079810e+00             nan    2.376981e+00    1.771201e-01
   3.109711e+00             nan    2.320650e+00    1.954737e-01
   3.139612e+00             nan    2.265972e+00    2.147886e-01
   3.169513e+00             nan    2.212689e+00    2.351486e-01
   3.199414e+00             nan    2.160952e+00    2.563947e-01
   3.229315e+00             nan    2.110517e+00    2.786142e-01
   3.259216e+00             nan    2.061530e+00    3.016170e-01
   3.289117e+00             nan    2.013757e+00    3.254963e-01
   3.319018e+00             nan    1.967342e+00    3.500328e-01
   3.348919e+00             nan    1.922062e+00    3.753275e-01
   3.378821e+00             nan    1.878056e+00    4.011339e-01
   3.408722e+00             nan    1.835111e+00    4.275645e-01
   3.438623e+00             nan    1.793363e+00    4.543486e-01
   3.468524e+00             nan    1.752609e+00    4.816113e-01
   3.498425e+00             nan    1.712981e+00    5.090610e-01
   3.528326e+00             nan    1.674283e+00    5.368385e-01
   3.558227e+00             nan    1.636645e+00    5.646346e-01
   3.588128e+00             nan    1.599879e+00    5.926065e-01
   3.618029e+00             nan    1.564113e+00    6.204311e-01
   3.647930e+00             nan    1.529165e+00    6.482841e-01
   3.677831e+00             nan    1.495160e+00    6.758309e-01
   3.707732e+00             nan    1.461923e+00    7.032665e-01
   3.737633e+00             nan    1.429577e+00    7.302482e-01
   3.767534e+00             nan    1.397952e+00    7.569900e-01
   3.797435e+00             nan    1.367169e+00    7.831442e-01
   3.827337e+00             nan    1.337065e+00    8.089437e-01
   3.857238e+00             nan    1.307756e+00    8.340377e-01
   3.887139e+00             nan    1.279087e+00    8.586776e-01
   3.917040e+00             nan    1.251171e+00    8.825119e-01
   3.946941e+00             nan    1.223857e+00    9.058086e-01
   3.976842e+00             nan    1.197257e+00    9.282177e-01
   4.006743e+00             nan    1.171224e+00    9.500229e-01
   4.036644e+00             nan    1.145867e+00    9.708763e-01
   4.066545e+00             nan    1.121046e+00    9.910754e-01
   4.096446e+00             nan    1.096867e+00    1.010277e+00
   4.126347e+00             nan    1.073193e+00    1.028789e+00
   4.156248e+00             nan    1.050128e+00    1.046275e+00
   4.186149e+00             nan    1.027540e+00    1.063051e+00
   4.216050e+00             nan    1.005531e+00    1.078786e+00
   4.245951e+00             nan    9.839741e-01    1.093806e+00
   4.275853e+00             nan    9.629667e-01    1.107783e+00
   4.305754e+00             nan    9.423862e-01    1.121052e+00
   4.335655e+00             nan    9.223288e-01    1.133290e+00
   4.365556e+00             nan    9.026756e-01    1.144835e+00
   4.395457e+00             nan    8.835200e-01    1.155372e+00
   4.425358e+00             nan    8.647472e-01    1.165241e+00
   4.455259e+00             nan    8.464486e-01    1.174133e+00
   4.485160e+00             nan    8.285124e-01    1.182388e+00
   4.515061e+00             nan    8.110279e-01    1.189706e+00
   4.544962e+00             nan    7.938872e-01    1.196424e+00
   4.574863e+00             nan    7.771773e-01    1.202249e+00
   4.604764e+00             nan    7.607930e-01    1.207517e+00
   4.634665e+00             nan    7.448198e-01    1.211940e+00
   4.664566e+00             nan    7.291556e-01    1.215850e+00
   4.694467e+00             nan    7.138837e-01    1.218969e+00
   4.724369e+00             nan    6.989048e-01    1.221621e+00
   4.754270e+00             nan    6.843007e-01    1.223535e+00
   4.784171e+00             nan    6.699749e-01    1.225030e+00
   4.814072e+00             nan    6.560072e-01    1.225841e+00
   4.843973e+00             nan    6.423034e-01    1.226281e+00
   4.873874e+00             nan    6.289420e-01    1.226092e+00
   4.903775e+00             nan    6.158316e-01    1.225580e+00
   4.933676e+00             nan    6.030485e-01    1.224491e+00
   4.963577e+00             nan    5.905036e-01    1.223126e+00
   4.993478e+00             nan    5.782717e-01    1.221237e+00
   5.023379e+00             nan    5.662663e-01    1.219116e+00
   5.053280e+00             nan    5.545607e-01    1.216522e+00
   5.083181e+00             nan    5.430704e-01    1.213737e+00
   5.113082e+00             nan    5.318669e-01    1.210529e+00
   5.142983e+00             nan    5.208678e-01    1.207171e+00
   5.172885e+00             nan    5.101435e-01    1.203435e+00
   5.202786e+00             nan    4.996135e-01    1.199587e+00
   5.232687e+00             nan    4.893469e-01    1.195403e+00
   5.262588e+00             nan    4.792653e-01    1.191143e+00
   5.292489e+00             nan    4.694358e-01    1.186589e+00
   5.322390e+00             nan    4.597819e-01    1.181991e+00
   5.352291e+00             nan    4.503697e-01    1.177138e+00
   5.382192e+00             nan    4.411246e-01    1.172271e+00
   5.412093e+00             nan    4.321111e-01    1.167184e+00
   5.441994e+00             nan    4.232568e-01    1.162109e+00
   5.471895e+00             nan    4.146247e-01    1.156846e+00
   5.501796e+00             nan    4.061436e-01    1.151622e+00
   5.531697e+00             nan    3.978756e-01    1.146240e+00
   5.561598e+00             nan    3.897512e-01    1.140919e+00
   5.591499e+00             nan    3.818311e-01    1.135468e+00
   5.621401e+00             nan    3.740475e-01    1.130097e+00
   5.651302e+00             nan    3.664600e-01    1.124622e+00
   5.681203e+00             nan    3.590024e-01    1.119244e+00
   5.711104e+00             nan    3.517332e-01    1.113784e+00
   5.741005e+00             nan    3.445873e-01    1.108438e+00
   5.770906e+00             nan    3.376221e-01    1.103030e+00
   5.800807e+00             nan    3.307739e-01    1.097750e+00
   5.830708e+00             nan    3.240992e-01    1.092427e+00
   5.860609e+00             nan    3.175358e-01    1.087244e+00
   5.890510e+00             nan    3.111389e-01    1.082035e+00
   5.920411e+00             nan    3.048477e-01    1.076975e+00
   5.950312e+00             nan    2.987164e-01    1.071904e+00
   5.980213e+00             nan    2.926857e-01    1.066991e+00
   6.010114e+00             nan    2.868086e-01    1.062078e+00
   6.040015e+00             nan    2.810270e-01    1.057331e+00
   6.069917e+00             nan    2.753929e-01    1.052597e+00
   6.099818e+00             nan    2.698493e-01    1.048035e+00
   6.129719e+00             nan    2.644475e-01    1.043494e+00
   6.159620e+00             nan    2.591316e-01    1.039131e+00
   6.189521e+00             nan    2.539519e-01    1.034798e+00
   6.219422e+00             nan    2.488537e-01    1.030646e+00
   6.249323e+00             nan    2.438865e-01    1.026531e+00
   6.279224e+00             nan    2.389966e-01    1.022600e+00
   6.309125e+00             nan    2.342325e-01    1.018712e+00
   6.339026e+00             nan    2.295418e-01    1.015009e+00
   6.368927e+00             nan    2.249722e-01    1.011355e+00
   6.398828e+00             nan    2.204721e-01    1.007886e+00
   6.428729e+00             nan    2.160886e-01    1.004470e+00
   6.458630e+00             nan    2.117711e-01    1.001240e+00
   6.488531e+00             nan    2.075655e-01    9.980649e-01
   6.518433e+00             nan    2.034225e-01    9.950753e-01
   6.548334e+00             nan    1.993872e-01    9.921434e-01
   6.578235e+00             nan    1.954111e-01    9.893956e-01
   6.608136e+00             nan    1.915387e-01    9.867069e-01
   6.638037e+00             nan    1.877224e-01    9.842003e-01
   6.667938e+00             nan    1.840060e-01    9.817535e-01
   6.697839e+00             nan    1.803426e-01    9.794864e-01
   6.727740e+00             nan    1.767754e-01    9.772791e-01
   6.757641e+00             nan    1.732585e-01    9.752487e-01
   6.787542e+00             nan    1.698342e-01    9.732773e-01
   6.817443e+00             nan    1.664575e-01    9.714793e-01
   6.847344e+00             nan    1.631701e-01    9.697393e-01
   6.877245e+00             nan    1.599277e-01    9.681687e-01
   6.907146e+00             nan    1.567713e-01    9.666544e-01
   6.937047e+00             nan    1.536576e-01    9.653055e-01
   6.966949e+00             nan    1.506268e-01    9.640106e-01
   6.996850e+00             nan    1.476364e-01    9.628763e-01
   7.026751e+00             nan    1.447260e-01    9.617936e-01
   7.056652e+00             nan    1.418538e-01    9.608666e-01
   7.086553e+00             nan    1.390589e-01    9.599879e-01
   7.116454e+00             nan    1.363001e-01    9.592598e-01
   7.146355e+00             nan    1.336158e-01    9.585768e-01
   7.176256e+00             nan    1.309656e-01    9.580391e-01
   7.206157e+00             nan    1.283874e-01    9.575428e-01
   7.236058e+00             nan    1.258414e-01    9.571861e-01
   7.265959e+00             nan    1.233649e-01    9.568670e-01
   7.295860e+00             nan    1.209188e-01    9.566818e-01
   7.325761e+00             nan    1.185400e-01    9.565298e-01
   7.355662e+00             nan    1.161899e-01    9.565058e-01
   7.385563e+00             nan    1.139047e-01    9.565108e-01
   7.415465e+00             nan    1.116467e-01    9.566376e-01
   7.445366e+00             nan    1.094514e-01    9.567887e-01
   7.475267e+00             nan    1.072818e-01    9.570556e-01
   7.505168e+00             nan    1.051729e-01    9.573421e-01
   7.535069e+00             nan    1.030882e-01    9.577383e-01
   7.564970e+00             nan    1.010622e-01    9.581491e-01
   7.594871e+00             nan    9.905909e-02    9.586634e-01
   7.624772e+00             nan    9.711280e-02    9.591875e-01
   7.654673e+00             nan    9.518805e-02    9.598088e-01
   7.684574e+00             nan    9.331831e-02    9.604350e-01
   7.714475e+00             nan    9.146886e-02    9.611523e-01
   7.744376e+00             nan    8.967269e-02    9.618696e-01
   7.774277e+00             nan    8.789563e-02    9.626718e-01
   7.804178e+00             nan    8.617020e-02    9.634691e-01
   7.834079e+00             nan    8.446274e-02    9.643453e-01
   7.863981e+00             nan    8.280528e-02    9.652118e-01
   7.893882e+00             nan    8.116471e-02    9.661513e-01
   7.923783e+00             nan    7.957261e-02    9.670764e-01
   7.953684e+00             nan    7.799639e-02    9.680687e-01
   7.983585e+00             nan    7.646714e-02    9.690421e-01
   8.013486e+00             nan    7.495278e-02    9.700770e-01
   8.043387e+00             nan    7.348397e-02    9.710885e-01
   8.073288e+00             nan    7.202910e-02    9.721562e-01
   8.103189e+00             nan    7.061840e-02    9.731962e-01
   8.133090e+00             nan    6.922072e-02    9.742873e-01
   8.162991e+00             nan    6.786589e-02    9.753466e-01
   8.192892e+00             nan    6.652323e-02    9.764520e-01
   8.222793e+00             nan    6.522213e-02    9.775218e-01
   8.252694e+00             nan    6.393236e-02    9.786330e-01
   8.282595e+00             nan    6.268292e-02    9.797049e-01
   8.312497e+00             nan    6.144402e-02    9.808138e-01
   8.342398e+00             nan    6.024423e-02    9.818801e-01
