# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.800e-11, Err(n_e)=2.932e-03, Err(IET)=2.399e+04, Q_net=-4.955e-03
# {"name":"Al", "Z":13, "Zstar":216.77354812205144, "A":26.981539,  "μ[AU]": -1.2419439033e+00, "Te[AU]": 1.000e+00, "Ti[AU]": 1.000e+00, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    3.182187e+06    0.000000e+00
   2.990107e-02             nan    1.610052e+06    0.000000e+00
   4.485160e-02             nan    1.085648e+06    0.000000e+00
   5.980213e-02             nan    8.231644e+05    0.000000e+00
   7.475267e-02             nan    6.654648e+05    0.000000e+00
   8.970320e-02             nan    5.601536e+05    0.000000e+00
   1.046537e-01             nan    4.847874e+05    0.000000e+00
   1.196043e-01             nan    4.281356e+05    1.084559e+02
   1.345548e-01             nan    3.839657e+05    0.000000e+00
   1.495053e-01             nan    3.485328e+05    1.915465e+01
   1.644559e-01             nan    3.194581e+05    0.000000e+00
   1.794064e-01             nan    2.951519e+05    5.966201e+00
   1.943569e-01             nan    2.745170e+05    0.000000e+00
   2.093075e-01             nan    2.567668e+05    2.521702e+00
   2.242580e-01             nan    2.413268e+05    0.000000e+00
   2.392085e-01             nan    2.277640e+05    1.877816e+00
   2.541591e-01             nan    2.157491e+05    3.982267e-01
   2.691096e-01             nan    2.050244e+05    1.538766e+00
   2.840601e-01             nan    1.953878e+05    6.122896e-01
   2.990107e-01             nan    1.866763e+05    1.361173e+00
   3.139612e-01             nan    1.787593e+05    7.354291e-01
   3.289117e-01             nan    1.715285e+05    1.257174e+00
   3.438623e-01             nan    1.648957e+05    8.117203e-01
   3.588128e-01             nan    1.587864e+05    1.190916e+00
   3.737633e-01             nan    1.531387e+05    8.613277e-01
   3.887139e-01             nan    1.478997e+05    1.146330e+00
   4.036644e-01             nan    1.430249e+05    8.949098e-01
   4.186149e-01             nan    1.384754e+05    1.115106e+00
   4.335655e-01             nan    1.342183e+05    9.184043e-01
   4.485160e-01             nan    1.302247e+05    1.092529e+00
   4.634665e-01             nan    1.264697e+05    9.353036e-01
   4.784171e-01             nan    1.229312e+05    1.075760e+00
   4.933676e-01             nan    1.195901e+05    9.477518e-01
   5.083181e-01             nan    1.164292e+05    1.063016e+00
   5.232687e-01             nan    1.134336e+05    9.571135e-01
   5.382192e-01             nan    1.105896e+05    1.053135e+00
   5.531697e-01             nan    1.078855e+05    9.642840e-01
   5.681203e-01             nan    1.053104e+05    1.045338e+00
   5.830708e-01             nan    1.028548e+05    9.698667e-01
   5.980213e-01             nan    1.005100e+05    1.039091e+00
   6.129719e-01             nan    9.826811e+04    9.742774e-01
   6.279224e-01             nan    9.612205e+04    1.034015e+00
   6.428729e-01             nan    9.406547e+04    9.778087e-01
   6.578235e-01             nan    9.209239e+04    1.029840e+00
   6.727740e-01             nan    9.019758e+04    9.806704e-01
   6.877245e-01             nan    8.837606e+04    1.026368e+00
   7.026751e-01             nan    8.662347e+04    9.830152e-01
   7.176256e-01             nan    8.493559e+04    1.023452e+00
   7.325761e-01             nan    8.330875e+04    9.849562e-01
   7.475267e-01             nan    8.173938e+04    1.020981e+00
   7.624772e-01             nan    8.022438e+04    9.865780e-01
   7.774277e-01             nan    7.876068e+04    1.018870e+00
   7.923783e-01             nan    7.734564e+04    9.879451e-01
   8.073288e-01             nan    7.597662e+04    1.017053e+00
   8.222793e-01             nan    7.465135e+04    9.891067e-01
   8.372299e-01             nan    7.336755e+04    1.015478e+00
   8.521804e-01             nan    7.212326e+04    9.901013e-01
   8.671309e-01             nan    7.091648e+04    1.014105e+00
