# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.328e-10, Err(n_e)=6.506e-12, Err(IET)=9.905e-13, Q_net=-9.045e-10
# {"name":"Al", "Z":13, "Zstar":2.887791471657765, "A":26.981539,  "μ[AU]": 2.8906853703e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.887419e+02    0.000000e+00
   5.980213e-02             nan    1.484760e+02    0.000000e+00
   8.970320e-02             nan    1.012663e+02    0.000000e+00
   1.196043e-01             nan    7.732405e+01    0.000000e+00
   1.495053e-01             nan    6.272998e+01    0.000000e+00
   1.794064e-01             nan    5.281666e+01    0.000000e+00
   2.093075e-01             nan    4.560049e+01    0.000000e+00
   2.392085e-01             nan    4.007543e+01    0.000000e+00
   2.691096e-01             nan    3.569181e+01    0.000000e+00
   2.990107e-01             nan    3.211119e+01    0.000000e+00
   3.289117e-01             nan    2.912403e+01    0.000000e+00
   3.588128e-01             nan    2.658484e+01    0.000000e+00
   3.887139e-01             nan    2.439696e+01    0.000000e+00
   4.186149e-01             nan    2.248718e+01    0.000000e+00
   4.485160e-01             nan    2.080477e+01    0.000000e+00
   4.784171e-01             nan    1.930860e+01    0.000000e+00
   5.083181e-01             nan    1.796947e+01    0.000000e+00
   5.382192e-01             nan    1.676226e+01    0.000000e+00
   5.681203e-01             nan    1.566897e+01    0.000000e+00
   5.980213e-01             nan    1.467324e+01    0.000000e+00
   6.279224e-01             nan    1.376331e+01    0.000000e+00
   6.578235e-01             nan    1.292801e+01    0.000000e+00
   6.877245e-01             nan    1.215932e+01    0.000000e+00
   7.176256e-01             nan    1.144924e+01    0.000000e+00
   7.475267e-01             nan    1.079212e+01    0.000000e+00
   7.774277e-01             nan    1.018207e+01    0.000000e+00
   8.073288e-01             nan    9.614939e+00    0.000000e+00
   8.372299e-01             nan    9.086268e+00    0.000000e+00
   8.671309e-01             nan    8.592965e+00    0.000000e+00
   8.970320e-01             nan    8.131550e+00    0.000000e+00
   9.269331e-01             nan    7.699664e+00    0.000000e+00
   9.568341e-01             nan    7.294546e+00    0.000000e+00
   9.867352e-01             nan    6.914362e+00    0.000000e+00
   1.016636e+00             nan    6.556882e+00    0.000000e+00
   1.046537e+00             nan    6.220658e+00    0.000000e+00
   1.076438e+00             nan    5.903861e+00    0.000000e+00
   1.106339e+00             nan    5.605333e+00    0.000000e+00
   1.136241e+00             nan    5.323557e+00    0.000000e+00
   1.166142e+00             nan    5.057594e+00    0.000000e+00
   1.196043e+00             nan    4.806170e+00    0.000000e+00
   1.225944e+00             nan    4.568519e+00    0.000000e+00
   1.255845e+00             nan    4.343559e+00    0.000000e+00
   1.285746e+00             nan    4.130659e+00    0.000000e+00
   1.315647e+00             nan    3.928894e+00    0.000000e+00
   1.345548e+00             nan    3.737741e+00    0.000000e+00
   1.375449e+00             nan    3.556401e+00    0.000000e+00
   1.405350e+00             nan    3.384437e+00    0.000000e+00
   1.435251e+00             nan    3.221155e+00    0.000000e+00
   1.465152e+00             nan    3.066190e+00    0.000000e+00
   1.495053e+00             nan    2.918934e+00    0.000000e+00
   1.524954e+00             nan    2.779079e+00    0.000000e+00
   1.554855e+00             nan    2.646091e+00    0.000000e+00
   1.584757e+00             nan    2.519710e+00    0.000000e+00
   1.614658e+00             nan    2.399464e+00    0.000000e+00
   1.644559e+00             nan    2.285130e+00    0.000000e+00
   1.674460e+00             nan    2.176291e+00    0.000000e+00
   1.704361e+00             nan    2.072758e+00    0.000000e+00
   1.734262e+00             nan    1.974157e+00    0.000000e+00
   1.764163e+00             nan    1.880328e+00    0.000000e+00
   1.794064e+00             nan    1.790935e+00    0.000000e+00
   1.823965e+00             nan    1.705841e+00    0.000000e+00
   1.853866e+00             nan    1.624746e+00    0.000000e+00
   1.883767e+00             nan    1.547531e+00    0.000000e+00
   1.913668e+00             nan    1.473926e+00    0.000000e+00
   1.943569e+00             nan    1.403829e+00    0.000000e+00
   1.973470e+00             nan    1.336995e+00    0.000000e+00
   2.003371e+00             nan    1.273338e+00    0.000000e+00
   2.033273e+00             nan    1.212634e+00    0.000000e+00
   2.063174e+00             nan    1.154809e+00    0.000000e+00
   2.093075e+00             nan    1.099661e+00    9.645618e-13
   2.122976e+00             nan    1.047126e+00    1.390177e-11
   2.152877e+00             nan    9.970177e-01    6.099299e-11
   2.182778e+00             nan    9.492835e-01    2.217586e-10
   2.212679e+00             nan    9.037524e-01    7.388223e-10
   2.242580e+00             nan    8.603791e-01    2.304778e-09
   2.272481e+00             nan    8.190069e-01    6.795705e-09
   2.302382e+00             nan    7.795975e-01    1.898558e-08
   2.332283e+00             nan    7.420066e-01    5.047597e-08
   2.362184e+00             nan    7.062019e-01    1.278370e-07
   2.392085e+00             nan    6.720504e-01    3.095526e-07
   2.421986e+00             nan    6.395250e-01    7.172088e-07
   2.451887e+00             nan    6.085028e-01    1.595328e-06
   2.481789e+00             nan    5.789614e-01    3.408902e-06
   2.511690e+00             nan    5.507870e-01    7.019236e-06
   2.541591e+00             nan    5.239612e-01    1.393458e-05
   2.571492e+00             nan    4.983785e-01    2.674725e-05
   2.601393e+00             nan    4.740241e-01    4.966162e-05
   2.631294e+00             nan    4.507999e-01    8.942994e-05
   2.661195e+00             nan    4.286946e-01    1.562437e-04
