# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.758e-11, Err(n_e)=1.236e-11, Err(IET)=9.896e-13, Q_net=-1.045e-09
# {"name":"Al", "Z":13, "Zstar":2.8844961617307034, "A":26.981539,  "μ[AU]": 2.8907937864e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.713992e+02    0.000000e+00
   5.980213e-02             nan    1.327028e+02    0.000000e+00
   8.970320e-02             nan    8.664885e+01    0.000000e+00
   1.196043e-01             nan    6.368712e+01    0.000000e+00
   1.495053e-01             nan    4.995629e+01    0.000000e+00
   1.794064e-01             nan    4.082960e+01    0.000000e+00
   2.093075e-01             nan    3.433160e+01    0.000000e+00
   2.392085e-01             nan    2.947255e+01    0.000000e+00
   2.691096e-01             nan    2.570520e+01    0.000000e+00
   2.990107e-01             nan    2.270011e+01    0.000000e+00
   3.289117e-01             nan    2.024895e+01    0.000000e+00
   3.588128e-01             nan    1.821220e+01    0.000000e+00
   3.887139e-01             nan    1.649402e+01    0.000000e+00
   4.186149e-01             nan    1.502550e+01    0.000000e+00
   4.485160e-01             nan    1.375662e+01    0.000000e+00
   4.784171e-01             nan    1.264954e+01    0.000000e+00
   5.083181e-01             nan    1.167567e+01    0.000000e+00
   5.382192e-01             nan    1.081255e+01    0.000000e+00
   5.681203e-01             nan    1.004268e+01    0.000000e+00
   5.980213e-01             nan    9.351889e+00    0.000000e+00
   6.279224e-01             nan    8.728902e+00    0.000000e+00
   6.578235e-01             nan    8.164334e+00    0.000000e+00
   6.877245e-01             nan    7.650603e+00    0.000000e+00
   7.176256e-01             nan    7.181252e+00    0.000000e+00
   7.475267e-01             nan    6.750995e+00    0.000000e+00
   7.774277e-01             nan    6.355246e+00    0.000000e+00
   8.073288e-01             nan    5.990212e+00    0.000000e+00
   8.372299e-01             nan    5.652546e+00    0.000000e+00
   8.671309e-01             nan    5.339459e+00    0.000000e+00
   8.970320e-01             nan    5.048450e+00    0.000000e+00
   9.269331e-01             nan    4.777422e+00    0.000000e+00
   9.568341e-01             nan    4.524470e+00    0.000000e+00
   9.867352e-01             nan    4.287990e+00    0.000000e+00
   1.016636e+00             nan    4.066498e+00    0.000000e+00
   1.046537e+00             nan    3.858751e+00    0.000000e+00
   1.076438e+00             nan    3.663583e+00    0.000000e+00
   1.106339e+00             nan    3.480006e+00    0.000000e+00
   1.136241e+00             nan    3.307088e+00    0.000000e+00
   1.166142e+00             nan    3.144046e+00    0.000000e+00
   1.196043e+00             nan    2.990124e+00    0.000000e+00
   1.225944e+00             nan    2.844682e+00    0.000000e+00
   1.255845e+00             nan    2.707105e+00    0.000000e+00
   1.285746e+00             nan    2.576873e+00    0.000000e+00
   1.315647e+00             nan    2.453472e+00    0.000000e+00
   1.345548e+00             nan    2.336477e+00    0.000000e+00
   1.375449e+00             nan    2.225458e+00    0.000000e+00
   1.405350e+00             nan    2.120060e+00    0.000000e+00
   1.435251e+00             nan    2.019922e+00    0.000000e+00
   1.465152e+00             nan    1.924744e+00    0.000000e+00
   1.495053e+00             nan    1.834220e+00    0.000000e+00
   1.524954e+00             nan    1.748098e+00    0.000000e+00
   1.554855e+00             nan    1.666116e+00    0.000000e+00
   1.584757e+00             nan    1.588056e+00    0.000000e+00
   1.614658e+00             nan    1.513696e+00    0.000000e+00
   1.644559e+00             nan    1.442849e+00    0.000000e+00
   1.674460e+00             nan    1.375319e+00    0.000000e+00
   1.704361e+00             nan    1.310946e+00    0.000000e+00
   1.734262e+00             nan    1.249560e+00    0.000000e+00
   1.764163e+00             nan    1.191022e+00    0.000000e+00
   1.794064e+00             nan    1.135182e+00    0.000000e+00
   1.823965e+00             nan    1.081919e+00    0.000000e+00
   1.853866e+00             nan    1.031098e+00    9.166001e-12
   1.883767e+00             nan    9.826154e-01    4.305001e-11
   1.913668e+00             nan    9.363519e-01    1.556995e-10
   1.943569e+00             nan    8.922138e-01    5.090293e-10
   1.973470e+00             nan    8.500948e-01    1.557447e-09
   2.003371e+00             nan    8.099114e-01    4.505973e-09
   2.033273e+00             nan    7.715696e-01    1.238689e-08
   2.063174e+00             nan    7.349949e-01    3.244242e-08
   2.093075e+00             nan    7.001008e-01    8.116315e-08
   2.122976e+00             nan    6.668214e-01    1.943177e-07
   2.152877e+00             nan    6.350781e-01    4.461832e-07
   2.182778e+00             nan    6.048110e-01    9.841865e-07
   2.212679e+00             nan    5.759493e-01    2.089521e-06
   2.242580e+00             nan    5.484375e-01    4.276406e-06
   2.272481e+00             nan    5.222115e-01    8.451492e-06
   2.302382e+00             nan    4.972215e-01    1.615115e-05
   2.332283e+00             nan    4.734070e-01    2.989534e-05
   2.362184e+00             nan    4.507239e-01    5.366121e-05
   2.392085e+00             nan    4.291168e-01    9.354665e-05
   2.421986e+00             nan    4.085427e-01    1.585693e-04
   2.451887e+00             nan    3.889502e-01    2.617232e-04
   2.481789e+00             nan    3.703016e-01    4.210606e-04
   2.511690e+00             nan    3.525489e-01    6.611452e-04
   2.541591e+00             nan    3.356563e-01    1.014201e-03
   2.571492e+00             nan    3.195786e-01    1.521812e-03
   2.601393e+00             nan    3.042817e-01    2.235704e-03
   2.631294e+00             nan    2.897232e-01    3.219481e-03
   2.661195e+00             nan    2.758719e-01    4.548287e-03
   2.691096e+00             nan    2.626880e-01    6.310608e-03
   2.720997e+00             nan    2.501408e-01    8.606398e-03
   2.750898e+00             nan    2.381915e-01    1.154937e-02
   2.780799e+00             nan    2.268117e-01    1.526231e-02
   2.810700e+00             nan    2.159661e-01    1.988051e-02
   2.840601e+00             nan    2.056269e-01    2.554509e-02
   2.870502e+00             nan    1.957604e-01    3.240879e-02
   2.900403e+00             nan    1.863430e-01    4.062313e-02
   2.930305e+00             nan    1.773441e-01    5.035033e-02
   2.960206e+00             nan    1.687438e-01    6.174283e-02
   2.990107e+00             nan    1.605186e-01    7.495620e-02
   3.020008e+00             nan    1.526538e-01    9.012358e-02
   3.049909e+00             nan    1.451309e-01    1.073744e-01
   3.079810e+00             nan    1.379395e-01    1.267999e-01
   3.109711e+00             nan    1.310634e-01    1.484863e-01
   3.139612e+00             nan    1.244951e-01    1.724621e-01
   3.169513e+00             nan    1.182196e-01    1.987553e-01
   3.199414e+00             nan    1.122277e-01    2.273388e-01
   3.229315e+00             nan    1.065058e-01    2.581781e-01
   3.259216e+00             nan    1.010478e-01    2.911597e-01
   3.289117e+00             nan    9.583964e-02    3.261935e-01
   3.319018e+00             nan    9.087457e-02    3.631064e-01
   3.348919e+00             nan    8.614140e-02    4.017359e-01
   3.378821e+00             nan    8.163294e-02    4.418574e-01
   3.408722e+00             nan    7.733838e-02    4.832677e-01
   3.438623e+00             nan    7.325213e-02    5.256841e-01
   3.468524e+00             nan    6.936263e-02    5.688946e-01
   3.498425e+00             nan    6.566543e-02    6.125795e-01
