# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.620e-11, Err(n_e)=7.005e-11, Err(IET)=9.999e-13, Q_net=-4.327e-09
# {"name":"Al", "Z":13, "Zstar":4.755660388953646, "A":26.981539,  "μ[AU]": -1.4933241989e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    7.487590e+02    0.000000e+00
   5.980213e-02             nan    3.707331e+02    0.000000e+00
   8.970320e-02             nan    2.448127e+02    0.000000e+00
   1.196043e-01             nan    1.818708e+02    0.000000e+00
   1.495053e-01             nan    1.441329e+02    0.000000e+00
   1.794064e-01             nan    1.189833e+02    0.000000e+00
   2.093075e-01             nan    1.010313e+02    0.000000e+00
   2.392085e-01             nan    8.757134e+01    0.000000e+00
   2.691096e-01             nan    7.710912e+01    0.000000e+00
   2.990107e-01             nan    6.874228e+01    0.000000e+00
   3.289117e-01             nan    6.190132e+01    0.000000e+00
   3.588128e-01             nan    5.620223e+01    0.000000e+00
   3.887139e-01             nan    5.138303e+01    0.000000e+00
   4.186149e-01             nan    4.725367e+01    0.000000e+00
   4.485160e-01             nan    4.367737e+01    0.000000e+00
   4.784171e-01             nan    4.054925e+01    0.000000e+00
   5.083181e-01             nan    3.779112e+01    0.000000e+00
   5.382192e-01             nan    3.534048e+01    0.000000e+00
   5.681203e-01             nan    3.314948e+01    0.000000e+00
   5.980213e-01             nan    3.117852e+01    0.000000e+00
   6.279224e-01             nan    2.939680e+01    0.000000e+00
   6.578235e-01             nan    2.777795e+01    0.000000e+00
   6.877245e-01             nan    2.630124e+01    0.000000e+00
   7.176256e-01             nan    2.494847e+01    0.000000e+00
   7.475267e-01             nan    2.370519e+01    0.000000e+00
   7.774277e-01             nan    2.255841e+01    0.000000e+00
   8.073288e-01             nan    2.149777e+01    0.000000e+00
   8.372299e-01             nan    2.051373e+01    0.000000e+00
   8.671309e-01             nan    1.959870e+01    0.000000e+00
   8.970320e-01             nan    1.874550e+01    0.000000e+00
   9.269331e-01             nan    1.794843e+01    0.000000e+00
   9.568341e-01             nan    1.720200e+01    0.000000e+00
   9.867352e-01             nan    1.650185e+01    0.000000e+00
   1.016636e+00             nan    1.584370e+01    0.000000e+00
   1.046537e+00             nan    1.522416e+01    0.000000e+00
   1.076438e+00             nan    1.463985e+01    0.000000e+00
   1.106339e+00             nan    1.408809e+01    0.000000e+00
   1.136241e+00             nan    1.356617e+01    0.000000e+00
   1.166142e+00             nan    1.307197e+01    0.000000e+00
   1.196043e+00             nan    1.260326e+01    0.000000e+00
   1.225944e+00             nan    1.215834e+01    0.000000e+00
   1.255845e+00             nan    1.173538e+01    0.000000e+00
   1.285746e+00             nan    1.133299e+01    0.000000e+00
   1.315647e+00             nan    1.094966e+01    0.000000e+00
   1.345548e+00             nan    1.058425e+01    0.000000e+00
   1.375449e+00             nan    1.023549e+01    0.000000e+00
   1.405350e+00             nan    9.902420e+00    0.000000e+00
   1.435251e+00             nan    9.583974e+00    0.000000e+00
   1.465152e+00             nan    9.279370e+00    0.000000e+00
   1.495053e+00             nan    8.987679e+00    0.000000e+00
   1.524954e+00             nan    8.708251e+00    0.000000e+00
   1.554855e+00             nan    8.440289e+00    0.000000e+00
   1.584757e+00             nan    8.183243e+00    0.000000e+00
   1.614658e+00             nan    7.936423e+00    0.000000e+00
   1.644559e+00             nan    7.699363e+00    0.000000e+00
   1.674460e+00             nan    7.471463e+00    0.000000e+00
   1.704361e+00             nan    7.252324e+00    0.000000e+00
   1.734262e+00             nan    7.041422e+00    0.000000e+00
   1.764163e+00             nan    6.838414e+00    0.000000e+00
   1.794064e+00             nan    6.642841e+00    0.000000e+00
   1.823965e+00             nan    6.454406e+00    0.000000e+00
   1.853866e+00             nan    6.272701e+00    0.000000e+00
   1.883767e+00             nan    6.097472e+00    0.000000e+00
   1.913668e+00             nan    5.928357e+00    0.000000e+00
   1.943569e+00             nan    5.765133e+00    0.000000e+00
   1.973470e+00             nan    5.607478e+00    0.000000e+00
   2.003371e+00             nan    5.455198e+00    0.000000e+00
   2.033273e+00             nan    5.308003e+00    0.000000e+00
   2.063174e+00             nan    5.165726e+00    0.000000e+00
   2.093075e+00             nan    5.028105e+00    0.000000e+00
   2.122976e+00             nan    4.894993e+00    0.000000e+00
   2.152877e+00             nan    4.766152e+00    0.000000e+00
   2.182778e+00             nan    4.641456e+00    0.000000e+00
   2.212679e+00             nan    4.520688e+00    0.000000e+00
   2.242580e+00             nan    4.403736e+00    0.000000e+00
   2.272481e+00             nan    4.290404e+00    0.000000e+00
   2.302382e+00             nan    4.180593e+00    0.000000e+00
   2.332283e+00             nan    4.074124e+00    0.000000e+00
   2.362184e+00             nan    3.970909e+00    0.000000e+00
   2.392085e+00             nan    3.870785e+00    0.000000e+00
   2.421986e+00             nan    3.773674e+00    0.000000e+00
   2.451887e+00             nan    3.679425e+00    0.000000e+00
   2.481789e+00             nan    3.587970e+00    0.000000e+00
   2.511690e+00             nan    3.499172e+00    0.000000e+00
   2.541591e+00             nan    3.412967e+00    0.000000e+00
   2.571492e+00             nan    3.329230e+00    0.000000e+00
   2.601393e+00             nan    3.247905e+00    0.000000e+00
   2.631294e+00             nan    3.168875e+00    0.000000e+00
   2.661195e+00             nan    3.092090e+00    0.000000e+00
   2.691096e+00             nan    3.017443e+00    0.000000e+00
   2.720997e+00             nan    2.944888e+00    0.000000e+00
   2.750898e+00             nan    2.874325e+00    0.000000e+00
   2.780799e+00             nan    2.805716e+00    0.000000e+00
   2.810700e+00             nan    2.738965e+00    0.000000e+00
   2.840601e+00             nan    2.674037e+00    4.461764e-12
   2.870502e+00             nan    2.610846e+00    2.004752e-11
   2.900403e+00             nan    2.549360e+00    6.810019e-11
   2.930305e+00             nan    2.489498e+00    2.101381e-10
   2.960206e+00             nan    2.431234e+00    6.122667e-10
   2.990107e+00             nan    2.374492e+00    1.705512e-09
   3.020008e+00             nan    2.319253e+00    4.558854e-09
   3.049909e+00             nan    2.265449e+00    1.172755e-08
   3.079810e+00             nan    2.213059e+00    2.906132e-08
   3.109711e+00             nan    2.162018e+00    6.951083e-08
   3.139612e+00             nan    2.112308e+00    1.605779e-07
   3.169513e+00             nan    2.063866e+00    3.589215e-07
   3.199414e+00             nan    2.016676e+00    7.766550e-07
   3.229315e+00             nan    1.970678e+00    1.629698e-06
   3.259216e+00             nan    1.925858e+00    3.317738e-06
   3.289117e+00             nan    1.882161e+00    6.563449e-06
   3.319018e+00             nan    1.839573e+00    1.262305e-05
   3.348919e+00             nan    1.798042e+00    2.363693e-05
   3.378821e+00             nan    1.757556e+00    4.311034e-05
   3.408722e+00             nan    1.718067e+00    7.669304e-05
   3.438623e+00             nan    1.679564e+00    1.331264e-04
   3.468524e+00             nan    1.642000e+00    2.257858e-04
   3.498425e+00             nan    1.605367e+00    3.742672e-04
   3.528326e+00             nan    1.569620e+00    6.071289e-04
   3.558227e+00             nan    1.534752e+00    9.640702e-04
   3.588128e+00             nan    1.500721e+00    1.500349e-03
   3.618029e+00             nan    1.467520e+00    2.288960e-03
   3.647930e+00             nan    1.435111e+00    3.427250e-03
   3.677831e+00             nan    1.403487e+00    5.037386e-03
   3.707732e+00             nan    1.372610e+00    7.276031e-03
   3.737633e+00             nan    1.342477e+00    1.032979e-02
   3.767534e+00             nan    1.313051e+00    1.442946e-02
   3.797435e+00             nan    1.284329e+00    1.983519e-02
   3.827337e+00             nan    1.256276e+00    2.685863e-02
   3.857238e+00             nan    1.228889e+00    3.583000e-02
   3.887139e+00             nan    1.202137e+00    4.713423e-02
   3.917040e+00             nan    1.176017e+00    6.115073e-02
   3.946941e+00             nan    1.150498e+00    7.831241e-02
   3.976842e+00             nan    1.125577e+00    9.900749e-02
   4.006743e+00             nan    1.101227e+00    1.236749e-01
   4.036644e+00             nan    1.077445e+00    1.526523e-01
   4.066545e+00             nan    1.054204e+00    1.863339e-01
   4.096446e+00             nan    1.031503e+00    2.249402e-01
   4.126347e+00             nan    1.009315e+00    2.687623e-01
   4.156248e+00             nan    9.876394e-01    3.178470e-01
   4.186149e+00             nan    9.664514e-01    3.723329e-01
   4.216050e+00             nan    9.457509e-01    4.320406e-01
   4.245951e+00             nan    9.255131e-01    4.969430e-01
   4.275853e+00             nan    9.057390e-01    5.666057e-01
   4.305754e+00             nan    8.864049e-01    6.408282e-01
   4.335655e+00             nan    8.675119e-01    7.189340e-01
   4.365556e+00             nan    8.490372e-01    8.005833e-01
   4.395457e+00             nan    8.309822e-01    8.848910e-01
   4.425358e+00             nan    8.133256e-01    9.714087e-01
   4.455259e+00             nan    7.960687e-01    1.059101e+00
   4.485160e+00             nan    7.791903e-01    1.147513e+00
   4.515061e+00             nan    7.626928e-01    1.235506e+00
   4.544962e+00             nan    7.465563e-01    1.322639e+00
