# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=3.758e-11, Err(n_e)=1.236e-11, Err(IET)=9.904e-13, Q_net=-1.045e-09
# {"name":"CS2014_Al", "Z":13, "Zstar":2.8844961617307034, "A":26.981539,  "μ[AU]": 2.8907937864e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-03    1.415620e+05    1.415573e+05    1.641564e-03    1.415620e+05    4.750849e+00
   1.005517e-03    1.403961e+05    1.403913e+05    1.641564e-03    1.403961e+05    4.836458e+00
   1.011065e-03    1.392396e+05    1.392349e+05    1.641564e-03    1.392396e+05    4.781067e+00
   1.016643e-03    1.380927e+05    1.380880e+05    1.641564e-03    1.380927e+05    4.765731e+00
   1.022253e-03    1.369553e+05    1.369505e+05    1.641564e-03    1.369553e+05    4.795026e+00
   1.027893e-03    1.358270e+05    1.358224e+05    1.641564e-03    1.358270e+05    4.687342e+00
   1.033564e-03    1.347083e+05    1.347035e+05    1.641564e-03    1.347083e+05    4.757876e+00
   1.039266e-03    1.335986e+05    1.335939e+05    1.641564e-03    1.335986e+05    4.733273e+00
   1.045000e-03    1.324980e+05    1.324933e+05    1.641564e-03    1.324980e+05    4.672882e+00
   1.050766e-03    1.314066e+05    1.314018e+05    1.641564e-03    1.314066e+05    4.728586e+00
   1.056563e-03    1.303240e+05    1.303193e+05    1.641564e-03    1.303240e+05    4.652866e+00
   1.062393e-03    1.292504e+05    1.292457e+05    1.641564e-03    1.292504e+05    4.675588e+00
   1.068254e-03    1.281856e+05    1.281809e+05    1.641564e-03    1.281856e+05    4.679161e+00
   1.074148e-03    1.271295e+05    1.271249e+05    1.641564e-03    1.271295e+05    4.595831e+00
   1.080075e-03    1.260822e+05    1.260776e+05    1.641564e-03    1.260822e+05    4.657442e+00
   1.086034e-03    1.250434e+05    1.250388e+05    1.641564e-03    1.250434e+05    4.610940e+00
   1.092026e-03    1.240132e+05    1.240086e+05    1.641564e-03    1.240132e+05    4.590377e+00
   1.098051e-03    1.229915e+05    1.229869e+05    1.641564e-03    1.229915e+05    4.619319e+00
   1.104109e-03    1.219781e+05    1.219736e+05    1.641564e-03    1.219781e+05    4.526745e+00
   1.110201e-03    1.209732e+05    1.209686e+05    1.641564e-03    1.209732e+05    4.582442e+00
   1.116326e-03    1.199764e+05    1.199718e+05    1.641564e-03    1.199764e+05    4.562887e+00
   1.122485e-03    1.189878e+05    1.189833e+05    1.641564e-03    1.189878e+05    4.512674e+00
   1.128678e-03    1.180074e+05    1.180029e+05    1.641564e-03    1.180074e+05    4.555068e+00
   1.134906e-03    1.170350e+05    1.170305e+05    1.641564e-03    1.170350e+05    4.489052e+00
   1.141167e-03    1.160707e+05    1.160662e+05    1.641564e-03    1.160707e+05    4.503921e+00
   1.147463e-03    1.151142e+05    1.151097e+05    1.641564e-03    1.151142e+05    4.509326e+00
   1.153794e-03    1.141656e+05    1.141612e+05    1.641564e-03    1.141656e+05    4.442469e+00
   1.160160e-03    1.132249e+05    1.132204e+05    1.641564e-03    1.132249e+05    4.486877e+00
   1.166561e-03    1.122918e+05    1.122873e+05    1.641564e-03    1.122918e+05    4.446443e+00
   1.172997e-03    1.113664e+05    1.113620e+05    1.641564e-03    1.113664e+05    4.425664e+00
   1.179469e-03    1.104487e+05    1.104442e+05    1.641564e-03    1.104487e+05    4.451205e+00
   1.185977e-03    1.095384e+05    1.095340e+05    1.641564e-03    1.095384e+05    4.379347e+00
   1.192520e-03    1.086357e+05    1.086313e+05    1.641564e-03    1.086357e+05    4.414235e+00
   1.199100e-03    1.077404e+05    1.077360e+05    1.641564e-03    1.077404e+05    4.398553e+00
   1.205715e-03    1.068524e+05    1.068480e+05    1.641564e-03    1.068524e+05    4.354738e+00
   1.212368e-03    1.059718e+05    1.059674e+05    1.641564e-03    1.059718e+05    4.389153e+00
   1.219057e-03    1.050983e+05    1.050940e+05    1.641564e-03    1.050983e+05    4.330038e+00
   1.225783e-03    1.042321e+05    1.042278e+05    1.641564e-03    1.042321e+05    4.335346e+00
   1.232546e-03    1.033730e+05    1.033687e+05    1.641564e-03    1.033730e+05    4.346178e+00
   1.239346e-03    1.025209e+05    1.025166e+05    1.641564e-03    1.025209e+05    4.290356e+00
   1.246184e-03    1.016759e+05    1.016716e+05    1.641564e-03    1.016759e+05    4.322603e+00
   1.253059e-03    1.008378e+05    1.008335e+05    1.641564e-03    1.008378e+05    4.287366e+00
   1.259973e-03    1.000066e+05    1.000023e+05    1.641564e-03    1.000066e+05    4.263841e+00
   1.266925e-03    9.918225e+04    9.917796e+04    1.641564e-03    9.918225e+04    4.289975e+00
   1.273915e-03    9.836461e+04    9.836038e+04    1.641564e-03    9.836461e+04    4.231670e+00
   1.280943e-03    9.755377e+04    9.754952e+04    1.641564e-03    9.755377e+04    4.248070e+00
   1.288011e-03    9.674957e+04    9.674533e+04    1.641564e-03    9.674957e+04    4.240209e+00
   1.295117e-03    9.595195e+04    9.594775e+04    1.641564e-03    9.595195e+04    4.198517e+00
   1.302263e-03    9.516096e+04    9.515673e+04    1.641564e-03    9.516096e+04    4.229045e+00
   1.309448e-03    9.437639e+04    9.437221e+04    1.641564e-03    9.437639e+04    4.178153e+00
   1.316672e-03    9.359832e+04    9.359415e+04    1.641564e-03    9.359832e+04    4.172090e+00
   1.323937e-03    9.282667e+04    9.282248e+04    1.641564e-03    9.282667e+04    4.189405e+00
   1.331241e-03    9.206130e+04    9.205716e+04    1.641564e-03    9.206130e+04    4.138610e+00
   1.338586e-03    9.130229e+04    9.129813e+04    1.641564e-03    9.130229e+04    4.160560e+00
   1.345972e-03    9.054948e+04    9.054534e+04    1.641564e-03    9.054947e+04    4.133662e+00
   1.353398e-03    8.980285e+04    8.979874e+04    1.641564e-03    8.980285e+04    4.104200e+00
   1.360865e-03    8.906242e+04    8.905828e+04    1.641564e-03    8.906242e+04    4.133590e+00
   1.368373e-03    8.832800e+04    8.832391e+04    1.641564e-03    8.832800e+04    4.083634e+00
   1.375923e-03    8.759967e+04    8.759558e+04    1.641564e-03    8.759967e+04    4.090796e+00
   1.383514e-03    8.687733e+04    8.687324e+04    1.641564e-03    8.687733e+04    4.087858e+00
   1.391148e-03    8.616088e+04    8.615684e+04    1.641564e-03    8.616088e+04    4.043434e+00
   1.398823e-03    8.545040e+04    8.544633e+04    1.641564e-03    8.545040e+04    4.070994e+00
   1.406541e-03    8.474569e+04    8.474166e+04    1.641564e-03    8.474569e+04    4.032821e+00
   1.414301e-03    8.404681e+04    8.404278e+04    1.641564e-03    8.404680e+04    4.019985e+00
   1.422104e-03    8.335370e+04    8.334966e+04    1.641564e-03    8.335370e+04    4.036763e+00
   1.429950e-03    8.266622e+04    8.266223e+04    1.641564e-03    8.266622e+04    3.987196e+00
   1.437840e-03    8.198447e+04    8.198046e+04    1.641564e-03    8.198446e+04    4.006851e+00
   1.445773e-03    8.130828e+04    8.130429e+04    1.641564e-03    8.130828e+04    3.985728e+00
   1.453750e-03    8.063763e+04    8.063368e+04    1.641564e-03    8.063763e+04    3.948704e+00
   1.461770e-03    7.997257e+04    7.996859e+04    1.641564e-03    7.997257e+04    3.979455e+00
   1.469835e-03    7.931291e+04    7.930897e+04    1.641564e-03    7.931290e+04    3.934986e+00
   1.477945e-03    7.865871e+04    7.865477e+04    1.641564e-03    7.865871e+04    3.941626e+00
   1.486099e-03    7.800989e+04    7.800595e+04    1.641564e-03    7.800989e+04    3.938717e+00
   1.494299e-03    7.736636e+04    7.736247e+04    1.641564e-03    7.736636e+04    3.889088e+00
   1.502543e-03    7.672820e+04    7.672428e+04    1.641564e-03    7.672820e+04    3.920546e+00
   1.510833e-03    7.609523e+04    7.609134e+04    1.641564e-03    7.609523e+04    3.886214e+00
   1.519169e-03    7.546748e+04    7.546360e+04    1.641564e-03    7.546748e+04    3.875791e+00
   1.527551e-03    7.484492e+04    7.484103e+04    1.641564e-03    7.484492e+04    3.886384e+00
   1.535979e-03    7.422742e+04    7.422358e+04    1.641564e-03    7.422741e+04    3.835614e+00
   1.544453e-03    7.361506e+04    7.361120e+04    1.641564e-03    7.361506e+04    3.860499e+00
   1.552974e-03    7.300771e+04    7.300386e+04    1.641564e-03    7.300770e+04    3.839918e+00
   1.561542e-03    7.240533e+04    7.240152e+04    1.641564e-03    7.240533e+04    3.809522e+00
   1.570158e-03    7.180796e+04    7.180413e+04    1.641564e-03    7.180796e+04    3.832309e+00
   1.578821e-03    7.121544e+04    7.121165e+04    1.641565e-03    7.121544e+04    3.785536e+00
   1.587532e-03    7.062785e+04    7.062405e+04    1.641565e-03    7.062785e+04    3.799685e+00
   1.596291e-03    7.004507e+04    7.004128e+04    1.641565e-03    7.004507e+04    3.792013e+00
   1.605098e-03    6.946705e+04    6.946330e+04    1.641565e-03    6.946705e+04    3.743357e+00
   1.613954e-03    6.889386e+04    6.889008e+04    1.641565e-03    6.889385e+04    3.777058e+00
   1.622859e-03    6.832531e+04    6.832157e+04    1.641565e-03    6.832531e+04    3.740394e+00
   1.631812e-03    6.776148e+04    6.775774e+04    1.641565e-03    6.776147e+04    3.738428e+00
   1.640816e-03    6.720228e+04    6.719854e+04    1.641565e-03    6.720228e+04    3.742389e+00
   1.649869e-03    6.664763e+04    6.664394e+04    1.641565e-03    6.664763e+04    3.684066e+00
   1.658971e-03    6.609763e+04    6.609391e+04    1.641565e-03    6.609763e+04    3.720885e+00
   1.668124e-03    6.555210e+04    6.554840e+04    1.641565e-03    6.555210e+04    3.696636e+00
   1.677328e-03    6.501105e+04    6.500738e+04    1.641565e-03    6.501105e+04    3.677083e+00
   1.686582e-03    6.447449e+04    6.447080e+04    1.641565e-03    6.447449e+04    3.691573e+00
   1.695888e-03    6.394228e+04    6.393864e+04    1.641565e-03    6.394228e+04    3.640384e+00
   1.705244e-03    6.341453e+04    6.341086e+04    1.641565e-03    6.341452e+04    3.664238e+00
   1.714653e-03    6.289107e+04    6.288742e+04    1.641565e-03    6.289107e+04    3.651174e+00
   1.724113e-03    6.237190e+04    6.236828e+04    1.641565e-03    6.237190e+04    3.615819e+00
   1.733626e-03    6.185706e+04    6.185342e+04    1.641565e-03    6.185706e+04    3.639703e+00
   1.743191e-03    6.134639e+04    6.134279e+04    1.641565e-03    6.134639e+04    3.600431e+00
   1.752808e-03    6.083997e+04    6.083636e+04    1.641565e-03    6.083997e+04    3.607296e+00
   1.762479e-03    6.033770e+04    6.033409e+04    1.641565e-03    6.033770e+04    3.604375e+00
   1.772203e-03    5.983952e+04    5.983596e+04    1.641565e-03    5.983952e+04    3.559725e+00
   1.781981e-03    5.934552e+04    5.934193e+04    1.641565e-03    5.934551e+04    3.587299e+00
   1.791813e-03    5.885552e+04    5.885196e+04    1.641565e-03    5.885552e+04    3.558792e+00
   1.801699e-03    5.836957e+04    5.836602e+04    1.641565e-03    5.836957e+04    3.550341e+00
   1.811639e-03    5.788763e+04    5.788408e+04    1.641565e-03    5.788763e+04    3.556554e+00
   1.821635e-03    5.740961e+04    5.740610e+04    1.641565e-03    5.740961e+04    3.509986e+00
   1.831685e-03    5.693559e+04    5.693205e+04    1.641565e-03    5.693559e+04    3.534470e+00
   1.841791e-03    5.646542e+04    5.646191e+04    1.641565e-03    5.646542e+04    3.515739e+00
   1.851953e-03    5.599913e+04    5.599563e+04    1.641565e-03    5.599912e+04    3.495386e+00
   1.862171e-03    5.553670e+04    5.553319e+04    1.641565e-03    5.553669e+04    3.508004e+00
   1.872445e-03    5.507802e+04    5.507455e+04    1.641565e-03    5.507801e+04    3.465511e+00
   1.882776e-03    5.462317e+04    5.461969e+04    1.641565e-03    5.462317e+04    3.481509e+00
   1.893164e-03    5.417204e+04    5.416856e+04    1.641565e-03    5.417203e+04    3.471604e+00
   1.903609e-03    5.372460e+04    5.372115e+04    1.641565e-03    5.372460e+04    3.444051e+00
   1.914112e-03    5.328088e+04    5.327742e+04    1.641565e-03    5.328088e+04    3.458915e+00
   1.924672e-03    5.284077e+04    5.283734e+04    1.641565e-03    5.284077e+04    3.425901e+00
   1.935291e-03    5.240431e+04    5.240088e+04    1.641565e-03    5.240431e+04    3.427239e+00
   1.945969e-03    5.197145e+04    5.196802e+04    1.641565e-03    5.197144e+04    3.426662e+00
   1.956706e-03    5.154211e+04    5.153871e+04    1.641565e-03    5.154211e+04    3.395335e+00
   1.967501e-03    5.111635e+04    5.111294e+04    1.641565e-03    5.111635e+04    3.409717e+00
   1.978357e-03    5.069405e+04    5.069067e+04    1.641565e-03    5.069405e+04    3.385175e+00
   1.989272e-03    5.027525e+04    5.027187e+04    1.641565e-03    5.027524e+04    3.374478e+00
   2.000247e-03    4.985990e+04    4.985652e+04    1.641565e-03    4.985990e+04    3.381151e+00
   2.011283e-03    4.944794e+04    4.944459e+04    1.641565e-03    4.944793e+04    3.348856e+00
   2.022380e-03    4.903940e+04    4.903604e+04    1.641565e-03    4.903940e+04    3.357899e+00
   2.033538e-03    4.863421e+04    4.863086e+04    1.641565e-03    4.863420e+04    3.343512e+00
   2.044758e-03    4.823234e+04    4.822901e+04    1.641565e-03    4.823234e+04    3.324221e+00
   2.056040e-03    4.783381e+04    4.783047e+04    1.641565e-03    4.783381e+04    3.335316e+00
   2.067383e-03    4.743851e+04    4.743521e+04    1.641565e-03    4.743851e+04    3.304378e+00
   2.078790e-03    4.704650e+04    4.704320e+04    1.641565e-03    4.704650e+04    3.305310e+00
   2.090259e-03    4.665772e+04    4.665441e+04    1.641565e-03    4.665772e+04    3.301310e+00
   2.101792e-03    4.627211e+04    4.626883e+04    1.641565e-03    4.627210e+04    3.276150e+00
   2.113388e-03    4.588971e+04    4.588642e+04    1.641565e-03    4.588970e+04    3.286840e+00
   2.125048e-03    4.551041e+04    4.550715e+04    1.641565e-03    4.551041e+04    3.261494e+00
   2.136773e-03    4.513426e+04    4.513101e+04    1.641565e-03    4.513426e+04    3.253254e+00
   2.148562e-03    4.476122e+04    4.475796e+04    1.641565e-03    4.476122e+04    3.258628e+00
   2.160416e-03    4.439121e+04    4.438798e+04    1.641565e-03    4.439121e+04    3.229965e+00
   2.172336e-03    4.402428e+04    4.402104e+04    1.641565e-03    4.402428e+04    3.237640e+00
   2.184321e-03    4.366035e+04    4.365713e+04    1.641565e-03    4.366035e+04    3.220123e+00
   2.196373e-03    4.329941e+04    4.329621e+04    1.641565e-03    4.329941e+04    3.201915e+00
   2.208491e-03    4.294148e+04    4.293826e+04    1.641565e-03    4.294147e+04    3.213223e+00
