# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.725e-11, Err(n_e)=1.120e-11, Err(IET)=9.883e-13, Q_net=-9.349e-10
# {"name":"Al", "Z":13, "Zstar":2.903712911504316, "A":26.981539,  "μ[AU]": 2.6672195074e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.742246e+02    0.000000e+00
   5.980213e-02             nan    1.338604e+02    0.000000e+00
   8.970320e-02             nan    8.732804e+01    0.000000e+00
   1.196043e-01             nan    6.415517e+01    0.000000e+00
   1.495053e-01             nan    5.031742e+01    0.000000e+00
   1.794064e-01             nan    4.113093e+01    0.000000e+00
   2.093075e-01             nan    3.459825e+01    0.000000e+00
   2.392085e-01             nan    2.971880e+01    0.000000e+00
   2.691096e-01             nan    2.593978e+01    0.000000e+00
   2.990107e-01             nan    2.292839e+01    0.000000e+00
   3.289117e-01             nan    2.047432e+01    0.000000e+00
   3.588128e-01             nan    1.843676e+01    0.000000e+00
   3.887139e-01             nan    1.671918e+01    0.000000e+00
   4.186149e-01             nan    1.525214e+01    0.000000e+00
   4.485160e-01             nan    1.398526e+01    0.000000e+00
   4.784171e-01             nan    1.288041e+01    0.000000e+00
   5.083181e-01             nan    1.190891e+01    0.000000e+00
   5.382192e-01             nan    1.104814e+01    0.000000e+00
   5.681203e-01             nan    1.028053e+01    0.000000e+00
   5.980213e-01             nan    9.591833e+00    0.000000e+00
   6.279224e-01             nan    8.970800e+00    0.000000e+00
   6.578235e-01             nan    8.407966e+00    0.000000e+00
   6.877245e-01             nan    7.895753e+00    0.000000e+00
   7.176256e-01             nan    7.427700e+00    0.000000e+00
   7.475267e-01             nan    6.998519e+00    0.000000e+00
   7.774277e-01             nan    6.603625e+00    0.000000e+00
   8.073288e-01             nan    6.239236e+00    0.000000e+00
   8.372299e-01             nan    5.902006e+00    0.000000e+00
   8.671309e-01             nan    5.589157e+00    0.000000e+00
