# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=3.620e-11, Err(n_e)=7.005e-11, Err(IET)=9.927e-13, Q_net=-4.327e-09
# {"name":"CS2014_Al", "Z":13, "Zstar":4.755660388953646, "A":26.981539,  "μ[AU]": -1.4933241989e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e-01, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-03    1.415545e+05    1.415525e+05    1.838915e-02    1.415545e+05    2.011286e+00
   1.005517e-03    1.403886e+05    1.403916e+05    1.838915e-02    1.403886e+05   -3.019415e+00
   1.011065e-03    1.392322e+05    1.392358e+05    1.838915e-02    1.392322e+05   -3.670233e+00
   1.016643e-03    1.380853e+05    1.380854e+05    1.838915e-02    1.380853e+05   -1.064592e-01
   1.022253e-03    1.369478e+05    1.369471e+05    1.838915e-02    1.369478e+05    6.947712e-01
   1.027893e-03    1.358197e+05    1.358232e+05    1.838915e-02    1.358197e+05   -3.523292e+00
   1.033564e-03    1.347009e+05    1.347038e+05    1.838915e-02    1.347009e+05   -2.986659e+00
   1.039266e-03    1.335912e+05    1.335891e+05    1.838915e-02    1.335912e+05    2.057729e+00
   1.045000e-03    1.324907e+05    1.324916e+05    1.838915e-02    1.324907e+05   -9.507239e-01
   1.050766e-03    1.313992e+05    1.314027e+05    1.838915e-02    1.313992e+05   -3.481670e+00
   1.056563e-03    1.303167e+05    1.303188e+05    1.838915e-02    1.303167e+05   -2.104848e+00
   1.062393e-03    1.292431e+05    1.292406e+05    1.838915e-02    1.292431e+05    2.546793e+00
   1.068254e-03    1.281783e+05    1.281799e+05    1.838915e-02    1.281783e+05   -1.594056e+00
   1.074148e-03    1.271223e+05    1.271258e+05    1.838915e-02    1.271223e+05   -3.477734e+00
   1.080075e-03    1.260750e+05    1.260760e+05    1.838915e-02    1.260750e+05   -9.999138e-01
   1.086034e-03    1.250362e+05    1.250351e+05    1.838915e-02    1.250362e+05    1.103677e+00
   1.092026e-03    1.240061e+05    1.240086e+05    1.838915e-02    1.240061e+05   -2.501865e+00
   1.098051e-03    1.229843e+05    1.229873e+05    1.838915e-02    1.229843e+05   -2.989845e+00
   1.104109e-03    1.219710e+05    1.219707e+05    1.838915e-02    1.219710e+05    2.806899e-01
   1.110201e-03    1.209660e+05    1.209650e+05    1.838915e-02    1.209660e+05    9.874989e-01
   1.116326e-03    1.199693e+05    1.199719e+05    1.838915e-02    1.199693e+05   -2.629553e+00
   1.122485e-03    1.189808e+05    1.189833e+05    1.838915e-02    1.189807e+05   -2.538958e+00
   1.128678e-03    1.180003e+05    1.179994e+05    1.838915e-02    1.180003e+05    8.955606e-01
   1.134906e-03    1.170280e+05    1.170280e+05    1.838915e-02    1.170280e+05   -7.495980e-02
   1.141167e-03    1.160637e+05    1.160666e+05    1.838915e-02    1.160636e+05   -2.986585e+00
   1.147463e-03    1.151072e+05    1.151089e+05    1.838915e-02    1.151072e+05   -1.666909e+00
   1.153794e-03    1.141587e+05    1.141564e+05    1.838915e-02    1.141586e+05    2.221402e+00
   1.160160e-03    1.132179e+05    1.132190e+05    1.838915e-02    1.132179e+05   -1.141340e+00
   1.166561e-03    1.122848e+05    1.122875e+05    1.838915e-02    1.122848e+05   -2.687341e+00
   1.172997e-03    1.113595e+05    1.113603e+05    1.838915e-02    1.113595e+05   -8.430932e-01
   1.179469e-03    1.104417e+05    1.104390e+05    1.838915e-02    1.104417e+05    2.759592e+00
   1.185977e-03    1.095315e+05    1.095331e+05    1.838915e-02    1.095315e+05   -1.613093e+00
   1.192520e-03    1.086288e+05    1.086314e+05    1.838915e-02    1.086288e+05   -2.613215e+00
   1.199100e-03    1.077335e+05    1.077331e+05    1.838915e-02    1.077335e+05    3.923910e-01
   1.205715e-03    1.068456e+05    1.068446e+05    1.838915e-02    1.068456e+05    9.616764e-01
   1.212368e-03    1.059649e+05    1.059670e+05    1.838915e-02    1.059649e+05   -2.147844e+00
   1.219057e-03    1.050916e+05    1.050935e+05    1.838915e-02    1.050915e+05   -1.928998e+00
   1.225783e-03    1.042253e+05    1.042238e+05    1.838915e-02    1.042253e+05    1.552331e+00
   1.232546e-03    1.033662e+05    1.033659e+05    1.838915e-02    1.033662e+05    3.221846e-01
   1.239346e-03    1.025142e+05    1.025164e+05    1.838915e-02    1.025142e+05   -2.158532e+00
   1.246184e-03    1.016691e+05    1.016706e+05    1.838915e-02    1.016691e+05   -1.509530e+00
   1.253059e-03    1.008311e+05    1.008296e+05    1.838915e-02    1.008311e+05    1.449825e+00
   1.259973e-03    9.999992e+04    1.000004e+05    1.838915e-02    9.999990e+04   -4.983374e-01
   1.266925e-03    9.917557e+04    9.917780e+04    1.838915e-02    9.917555e+04   -2.249070e+00
   1.273915e-03    9.835799e+04    9.835845e+04    1.838915e-02    9.835797e+04   -4.773912e-01
   1.280943e-03    9.754711e+04    9.754506e+04    1.838915e-02    9.754709e+04    2.026624e+00
   1.288011e-03    9.674296e+04    9.674408e+04    1.838915e-02    9.674295e+04   -1.131993e+00
   1.295117e-03    9.594538e+04    9.594726e+04    1.838915e-02    9.594536e+04   -1.899422e+00
   1.302263e-03    9.515437e+04    9.515407e+04    1.838915e-02    9.515435e+04    2.752283e-01
   1.309448e-03    9.436986e+04    9.436804e+04    1.838915e-02    9.436984e+04    1.806603e+00
   1.316672e-03    9.359178e+04    9.359325e+04    1.838915e-02    9.359176e+04   -1.482327e+00
   1.323937e-03    9.282015e+04    9.282176e+04    1.838915e-02    9.282013e+04   -1.630715e+00
   1.331241e-03    9.205481e+04    9.205319e+04    1.838915e-02    9.205479e+04    1.598898e+00
   1.338586e-03    9.129579e+04    9.129513e+04    1.838915e-02    9.129577e+04    6.410950e-01
   1.345972e-03    9.054302e+04    9.054468e+04    1.838915e-02    9.054300e+04   -1.680840e+00
   1.353398e-03    8.979642e+04    8.979736e+04    1.838915e-02    8.979640e+04   -9.597174e-01
   1.360865e-03    8.905599e+04    8.905332e+04    1.838915e-02    8.905597e+04    2.647587e+00
   1.368373e-03    8.832158e+04    8.832163e+04    1.838915e-02    8.832156e+04   -6.506881e-02
   1.375923e-03    8.759327e+04    8.759490e+04    1.838915e-02    8.759325e+04   -1.646517e+00
   1.383514e-03    8.687095e+04    8.687133e+04    1.838915e-02    8.687093e+04   -3.915762e-01
