# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.620e-11, Err(n_e)=7.005e-11, Err(IET)=9.740e-13, Q_net=-4.327e-09
# {"name":"Al", "Z":13, "Zstar":4.755660388953646, "A":26.981539,  "μ[AU]": -1.4933241989e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e+00, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    7.495957e+02    0.000000e+00
   5.980213e-02             nan    3.713875e+02    0.000000e+00
   8.970320e-02             nan    2.453373e+02    0.000000e+00
   1.196043e-01             nan    1.823045e+02    0.000000e+00
   1.495053e-01             nan    1.444927e+02    0.000000e+00
   1.794064e-01             nan    1.192827e+02    0.000000e+00
   2.093075e-01             nan    1.012802e+02    0.000000e+00
   2.392085e-01             nan    8.777803e+01    0.000000e+00
   2.691096e-01             nan    7.727977e+01    0.000000e+00
   2.990107e-01             nan    6.888150e+01    0.000000e+00
   3.289117e-01             nan    6.201298e+01    0.000000e+00
   3.588128e-01             nan    5.628991e+01    0.000000e+00
   3.887139e-01             nan    5.144970e+01    0.000000e+00
   4.186149e-01             nan    4.730183e+01    0.000000e+00
   4.485160e-01             nan    4.370912e+01    0.000000e+00
   4.784171e-01             nan    4.056649e+01    0.000000e+00
   5.083181e-01             nan    3.779549e+01    0.000000e+00
   5.382192e-01             nan    3.533341e+01    0.000000e+00
   5.681203e-01             nan    3.313227e+01    0.000000e+00
   5.980213e-01             nan    3.115230e+01    9.257040e-13
   6.279224e-01             nan    2.936255e+01    2.717759e-11
   6.578235e-01             nan    2.773657e+01    1.365918e-10
   6.877245e-01             nan    2.625354e+01    5.365004e-10
   7.176256e-01             nan    2.489515e+01    1.840141e-09
   7.475267e-01             nan    2.364690e+01    5.680217e-09
   7.774277e-01             nan    2.249573e+01    1.602955e-08
   8.073288e-01             nan    2.143123e+01    4.178726e-08
   8.372299e-01             nan    2.044380e+01    1.015396e-07
   8.671309e-01             nan    1.952581e+01    2.316032e-07
   8.970320e-01             nan    1.867004e+01    4.991448e-07
   9.269331e-01             nan    1.787076e+01    1.021751e-06
   9.568341e-01             nan    1.712243e+01    1.996562e-06
   9.867352e-01             nan    1.642069e+01    3.739090e-06
   1.016636e+00             nan    1.576121e+01    6.737486e-06
   1.046537e+00             nan    1.514060e+01    1.171705e-05
   1.076438e+00             nan    1.455542e+01    1.972777e-05
   1.106339e+00             nan    1.400301e+01    3.223528e-05
   1.136241e+00             nan    1.348062e+01    5.124658e-05
   1.166142e+00             nan    1.298611e+01    7.941793e-05
   1.196043e+00             nan    1.251724e+01    1.202202e-04
   1.225944e+00             nan    1.207231e+01    1.780403e-04
   1.255845e+00             nan    1.164945e+01    2.583868e-04
   1.285746e+00             nan    1.124729e+01    3.679460e-04
   1.315647e+00             nan    1.086427e+01    5.148330e-04
   1.345548e+00             nan    1.049927e+01    7.085481e-04
   1.375449e+00             nan    1.015099e+01    9.602907e-04
   1.405350e+00             nan    9.818480e+00    1.282746e-03
   1.435251e+00             nan    9.500654e+00    1.690500e-03
   1.465152e+00             nan    9.196723e+00    2.199571e-03
   1.495053e+00             nan    8.905756e+00    2.827993e-03
   1.524954e+00             nan    8.627092e+00    3.594992e-03
   1.554855e+00             nan    8.359930e+00    4.521827e-03
   1.584757e+00             nan    8.103713e+00    5.630511e-03
   1.614658e+00             nan    7.857749e+00    6.945030e-03
   1.644559e+00             nan    7.621565e+00    8.489475e-03
   1.674460e+00             nan    7.394557e+00    1.028981e-02
   1.704361e+00             nan    7.176324e+00    1.237127e-02
   1.734262e+00             nan    6.966337e+00    1.476085e-02
   1.764163e+00             nan    6.764250e+00    1.748382e-02
   1.794064e+00             nan    6.569600e+00    2.056714e-02
   1.823965e+00             nan    6.382090e+00    2.403493e-02
   1.853866e+00             nan    6.201308e+00    2.791304e-02
   1.883767e+00             nan    6.026998e+00    3.222325e-02
   1.913668e+00             nan    5.858796e+00    3.698923e-02
   1.943569e+00             nan    5.696478e+00    4.222931e-02
   1.973470e+00             nan    5.539719e+00    4.796406e-02
   2.003371e+00             nan    5.388327e+00    5.420743e-02
   2.033273e+00             nan    5.242007e+00    6.097609e-02
   2.063174e+00             nan    5.100593e+00    6.827886e-02
   2.093075e+00             nan    4.963822e+00    7.612798e-02
   2.122976e+00             nan    4.831546e+00    8.452658e-02
   2.152877e+00             nan    4.703527e+00    9.348214e-02
   2.182778e+00             nan    4.579637e+00    1.029918e-01
   2.212679e+00             nan    4.459661e+00    1.130583e-01
   2.242580e+00             nan    4.343486e+00    1.236726e-01
   2.272481e+00             nan    4.230915e+00    1.348327e-01
   2.302382e+00             nan    4.121849e+00    1.465238e-01
   2.332283e+00             nan    4.016110e+00    1.587394e-01
   2.362184e+00             nan    3.913610e+00    1.714591e-01
   2.392085e+00             nan    3.814185e+00    1.846725e-01
   2.421986e+00             nan    3.717759e+00    1.983543e-01
   2.451887e+00             nan    3.624181e+00    2.124905e-01
   2.481789e+00             nan    3.533383e+00    2.270514e-01
   2.511690e+00             nan    3.445227e+00    2.420202e-01
   2.541591e+00             nan    3.359653e+00    2.573638e-01
   2.571492e+00             nan    3.276534e+00    2.730632e-01
   2.601393e+00             nan    3.195815e+00    2.890822e-01
   2.631294e+00             nan    3.117381e+00    3.054005e-01
   2.661195e+00             nan    3.041183e+00    3.219799e-01
   2.691096e+00             nan    2.967112e+00    3.387993e-01
   2.720997e+00             nan    2.895128e+00    3.558190e-01
   2.750898e+00             nan    2.825128e+00    3.730181e-01
   2.780799e+00             nan    2.757076e+00    3.903560e-01
   2.810700e+00             nan    2.690878e+00    4.078124e-01
   2.840601e+00             nan    2.626500e+00    4.253467e-01
   2.870502e+00             nan    2.563856e+00    4.429396e-01
   2.900403e+00             nan    2.502917e+00    4.605510e-01
   2.930305e+00             nan    2.443601e+00    4.781632e-01
   2.960206e+00             nan    2.385881e+00    4.957371e-01
   2.990107e+00             nan    2.329683e+00    5.132568e-01
   3.020008e+00             nan    2.274983e+00    5.306846e-01
   3.049909e+00             nan    2.221710e+00    5.480070e-01
   3.079810e+00             nan    2.169844e+00    5.651879e-01
   3.109711e+00             nan    2.119318e+00    5.822161e-01
   3.139612e+00             nan    2.070113e+00    5.990576e-01
   3.169513e+00             nan    2.022169e+00    6.157039e-01
   3.199414e+00             nan    1.975468e+00    6.321231e-01
   3.229315e+00             nan    1.929951e+00    6.483092e-01
   3.259216e+00             nan    1.885606e+00    6.642326e-01
   3.289117e+00             nan    1.842376e+00    6.798902e-01
   3.319018e+00             nan    1.800249e+00    6.952547e-01
   3.348919e+00             nan    1.759173e+00    7.103254e-01
   3.378821e+00             nan    1.719137e+00    7.250774e-01
   3.408722e+00             nan    1.680092e+00    7.395127e-01
   3.438623e+00             nan    1.642029e+00    7.536086e-01
   3.468524e+00             nan    1.604900e+00    7.673695e-01
   3.498425e+00             nan    1.568698e+00    7.807750e-01
   3.528326e+00             nan    1.533378e+00    7.938317e-01
   3.558227e+00             nan    1.498934e+00    8.065214e-01
   3.588128e+00             nan    1.465324e+00    8.188526e-01
   3.618029e+00             nan    1.432541e+00    8.308094e-01
   3.647930e+00             nan    1.400547e+00    8.424020e-01
   3.677831e+00             nan    1.369335e+00    8.536164e-01
   3.707732e+00             nan    1.338869e+00    8.644646e-01
   3.737633e+00             nan    1.309144e+00    8.749342e-01
   3.767534e+00             nan    1.280125e+00    8.850387e-01
   3.797435e+00             nan    1.251807e+00    8.947673e-01
   3.827337e+00             nan    1.224157e+00    9.041349e-01
   3.857238e+00             nan    1.197172e+00    9.131321e-01
   3.887139e+00             nan    1.170819e+00    9.217747e-01
