# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.370e-10, Err(n_e)=1.105e-11, Err(IET)=9.978e-13, Q_net=-9.295e-10
# {"name":"Al", "Z":13, "Zstar":2.9072932231659827, "A":26.981539,  "μ[AU]": 2.6671011411e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.917869e+02    0.000000e+00
   5.980213e-02             nan    1.499464e+02    0.000000e+00
   8.970320e-02             nan    1.023255e+02    0.000000e+00
   1.196043e-01             nan    7.820480e+01    0.000000e+00
   1.495053e-01             nan    6.352301e+01    0.000000e+00
   1.794064e-01             nan    5.355873e+01    0.000000e+00
   2.093075e-01             nan    4.631170e+01    0.000000e+00
   2.392085e-01             nan    4.076592e+01    0.000000e+00
   2.691096e-01             nan    3.636802e+01    0.000000e+00
   2.990107e-01             nan    3.277655e+01    0.000000e+00
   3.289117e-01             nan    2.978113e+01    0.000000e+00
   3.588128e-01             nan    2.723505e+01    0.000000e+00
   3.887139e-01             nan    2.504139e+01    0.000000e+00
   4.186149e-01             nan    2.312639e+01    0.000000e+00
   4.485160e-01             nan    2.143931e+01    0.000000e+00
   4.784171e-01             nan    1.993865e+01    0.000000e+00
   5.083181e-01             nan    1.859529e+01    0.000000e+00
   5.382192e-01             nan    1.738392e+01    0.000000e+00
   5.681203e-01             nan    1.628656e+01    0.000000e+00
   5.980213e-01             nan    1.528671e+01    0.000000e+00
   6.279224e-01             nan    1.437270e+01    0.000000e+00
   6.578235e-01             nan    1.353322e+01    0.000000e+00
   6.877245e-01             nan    1.276032e+01    0.000000e+00
   7.176256e-01             nan    1.204593e+01    0.000000e+00
   7.475267e-01             nan    1.138442e+01    0.000000e+00
   7.774277e-01             nan    1.076986e+01    0.000000e+00
   8.073288e-01             nan    1.019815e+01    0.000000e+00
   8.372299e-01             nan    9.664761e+00    0.000000e+00
   8.671309e-01             nan    9.166650e+00    0.000000e+00
   8.970320e-01             nan    8.700295e+00    0.000000e+00
   9.269331e-01             nan    8.263377e+00    0.000000e+00
   9.568341e-01             nan    7.853095e+00    0.000000e+00
   9.867352e-01             nan    7.467649e+00    0.000000e+00
   1.016636e+00             nan    7.104782e+00    0.000000e+00
   1.046537e+00             nan    6.763078e+00    0.000000e+00
   1.076438e+00             nan    6.440686e+00    0.000000e+00
   1.106339e+00             nan    6.136474e+00    0.000000e+00
   1.136241e+00             nan    5.848905e+00    0.000000e+00
   1.166142e+00             nan    5.577068e+00    0.000000e+00
   1.196043e+00             nan    5.319670e+00    0.000000e+00
   1.225944e+00             nan    5.075975e+00    0.000000e+00
   1.255845e+00             nan    4.844884e+00    0.000000e+00
   1.285746e+00             nan    4.625790e+00    0.000000e+00
   1.315647e+00             nan    4.417756e+00    0.000000e+00
   1.345548e+00             nan    4.220282e+00    0.000000e+00
   1.375449e+00             nan    4.032558e+00    0.000000e+00
   1.405350e+00             nan    3.854168e+00    0.000000e+00
   1.435251e+00             nan    3.684410e+00    0.000000e+00
   1.465152e+00             nan    3.522939e+00    0.000000e+00
   1.495053e+00             nan    3.369138e+00    0.000000e+00
   1.524954e+00             nan    3.222718e+00    0.000000e+00
   1.554855e+00             nan    3.083139e+00    0.000000e+00
   1.584757e+00             nan    2.950158e+00    0.000000e+00
   1.614658e+00             nan    2.823297e+00    0.000000e+00
   1.644559e+00             nan    2.702350e+00    0.000000e+00
   1.674460e+00             nan    2.586893e+00    0.000000e+00
