# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.343e-10, Err(n_e)=6.972e-11, Err(IET)=9.992e-13, Q_net=-4.338e-09
# {"name":"Al", "Z":13, "Zstar":4.763648122022713, "A":26.981539,  "μ[AU]": -1.4933693199e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.131550e+02    0.000000e+00
   5.980213e-02             nan    4.284709e+02    0.000000e+00
   8.970320e-02             nan    2.974656e+02    0.000000e+00
   1.196043e-01             nan    2.299639e+02    0.000000e+00
   1.495053e-01             nan    1.882030e+02    0.000000e+00
   1.794064e-01             nan    1.593814e+02    0.000000e+00
   2.093075e-01             nan    1.381256e+02    0.000000e+00
   2.392085e-01             nan    1.216439e+02    0.000000e+00
   2.691096e-01             nan    1.084449e+02    0.000000e+00
   2.990107e-01             nan    9.757142e+01    0.000000e+00
   3.289117e-01             nan    8.845257e+01    0.000000e+00
   3.588128e-01             nan    8.066484e+01    0.000000e+00
   3.887139e-01             nan    7.394271e+01    0.000000e+00
   4.186149e-01             nan    6.806706e+01    0.000000e+00
   4.485160e-01             nan    6.289661e+01    0.000000e+00
   4.784171e-01             nan    5.830351e+01    0.000000e+00
   5.083181e-01             nan    5.420594e+01    0.000000e+00
   5.382192e-01             nan    5.052313e+01    0.000000e+00
   5.681203e-01             nan    4.720370e+01    0.000000e+00
   5.980213e-01             nan    4.419345e+01    0.000000e+00
   6.279224e-01             nan    4.145863e+01    0.000000e+00
   6.578235e-01             nan    3.896082e+01    0.000000e+00
   6.877245e-01             nan    3.667696e+01    0.000000e+00
   7.176256e-01             nan    3.457895e+01    0.000000e+00
   7.475267e-01             nan    3.265047e+01    0.000000e+00
   7.774277e-01             nan    3.087024e+01    0.000000e+00
   8.073288e-01             nan    2.922647e+01    0.000000e+00
   8.372299e-01             nan    2.770269e+01    0.000000e+00
   8.671309e-01             nan    2.629021e+01    0.000000e+00
   8.970320e-01             nan    2.497601e+01    0.000000e+00
   9.269331e-01             nan    2.375359e+01    0.000000e+00
   9.568341e-01             nan    2.261252e+01    0.000000e+00
   9.867352e-01             nan    2.154784e+01    0.000000e+00
   1.016636e+00             nan    2.055107e+01    0.000000e+00
   1.046537e+00             nan    1.961845e+01    0.000000e+00
   1.076438e+00             nan    1.874296e+01    0.000000e+00
   1.106339e+00             nan    1.792172e+01    0.000000e+00
   1.136241e+00             nan    1.714888e+01    0.000000e+00
   1.166142e+00             nan    1.642223e+01    0.000000e+00
   1.196043e+00             nan    1.573685e+01    0.000000e+00
   1.225944e+00             nan    1.509103e+01    0.000000e+00
   1.255845e+00             nan    1.448060e+01    0.000000e+00
   1.285746e+00             nan    1.390425e+01    0.000000e+00
   1.315647e+00             nan    1.335840e+01    0.000000e+00
   1.345548e+00             nan    1.284206e+01    0.000000e+00
   1.375449e+00             nan    1.235213e+01    0.000000e+00
   1.405350e+00             nan    1.188789e+01    0.000000e+00
   1.435251e+00             nan    1.144662e+01    0.000000e+00
   1.465152e+00             nan    1.102780e+01    0.000000e+00
   1.495053e+00             nan    1.062907e+01    0.000000e+00
   1.524954e+00             nan    1.025003e+01    0.000000e+00
   1.554855e+00             nan    9.888618e+00    0.000000e+00
   1.584757e+00             nan    9.544558e+00    0.000000e+00
   1.614658e+00             nan    9.216022e+00    0.000000e+00
   1.644559e+00             nan    8.902836e+00    0.000000e+00
   1.674460e+00             nan    8.603371e+00    0.000000e+00
   1.704361e+00             nan    8.317532e+00    0.000000e+00
   1.734262e+00             nan    8.043864e+00    0.000000e+00
   1.764163e+00             nan    7.782332e+00    0.000000e+00
   1.794064e+00             nan    7.531631e+00    0.000000e+00
   1.823965e+00             nan    7.291775e+00    0.000000e+00
   1.853866e+00             nan    7.061586e+00    0.000000e+00
   1.883767e+00             nan    6.841119e+00    0.000000e+00
   1.913668e+00             nan    6.629306e+00    0.000000e+00
   1.943569e+00             nan    6.426233e+00    0.000000e+00
   1.973470e+00             nan    6.230929e+00    0.000000e+00
   2.003371e+00             nan    6.043505e+00    0.000000e+00
   2.033273e+00             nan    5.863074e+00    0.000000e+00
   2.063174e+00             nan    5.689766e+00    0.000000e+00
   2.093075e+00             nan    5.522769e+00    0.000000e+00
   2.122976e+00             nan    5.362228e+00    0.000000e+00
   2.152877e+00             nan    5.207396e+00    0.000000e+00
   2.182778e+00             nan    5.058428e+00    0.000000e+00
   2.212679e+00             nan    4.914638e+00    0.000000e+00
   2.242580e+00             nan    4.776187e+00    0.000000e+00
   2.272481e+00             nan    4.642441e+00    0.000000e+00
   2.302382e+00             nan    4.513568e+00    0.000000e+00
   2.332283e+00             nan    4.388980e+00    0.000000e+00
   2.362184e+00             nan    4.268848e+00    0.000000e+00
   2.392085e+00             nan    4.152626e+00    0.000000e+00
   2.421986e+00             nan    4.040487e+00    0.000000e+00
   2.451887e+00             nan    3.931923e+00    0.000000e+00
   2.481789e+00             nan    3.827109e+00    0.000000e+00
   2.511690e+00             nan    3.725568e+00    0.000000e+00
   2.541591e+00             nan    3.627475e+00    0.000000e+00
   2.571492e+00             nan    3.532386e+00    0.000000e+00
   2.601393e+00             nan    3.440475e+00    0.000000e+00
   2.631294e+00             nan    3.351323e+00    0.000000e+00
   2.661195e+00             nan    3.265103e+00    0.000000e+00
   2.691096e+00             nan    3.181423e+00    0.000000e+00
   2.720997e+00             nan    3.100453e+00    0.000000e+00
   2.750898e+00             nan    3.021823e+00    0.000000e+00
   2.780799e+00             nan    2.945702e+00    0.000000e+00
   2.810700e+00             nan    2.871740e+00    0.000000e+00
   2.840601e+00             nan    2.800104e+00    0.000000e+00
   2.870502e+00             nan    2.730462e+00    0.000000e+00
   2.900403e+00             nan    2.662979e+00    4.446887e-12
   2.930305e+00             nan    2.597343e+00    2.107203e-11
   2.960206e+00             nan    2.533715e+00    7.482548e-11
   2.990107e+00             nan    2.471800e+00    2.414233e-10
   3.020008e+00             nan    2.411762e+00    7.310739e-10
   3.049909e+00             nan    2.353321e+00    2.114013e-09
   3.079810e+00             nan    2.296635e+00    5.828692e-09
   3.109711e+00             nan    2.241435e+00    1.544955e-08
   3.139612e+00             nan    2.187874e+00    3.921772e-08
   3.169513e+00             nan    2.135698e+00    9.602182e-08
   3.199414e+00             nan    2.085055e+00    2.258708e-07
   3.229315e+00             nan    2.035702e+00    5.139005e-07
   3.259216e+00             nan    1.987785e+00    1.126514e-06
   3.289117e+00             nan    1.941071e+00    2.394562e-06
   3.319018e+00             nan    1.895702e+00    4.916947e-06
   3.348919e+00             nan    1.851456e+00    9.813212e-06
   3.378821e+00             nan    1.808473e+00    1.896515e-05
   3.408722e+00             nan    1.766539e+00    3.570185e-05
   3.438623e+00             nan    1.725791e+00    6.522813e-05
   3.468524e+00             nan    1.686024e+00    1.163147e-04
   3.498425e+00             nan    1.647372e+00    2.017197e-04
   3.528326e+00             nan    1.609638e+00    3.420796e-04
   3.558227e+00             nan    1.572953e+00    5.652791e-04
   3.588128e+00             nan    1.537129e+00    9.149708e-04
   3.618029e+00             nan    1.502293e+00    1.445748e-03
   3.647930e+00             nan    1.468264e+00    2.241206e-03
   3.677831e+00             nan    1.435167e+00    3.397337e-03
   3.707732e+00             nan    1.402827e+00    5.059942e-03
   3.737633e+00             nan    1.371366e+00    7.380689e-03
   3.767534e+00             nan    1.340616e+00    1.059248e-02
   3.797435e+00             nan    1.310696e+00    1.490991e-02
   3.827337e+00             nan    1.281445e+00    2.067567e-02
   3.857238e+00             nan    1.252978e+00    2.815851e-02
   3.887139e+00             nan    1.225140e+00    3.782566e-02
   3.917040e+00             nan    1.198044e+00    4.996654e-02
   3.946941e+00             nan    1.171540e+00    6.517496e-02
   3.976842e+00             nan    1.145739e+00    8.369734e-02
   4.006743e+00             nan    1.120496e+00    1.062438e-01
   4.036644e+00             nan    1.095918e+00    1.329241e-01
   4.066545e+00             nan    1.071866e+00    1.645445e-01
   4.096446e+00             nan    1.048444e+00    2.009648e-01
   4.126347e+00             nan    1.025519e+00    2.430686e-01
   4.156248e+00             nan    1.003192e+00    2.903456e-01
   4.186149e+00             nan    9.813336e-01    3.437439e-01
   4.216050e+00             nan    9.600434e-01    4.022760e-01
   4.245951e+00             nan    9.391952e-01    4.669710e-01
   4.275853e+00             nan    9.188873e-01    5.362760e-01
   4.305754e+00             nan    8.989968e-01    6.113408e-01
   4.335655e+00             nan    8.796199e-01    6.900092e-01
   4.365556e+00             nan    8.606379e-01    7.736000e-01
   4.395457e+00             nan    8.421442e-01    8.593652e-01
   4.425358e+00             nan    8.240241e-01    9.488670e-01
   4.455259e+00             nan    8.063693e-01    1.038792e+00
   4.485160e+00             nan    7.890677e-01    1.131044e+00
   4.515061e+00             nan    7.722091e-01    1.221824e+00
   4.544962e+00             nan    7.556854e-01    1.313410e+00
   4.574863e+00             nan    7.395838e-01    1.401631e+00
   4.604764e+00             nan    7.237992e-01    1.489219e+00
   4.634665e+00             nan    7.084171e-01    1.571698e+00
   4.664566e+00             nan    6.933357e-01    1.652251e+00
   4.694467e+00             nan    6.786382e-01    1.726238e+00
   4.724369e+00             nan    6.642254e-01    1.797300e+00
   4.754270e+00             nan    6.501792e-01    1.860676e+00
   4.784171e+00             nan    6.364034e-01    1.920407e+00
   4.814072e+00             nan    6.229776e-01    1.971735e+00
   4.843973e+00             nan    6.098079e-01    2.019057e+00
   4.873874e+00             nan    5.969726e-01    2.057637e+00
   4.903775e+00             nan    5.843808e-01    2.092120e+00
   4.933676e+00             nan    5.721086e-01    2.117873e+00
   4.963577e+00             nan    5.600671e-01    2.139738e+00
   4.993478e+00             nan    5.483311e-01    2.153188e+00
   5.023379e+00             nan    5.368143e-01    2.163141e+00
   5.053280e+00             nan    5.255900e-01    2.165201e+00
   5.083181e+00             nan    5.145739e-01    2.164301e+00
   5.113082e+00             nan    5.038374e-01    2.156225e+00
   5.142983e+00             nan    4.932984e-01    2.145825e+00
   5.172885e+00             nan    4.830271e-01    2.129041e+00
   5.202786e+00             nan    4.729435e-01    2.110596e+00
   5.232687e+00             nan    4.631165e-01    2.086589e+00
   5.262588e+00             nan    4.534677e-01    2.061570e+00
   5.292489e+00             nan    4.440645e-01    2.031831e+00
   5.322390e+00             nan    4.348305e-01    2.001709e+00
   5.352291e+00             nan    4.258317e-01    1.967658e+00
   5.382192e+00             nan    4.169937e-01    1.933775e+00
   5.412093e+00             nan    4.083811e-01    1.896690e+00
   5.441994e+00             nan    3.999214e-01    1.860241e+00
   5.471895e+00             nan    3.916779e-01    1.821239e+00
   5.501796e+00             nan    3.835794e-01    1.783288e+00
   5.531697e+00             nan    3.756881e-01    1.743361e+00
   5.561598e+00             nan    3.679345e-01    1.704802e+00
   5.591499e+00             nan    3.603794e-01    1.664758e+00
   5.621401e+00             nan    3.529552e-01    1.626327e+00
   5.651302e+00             nan    3.457215e-01    1.586815e+00
   5.681203e+00             nan    3.386121e-01    1.549087e+00
   5.711104e+00             nan    3.316857e-01    1.510609e+00
   5.741005e+00             nan    3.248771e-01    1.474040e+00
   5.770906e+00             nan    3.182439e-01    1.436994e+00
   5.800807e+00             nan    3.117226e-01    1.401927e+00
   5.830708e+00             nan    3.053695e-01    1.366595e+00
   5.860609e+00             nan    2.991227e-01    1.333267e+00
   5.890510e+00             nan    2.930373e-01    1.299837e+00
   5.920411e+00             nan    2.870527e-01    1.268403e+00
   5.950312e+00             nan    2.812231e-01    1.236987e+00
   5.980213e+00             nan    2.754891e-01    1.207532e+00
   6.010114e+00             nan    2.699042e-01    1.178178e+00
   6.040015e+00             nan    2.644100e-01    1.150733e+00
   6.069917e+00             nan    2.590588e-01    1.123456e+00
   6.099818e+00             nan    2.537935e-01    1.098023e+00
   6.129719e+00             nan    2.486655e-01    1.072796e+00
   6.159620e+00             nan    2.436189e-01    1.049339e+00
   6.189521e+00             nan    2.387043e-01    1.026111e+00
   6.219422e+00             nan    2.338668e-01    1.004572e+00
   6.249323e+00             nan    2.291561e-01    9.832705e-01
   6.279224e+00             nan    2.245185e-01    9.635756e-01
   6.309125e+00             nan    2.200027e-01    9.441180e-01
   6.339026e+00             nan    2.155562e-01    9.261828e-01
   6.368927e+00             nan    2.112268e-01    9.084777e-01
   6.398828e+00             nan    2.069630e-01    8.922122e-01
   6.428729e+00             nan    2.028119e-01    8.761631e-01
   6.458630e+00             nan    1.987230e-01    8.614742e-01
   6.488531e+00             nan    1.947423e-01    8.469884e-01
   6.518433e+00             nan    1.908205e-01    8.337896e-01
   6.548334e+00             nan    1.870027e-01    8.207763e-01
   6.578235e+00             nan    1.832406e-01    8.089802e-01
   6.608136e+00             nan    1.795786e-01    7.973515e-01
   6.638037e+00             nan    1.759693e-01    7.868729e-01
   6.667938e+00             nan    1.724563e-01    7.765440e-01
   6.697839e+00             nan    1.689931e-01    7.673035e-01
   6.727740e+00             nan    1.656227e-01    7.581940e-01
   6.757641e+00             nan    1.622994e-01    7.501167e-01
   6.787542e+00             nan    1.590654e-01    7.421524e-01
   6.817443e+00             nan    1.558759e-01    7.351679e-01
   6.847344e+00             nan    1.527725e-01    7.282801e-01
   6.877245e+00             nan    1.497111e-01    7.223240e-01
   6.907146e+00             nan    1.467327e-01    7.164483e-01
   6.937047e+00             nan    1.437939e-01    7.114617e-01
   6.966949e+00             nan    1.409352e-01    7.065404e-01
   6.996850e+00             nan    1.381139e-01    7.024682e-01
   7.026751e+00             nan    1.353698e-01    6.984480e-01
   7.056652e+00             nan    1.326611e-01    6.952413e-01
   7.086553e+00             nan    1.300270e-01    6.920724e-01
   7.116454e+00             nan    1.274262e-01    6.896847e-01
   7.146355e+00             nan    1.248973e-01    6.873247e-01
   7.176256e+00             nan    1.223999e-01    6.857180e-01
   7.206157e+00             nan    1.199718e-01    6.841278e-01
   7.236058e+00             nan    1.175735e-01    6.832657e-01
   7.265959e+00             nan    1.152421e-01    6.824109e-01
   7.295860e+00             nan    1.129388e-01    6.822612e-01
   7.325761e+00             nan    1.107002e-01    6.821094e-01
   7.355662e+00             nan    1.084880e-01    6.826425e-01
   7.385563e+00             nan    1.063383e-01    6.831658e-01
   7.415465e+00             nan    1.042135e-01    6.843562e-01
   7.445366e+00             nan    1.021492e-01    6.855287e-01
   7.475267e+00             nan    1.001083e-01    6.873524e-01
   7.505168e+00             nan    9.812594e-02    6.891514e-01
   7.535069e+00             nan    9.616560e-02    6.915880e-01
   7.564970e+00             nan    9.426186e-02    6.939934e-01
   7.594871e+00             nan    9.237887e-02    6.970240e-01
   7.624772e+00             nan    9.055066e-02    7.000171e-01
   7.654673e+00             nan    8.874197e-02    7.036249e-01
   7.684574e+00             nan    8.698629e-02    7.071898e-01
   7.714475e+00             nan    8.524895e-02    7.113603e-01
   7.744376e+00             nan    8.356295e-02    7.154822e-01
   7.774277e+00             nan    8.189418e-02    7.202016e-01
   7.804178e+00             nan    8.027516e-02    7.248668e-01
   7.834079e+00             nan    7.867228e-02    7.301229e-01
   7.863981e+00             nan    7.711760e-02    7.353197e-01
   7.893882e+00             nan    7.557804e-02    7.411015e-01
   7.923783e+00             nan    7.408520e-02    7.468184e-01
   7.953684e+00             nan    7.260651e-02    7.531150e-01
   7.983585e+00             nan    7.117312e-02    7.593410e-01
   8.013486e+00             nan    6.975295e-02    7.661420e-01
   8.043387e+00             nan    6.837670e-02    7.728664e-01
   8.073288e+00             nan    6.701279e-02    7.801614e-01
   8.103189e+00             nan    6.569146e-02    7.873733e-01
   8.133090e+00             nan    6.438161e-02    7.951512e-01
   8.162991e+00             nan    6.311307e-02    8.028385e-01
   8.192892e+00             nan    6.185521e-02    8.110867e-01
   8.222793e+00             nan    6.063742e-02    8.192354e-01
   8.252694e+00             nan    5.942953e-02    8.279393e-01
   8.282595e+00             nan    5.826053e-02    8.365332e-01
   8.312497e+00             nan    5.710067e-02    8.456753e-01
   8.342398e+00             nan    5.597854e-02    8.546949e-01
   8.372299e+00             nan    5.486484e-02    8.642538e-01
   8.402200e+00             nan    5.378776e-02    8.736752e-01
   8.432101e+00             nan    5.271841e-02    8.836245e-01
   8.462002e+00             nan    5.168460e-02    8.934181e-01
   8.491903e+00             nan    5.065786e-02    9.037252e-01
   8.521804e+00             nan    4.966564e-02    9.138543e-01
   8.551705e+00             nan    4.867986e-02    9.244783e-01
   8.581606e+00             nan    4.772759e-02    9.348983e-01
   8.611507e+00             nan    4.678114e-02    9.457914e-01
   8.641408e+00             nan    4.586720e-02    9.564499e-01
   8.671309e+00             nan    4.495848e-02    9.675546e-01
   8.701210e+00             nan    4.408133e-02    9.783889e-01
   8.731111e+00             nan    4.320883e-02    9.896374e-01
   8.761013e+00             nan    4.236698e-02    1.000575e+00
   8.790914e+00             nan    4.152923e-02    1.011889e+00
   8.820815e+00             nan    4.072125e-02    1.022845e+00
   8.850716e+00             nan    3.991684e-02    1.034136e+00
   8.880617e+00             nan    3.914133e-02    1.045018e+00
   8.910518e+00             nan    3.836890e-02    1.056188e+00
   8.940419e+00             nan    3.762453e-02    1.066893e+00
   8.970320e+00             nan    3.688276e-02    1.077834e+00
   9.000221e+00             nan    3.616824e-02    1.088253e+00
   9.030122e+00             nan    3.545585e-02    1.098851e+00
   9.060023e+00             nan    3.476994e-02    1.108867e+00
   9.089924e+00             nan    3.408571e-02    1.119006e+00
   9.119825e+00             nan    3.342721e-02    1.128500e+00
   9.149726e+00             nan    3.276996e-02    1.138059e+00
   9.179627e+00             nan    3.213771e-02    1.146914e+00
   9.209529e+00             nan    3.150630e-02    1.155778e+00
   9.239430e+00             nan    3.089919e-02    1.163879e+00
   9.269331e+00             nan    3.029254e-02    1.171935e+00
   9.299232e+00             nan    2.970950e-02    1.179177e+00
   9.329133e+00             nan    2.912656e-02    1.186323e+00
   9.359034e+00             nan    2.856657e-02    1.192609e+00
   9.388935e+00             nan    2.800632e-02    1.198758e+00
   9.418836e+00             nan    2.746840e-02    1.204008e+00
   9.448737e+00             nan    2.692989e-02    1.209085e+00
   9.478638e+00             nan    2.641309e-02    1.213237e+00
   9.508539e+00             nan    2.589539e-02    1.217188e+00
   9.538440e+00             nan    2.539881e-02    1.220197e+00
   9.568341e+00             nan    2.490103e-02    1.222990e+00
   9.598242e+00             nan    2.442382e-02    1.224833e+00
   9.628143e+00             nan    2.394512e-02    1.226455e+00
   9.658045e+00             nan    2.348644e-02    1.227132e+00
   9.687946e+00             nan    2.302602e-02    1.227591e+00
