# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.370e-10, Err(n_e)=1.105e-11, Err(IET)=9.950e-13, Q_net=-9.295e-10
# {"name":"Al", "Z":13, "Zstar":2.9072932231659827, "A":26.981539,  "μ[AU]": 2.6671011411e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.900383e+02    0.000000e+00
   5.980213e-02             nan    1.484368e+02    0.000000e+00
   8.970320e-02             nan    1.009909e+02    0.000000e+00
   1.196043e-01             nan    7.699329e+01    0.000000e+00
   1.495053e-01             nan    6.240989e+01    0.000000e+00
   1.794064e-01             nan    5.252598e+01    0.000000e+00
   2.093075e-01             nan    4.534711e+01    0.000000e+00
   2.392085e-01             nan    3.986007e+01    0.000000e+00
   2.691096e-01             nan    3.551364e+01    0.000000e+00
   2.990107e-01             nan    3.196772e+01    0.000000e+00
   3.289117e-01             nan    2.901306e+01    0.000000e+00
   3.588128e-01             nan    2.650368e+01    0.000000e+00
   3.887139e-01             nan    2.434332e+01    0.000000e+00
   4.186149e-01             nan    2.245865e+01    0.000000e+00
   4.485160e-01             nan    2.079938e+01    0.000000e+00
   4.784171e-01             nan    1.932428e+01    0.000000e+00
   5.083181e-01             nan    1.800453e+01    0.000000e+00
   5.382192e-01             nan    1.681504e+01    0.000000e+00
   5.681203e-01             nan    1.573800e+01    0.000000e+00
   5.980213e-01             nan    1.475708e+01    0.000000e+00
   6.279224e-01             nan    1.386076e+01    0.000000e+00
   6.578235e-01             nan    1.303785e+01    0.000000e+00
   6.877245e-01             nan    1.228049e+01    0.000000e+00
   7.176256e-01             nan    1.158073e+01    0.000000e+00
   7.475267e-01             nan    1.093301e+01    0.000000e+00
   7.774277e-01             nan    1.033146e+01    0.000000e+00
   8.073288e-01             nan    9.772066e+00    0.000000e+00
   8.372299e-01             nan    9.250360e+00    0.000000e+00
   8.671309e-01             nan    8.763340e+00    0.000000e+00
   8.970320e-01             nan    8.307537e+00    0.000000e+00
   9.269331e-01             nan    7.880677e+00    0.000000e+00
   9.568341e-01             nan    7.479995e+00    0.000000e+00
   9.867352e-01             nan    7.103728e+00    0.000000e+00
   1.016636e+00             nan    6.749651e+00    0.000000e+00
   1.046537e+00             nan    6.416381e+00    0.000000e+00
   1.076438e+00             nan    6.102092e+00    0.000000e+00
   1.106339e+00             nan    5.805677e+00    0.000000e+00
   1.136241e+00             nan    5.525620e+00    0.000000e+00
   1.166142e+00             nan    5.261033e+00    0.000000e+00
   1.196043e+00             nan    5.010641e+00    0.000000e+00
   1.225944e+00             nan    4.773728e+00    0.000000e+00
   1.255845e+00             nan    4.549208e+00    0.000000e+00
   1.285746e+00             nan    4.336491e+00    0.000000e+00
   1.315647e+00             nan    4.134654e+00    0.000000e+00
   1.345548e+00             nan    3.943208e+00    0.000000e+00
   1.375449e+00             nan    3.761355e+00    0.000000e+00
   1.405350e+00             nan    3.588691e+00    0.000000e+00
   1.435251e+00             nan    3.424523e+00    0.000000e+00
   1.465152e+00             nan    3.268516e+00    0.000000e+00
   1.495053e+00             nan    3.120060e+00    0.000000e+00
   1.524954e+00             nan    2.978874e+00    0.000000e+00
   1.554855e+00             nan    2.844426e+00    0.000000e+00
   1.584757e+00             nan    2.716478e+00    0.000000e+00
   1.614658e+00             nan    2.594557e+00    0.000000e+00
   1.644559e+00             nan    2.478465e+00    0.000000e+00
   1.674460e+00             nan    2.367783e+00    0.000000e+00
   1.704361e+00             nan    2.262339e+00    0.000000e+00
   1.734262e+00             nan    2.161760e+00    0.000000e+00
   1.764163e+00             nan    2.065903e+00    0.000000e+00
   1.794064e+00             nan    1.974432e+00    0.000000e+00
   1.823965e+00             nan    1.887225e+00    0.000000e+00
   1.853866e+00             nan    1.803979e+00    0.000000e+00
   1.883767e+00             nan    1.724590e+00    0.000000e+00
   1.913668e+00             nan    1.648785e+00    0.000000e+00
   1.943569e+00             nan    1.576477e+00    0.000000e+00
   1.973470e+00             nan    1.507414e+00    0.000000e+00
   2.003371e+00             nan    1.441525e+00    0.000000e+00
   2.033273e+00             nan    1.378581e+00    0.000000e+00
   2.063174e+00             nan    1.318519e+00    0.000000e+00
   2.093075e+00             nan    1.261132e+00    0.000000e+00
   2.122976e+00             nan    1.206366e+00    0.000000e+00
   2.152877e+00             nan    1.154032e+00    5.243805e-12
   2.182778e+00             nan    1.104084e+00    2.787104e-11
   2.212679e+00             nan    1.056347e+00    1.034444e-10
   2.242580e+00             nan    1.010784e+00    3.412639e-10
   2.272481e+00             nan    9.672327e-01    1.049876e-09
   2.302382e+00             nan    9.256624e-01    3.047367e-09
   2.332283e+00             nan    8.859237e-01    8.404718e-09
   2.362184e+00             nan    8.479902e-01    2.206156e-08
   2.392085e+00             nan    8.117245e-01    5.533689e-08
   2.421986e+00             nan    7.771046e-01    1.327284e-07
   2.451887e+00             nan    7.440023e-01    3.055044e-07
   2.481789e+00             nan    7.124006e-01    6.751314e-07
   2.511690e+00             nan    6.821801e-01    1.437116e-06
   2.541591e+00             nan    6.533263e-01    2.947875e-06
   2.571492e+00             nan    6.257280e-01    5.844623e-06
   2.601393e+00             nan    5.993730e-01    1.120427e-05
   2.631294e+00             nan    5.741574e-01    2.082694e-05
   2.661195e+00             nan    5.500709e-01    3.754979e-05
   2.691096e+00             nan    5.270155e-01    6.584032e-05
   2.720997e+00             nan    5.049831e-01    1.122998e-04
   2.750898e+00             nan    4.838802e-01    1.868014e-04
   2.780799e+00             nan    4.637005e-01    3.030903e-04
   2.810700e+00             nan    4.443569e-01    4.808294e-04
   2.840601e+00             nan    4.258443e-01    7.459322e-04
   2.870502e+00             nan    4.080808e-01    1.134151e-03
   2.900403e+00             nan    3.910646e-01    1.690171e-03
   2.930305e+00             nan    3.747220e-01    2.473735e-03
   2.960206e+00             nan    3.590571e-01    3.555457e-03
   2.990107e+00             nan    3.440084e-01    5.026754e-03
   3.020008e+00             nan    3.295970e-01    6.986889e-03
   3.049909e+00             nan    3.157711e-01    9.560948e-03
   3.079810e+00             nan    3.025416e-01    1.287697e-02
   3.109711e+00             nan    2.898514e-01    1.709623e-02
   3.139612e+00             nan    2.777098e-01    2.236948e-02
   3.169513e+00             nan    2.660617e-01    2.888910e-02
   3.199414e+00             nan    2.549172e-01    3.681460e-02
   3.229315e+00             nan    2.442248e-01    4.635808e-02
   3.259216e+00             nan    2.339950e-01    5.766728e-02
   3.289117e+00             nan    2.241788e-01    7.096023e-02
   3.319018e+00             nan    2.147866e-01    8.634981e-02
   3.348919e+00             nan    2.057732e-01    1.040419e-01
   3.378821e+00             nan    1.971502e-01    1.240852e-01
   3.408722e+00             nan    1.888734e-01    1.466635e-01
   3.438623e+00             nan    1.809556e-01    1.717386e-01
   3.468524e+00             nan    1.733554e-01    1.994564e-01
   3.498425e+00             nan    1.660850e-01    2.296794e-01
   3.528326e+00             nan    1.591057e-01    2.625121e-01
   3.558227e+00             nan    1.524301e-01    2.977040e-01
   3.588128e+00             nan    1.460213e-01    3.353262e-01
   3.618029e+00             nan    1.398921e-01    3.750132e-01
   3.647930e+00             nan    1.340076e-01    4.168118e-01
   3.677831e+00             nan    1.283808e-01    4.602518e-01
   3.707732e+00             nan    1.229782e-01    5.053713e-01
   3.737633e+00             nan    1.178128e-01    5.516126e-01
   3.767534e+00             nan    1.128530e-01    5.990215e-01
   3.797435e+00             nan    1.081120e-01    6.469658e-01
   3.827337e+00             nan    1.035594e-01    6.955255e-01
   3.857238e+00             nan    9.920859e-02    7.440113e-01
   3.887139e+00             nan    9.503017e-02    7.925593e-01
   3.917040e+00             nan    9.103765e-02    8.404490e-01
   3.946941e+00             nan    8.720344e-02    8.878638e-01
   3.976842e+00             nan    8.354054e-02    9.340811e-01
   4.006743e+00             nan    8.002218e-02    9.793638e-01
   4.036644e+00             nan    7.666191e-02    1.022978e+00
   4.066545e+00             nan    7.343428e-02    1.065254e+00
   4.096446e+00             nan    7.035228e-02    1.105486e+00
   4.126347e+00             nan    6.739117e-02    1.144088e+00
   4.156248e+00             nan    6.456430e-02    1.180362e+00
   4.186149e+00             nan    6.184828e-02    1.214783e+00
   4.216050e+00             nan    5.925607e-02    1.246687e+00
   4.245951e+00             nan    5.676511e-02    1.276612e+00
   4.275853e+00             nan    5.438823e-02    1.303924e+00
   4.305754e+00             nan    5.210364e-02    1.329217e+00
   4.335655e+00             nan    4.992405e-02    1.351888e+00
   4.365556e+00             nan    4.782870e-02    1.372562e+00
   4.395457e+00             nan    4.583022e-02    1.390662e+00
   4.425358e+00             nan    4.390857e-02    1.406846e+00
   4.455259e+00             nan    4.207625e-02    1.420559e+00
   4.485160e+00             nan    4.031386e-02    1.432485e+00
   4.515061e+00             nan    3.863386e-02    1.442086e+00
   4.544962e+00             nan    3.701753e-02    1.450055e+00
   4.574863e+00             nan    3.547711e-02    1.455878e+00
   4.604764e+00             nan    3.399460e-02    1.460245e+00
   4.634665e+00             nan    3.258211e-02    1.462661e+00
   4.664566e+00             nan    3.122220e-02    1.463809e+00
   4.694467e+00             nan    2.992686e-02    1.463209e+00
   4.724369e+00             nan    2.867920e-02    1.461533e+00
   4.754270e+00             nan    2.749109e-02    1.458312e+00
   4.784171e+00             nan    2.634638e-02    1.454195e+00
   4.814072e+00             nan    2.525661e-02    1.448732e+00
   4.843973e+00             nan    2.420623e-02    1.442548e+00
   4.873874e+00             nan    2.320664e-02    1.435204e+00
   4.903775e+00             nan    2.224260e-02    1.427308e+00
