# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.343e-10, Err(n_e)=6.972e-11, Err(IET)=9.969e-13, Q_net=-4.338e-09
# {"name":"Al", "Z":13, "Zstar":4.763648122022713, "A":26.981539,  "μ[AU]": -1.4933693199e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.110577e+02    0.000000e+00
   5.980213e-02             nan    4.264157e+02    0.000000e+00
   8.970320e-02             nan    2.954378e+02    0.000000e+00
   1.196043e-01             nan    2.279547e+02    0.000000e+00
   1.495053e-01             nan    1.862094e+02    0.000000e+00
   1.794064e-01             nan    1.574003e+02    0.000000e+00
   2.093075e-01             nan    1.361553e+02    0.000000e+00
   2.392085e-01             nan    1.196831e+02    0.000000e+00
   2.691096e-01             nan    1.064926e+02    0.000000e+00
   2.990107e-01             nan    9.562731e+01    0.000000e+00
   3.289117e-01             nan    8.651634e+01    0.000000e+00
   3.588128e-01             nan    7.873629e+01    0.000000e+00
   3.887139e-01             nan    7.202182e+01    0.000000e+00
   4.186149e-01             nan    6.615400e+01    0.000000e+00
   4.485160e-01             nan    6.099159e+01    0.000000e+00
   4.784171e-01             nan    5.640676e+01    0.000000e+00
   5.083181e-01             nan    5.231780e+01    0.000000e+00
   5.382192e-01             nan    4.864397e+01    0.000000e+00
   5.681203e-01             nan    4.533389e+01    0.000000e+00
   5.980213e-01             nan    4.233340e+01    0.000000e+00
   6.279224e-01             nan    3.960877e+01    0.000000e+00
   6.578235e-01             nan    3.712155e+01    0.000000e+00
   6.877245e-01             nan    3.484870e+01    0.000000e+00
   7.176256e-01             nan    3.276210e+01    0.000000e+00
   7.475267e-01             nan    3.084543e+01    0.000000e+00
   7.774277e-01             nan    2.907741e+01    0.000000e+00
   8.073288e-01             nan    2.744620e+01    0.000000e+00
   8.372299e-01             nan    2.593534e+01    0.000000e+00
   8.671309e-01             nan    2.453610e+01    0.000000e+00
   8.970320e-01             nan    2.323545e+01    0.000000e+00
   9.269331e-01             nan    2.202687e+01    0.000000e+00
   9.568341e-01             nan    2.089990e+01    0.000000e+00
   9.867352e-01             nan    1.984958e+01    0.000000e+00
   1.016636e+00             nan    1.886738e+01    0.000000e+00
   1.046537e+00             nan    1.794953e+01    0.000000e+00
   1.076438e+00             nan    1.708899e+01    0.000000e+00
   1.106339e+00             nan    1.628287e+01    0.000000e+00
   1.136241e+00             nan    1.552529e+01    0.000000e+00
   1.166142e+00             nan    1.481404e+01    0.000000e+00
   1.196043e+00             nan    1.414415e+01    0.000000e+00
   1.225944e+00             nan    1.351393e+01    0.000000e+00
   1.255845e+00             nan    1.291916e+01    0.000000e+00
   1.285746e+00             nan    1.235855e+01    0.000000e+00
   1.315647e+00             nan    1.182848e+01    0.000000e+00
   1.345548e+00             nan    1.132796e+01    0.000000e+00
   1.375449e+00             nan    1.085388e+01    0.000000e+00
   1.405350e+00             nan    1.040550e+01    0.000000e+00
