# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.370e-10, Err(n_e)=1.105e-11, Err(IET)=9.906e-13, Q_net=-9.295e-10
# {"name":"Al", "Z":13, "Zstar":2.9072932231659827, "A":26.981539,  "μ[AU]": 2.6671011411e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    2.903538e+02    0.000000e+00
   5.980213e-02             nan    1.487518e+02    0.000000e+00
   8.970320e-02             nan    1.013050e+02    0.000000e+00
   1.196043e-01             nan    7.730646e+01    0.000000e+00
   1.495053e-01             nan    6.272189e+01    0.000000e+00
   1.794064e-01             nan    5.283665e+01    0.000000e+00
   2.093075e-01             nan    4.565630e+01    0.000000e+00
   2.392085e-01             nan    4.016766e+01    0.000000e+00
   2.691096e-01             nan    3.581950e+01    0.000000e+00
   2.990107e-01             nan    3.227175e+01    0.000000e+00
   3.289117e-01             nan    2.931515e+01    0.000000e+00
   3.588128e-01             nan    2.680374e+01    0.000000e+00
   3.887139e-01             nan    2.464127e+01    0.000000e+00
   4.186149e-01             nan    2.275442e+01    0.000000e+00
   4.485160e-01             nan    2.109289e+01    0.000000e+00
   4.784171e-01             nan    1.961548e+01    0.000000e+00
   5.083181e-01             nan    1.829335e+01    0.000000e+00
   5.382192e-01             nan    1.710142e+01    0.000000e+00
   5.681203e-01             nan    1.602190e+01    0.000000e+00
   5.980213e-01             nan    1.503845e+01    0.000000e+00
   6.279224e-01             nan    1.413956e+01    0.000000e+00
   6.578235e-01             nan    1.331404e+01    0.000000e+00
   6.877245e-01             nan    1.255403e+01    0.000000e+00
   7.176256e-01             nan    1.185158e+01    0.000000e+00
   7.475267e-01             nan    1.120115e+01    0.000000e+00
   7.774277e-01             nan    1.059687e+01    0.000000e+00
   8.073288e-01             nan    1.003471e+01    0.000000e+00
   8.372299e-01             nan    9.510215e+00    0.000000e+00
   8.671309e-01             nan    9.020389e+00    0.000000e+00
   8.970320e-01             nan    8.561761e+00    0.000000e+00
   9.269331e-01             nan    8.132060e+00    0.000000e+00
   9.568341e-01             nan    7.728522e+00    0.000000e+00
   9.867352e-01             nan    7.349385e+00    0.000000e+00
   1.016636e+00             nan    6.992429e+00    0.000000e+00
   1.046537e+00             nan    6.656269e+00    0.000000e+00
   1.076438e+00             nan    6.339081e+00    0.000000e+00
   1.106339e+00             nan    6.039762e+00    0.000000e+00
   1.136241e+00             nan    5.756796e+00    0.000000e+00
   1.166142e+00             nan    5.489294e+00    0.000000e+00
   1.196043e+00             nan    5.235986e+00    0.000000e+00
   1.225944e+00             nan    4.996155e+00    0.000000e+00
   1.255845e+00             nan    4.768716e+00    0.000000e+00
   1.285746e+00             nan    4.553082e+00    0.000000e+00
   1.315647e+00             nan    4.348329e+00    0.000000e+00
   1.345548e+00             nan    4.153970e+00    0.000000e+00
   1.375449e+00             nan    3.969209e+00    0.000000e+00
   1.405350e+00             nan    3.793641e+00    0.000000e+00
   1.435251e+00             nan    3.626575e+00    0.000000e+00
   1.465152e+00             nan    3.467676e+00    0.000000e+00
   1.495053e+00             nan    3.316337e+00    0.000000e+00
   1.524954e+00             nan    3.172276e+00    0.000000e+00
   1.554855e+00             nan    3.034961e+00    0.000000e+00
   1.584757e+00             nan    2.904158e+00    0.000000e+00
   1.614658e+00             nan    2.779393e+00    0.000000e+00
   1.644559e+00             nan    2.660468e+00    0.000000e+00
   1.674460e+00             nan    2.546965e+00    0.000000e+00
   1.704361e+00             nan    2.438714e+00    0.000000e+00
