# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.343e-10, Err(n_e)=6.972e-11, Err(IET)=9.798e-13, Q_net=-4.338e-09
# {"name":"Al", "Z":13, "Zstar":4.763648122022713, "A":26.981539,  "μ[AU]": -1.4933693199e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.112785e+02    0.000000e+00
   5.980213e-02             nan    4.266363e+02    0.000000e+00
   8.970320e-02             nan    2.956580e+02    0.000000e+00
   1.196043e-01             nan    2.281743e+02    0.000000e+00
   1.495053e-01             nan    1.864284e+02    0.000000e+00
   1.794064e-01             nan    1.576186e+02    0.000000e+00
   2.093075e-01             nan    1.363727e+02    0.000000e+00
   2.392085e-01             nan    1.198996e+02    0.000000e+00
   2.691096e-01             nan    1.067083e+02    0.000000e+00
   2.990107e-01             nan    9.584195e+01    0.000000e+00
   3.289117e-01             nan    8.672993e+01    0.000000e+00
   3.588128e-01             nan    7.894879e+01    0.000000e+00
   3.887139e-01             nan    7.223318e+01    0.000000e+00
   4.186149e-01             nan    6.636419e+01    0.000000e+00
   4.485160e-01             nan    6.120057e+01    0.000000e+00
   4.784171e-01             nan    5.661449e+01    0.000000e+00
   5.083181e-01             nan    5.252425e+01    0.000000e+00
   5.382192e-01             nan    4.884910e+01    0.000000e+00
   5.681203e-01             nan    4.553769e+01    0.000000e+00
   5.980213e-01             nan    4.253584e+01    0.000000e+00
   6.279224e-01             nan    3.980981e+01    0.000000e+00
   6.578235e-01             nan    3.732118e+01    0.000000e+00
   6.877245e-01             nan    3.504691e+01    0.000000e+00
   7.176256e-01             nan    3.295886e+01    0.000000e+00
   7.475267e-01             nan    3.104072e+01    0.000000e+00
   7.774277e-01             nan    2.927122e+01    0.000000e+00
   8.073288e-01             nan    2.763851e+01    0.000000e+00
   8.372299e-01             nan    2.612613e+01    0.000000e+00
   8.671309e-01             nan    2.472537e+01    0.000000e+00
   8.970320e-01             nan    2.342318e+01    0.000000e+00
   9.269331e-01             nan    2.221306e+01    0.000000e+00
   9.568341e-01             nan    2.108452e+01    0.000000e+00
   9.867352e-01             nan    2.003263e+01    0.000000e+00
   1.016636e+00             nan    1.904886e+01    0.000000e+00
   1.046537e+00             nan    1.812943e+01    0.000000e+00
   1.076438e+00             nan    1.726730e+01    0.000000e+00
   1.106339e+00             nan    1.645958e+01    0.000000e+00
   1.136241e+00             nan    1.570041e+01    0.000000e+00
   1.166142e+00             nan    1.498754e+01    0.000000e+00
   1.196043e+00             nan    1.431604e+01    0.000000e+00
   1.225944e+00             nan    1.368421e+01    0.000000e+00
   1.255845e+00             nan    1.308783e+01    0.000000e+00
   1.285746e+00             nan    1.252559e+01    0.000000e+00
   1.315647e+00             nan    1.199391e+01    0.000000e+00
   1.345548e+00             nan    1.149177e+01    4.964917e-13
   1.375449e+00             nan    1.101607e+01    1.355716e-11
   1.405350e+00             nan    1.056607e+01    5.527312e-11
   1.435251e+00             nan    1.013906e+01    1.806333e-10
   1.465152e+00             nan    9.734484e+00    5.343432e-10
   1.495053e+00             nan    9.349988e+00    1.479662e-09
   1.524954e+00             nan    8.985167e+00    3.868733e-09
   1.554855e+00             nan    8.637944e+00    9.627294e-09
   1.584757e+00             nan    8.308044e+00    2.283642e-08
   1.614658e+00             nan    7.993627e+00    5.190776e-08
   1.644559e+00             nan    7.694516e+00    1.131290e-07
   1.674460e+00             nan    7.409077e+00    2.374683e-07
   1.704361e+00             nan    7.137207e+00    4.802399e-07
   1.734262e+00             nan    6.877448e+00    9.394297e-07
   1.764163e+00             nan    6.629762e+00    1.777769e-06
   1.794064e+00             nan    6.392836e+00    3.266225e-06
   1.823965e+00             nan    6.166683e+00    5.825976e-06
   1.853866e+00             nan    5.950121e+00    1.012149e-05
   1.883767e+00             nan    5.743200e+00    1.712453e-05
   1.913668e+00             nan    5.544851e+00    2.829832e-05
   1.943569e+00             nan    5.355155e+00    4.566445e-05
   1.973470e+00             nan    5.173140e+00    7.214832e-05
   2.003371e+00             nan    4.998912e+00    1.115790e-04
   2.033273e+00             nan    4.831585e+00    1.693172e-04
   2.063174e+00             nan    4.671283e+00    2.520214e-04
   2.093075e+00             nan    4.517194e+00    3.687709e-04
   2.122976e+00             nan    4.369460e+00    5.302687e-04
   2.152877e+00             nan    4.227333e+00    7.508325e-04
   2.182778e+00             nan    4.090967e+00    1.046457e-03
   2.212679e+00             nan    3.959673e+00    1.438299e-03
   2.242580e+00             nan    3.833611e+00    1.948678e-03
   2.272481e+00             nan    3.712147e+00    2.607052e-03
   2.302382e+00             nan    3.595448e+00    3.442588e-03
   2.332283e+00             nan    3.482922e+00    4.494147e-03
   2.362184e+00             nan    3.374743e+00    5.797454e-03
   2.392085e+00             nan    3.270362e+00    7.401286e-03
   2.421986e+00             nan    3.169952e+00    9.346637e-03
   2.451887e+00             nan    3.073004e+00    1.169201e-02
   2.481789e+00             nan    2.979693e+00    1.448119e-02
   2.511690e+00             nan    2.889543e+00    1.778152e-02
   2.541591e+00             nan    2.802727e+00    2.163612e-02
   2.571492e+00             nan    2.718801e+00    2.611962e-02
   2.601393e+00             nan    2.637939e+00    3.126998e-02
   2.631294e+00             nan    2.559723e+00    3.716728e-02
   2.661195e+00             nan    2.484326e+00    4.383940e-02
   2.691096e+00             nan    2.411354e+00    5.136981e-02
   2.720997e+00             nan    2.340979e+00    5.977105e-02
   2.750898e+00             nan    2.272830e+00    6.912835e-02
   2.780799e+00             nan    2.207078e+00    7.943382e-02
   2.810700e+00             nan    2.143370e+00    9.077301e-02
   2.840601e+00             nan    2.081877e+00    1.031133e-01
   2.870502e+00             nan    2.022265e+00    1.165398e-01
   2.900403e+00             nan    1.964700e+00    1.309918e-01
   2.930305e+00             nan    1.908870e+00    1.465535e-01
   2.960206e+00             nan    1.854937e+00    1.631327e-01
   2.990107e+00             nan    1.802607e+00    1.808132e-01
   3.020008e+00             nan    1.752044e+00    1.994672e-01
   3.049909e+00             nan    1.702971e+00    2.191780e-01
   3.079810e+00             nan    1.655544e+00    2.397854e-01
   3.109711e+00             nan    1.609498e+00    2.613772e-01
   3.139612e+00             nan    1.564986e+00    2.837608e-01
   3.169513e+00             nan    1.521752e+00    3.070305e-01
   3.199414e+00             nan    1.479947e+00    3.309632e-01
   3.229315e+00             nan    1.439328e+00    3.556619e-01
   3.259216e+00             nan    1.400042e+00    3.808757e-01
   3.289117e+00             nan    1.361856e+00    4.067193e-01
   3.319018e+00             nan    1.324914e+00    4.329170e-01
   3.348919e+00             nan    1.288995e+00    4.595973e-01
   3.378821e+00             nan    1.254238e+00    4.864625e-01
   3.408722e+00             nan    1.220430e+00    5.136584e-01
   3.438623e+00             nan    1.187710e+00    5.408697e-01
   3.468524e+00             nan    1.155874e+00    5.682591e-01
   3.498425e+00             nan    1.125056e+00    5.954969e-01
   3.528326e+00             nan    1.095061e+00    6.227662e-01
   3.558227e+00             nan    1.066020e+00    6.497258e-01
   3.588128e+00             nan    1.037745e+00    6.765778e-01
   3.618029e+00             nan    1.010365e+00    7.029741e-01
   3.647930e+00             nan    9.836998e-01    7.291368e-01
   3.677831e+00             nan    9.578744e-01    7.547119e-01
   3.707732e+00             nan    9.327157e-01    7.799418e-01
   3.737633e+00             nan    9.083461e-01    8.044692e-01
   3.767534e+00             nan    8.845989e-01    8.285553e-01
   3.797435e+00             nan    8.615935e-01    8.518425e-01
   3.827337e+00             nan    8.391695e-01    8.746092e-01
   3.857238e+00             nan    8.174434e-01    8.964986e-01
   3.887139e+00             nan    7.962606e-01    9.178053e-01
   3.917040e+00             nan    7.757349e-01    9.381751e-01
   3.946941e+00             nan    7.557173e-01    9.579156e-01
   3.976842e+00             nan    7.363187e-01    9.766772e-01
   4.006743e+00             nan    7.173953e-01    9.947795e-01
   4.036644e+00             nan    6.990556e-01    1.011877e+00
   4.066545e+00             nan    6.811605e-01    1.028299e+00
   4.096446e+00             nan    6.638162e-01    1.043705e+00
   4.126347e+00             nan    6.468880e-01    1.058433e+00
