# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=3.900e-09, Err(IET)=9.940e-13, Q_net=-4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.044051107340024, "A":26.981539,  "μ[AU]": 2.5272682569e-01, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413588e+05    4.203152e+00    1.413546e+05    0.000000e+00    1.294709e+04   -3.865967e+01    1.418216e+01    7.316186e+03    0.000000e+00
   1.010369e-03    1.391826e+05    4.139027e+00    1.391784e+05    0.000000e+00    1.281367e+04   -3.846106e+01    1.406145e+01    7.306701e+03    0.000000e+00
   1.020846e-03    1.370399e+05    4.180676e+00    1.370357e+05    0.000000e+00    1.268162e+04   -3.826348e+01    1.414006e+01    7.297118e+03    0.000000e+00
   1.031432e-03    1.349301e+05    4.169130e+00    1.349260e+05    0.000000e+00    1.255093e+04   -3.806690e+01    1.411835e+01    7.287436e+03    0.000000e+00
   1.042127e-03    1.328527e+05    4.107360e+00    1.328486e+05    0.000000e+00    1.242158e+04   -3.787133e+01    1.400113e+01    7.277653e+03    0.000000e+00
   1.052933e-03    1.308072e+05    4.061926e+00    1.308031e+05    0.000000e+00    1.229356e+04   -3.767676e+01    1.391514e+01    7.267769e+03    0.000000e+00
   1.063851e-03    1.287932e+05    4.094650e+00    1.287891e+05    0.000000e+00    1.216685e+04   -3.748319e+01    1.397681e+01    7.257783e+03    0.000000e+00
   1.074883e-03    1.268101e+05    4.077921e+00    1.268060e+05    0.000000e+00    1.204144e+04   -3.729061e+01    1.394535e+01    7.247692e+03    0.000000e+00
   1.086029e-03    1.248574e+05    4.014186e+00    1.248534e+05    0.000000e+00    1.191731e+04   -3.709901e+01    1.382426e+01    7.237498e+03    0.000000e+00
   1.097290e-03    1.229348e+05    3.984322e+00    1.229308e+05    0.000000e+00    1.179447e+04   -3.690839e+01    1.376685e+01    7.227197e+03    0.000000e+00
