# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.789e-09, Err(IET)=9.961e-13, Q_net=4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.009798560079335, "A":26.981539,  "μ[AU]": 4.9898824385e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 1.102e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413596e+05    8.260708e+00    1.413513e+05    0.000000e+00    1.294689e+04   -3.865975e+01    2.093526e+01    7.187094e+03    0.000000e+00
   1.010369e-03    1.391834e+05    8.192423e+00    1.391752e+05    0.000000e+00    1.281347e+04   -3.846114e+01    2.083152e+01    7.177769e+03    0.000000e+00
   1.020846e-03    1.370406e+05    8.077617e+00    1.370326e+05    0.000000e+00    1.268143e+04   -3.826354e+01    2.065591e+01    7.168348e+03    0.000000e+00
   1.031432e-03    1.349309e+05    8.108504e+00    1.349228e+05    0.000000e+00    1.255073e+04   -3.806697e+01    2.070283e+01    7.158830e+03    0.000000e+00
   1.042127e-03    1.328535e+05    8.087066e+00    1.328454e+05    0.000000e+00    1.242138e+04   -3.787141e+01    2.067021e+01    7.149212e+03    0.000000e+00
   1.052933e-03    1.308080e+05    8.015785e+00    1.308000e+05    0.000000e+00    1.229336e+04   -3.767683e+01    2.056190e+01    7.139495e+03    0.000000e+00
   1.063851e-03    1.287939e+05    7.921269e+00    1.287860e+05    0.000000e+00    1.216665e+04   -3.748326e+01    2.041677e+01    7.129677e+03    0.000000e+00
   1.074883e-03    1.268109e+05    7.943307e+00    1.268029e+05    0.000000e+00    1.204124e+04   -3.729068e+01    2.045077e+01    7.119757e+03    0.000000e+00
   1.086029e-03    1.248582e+05    7.916649e+00    1.248503e+05    0.000000e+00    1.191712e+04   -3.709909e+01    2.040963e+01    7.109735e+03    0.000000e+00
   1.097290e-03    1.229355e+05    7.843492e+00    1.229277e+05    0.000000e+00    1.179427e+04   -3.690847e+01    2.029635e+01    7.099608e+03    0.000000e+00
   1.108668e-03    1.210424e+05    7.765857e+00    1.210346e+05    0.000000e+00    1.167268e+04   -3.671883e+01    2.017720e+01    7.089376e+03    0.000000e+00
   1.120165e-03    1.191784e+05    7.780597e+00    1.191706e+05    0.000000e+00    1.155234e+04   -3.653016e+01    2.019992e+01    7.079039e+03    0.000000e+00
   1.131780e-03    1.173430e+05    7.749653e+00    1.173353e+05    0.000000e+00    1.143324e+04   -3.634246e+01    2.015218e+01    7.068594e+03    0.000000e+00
   1.143516e-03    1.155358e+05    7.675362e+00    1.155281e+05    0.000000e+00    1.131536e+04   -3.615572e+01    2.003679e+01    7.058041e+03    0.000000e+00
   1.155373e-03    1.137564e+05    7.612185e+00    1.137487e+05    0.000000e+00    1.119869e+04   -3.596993e+01    1.993778e+01    7.047378e+03    0.000000e+00
   1.167354e-03    1.120043e+05    7.620350e+00    1.119967e+05    0.000000e+00    1.108321e+04   -3.578510e+01    1.995061e+01    7.036605e+03    0.000000e+00
   1.179459e-03    1.102792e+05    7.586094e+00    1.102716e+05    0.000000e+00    1.096892e+04   -3.560121e+01    1.989752e+01    7.025720e+03    0.000000e+00
   1.191689e-03    1.085805e+05    7.511506e+00    1.085729e+05    0.000000e+00    1.085581e+04   -3.541826e+01    1.978165e+01    7.014723e+03    0.000000e+00
   1.204046e-03    1.069079e+05    7.460037e+00    1.069004e+05    0.000000e+00    1.074385e+04   -3.523625e+01    1.970101e+01    7.003611e+03    0.000000e+00
   1.216531e-03    1.052611e+05    7.462828e+00    1.052536e+05    0.000000e+00    1.063305e+04   -3.505517e+01    1.970540e+01    6.992384e+03    0.000000e+00
   1.229146e-03    1.036395e+05    7.426196e+00    1.036321e+05    0.000000e+00    1.052338e+04   -3.487502e+01    1.964768e+01    6.981040e+03    0.000000e+00
   1.241891e-03    1.020428e+05    7.351778e+00    1.020355e+05    0.000000e+00    1.041484e+04   -3.469578e+01    1.953048e+01    6.969579e+03    0.000000e+00
   1.254769e-03    1.004707e+05    7.309785e+00    1.004634e+05    0.000000e+00    1.030741e+04   -3.451747e+01    1.946472e+01    6.958000e+03    0.000000e+00
   1.267780e-03    9.892280e+04    7.308259e+00    9.891549e+04    0.000000e+00    1.020109e+04   -3.434007e+01    1.946232e+01    6.946300e+03    0.000000e+00
   1.280926e-03    9.739863e+04    7.269636e+00    9.739136e+04    0.000000e+00    1.009585e+04   -3.416357e+01    1.940148e+01    6.934478e+03    0.000000e+00
   1.294208e-03    9.589784e+04    7.196115e+00    9.589065e+04    0.000000e+00    9.991700e+03   -3.398798e+01    1.928476e+01    6.922535e+03    0.000000e+00
   1.307628e-03    9.442016e+04    7.161603e+00    9.441300e+04    0.000000e+00    9.888616e+03   -3.381328e+01    1.922955e+01    6.910467e+03    0.000000e+00
   1.321188e-03    9.296521e+04    7.156399e+00    9.295806e+04    0.000000e+00    9.786590e+03   -3.363949e+01    1.922120e+01    6.898274e+03    0.000000e+00
   1.334888e-03    9.153259e+04    7.116745e+00    9.152547e+04    0.000000e+00    9.685612e+03   -3.346657e+01    1.915865e+01    6.885955e+03    0.000000e+00
   1.348729e-03    9.012194e+04    7.044460e+00    9.011490e+04    0.000000e+00    9.585670e+03   -3.329454e+01    1.904389e+01    6.873508e+03    0.000000e+00
   1.362715e-03    8.873302e+04    7.015507e+00    8.872601e+04    0.000000e+00    9.486753e+03   -3.312340e+01    1.899759e+01    6.860932e+03    0.000000e+00
   1.376845e-03    8.736546e+04    7.007630e+00    8.735846e+04    0.000000e+00    9.388853e+03   -3.295313e+01    1.898496e+01    6.848225e+03    0.000000e+00
