Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# Convergence: Err(φ)=5.791e-11, Err(n_e)=4.657e-13, Err(IET)=9.989e-13, Q_net=-6.032e-11
# {"name":"CS2014_Al", "Z":13, "Zstar":3.5103295199303637, "A":26.981539,  "μ[AU]": 2.9427641339e-02, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           ne_full[AU]     n_ion[AU]       ne_ext[AU]      ne_PA[AU]       ne_scr[AU]      
   1.000000e-04    4.480980e+06    4.480975e+06    9.180704e-03    4.480980e+06    4.864670e+00
   1.006327e-04    4.438786e+06    4.438783e+06    9.180704e-03    4.438786e+06    3.881327e+00
   1.012694e-04    4.396990e+06    4.396987e+06    9.180704e-03    4.396990e+06    2.683068e+00
   1.019102e-04    4.355589e+06    4.355586e+06    9.180704e-03    4.355589e+06    3.207192e+00
   1.025550e-04    4.314578e+06    4.314574e+06    9.180704e-03    4.314578e+06    4.394138e+00
   1.032039e-04    4.273953e+06    4.273948e+06    9.180704e-03    4.273953e+06    4.862508e+00
   1.038569e-04    4.233710e+06    4.233705e+06    9.180704e-03    4.233710e+06    4.638445e+00
   1.045140e-04    4.193844e+06    4.193840e+06    9.180704e-03    4.193844e+06    3.797688e+00
   1.051753e-04    4.154354e+06    4.154351e+06    9.180704e-03    4.154354e+06    2.347029e+00
   1.058408e-04    4.115237e+06    4.115234e+06    9.180704e-03    4.115237e+06    3.015067e+00
   1.065104e-04    4.076489e+06    4.076485e+06    9.180704e-03    4.076489e+06    4.122648e+00
   1.071843e-04    4.038105e+06    4.038101e+06    9.180704e-03    4.038105e+06    4.603715e+00
   1.078625e-04    4.000083e+06    4.000078e+06    9.180704e-03    4.000083e+06    4.474876e+00
   1.085450e-04    3.962417e+06    3.962413e+06    9.180704e-03    3.962417e+06    3.756364e+00
   1.092318e-04    3.925106e+06    3.925103e+06    9.180704e-03    3.925106e+06    2.570622e+00
   1.099229e-04    3.888147e+06    3.888144e+06    9.180704e-03    3.888147e+06    2.743285e+00
   1.106184e-04    3.851537e+06    3.851533e+06    9.180704e-03    3.851537e+06    3.866964e+00
   1.113183e-04    3.815271e+06    3.815267e+06    9.180704e-03    3.815271e+06    4.399006e+00
   1.120226e-04    3.779346e+06    3.779342e+06    9.180704e-03    3.779346e+06    4.349442e+00
   1.127314e-04    3.743759e+06    3.743755e+06    9.180704e-03    3.743759e+06    3.656226e+00
   1.134447e-04    3.708506e+06    3.708503e+06    9.180704e-03    3.708506e+06    2.424462e+00
   1.141625e-04    3.673586e+06    3.673584e+06    9.180704e-03    3.673586e+06    2.557867e+00
   1.148848e-04    3.638996e+06    3.638993e+06    9.180704e-03    3.638996e+06    3.672810e+00
   1.156117e-04    3.604731e+06    3.604727e+06    9.180704e-03    3.604731e+06    4.198142e+00
   1.163432e-04    3.570789e+06    3.570784e+06    9.180704e-03    3.570789e+06    4.146885e+00
   1.170794e-04    3.537165e+06    3.537161e+06    9.180704e-03    3.537165e+06    3.566990e+00
   1.178201e-04    3.503857e+06    3.503855e+06    9.180704e-03    3.503857e+06    2.473806e+00
   1.185656e-04    3.470864e+06    3.470862e+06    9.180704e-03    3.470864e+06    2.367364e+00
   1.193158e-04    3.438183e+06    3.438179e+06    9.180704e-03    3.438183e+06    3.434292e+00
   1.200707e-04    3.405808e+06    3.405804e+06    9.180704e-03    3.405808e+06    3.970430e+00
   1.208304e-04    3.373738e+06    3.373734e+06    9.180704e-03    3.373738e+06    3.992349e+00
   1.215950e-04    3.341970e+06    3.341966e+06    9.180704e-03    3.341970e+06    3.512757e+00
   1.223643e-04    3.310500e+06    3.310498e+06    9.180704e-03    3.310500e+06    2.528826e+00
   1.231385e-04    3.279327e+06    3.279325e+06    9.180704e-03    3.279327e+06    2.143230e+00
   1.239177e-04    3.248449e+06    3.248446e+06    9.180704e-03    3.248449e+06    3.219758e+00
   1.247017e-04    3.217861e+06    3.217857e+06    9.180704e-03    3.217861e+06    3.791443e+00
   1.254907e-04    3.187561e+06    3.187557e+06    9.180704e-03    3.187561e+06    3.862816e+00
   1.262847e-04    3.157545e+06    3.157542e+06    9.180704e-03    3.157545e+06    3.400941e+00
   1.270838e-04    3.127811e+06    3.127809e+06    9.180704e-03    3.127811e+06    2.482682e+00
   1.278879e-04    3.098358e+06    3.098356e+06    9.180704e-03    3.098358e+06    2.213887e+00
   1.286970e-04    3.069184e+06    3.069181e+06    9.180704e-03    3.069184e+06    3.049701e+00
   1.295113e-04    3.040284e+06    3.040280e+06    9.180704e-03    3.040284e+06    3.607430e+00
   1.303308e-04    3.011655e+06    3.011651e+06    9.180704e-03    3.011655e+06    3.679661e+00
   1.311554e-04    2.983296e+06    2.983292e+06    9.180704e-03    2.983296e+06    3.305105e+00
   1.319852e-04    2.955203e+06    2.955200e+06    9.180704e-03    2.955203e+06    2.495422e+00
   1.328203e-04    2.927374e+06    2.927373e+06    9.180704e-03    2.927374e+06    1.828218e+00
   1.336607e-04    2.899810e+06    2.899807e+06    9.180704e-03    2.899810e+06    2.844022e+00
   1.345064e-04    2.872504e+06    2.872501e+06    9.180704e-03    2.872504e+06    3.410308e+00
   1.353575e-04    2.845455e+06    2.845452e+06    9.180704e-03    2.845455e+06    3.539759e+00
   1.362139e-04    2.818661e+06    2.818657e+06    9.180704e-03    2.818661e+06    3.245178e+00
   1.370758e-04    2.792118e+06    2.792115e+06    9.180704e-03    2.792118e+06    2.489270e+00
   1.379431e-04    2.765825e+06    2.765823e+06    9.180704e-03    2.765825e+06    1.956015e+00
   1.388159e-04    2.739781e+06    2.739778e+06    9.180704e-03    2.739781e+06    2.661859e+00
   1.396942e-04    2.713982e+06    2.713979e+06    9.180704e-03    2.713982e+06    3.254437e+00
   1.405780e-04    2.688426e+06    2.688422e+06    9.180704e-03    2.688426e+06    3.415261e+00
