Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.978e-11, Err(n_e)=6.031e-12, Err(IET)=9.965e-13, Q_net=-8.398e-10
# {"name":"Al", "Z":13, "Zstar":3.116554974318824, "A":26.981539,  "μ[AU]": 2.8946762789e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    6.626326e+02    0.000000e+00
   2.990107e-02             nan    3.372756e+02    0.000000e+00
   4.485160e-02             nan    2.285173e+02    0.000000e+00
   5.980213e-02             nan    1.739021e+02    0.000000e+00
   7.475267e-02             nan    1.409634e+02    0.000000e+00
   8.970320e-02             nan    1.188628e+02    0.000000e+00
   1.046537e-01             nan    1.029659e+02    0.000000e+00
   1.196043e-01             nan    9.094741e+01    0.000000e+00
   1.345548e-01             nan    8.152129e+01    0.000000e+00
   1.495053e-01             nan    7.391102e+01    0.000000e+00
   1.644559e-01             nan    6.762620e+01    0.000000e+00
   1.794064e-01             nan    6.233655e+01    0.000000e+00
   1.943569e-01             nan    5.781603e+01    0.000000e+00
   2.093075e-01             nan    5.390077e+01    0.000000e+00
   2.242580e-01             nan    5.047251e+01    0.000000e+00
   2.392085e-01             nan    4.744075e+01    0.000000e+00
   2.541591e-01             nan    4.473773e+01    0.000000e+00
   2.691096e-01             nan    4.230935e+01    0.000000e+00
   2.840601e-01             nan    4.011405e+01    0.000000e+00
   2.990107e-01             nan    3.811743e+01    0.000000e+00
   3.139612e-01             nan    3.629259e+01    0.000000e+00
   3.289117e-01             nan    3.461659e+01    0.000000e+00
   3.438623e-01             nan    3.307126e+01    0.000000e+00
   3.588128e-01             nan    3.164066e+01    0.000000e+00
   3.737633e-01             nan    3.031206e+01    0.000000e+00
   3.887139e-01             nan    2.907404e+01    0.000000e+00
   4.036644e-01             nan    2.791742e+01    0.000000e+00
   4.186149e-01             nan    2.683375e+01    0.000000e+00
   4.335655e-01             nan    2.581625e+01    0.000000e+00
   4.485160e-01             nan    2.485854e+01    0.000000e+00
   4.634665e-01             nan    2.395549e+01    0.000000e+00
   4.784171e-01             nan    2.310216e+01    0.000000e+00
   4.933676e-01             nan    2.229461e+01    0.000000e+00
   5.083181e-01             nan    2.152895e+01    0.000000e+00
