# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=7.805e-10, Err(IET)=9.933e-13, Q_net=8.315e-08
# {"name":"Al", "Z":13, "Zstar":3.6245879239879537, "A":26.981539,  "μ[AU]": 5.6772264687e-02, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    5.101210e+00    4.416508e+03    0.000000e+00
   5.980213e-03    8.876989e+00    2.219457e+03    0.000000e+00
   8.970320e-03    7.990697e+00    1.486985e+03    0.000000e+00
   1.196043e-02    7.430565e+00    1.120651e+03    0.000000e+00
   1.495053e-02    7.028573e+00    9.007781e+02    0.000000e+00
   1.794064e-02    6.723818e+00    7.541332e+02    0.000000e+00
   2.093075e-02    6.478753e+00    6.493355e+02    0.000000e+00
   2.392085e-02    6.275224e+00    5.706914e+02    0.000000e+00
   2.691096e-02    6.102238e+00    5.094845e+02    0.000000e+00
   2.990107e-02    5.952915e+00    4.604832e+02    0.000000e+00
   3.289117e-02    5.822310e+00    4.203597e+02    0.000000e+00
   3.588128e-02    5.705889e+00    3.868944e+02    0.000000e+00
   3.887139e-02    5.601261e+00    3.585515e+02    0.000000e+00
   4.186149e-02    5.506220e+00    3.342332e+02    0.000000e+00
   4.485160e-02    5.420037e+00    3.131352e+02    0.000000e+00
   4.784171e-02    5.340681e+00    2.946536e+02    0.000000e+00
   5.083181e-02    5.267296e+00    2.783271e+02    0.000000e+00
   5.382192e-02    5.199228e+00    2.637966e+02    0.000000e+00
   5.681203e-02    5.135718e+00    2.507788e+02    0.000000e+00
   5.980213e-02    5.076581e+00    2.390469e+02    0.000000e+00
   6.279224e-02    5.021086e+00    2.284175e+02    0.000000e+00
   6.578235e-02    4.968743e+00    2.187402e+02    0.000000e+00
   6.877245e-02    4.919180e+00    2.098912e+02    0.000000e+00
   7.176256e-02    4.872502e+00    2.017669e+02    0.000000e+00
   7.475267e-02    4.828042e+00    1.942806e+02    0.000000e+00
   7.774277e-02    4.785843e+00    1.873587e+02    0.000000e+00
   8.073288e-02    4.745423e+00    1.809387e+02    0.000000e+00
   8.372299e-02    4.707116e+00    1.749669e+02    0.000000e+00
   8.671309e-02    4.670364e+00    1.693971e+02    0.000000e+00
   8.970320e-02    4.634899e+00    1.641891e+02    0.000000e+00
   9.269331e-02    4.601167e+00    1.593081e+02    0.000000e+00
   9.568341e-02    4.564478e+00    1.547235e+02    0.000000e+00
   9.867352e-02    4.528997e+00    1.504084e+02    0.000000e+00
   1.016636e-01    4.502337e+00    1.463392e+02    0.000000e+00
   1.046537e-01    4.470296e+00    1.424948e+02    0.000000e+00
   1.076438e-01    4.448226e+00    1.388566e+02    0.000000e+00
   1.106339e-01    4.417943e+00    1.354081e+02    0.000000e+00
   1.136241e-01    4.390407e+00    1.321342e+02    0.000000e+00
   1.166142e-01    4.372292e+00    1.290216e+02    0.000000e+00
   1.196043e-01    4.343338e+00    1.260583e+02    0.000000e+00
   1.225944e-01    4.318178e+00    1.232334e+02    0.000000e+00
   1.255845e-01    4.299136e+00    1.205371e+02    0.000000e+00
   1.285746e-01    4.276564e+00    1.179606e+02    0.000000e+00
   1.315647e-01    4.251278e+00    1.154957e+02    0.000000e+00
   1.345548e-01    4.231739e+00    1.131350e+02    0.000000e+00
   1.375449e-01    4.216708e+00    1.108717e+02    0.000000e+00
   1.405350e-01    4.192176e+00    1.086998e+02    0.000000e+00
   1.435251e-01    4.170751e+00    1.066136e+02    0.000000e+00
   1.465152e-01    4.152569e+00    1.046078e+02    0.000000e+00
   1.495053e-01    4.136502e+00    1.026778e+02    0.000000e+00
   1.524954e-01    4.118017e+00    1.008190e+02    0.000000e+00
   1.554855e-01    4.098662e+00    9.902747e+01    0.000000e+00
   1.584757e-01    4.080172e+00    9.729942e+01    0.000000e+00
   1.614658e-01    4.063740e+00    9.563136e+01    0.000000e+00
   1.644559e-01    4.049428e+00    9.402007e+01    0.000000e+00
   1.674460e-01    4.033987e+00    9.246254e+01    0.000000e+00
   1.704361e-01    4.017067e+00    9.095600e+01    0.000000e+00
   1.734262e-01    4.000293e+00    8.949784e+01    0.000000e+00
   1.764163e-01    3.984271e+00    8.808565e+01    0.000000e+00
   1.794064e-01    3.969320e+00    8.671716e+01    0.000000e+00
   1.823965e-01    3.955657e+00    8.539027e+01    0.000000e+00
   1.853866e-01    3.942386e+00    8.410299e+01    0.000000e+00
   1.883767e-01    3.929597e+00    8.285349e+01    0.000000e+00
   1.913668e-01    3.915601e+00    8.164001e+01    0.000000e+00
   1.943569e-01    3.900458e+00    8.046094e+01    0.000000e+00
   1.973470e-01    3.886343e+00    7.931474e+01    0.000000e+00
   2.003371e-01    3.872522e+00    7.819998e+01    0.000000e+00
   2.033273e-01    3.859672e+00    7.711529e+01    0.000000e+00
   2.063174e-01    3.846981e+00    7.605941e+01    0.000000e+00
   2.093075e-01    3.834913e+00    7.503111e+01    0.000000e+00
   2.122976e-01    3.823068e+00    7.402929e+01    0.000000e+00
   2.152877e-01    3.811660e+00    7.305284e+01    0.000000e+00
   2.182778e-01    3.800426e+00    7.210077e+01    0.000000e+00
   2.212679e-01    3.789432e+00    7.117211e+01    0.000000e+00
   2.242580e-01    3.777953e+00    7.026595e+01    0.000000e+00
   2.272481e-01    3.765887e+00    6.938143e+01    0.000000e+00
   2.302382e-01    3.754097e+00    6.851773e+01    0.000000e+00
   2.332283e-01    3.742673e+00    6.767407e+01    0.000000e+00
   2.362184e-01    3.731425e+00    6.684972e+01    0.000000e+00
   2.392085e-01    3.720500e+00    6.604398e+01    0.000000e+00
   2.421986e-01    3.709678e+00    6.525618e+01    0.000000e+00
   2.451887e-01    3.699226e+00    6.448568e+01    0.000000e+00
   2.481789e-01    3.688785e+00    6.373190e+01    0.000000e+00
   2.511690e-01    3.678736e+00    6.299424e+01    0.000000e+00
   2.541591e-01    3.668687e+00    6.227216e+01    0.000000e+00
   2.571492e-01    3.658882e+00    6.156514e+01    0.000000e+00
   2.601393e-01    3.649147e+00    6.087269e+01    0.000000e+00
   2.631294e-01    3.639543e+00    6.019431e+01    0.000000e+00
   2.661195e-01    3.630089e+00    5.952956e+01    0.000000e+00
   2.691096e-01    3.620665e+00    5.887800e+01    0.000000e+00
   2.720997e-01    3.611535e+00    5.823923e+01    0.000000e+00
   2.750898e-01    3.602405e+00    5.761283e+01    0.000000e+00
   2.780799e-01    3.593423e+00    5.699842e+01    0.000000e+00
   2.810700e-01    3.584519e+00    5.639565e+01    0.000000e+00
   2.840601e-01    3.575648e+00    5.580416e+01    0.000000e+00
   2.870502e-01    3.566966e+00    5.522361e+01    0.000000e+00
   2.900403e-01    3.558285e+00    5.465369e+01    0.000000e+00
   2.930305e-01    3.549748e+00    5.409407e+01    0.000000e+00
   2.960206e-01    3.541321e+00    5.354448e+01    0.000000e+00
   2.990107e-01    3.532893e+00    5.300462e+01    0.000000e+00
   3.020008e-01    3.524677e+00    5.247422e+01    0.000000e+00
   3.049909e-01    3.516476e+00    5.195301e+01    0.000000e+00
   3.079810e-01    3.508321e+00    5.144074e+01    0.000000e+00
   3.109711e-01    3.500328e+00    5.093717e+01    0.000000e+00
   3.139612e-01    3.492336e+00    5.044206e+01    0.000000e+00
   3.169513e-01    3.484432e+00    4.995519e+01    0.000000e+00
   3.199414e-01    3.476646e+00    4.947635e+01    0.000000e+00
   3.229315e-01    3.468860e+00    4.900530e+01    0.000000e+00
   3.259216e-01    3.461214e+00    4.854187e+01    0.000000e+00
   3.289117e-01    3.453678e+00    4.808585e+01    0.000000e+00
   3.319018e-01    3.446141e+00    4.763706e+01    0.000000e+00
   3.348919e-01    3.438737e+00    4.719531e+01    0.000000e+00
   3.378821e-01    3.431414e+00    4.676043e+01    0.000000e+00
   3.408722e-01    3.424090e+00    4.633225e+01    0.000000e+00
   3.438623e-01    3.416894e+00    4.591061e+01    0.000000e+00
   3.468524e-01    3.409783e+00    4.549534e+01    0.000000e+00
   3.498425e-01    3.402672e+00    4.508630e+01    0.000000e+00
   3.528326e-01    3.395665e+00    4.468334e+01    0.000000e+00
   3.558227e-01    3.388764e+00    4.428631e+01    0.000000e+00
   3.588128e-01    3.381863e+00    4.389509e+01    0.000000e+00
   3.618029e-01    3.375035e+00    4.350952e+01    0.000000e+00
   3.647930e-01    3.368369e+00    4.312949e+01    0.000000e+00
   3.677831e-01    3.361703e+00    4.275488e+01    0.000000e+00
   3.707732e-01    3.355045e+00    4.238555e+01    0.000000e+00
   3.737633e-01    3.348603e+00    4.202139e+01    0.000000e+00
   3.767534e-01    3.342161e+00    4.166229e+01    0.000000e+00
   3.797435e-01    3.335718e+00    4.130814e+01    0.000000e+00
   3.827337e-01    3.329388e+00    4.095883e+01    0.000000e+00
   3.857238e-01    3.323112e+00    4.061426e+01    0.000000e+00
   3.887139e-01    3.316836e+00    4.027432e+01    0.000000e+00
   3.917040e-01    3.310544e+00    3.993892e+01    0.000000e+00
   3.946941e-01    3.304190e+00    3.960796e+01    0.000000e+00
   3.976842e-01    3.297836e+00    3.928135e+01    0.000000e+00
   4.006743e-01    3.291483e+00    3.895901e+01    0.000000e+00
   4.036644e-01    3.285279e+00    3.864084e+01    0.000000e+00
   4.066545e-01    3.279150e+00    3.832677e+01    0.000000e+00
   4.096446e-01    3.273021e+00    3.801670e+01    0.000000e+00
   4.126347e-01    3.266897e+00    3.771056e+01    0.000000e+00
   4.156248e-01    3.260998e+00    3.740828e+01    0.000000e+00
   4.186149e-01    3.255098e+00    3.710977e+01    0.000000e+00
   4.216050e-01    3.249198e+00    3.681496e+01    0.000000e+00
   4.245951e-01    3.243362e+00    3.652379e+01    0.000000e+00
   4.275853e-01    3.237689e+00    3.623618e+01    0.000000e+00
   4.305754e-01    3.232016e+00    3.595207e+01    0.000000e+00
   4.335655e-01    3.226344e+00    3.567138e+01    0.000000e+00
   4.365556e-01    3.220763e+00    3.539406e+01    0.000000e+00
   4.395457e-01    3.215302e+00    3.512005e+01    0.000000e+00
   4.425358e-01    3.209840e+00    3.484928e+01    0.000000e+00
   4.455259e-01    3.204378e+00    3.458169e+01    0.000000e+00
   4.485160e-01    3.198888e+00    3.431723e+01    0.000000e+00
   4.515061e-01    3.193367e+00    3.405584e+01    0.000000e+00
   4.544962e-01    3.187847e+00    3.379746e+01    0.000000e+00
   4.574863e-01    3.182326e+00    3.354205e+01    0.000000e+00
   4.604764e-01    3.176876e+00    3.328954e+01    0.000000e+00
   4.634665e-01    3.171518e+00    3.303990e+01    0.000000e+00
   4.664566e-01    3.166160e+00    3.279306e+01    0.000000e+00
   4.694467e-01    3.160801e+00    3.254899e+01    0.000000e+00
   4.724369e-01    3.155502e+00    3.230763e+01    0.000000e+00
   4.754270e-01    3.150364e+00    3.206894e+01    0.000000e+00
   4.784171e-01    3.145226e+00    3.183288e+01    0.000000e+00
   4.814072e-01    3.140088e+00    3.159939e+01    0.000000e+00
   4.843973e-01    3.134950e+00    3.136844e+01    0.000000e+00
   4.873874e-01    3.130014e+00    3.113998e+01    0.000000e+00
   4.903775e-01    3.125080e+00    3.091398e+01    0.000000e+00
   4.933676e-01    3.120146e+00    3.069040e+01    0.000000e+00
   4.963577e-01    3.115212e+00    3.046919e+01    0.000000e+00
   4.993478e-01    3.110231e+00    3.025031e+01    0.000000e+00
   5.023379e-01    3.105218e+00    3.003374e+01    0.000000e+00
   5.053280e-01    3.100205e+00    2.981943e+01    0.000000e+00
   5.083181e-01    3.095191e+00    2.960735e+01    0.000000e+00
   5.113082e-01    3.090196e+00    2.939746e+01    0.000000e+00
   5.142983e-01    3.085404e+00    2.918973e+01    0.000000e+00
   5.172885e-01    3.080612e+00    2.898413e+01    0.000000e+00
   5.202786e-01    3.075820e+00    2.878062e+01    0.000000e+00
   5.232687e-01    3.071028e+00    2.857917e+01    0.000000e+00
   5.262588e-01    3.066329e+00    2.837975e+01    0.000000e+00
   5.292489e-01    3.061749e+00    2.818233e+01    0.000000e+00
   5.322390e-01    3.057168e+00    2.798688e+01    0.000000e+00
   5.352291e-01    3.052588e+00    2.779337e+01    0.000000e+00
   5.382192e-01    3.048007e+00    2.760177e+01    0.000000e+00
   5.412093e-01    3.043385e+00    2.741206e+01    0.000000e+00
   5.441994e-01    3.038743e+00    2.722420e+01    0.000000e+00
   5.471895e-01    3.034101e+00    2.703818e+01    0.000000e+00
   5.501796e-01    3.029460e+00    2.685395e+01    0.000000e+00
   5.531697e-01    3.024818e+00    2.667151e+01    0.000000e+00
   5.561598e-01    3.020336e+00    2.649081e+01    0.000000e+00
   5.591499e-01    3.015897e+00    2.631184e+01    0.000000e+00
   5.621401e-01    3.011458e+00    2.613458e+01    0.000000e+00
   5.651302e-01    3.007019e+00    2.595899e+01    0.000000e+00
   5.681203e-01    3.002580e+00    2.578506e+01    0.000000e+00
   5.711104e-01    2.998232e+00    2.561276e+01    0.000000e+00
   5.741005e-01    2.993913e+00    2.544207e+01    0.000000e+00
   5.770906e-01    2.989593e+00    2.527297e+01    0.000000e+00
   5.800807e-01    2.985273e+00    2.510544e+01    0.000000e+00
   5.830708e-01    2.980953e+00    2.493945e+01    0.000000e+00
   5.860609e-01    2.976657e+00    2.477498e+01    0.000000e+00
   5.890510e-01    2.972376e+00    2.461202e+01    0.000000e+00
   5.920411e-01    2.968095e+00    2.445055e+01    0.000000e+00
   5.950312e-01    2.963814e+00    2.429054e+01    0.000000e+00
   5.980213e-01    2.959533e+00    2.413197e+01    0.000000e+00
   6.010114e-01    2.955313e+00    2.397483e+01    0.000000e+00
   6.040015e-01    2.951230e+00    2.381910e+01    0.000000e+00
   6.069917e-01    2.947148e+00    2.366475e+01    0.000000e+00
   6.099818e-01    2.943065e+00    2.351178e+01    0.000000e+00
   6.129719e-01    2.938982e+00    2.336016e+01    0.000000e+00
   6.159620e-01    2.934900e+00    2.320988e+01    0.000000e+00
   6.189521e-01    2.930793e+00    2.306092e+01    0.000000e+00
   6.219422e-01    2.926682e+00    2.291326e+01    0.000000e+00
   6.249323e-01    2.922571e+00    2.276689e+01    0.000000e+00
   6.279224e-01    2.918460e+00    2.262179e+01    0.000000e+00
   6.309125e-01    2.914349e+00    2.247794e+01    0.000000e+00
   6.339026e-01    2.910290e+00    2.233533e+01    0.000000e+00
   6.368927e-01    2.906375e+00    2.219395e+01    0.000000e+00
   6.398828e-01    2.902460e+00    2.205377e+01    0.000000e+00
   6.428729e-01    2.898545e+00    2.191479e+01    0.000000e+00
   6.458630e-01    2.894630e+00    2.177699e+01    0.000000e+00
   6.488531e-01    2.890715e+00    2.164035e+01    0.000000e+00
   6.518433e-01    2.886802e+00    2.150487e+01    0.000000e+00
   6.548334e-01    2.882889e+00    2.137052e+01    0.000000e+00
   6.578235e-01    2.878976e+00    2.123729e+01    0.000000e+00
   6.608136e-01    2.875064e+00    2.110518e+01    0.000000e+00
   6.638037e-01    2.871151e+00    2.097416e+01    0.000000e+00
   6.667938e-01    2.867238e+00    2.084423e+01    0.000000e+00
   6.697839e-01    2.863432e+00    2.071537e+01    0.000000e+00
   6.727740e-01    2.859689e+00    2.058757e+01    0.000000e+00
   6.757641e-01    2.855946e+00    2.046082e+01    0.000000e+00
   6.787542e-01    2.852204e+00    2.033510e+01    0.000000e+00
   6.817443e-01    2.848461e+00    2.021041e+01    0.000000e+00
   6.847344e-01    2.844718e+00    2.008673e+01    0.000000e+00
   6.877245e-01    2.840975e+00    1.996404e+01    0.000000e+00
   6.907146e-01    2.837230e+00    1.984235e+01    0.000000e+00
   6.937047e-01    2.833485e+00    1.972163e+01    0.000000e+00
   6.966949e-01    2.829740e+00    1.960188e+01    0.000000e+00
   6.996850e-01    2.825995e+00    1.948309e+01    0.000000e+00
   7.026751e-01    2.822250e+00    1.936524e+01    0.000000e+00
   7.056652e-01    2.818553e+00    1.924832e+01    0.000000e+00
   7.086553e-01    2.814947e+00    1.913233e+01    0.000000e+00
   7.116454e-01    2.811340e+00    1.901726e+01    0.000000e+00
   7.146355e-01    2.807734e+00    1.890308e+01    0.000000e+00
   7.176256e-01    2.804128e+00    1.878981e+01    0.000000e+00
   7.206157e-01    2.800522e+00    1.867741e+01    0.000000e+00
   7.236058e-01    2.796916e+00    1.856589e+01    0.000000e+00
   7.265959e-01    2.793355e+00    1.845524e+01    0.000000e+00
   7.295860e-01    2.789797e+00    1.834544e+01    0.000000e+00
   7.325761e-01    2.786239e+00    1.823649e+01    0.000000e+00
   7.355662e-01    2.782681e+00    1.812838e+01    0.000000e+00
   7.385563e-01    2.779123e+00    1.802110e+01    0.000000e+00
   7.415465e-01    2.775565e+00    1.791463e+01    0.000000e+00
   7.445366e-01    2.772036e+00    1.780898e+01    0.000000e+00
   7.475267e-01    2.768557e+00    1.770414e+01    0.000000e+00
   7.505168e-01    2.765077e+00    1.760008e+01    0.000000e+00
   7.535069e-01    2.761597e+00    1.749682e+01    0.000000e+00
   7.564970e-01    2.758117e+00    1.739433e+01    0.000000e+00
   7.594871e-01    2.754637e+00    1.729261e+01    0.000000e+00
   7.624772e-01    2.751157e+00    1.719166e+01    0.000000e+00
   7.654673e-01    2.747741e+00    1.709146e+01    0.000000e+00
   7.684574e-01    2.744360e+00    1.699200e+01    0.000000e+00
   7.714475e-01    2.740980e+00    1.689329e+01    0.000000e+00
   7.744376e-01    2.737600e+00    1.679531e+01    0.000000e+00
   7.774277e-01    2.734219e+00    1.669805e+01    0.000000e+00
   7.804178e-01    2.730839e+00    1.660151e+01    0.000000e+00
   7.834079e-01    2.727459e+00    1.650568e+01    0.000000e+00
   7.863981e-01    2.724101e+00    1.641056e+01    0.000000e+00
   7.893882e-01    2.720753e+00    1.631612e+01    0.000000e+00
   7.923783e-01    2.717405e+00    1.622238e+01    0.000000e+00
   7.953684e-01    2.714057e+00    1.612932e+01    0.000000e+00
   7.983585e-01    2.710709e+00    1.603694e+01    0.000000e+00
   8.013486e-01    2.707361e+00    1.594522e+01    0.000000e+00
   8.043387e-01    2.704013e+00    1.585417e+01    0.000000e+00
   8.073288e-01    2.700713e+00    1.576378e+01    0.000000e+00
   8.103189e-01    2.697446e+00    1.567403e+01    0.000000e+00
   8.133090e-01    2.694179e+00    1.558493e+01    0.000000e+00
   8.162991e-01    2.690911e+00    1.549646e+01    0.000000e+00
   8.192892e-01    2.687644e+00    1.540862e+01    0.000000e+00
   8.222793e-01    2.684377e+00    1.532141e+01    0.000000e+00
   8.252694e-01    2.681109e+00    1.523482e+01    0.000000e+00
   8.282595e-01    2.677864e+00    1.514884e+01    0.000000e+00
   8.312497e-01    2.674672e+00    1.506347e+01    0.000000e+00
   8.342398e-01    2.671480e+00    1.497871e+01    0.000000e+00
   8.372299e-01    2.668288e+00    1.489453e+01    0.000000e+00
   8.402200e-01    2.665096e+00    1.481095e+01    0.000000e+00
   8.432101e-01    2.661904e+00    1.472795e+01    0.000000e+00
   8.462002e-01    2.658712e+00    1.464553e+01    0.000000e+00
   8.491903e-01    2.655521e+00    1.456369e+01    0.000000e+00
   8.521804e-01    2.652376e+00    1.448241e+01    0.000000e+00
   8.551705e-01    2.649244e+00    1.440170e+01    0.000000e+00
   8.581606e-01    2.646113e+00    1.432155e+01    0.000000e+00
   8.611507e-01    2.642982e+00    1.424194e+01    0.000000e+00
   8.641408e-01    2.639850e+00    1.416289e+01    0.000000e+00
   8.671309e-01    2.636719e+00    1.408438e+01    0.000000e+00
   8.701210e-01    2.633588e+00    1.400641e+01    0.000000e+00
   8.731111e-01    2.630459e+00    1.392897e+01    0.000000e+00
   8.761013e-01    2.627373e+00    1.385206e+01    0.000000e+00
   8.790914e-01    2.624286e+00    1.377567e+01    0.000000e+00
   8.820815e-01    2.621199e+00    1.369981e+01    0.000000e+00
   8.850716e-01    2.618113e+00    1.362445e+01    0.000000e+00
   8.880617e-01    2.615026e+00    1.354961e+01    0.000000e+00
   8.910518e-01    2.611939e+00    1.347527e+01    0.000000e+00
   8.940419e-01    2.608852e+00    1.340143e+01    0.000000e+00
   8.970320e-01    2.605775e+00    1.332809e+01    0.000000e+00
   9.000221e-01    2.602754e+00    1.325524e+01    0.000000e+00
   9.030122e-01    2.599732e+00    1.318288e+01    0.000000e+00
   9.060023e-01    2.596710e+00    1.311100e+01    0.000000e+00
   9.089924e-01    2.593688e+00    1.303961e+01    0.000000e+00
   9.119825e-01    2.590666e+00    1.296868e+01    0.000000e+00
   9.149726e-01    2.587644e+00    1.289823e+01    0.000000e+00
   9.179627e-01    2.584622e+00    1.282824e+01    0.000000e+00
   9.209529e-01    2.581602e+00    1.275872e+01    0.000000e+00
   9.239430e-01    2.578637e+00    1.268965e+01    0.000000e+00
   9.269331e-01    2.575673e+00    1.262104e+01    0.000000e+00
   9.299232e-01    2.572709e+00    1.255288e+01    0.000000e+00
   9.329133e-01    2.569745e+00    1.248517e+01    0.000000e+00
   9.359034e-01    2.566780e+00    1.241790e+01    0.000000e+00
   9.388935e-01    2.563816e+00    1.235107e+01    0.000000e+00
   9.418836e-01    2.560852e+00    1.228468e+01    0.000000e+00
   9.448737e-01    2.557888e+00    1.221871e+01    0.000000e+00
   9.478638e-01    2.554959e+00    1.215318e+01    0.000000e+00
   9.508539e-01    2.552048e+00    1.208807e+01    0.000000e+00
   9.538440e-01    2.549138e+00    1.202338e+01    0.000000e+00
   9.568341e-01    2.546227e+00    1.195911e+01    0.000000e+00
   9.598242e-01    2.543317e+00    1.189526e+01    0.000000e+00
   9.628143e-01    2.540406e+00    1.183181e+01    0.000000e+00
   9.658045e-01    2.537495e+00    1.176877e+01    0.000000e+00
   9.687946e-01    2.534585e+00    1.170614e+01    0.000000e+00
   9.717847e-01    2.531678e+00    1.164390e+01    0.000000e+00
   9.747748e-01    2.528822e+00    1.158207e+01    0.000000e+00
   9.777649e-01    2.525966e+00    1.152063e+01    0.000000e+00
   9.807550e-01    2.523110e+00    1.145958e+01    0.000000e+00
   9.837451e-01    2.520253e+00    1.139891e+01    0.000000e+00
   9.867352e-01    2.517397e+00    1.133863e+01    0.000000e+00
   9.897253e-01    2.514541e+00    1.127874e+01    0.000000e+00
   9.927154e-01    2.511685e+00    1.121922e+01    0.000000e+00
   9.957055e-01    2.508828e+00    1.116007e+01    0.000000e+00
   9.986956e-01    2.505985e+00    1.110130e+01    0.000000e+00
   1.001686e+00    2.503176e+00    1.104290e+01    0.000000e+00
   1.004676e+00    2.500368e+00    1.098486e+01    0.000000e+00
   1.007666e+00    2.497560e+00    1.092719e+01    0.000000e+00
   1.010656e+00    2.494751e+00    1.086988e+01    0.000000e+00
   1.013646e+00    2.491943e+00    1.081292e+01    0.000000e+00
   1.016636e+00    2.489134e+00    1.075632e+01    0.000000e+00
   1.019626e+00    2.486326e+00    1.070007e+01    0.000000e+00
   1.022616e+00    2.483517e+00    1.064417e+01    0.000000e+00
   1.025607e+00    2.480719e+00    1.058862e+01    0.000000e+00
   1.028597e+00    2.477959e+00    1.053341e+01    0.000000e+00
   1.031587e+00    2.475199e+00    1.047854e+01    0.000000e+00
   1.034577e+00    2.472439e+00    1.042401e+01    0.000000e+00
   1.037567e+00    2.469679e+00    1.036982e+01    0.000000e+00
