# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=7.805e-10, Err(IET)=9.933e-13, Q_net=8.315e-08
# {"name":"Al", "Z":13, "Zstar":3.6245879239879537, "A":26.981539,  "μ[AU]": 5.6772264687e-02, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413586e+05    1.003569e+00    1.413576e+05    0.000000e+00    1.294727e+04   -3.865966e+01    6.536853e+00    5.878786e+03    0.000000e+00
   1.027128e-03    1.357813e+05    9.578018e-01    1.357803e+05    0.000000e+00    1.260393e+04   -3.814645e+01    6.400824e+00    5.858853e+03    0.000000e+00
   1.054991e-03    1.304236e+05    1.001376e+00    1.304226e+05    0.000000e+00    1.226965e+04   -3.764004e+01    6.530398e+00    5.838380e+03    0.000000e+00
   1.083610e-03    1.252768e+05    9.811122e-01    1.252758e+05    0.000000e+00    1.194421e+04   -3.714032e+01    6.470301e+00    5.817351e+03    0.000000e+00
   1.113006e-03    1.203325e+05    9.052750e-01    1.203316e+05    0.000000e+00    1.162736e+04   -3.664721e+01    6.242468e+00    5.795752e+03    0.000000e+00
   1.143199e-03    1.155831e+05    9.362461e-01    1.155822e+05    0.000000e+00    1.131888e+04   -3.616063e+01    6.336271e+00    5.773567e+03    0.000000e+00
   1.174211e-03    1.110207e+05    9.441734e-01    1.110197e+05    0.000000e+00    1.101855e+04   -3.568049e+01    6.360121e+00    5.750780e+03    0.000000e+00
   1.206065e-03    1.066379e+05    9.015459e-01    1.066370e+05    0.000000e+00    1.072616e+04   -3.520668e+01    6.231034e+00    5.727375e+03    0.000000e+00
   1.238782e-03    1.024276e+05    8.639486e-01    1.024268e+05    0.000000e+00    1.044149e+04   -3.473915e+01    6.115779e+00    5.703335e+03    0.000000e+00
   1.272387e-03    9.838329e+04    8.952800e-01    9.838239e+04    0.000000e+00    1.016433e+04   -3.427780e+01    6.211901e+00    5.678643e+03    0.000000e+00
   1.306904e-03    9.449816e+04    8.806276e-01    9.449728e+04    0.000000e+00    9.894503e+03   -3.382255e+01    6.167167e+00    5.653281e+03    0.000000e+00
   1.342357e-03    9.076601e+04    8.259463e-01    9.076518e+04    0.000000e+00    9.631800e+03   -3.337331e+01    5.997615e+00    5.627231e+03    0.000000e+00
   1.378772e-03    8.718090e+04    8.366931e-01    8.718007e+04    0.000000e+00    9.376036e+03   -3.293001e+01    6.031210e+00    5.600474e+03    0.000000e+00
   1.416175e-03    8.373700e+04    8.456092e-01    8.373615e+04    0.000000e+00    9.127030e+03   -3.249257e+01    6.058822e+00    5.572992e+03    0.000000e+00
   1.454592e-03    8.042871e+04    8.179516e-01    8.042789e+04    0.000000e+00    8.884601e+03   -3.206091e+01    5.972400e+00    5.544764e+03    0.000000e+00
   1.494051e-03    7.725071e+04    7.703793e-01    7.724993e+04    0.000000e+00    8.648577e+03   -3.163495e+01    5.821568e+00    5.515770e+03    0.000000e+00
   1.534581e-03    7.419796e+04    7.987957e-01    7.419716e+04    0.000000e+00    8.418787e+03   -3.121462e+01    5.912110e+00    5.485990e+03    0.000000e+00
   1.576211e-03    7.126544e+04    7.939253e-01    7.126464e+04    0.000000e+00    8.195069e+03   -3.079984e+01    5.896563e+00    5.455402e+03    0.000000e+00
   1.618969e-03    6.844841e+04    7.600518e-01    6.844765e+04    0.000000e+00    7.977260e+03   -3.039053e+01    5.788647e+00    5.423984e+03    0.000000e+00
   1.662888e-03    6.574238e+04    7.424014e-01    6.574164e+04    0.000000e+00    7.765206e+03   -2.998663e+01    5.731649e+00    5.391713e+03    0.000000e+00
   1.707998e-03    6.314299e+04    7.566420e-01    6.314223e+04    0.000000e+00    7.558754e+03   -2.958807e+01    5.777681e+00    5.358568e+03    0.000000e+00
   1.754332e-03    6.064598e+04    7.442997e-01    6.064524e+04    0.000000e+00    7.357756e+03   -2.919476e+01    5.737744e+00    5.324523e+03    0.000000e+00
   1.801923e-03    5.824734e+04    7.088629e-01    5.824664e+04    0.000000e+00    7.162068e+03   -2.880663e+01    5.622341e+00    5.289555e+03    0.000000e+00
   1.850804e-03    5.594325e+04    7.082034e-01    5.594254e+04    0.000000e+00    6.971551e+03   -2.842364e+01    5.620164e+00    5.253638e+03    0.000000e+00
   1.901012e-03    5.372996e+04    7.139959e-01    5.372924e+04    0.000000e+00    6.786067e+03   -2.804569e+01    5.639211e+00    5.216746e+03    0.000000e+00
   1.952582e-03    5.160387e+04    6.985200e-01    5.160317e+04    0.000000e+00    6.605483e+03   -2.767273e+01    5.588252e+00    5.178854e+03    0.000000e+00
   2.005551e-03    4.956154e+04    6.647899e-01    4.956088e+04    0.000000e+00    6.429670e+03   -2.730468e+01    5.475992e+00    5.139934e+03    0.000000e+00
   2.059956e-03    4.759975e+04    6.714851e-01    4.759908e+04    0.000000e+00    6.258503e+03   -2.694150e+01    5.498488e+00    5.099958e+03    0.000000e+00
   2.115838e-03    4.571527e+04    6.729002e-01    4.571460e+04    0.000000e+00    6.091858e+03   -2.658309e+01    5.503213e+00    5.058898e+03    0.000000e+00
   2.173235e-03    4.390506e+04    6.573820e-01    4.390441e+04    0.000000e+00    5.929617e+03   -2.622941e+01    5.451082e+00    5.016724e+03    0.000000e+00
   2.232190e-03    4.216619e+04    6.272663e-01    4.216557e+04    0.000000e+00    5.771662e+03   -2.588039e+01    5.348996e+00    4.973406e+03    0.000000e+00
   2.292744e-03    4.049591e+04    6.342461e-01    4.049527e+04    0.000000e+00    5.617881e+03   -2.553597e+01    5.372813e+00    4.928912e+03    0.000000e+00
   2.354940e-03    3.889147e+04    6.340827e-01    3.889083e+04    0.000000e+00    5.468163e+03   -2.519609e+01    5.372258e+00    4.883212e+03    0.000000e+00
   2.418824e-03    3.735027e+04    6.204290e-01    3.734965e+04    0.000000e+00    5.322401e+03   -2.486067e+01    5.325488e+00    4.836272e+03    0.000000e+00
   2.484440e-03    3.586983e+04    5.951146e-01    3.586923e+04    0.000000e+00    5.180491e+03   -2.452968e+01    5.238266e+00    4.788059e+03    0.000000e+00
   2.551837e-03    3.444779e+04    5.973930e-01    3.444720e+04    0.000000e+00    5.042331e+03   -2.420304e+01    5.246152e+00    4.738537e+03    0.000000e+00
   2.621062e-03    3.308183e+04    5.975267e-01    3.308124e+04    0.000000e+00    4.907822e+03   -2.388070e+01    5.246613e+00    4.687672e+03    0.000000e+00
   2.692165e-03    3.176974e+04    5.868538e-01    3.176915e+04    0.000000e+00    4.776867e+03   -2.356260e+01    5.209408e+00    4.635428e+03    0.000000e+00
   2.765197e-03    3.050938e+04    5.668586e-01    3.050881e+04    0.000000e+00    4.649373e+03   -2.324869e+01    5.139222e+00    4.581766e+03    0.000000e+00
   2.840210e-03    2.929875e+04    5.610742e-01    2.929819e+04    0.000000e+00    4.525249e+03   -2.293890e+01    5.118924e+00    4.526649e+03    0.000000e+00
   2.917258e-03    2.813589e+04    5.626786e-01    2.813533e+04    0.000000e+00    4.404404e+03   -2.263319e+01    5.124575e+00    4.470036e+03    0.000000e+00
   2.996396e-03    2.701890e+04    5.555099e-01    2.701834e+04    0.000000e+00    4.286754e+03   -2.233149e+01    5.099192e+00    4.411887e+03    0.000000e+00
   3.077681e-03    2.594597e+04    2.644629e+00    2.594332e+04    0.000000e+00    4.172213e+03   -2.203376e+01    1.061190e+01    4.352161e+03    0.000000e+00
   3.161170e-03    2.491537e+04    2.604385e+00    2.491277e+04    0.000000e+00    4.060699e+03   -2.173994e+01    1.052437e+01    4.290815e+03    0.000000e+00
   3.246925e-03    2.392547e+04    2.575128e+00    2.392289e+04    0.000000e+00    3.952133e+03   -2.144998e+01    1.045987e+01    4.227805e+03    0.000000e+00
   3.335006e-03    2.297462e+04    2.542449e+00    2.297208e+04    0.000000e+00    3.846436e+03   -2.116382e+01    1.038828e+01    4.163085e+03    0.000000e+00
   3.425477e-03    2.206130e+04    2.506917e+00    2.205880e+04    0.000000e+00    3.743533e+03   -2.088142e+01    1.030962e+01    4.096610e+03    0.000000e+00
   3.518402e-03    2.118403e+04    2.469016e+00    2.118156e+04    0.000000e+00    3.643351e+03   -2.060273e+01    1.022557e+01    4.028331e+03    0.000000e+00
   3.613847e-03    2.034140e+04    2.435680e+00    2.033897e+04    0.000000e+00    3.545816e+03   -2.032769e+01    1.015120e+01    3.958201e+03    0.000000e+00
   3.711882e-03    1.953205e+04    2.406484e+00    1.952964e+04    0.000000e+00    3.450860e+03   -2.005626e+01    1.008565e+01    3.886167e+03    0.000000e+00
   3.812576e-03    1.875465e+04    2.375003e+00    1.875228e+04    0.000000e+00    3.358414e+03   -1.978839e+01    1.001514e+01    3.812180e+03    0.000000e+00
   3.916002e-03    1.800795e+04    2.341646e+00    1.800561e+04    0.000000e+00    3.268412e+03   -1.952403e+01    9.939378e+00    3.736185e+03    0.000000e+00
   4.022233e-03    1.729074e+04    2.306787e+00    1.728843e+04    0.000000e+00    3.180790e+03   -1.926313e+01    9.860755e+00    3.658129e+03    0.000000e+00
   4.131346e-03    1.660187e+04    2.275576e+00    1.659959e+04    0.000000e+00    3.095484e+03   -1.900564e+01    9.789321e+00    3.577956e+03    0.000000e+00
   4.243420e-03    1.594021e+04    2.247755e+00    1.593797e+04    0.000000e+00    3.012434e+03   -1.875154e+01    9.725936e+00    3.495607e+03    0.000000e+00
   4.358533e-03    1.530470e+04    2.218417e+00    1.530248e+04    0.000000e+00    2.931580e+03   -1.850075e+01    9.658502e+00    3.411025e+03    0.000000e+00
   4.476769e-03    1.469430e+04    2.187879e+00    1.469212e+04    0.000000e+00    2.852864e+03   -1.825325e+01    9.588002e+00    3.324148e+03    0.000000e+00
   4.598213e-03    1.410803e+04    2.156401e+00    1.410587e+04    0.000000e+00    2.776229e+03   -1.800898e+01    9.515190e+00    3.234914e+03    0.000000e+00
   4.722951e-03    1.354492e+04    2.124233e+00    1.354280e+04    0.000000e+00    2.701621e+03   -1.776791e+01    9.440143e+00    3.143260e+03    0.000000e+00
   4.851073e-03    1.300409e+04    2.098343e+00    1.300200e+04    0.000000e+00    2.628986e+03   -1.752999e+01    9.379830e+00    3.049119e+03    0.000000e+00
   4.982671e-03    1.248465e+04    2.071525e+00    1.248258e+04    0.000000e+00    2.558273e+03   -1.729518e+01    9.316550e+00    2.952425e+03    0.000000e+00
   5.117839e-03    1.198574e+04    2.043935e+00    1.198370e+04    0.000000e+00    2.489429e+03   -1.706343e+01    9.251852e+00    2.853107e+03    0.000000e+00
   5.256673e-03    1.150657e+04    2.015775e+00    1.150455e+04    0.000000e+00    2.422407e+03   -1.683471e+01    9.185044e+00    2.751096e+03    0.000000e+00
   5.399273e-03    1.104635e+04    1.987228e+00    1.104437e+04    0.000000e+00    2.357158e+03   -1.660898e+01    9.117296e+00    2.646317e+03    0.000000e+00
   5.545742e-03    1.060434e+04    1.958430e+00    1.060239e+04    0.000000e+00    2.293635e+03   -1.638618e+01    9.048484e+00    2.538695e+03    0.000000e+00
   5.696185e-03    1.017983e+04    1.932593e+00    1.017790e+04    0.000000e+00    2.231792e+03   -1.616630e+01    8.986481e+00    2.428154e+03    0.000000e+00
   5.850708e-03    9.772127e+03    1.907790e+00    9.770219e+03    0.000000e+00    2.171586e+03   -1.594928e+01    8.926877e+00    2.314614e+03    0.000000e+00
   6.009423e-03    9.380561e+03    1.882635e+00    9.378678e+03    0.000000e+00    2.112973e+03   -1.573509e+01    8.865737e+00    2.212302e+03    0.000000e+00
   6.172444e-03    9.004499e+03    1.857271e+00    9.002641e+03    0.000000e+00    2.055911e+03   -1.552368e+01    8.804470e+00    2.172367e+03    0.000000e+00
   6.339887e-03    8.643330e+03    1.831792e+00    8.641499e+03    0.000000e+00    2.000359e+03   -1.531503e+01    8.742061e+00    2.131350e+03    0.000000e+00
   6.511873e-03    8.296469e+03    1.806307e+00    8.294663e+03    0.000000e+00    1.946277e+03   -1.510909e+01    8.679886e+00    2.089219e+03    0.000000e+00
   6.688524e-03    7.963351e+03    1.780891e+00    7.961570e+03    0.000000e+00    1.893627e+03   -1.490583e+01    8.617213e+00    2.045946e+03    0.000000e+00
   6.869967e-03    7.643434e+03    1.755623e+00    7.641678e+03    0.000000e+00    1.842370e+03   -1.470522e+01    8.554870e+00    2.001498e+03    0.000000e+00
   7.056332e-03    7.336201e+03    1.732064e+00    7.334469e+03    0.000000e+00    1.792470e+03   -1.450721e+01    8.496381e+00    1.955845e+03    0.000000e+00
   7.247753e-03    7.041152e+03    1.709308e+00    7.039442e+03    0.000000e+00    1.743892e+03   -1.431177e+01    8.439568e+00    1.908954e+03    0.000000e+00
   7.444367e-03    6.757803e+03    1.686570e+00    6.756116e+03    0.000000e+00    1.696600e+03   -1.411887e+01    8.382818e+00    1.860790e+03    0.000000e+00
   7.646314e-03    6.485694e+03    1.663906e+00    6.484030e+03    0.000000e+00    1.650560e+03   -1.392847e+01    8.325544e+00    1.811320e+03    0.000000e+00
   7.853740e-03    6.224382e+03    1.641371e+00    6.222740e+03    0.000000e+00    1.605739e+03   -1.374054e+01    8.268978e+00    1.760508e+03    0.000000e+00
   8.066792e-03    5.973441e+03    1.619002e+00    5.971822e+03    0.000000e+00    1.562106e+03   -1.355504e+01    8.212039e+00    1.708318e+03    0.000000e+00
   8.285624e-03    5.732462e+03    1.596837e+00    5.730865e+03    0.000000e+00    1.519629e+03   -1.337195e+01    8.155814e+00    1.654711e+03    0.000000e+00
   8.510393e-03    5.501053e+03    1.574903e+00    5.499478e+03    0.000000e+00    1.478277e+03   -1.319122e+01    8.099634e+00    1.599651e+03    0.000000e+00
   8.741259e-03    5.278836e+03    1.553225e+00    5.277282e+03    0.000000e+00    1.438020e+03   -1.301284e+01    8.044002e+00    1.543097e+03    0.000000e+00
   8.978388e-03    5.065448e+03    1.531818e+00    5.063916e+03    0.000000e+00    1.398831e+03   -1.283676e+01    7.988820e+00    1.485996e+03    0.000000e+00
   9.221949e-03    4.860542e+03    1.510695e+00    4.859032e+03    0.000000e+00    1.360680e+03   -1.266296e+01    7.933990e+00    1.456156e+03    0.000000e+00
   9.472118e-03    4.663783e+03    1.489870e+00    4.662293e+03    0.000000e+00    1.323540e+03   -1.249140e+01    7.879963e+00    1.425507e+03    0.000000e+00
   9.729073e-03    4.474849e+03    1.469341e+00    4.473380e+03    0.000000e+00    1.287385e+03   -1.232206e+01    7.826058e+00    1.394026e+03    0.000000e+00
   9.992999e-03    4.293433e+03    1.449109e+00    4.291983e+03    0.000000e+00    1.252189e+03   -1.215490e+01    7.773232e+00    1.361691e+03    0.000000e+00
   1.026408e-02    4.119236e+03    1.429177e+00    4.117807e+03    0.000000e+00    1.217926e+03   -1.198990e+01    7.720444e+00    1.328479e+03    0.000000e+00
   1.054252e-02    3.951974e+03    1.409541e+00    3.950565e+03    0.000000e+00    1.184571e+03   -1.182702e+01    7.668694e+00    1.294366e+03    0.000000e+00
   1.082852e-02    3.791374e+03    1.390188e+00    3.789984e+03    0.000000e+00    1.152102e+03   -1.166624e+01    7.617112e+00    1.259327e+03    0.000000e+00
   1.112227e-02    3.637173e+03    1.371111e+00    3.635802e+03    0.000000e+00    1.120494e+03   -1.150753e+01    7.566254e+00    1.223338e+03    0.000000e+00
   1.142399e-02    3.489117e+03    1.352301e+00    3.487765e+03    0.000000e+00    1.089725e+03   -1.135086e+01    7.515801e+00    1.186373e+03    0.000000e+00
   1.173389e-02    3.346965e+03    1.333744e+00    3.345631e+03    0.000000e+00    1.059773e+03   -1.119621e+01    7.465752e+00    1.148405e+03    0.000000e+00
   1.205220e-02    3.210483e+03    1.315426e+00    3.209167e+03    0.000000e+00    1.030615e+03   -1.104354e+01    7.416310e+00    1.113903e+03    0.000000e+00
   1.237915e-02    3.079447e+03    1.297337e+00    3.078150e+03    0.000000e+00    1.002232e+03   -1.089283e+01    7.366959e+00    1.089861e+03    0.000000e+00
   1.271496e-02    2.953642e+03    1.279454e+00    2.952363e+03    0.000000e+00    9.746031e+02   -1.074405e+01    7.318382e+00    1.065167e+03    0.000000e+00
   1.305989e-02    2.832862e+03    1.261766e+00    2.831600e+03    0.000000e+00    9.477079e+02   -1.059718e+01    7.269641e+00    1.039804e+03    0.000000e+00
   1.341417e-02    2.716908e+03    1.244256e+00    2.715663e+03    0.000000e+00    9.215272e+02   -1.045219e+01    7.221697e+00    1.013752e+03    0.000000e+00
   1.377807e-02    2.605588e+03    1.226904e+00    2.604362e+03    0.000000e+00    8.960424e+02   -1.030906e+01    7.173563e+00    9.869937e+02    0.000000e+00
   1.415183e-02    2.498721e+03    1.209693e+00    2.497512e+03    0.000000e+00    8.712351e+02   -1.016776e+01    7.125901e+00    9.595094e+02    0.000000e+00
   1.453574e-02    2.396130e+03    1.192608e+00    2.394938e+03    0.000000e+00    8.470874e+02   -1.002826e+01    7.078178e+00    9.312796e+02    0.000000e+00
   1.493005e-02    2.297646e+03    1.175702e+00    2.296471e+03    0.000000e+00    8.235819e+02   -9.890542e+00    7.030844e+00    9.022840e+02    0.000000e+00
   1.533507e-02    2.203108e+03    1.159737e+00    2.201949e+03    0.000000e+00    8.007018e+02   -9.754585e+00    6.985933e+00    8.819191e+02    0.000000e+00
   1.575107e-02    2.112359e+03    1.143847e+00    2.111215e+03    0.000000e+00    7.784306e+02   -9.620361e+00    6.940930e+00    8.615169e+02    0.000000e+00
   1.617836e-02    2.025249e+03    1.128007e+00    2.024121e+03    0.000000e+00    7.567523e+02   -9.487847e+00    6.896090e+00    8.405613e+02    0.000000e+00
   1.661724e-02    1.941633e+03    1.112200e+00    1.940520e+03    0.000000e+00    7.356512e+02   -9.357020e+00    6.850820e+00    8.190372e+02    0.000000e+00
   1.706802e-02    1.861373e+03    1.096407e+00    1.860277e+03    0.000000e+00    7.151122e+02   -9.227857e+00    6.805800e+00    7.969292e+02    0.000000e+00
   1.753104e-02    1.784337e+03    1.080652e+00    1.783256e+03    0.000000e+00    6.951204e+02   -9.100335e+00    6.760218e+00    7.742215e+02    0.000000e+00
   1.800661e-02    1.710399e+03    1.065940e+00    1.709333e+03    0.000000e+00    6.756615e+02   -8.974435e+00    6.717956e+00    7.518211e+02    0.000000e+00
   1.849509e-02    1.639434e+03    1.051170e+00    1.638383e+03    0.000000e+00    6.567215e+02   -8.850133e+00    6.674934e+00    7.347009e+02    0.000000e+00
   1.899681e-02    1.571325e+03    1.036320e+00    1.570289e+03    0.000000e+00    6.382867e+02   -8.727405e+00    6.631778e+00    7.171163e+02    0.000000e+00
