# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=7.727e-10, Err(IET)=9.885e-13, Q_net=1.602e-07
# {"name":"Al", "Z":13, "Zstar":4.890591073260936, "A":26.981539,  "μ[AU]": -1.4479913020e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    1.222794e+01    8.057047e+03    0.000000e+00
   5.980213e-03    1.048124e+01    4.056912e+03    0.000000e+00
   8.970320e-03    9.618887e+00    2.723149e+03    0.000000e+00
   1.196043e-02    9.069315e+00    2.055962e+03    0.000000e+00
   1.495053e-02    8.674070e+00    1.655422e+03    0.000000e+00
   1.794064e-02    8.367715e+00    1.388199e+03    0.000000e+00
   2.093075e-02    8.121129e+00    1.197166e+03    0.000000e+00
   2.392085e-02    7.914418e+00    1.053750e+03    0.000000e+00
   2.691096e-02    7.737490e+00    9.420823e+02    0.000000e+00
   2.990107e-02    7.583793e+00    8.526386e+02    0.000000e+00
   3.289117e-02    7.448068e+00    7.793609e+02    0.000000e+00
   3.588128e-02    7.326248e+00    7.182073e+02    0.000000e+00
   3.887139e-02    7.215968e+00    6.663826e+02    0.000000e+00
   4.186149e-02    7.115425e+00    6.218875e+02    0.000000e+00
   4.485160e-02    7.023104e+00    5.832582e+02    0.000000e+00
   4.784171e-02    6.938018e+00    5.493947e+02    0.000000e+00
   5.083181e-02    6.858748e+00    5.194579e+02    0.000000e+00
   5.382192e-02    6.784690e+00    4.927932e+02    0.000000e+00
   5.681203e-02    6.715353e+00    4.688854e+02    0.000000e+00
   5.980213e-02    6.650153e+00    4.473211e+02    0.000000e+00
   6.279224e-02    6.588556e+00    4.277666e+02    0.000000e+00
   6.578235e-02    6.530161e+00    4.099481e+02    0.000000e+00
   6.877245e-02    6.474693e+00    3.936401e+02    0.000000e+00
   7.176256e-02    6.421894e+00    3.786539e+02    0.000000e+00
   7.475267e-02    6.371418e+00    3.648319e+02    0.000000e+00
   7.774277e-02    6.323296e+00    3.520398e+02    0.000000e+00
   8.073288e-02    6.276901e+00    3.401640e+02    0.000000e+00
   8.372299e-02    6.232705e+00    3.291064e+02    0.000000e+00
   8.671309e-02    6.189982e+00    3.187832e+02    0.000000e+00
   8.970320e-02    6.148706e+00    3.091209e+02    0.000000e+00
   9.269331e-02    6.109064e+00    3.000564e+02    0.000000e+00
   9.568341e-02    6.084815e+00    2.915336e+02    0.000000e+00
   9.867352e-02    6.064848e+00    2.835039e+02    0.000000e+00
   1.016636e-01    6.043828e+00    2.759239e+02    0.000000e+00
   1.046537e-01    6.002591e+00    2.687557e+02    0.000000e+00
   1.076438e-01    5.968207e+00    2.619649e+02    0.000000e+00
   1.106339e-01    5.948107e+00    2.555215e+02    0.000000e+00
   1.136241e-01    5.907345e+00    2.493982e+02    0.000000e+00
   1.166142e-01    5.881918e+00    2.435707e+02    0.000000e+00
   1.196043e-01    5.858758e+00    2.380171e+02    0.000000e+00
   1.225944e-01    5.825114e+00    2.327176e+02    0.000000e+00
   1.255845e-01    5.798426e+00    2.276542e+02    0.000000e+00
   1.285746e-01    5.778070e+00    2.228108e+02    0.000000e+00
   1.315647e-01    5.752714e+00    2.181725e+02    0.000000e+00
   1.345548e-01    5.720392e+00    2.137260e+02    0.000000e+00
   1.375449e-01    5.698358e+00    2.094589e+02    0.000000e+00
   1.405350e-01    5.685292e+00    2.053599e+02    0.000000e+00
   1.435251e-01    5.658478e+00    2.014188e+02    0.000000e+00
   1.465152e-01    5.629190e+00    1.976261e+02    0.000000e+00
   1.495053e-01    5.605409e+00    1.939731e+02    0.000000e+00
   1.524954e-01    5.587889e+00    1.904517e+02    0.000000e+00
   1.554855e-01    5.571007e+00    1.870544e+02    0.000000e+00
   1.584757e-01    5.550756e+00    1.837745e+02    0.000000e+00
   1.614658e-01    5.524125e+00    1.806056e+02    0.000000e+00
   1.644559e-01    5.502454e+00    1.775418e+02    0.000000e+00
   1.674460e-01    5.483027e+00    1.745776e+02    0.000000e+00
   1.704361e-01    5.465765e+00    1.717079e+02    0.000000e+00
   1.734262e-01    5.451329e+00    1.689279e+02    0.000000e+00
   1.764163e-01    5.434235e+00    1.662333e+02    0.000000e+00
   1.794064e-01    5.413155e+00    1.636199e+02    0.000000e+00
   1.823965e-01    5.392656e+00    1.610838e+02    0.000000e+00
   1.853866e-01    5.372756e+00    1.586214e+02    0.000000e+00
   1.883767e-01    5.354878e+00    1.562294e+02    0.000000e+00
   1.913668e-01    5.337949e+00    1.539045e+02    0.000000e+00
   1.943569e-01    5.321922e+00    1.516439e+02    0.000000e+00
   1.973470e-01    5.306955e+00    1.494445e+02    0.000000e+00
   2.003371e-01    5.292288e+00    1.473039e+02    0.000000e+00
   2.033273e-01    5.278537e+00    1.452195e+02    0.000000e+00
   2.063174e-01    5.264052e+00    1.431891e+02    0.000000e+00
   2.093075e-01    5.246705e+00    1.412103e+02    0.000000e+00
