# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.734e-09, Err(IET)=9.923e-13, Q_net=-4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.0513514990638075, "A":26.981539,  "μ[AU]": 5.0273856187e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    1.522318e+01    5.509915e+03    0.000000e+00
   5.980213e-03    1.250776e+01    2.765125e+03    0.000000e+00
   8.970320e-03    1.119857e+01    1.850094e+03    0.000000e+00
   1.196043e-02    1.036236e+01    1.392499e+03    0.000000e+00
   1.495053e-02    9.781769e+00    1.117882e+03    0.000000e+00
   1.794064e-02    9.330053e+00    9.347514e+02    0.000000e+00
   2.093075e-02    8.967313e+00    8.039016e+02    0.000000e+00
   2.392085e-02    8.665450e+00    7.057262e+02    0.000000e+00
   2.691096e-02    8.409795e+00    6.293348e+02    0.000000e+00
   2.990107e-02    8.187905e+00    5.681920e+02    0.000000e+00
   3.289117e-02    7.994239e+00    5.181397e+02    0.000000e+00
   3.588128e-02    7.820650e+00    4.764051e+02    0.000000e+00
   3.887139e-02    7.667089e+00    4.410694e+02    0.000000e+00
   4.186149e-02    7.526862e+00    4.107611e+02    0.000000e+00
   4.485160e-02    7.398758e+00    3.844753e+02    0.000000e+00
   4.784171e-02    7.281845e+00    3.614576e+02    0.000000e+00
   5.083181e-02    7.173422e+00    3.411317e+02    0.000000e+00
   5.382192e-02    7.072667e+00    3.230488e+02    0.000000e+00
   5.681203e-02    6.978748e+00    3.068553e+02    0.000000e+00
   5.980213e-02    6.891387e+00    2.922675e+02    0.000000e+00
   6.279224e-02    6.809289e+00    2.790564e+02    0.000000e+00
   6.578235e-02    6.732096e+00    2.670341e+02    0.000000e+00
   6.877245e-02    6.659079e+00    2.560460e+02    0.000000e+00
   7.176256e-02    6.589965e+00    2.459627e+02    0.000000e+00
   7.475267e-02    6.524432e+00    2.366757e+02    0.000000e+00
   7.774277e-02    6.462178e+00    2.280933e+02    0.000000e+00
   8.073288e-02    6.402643e+00    2.201373e+02    0.000000e+00
   8.372299e-02    6.345812e+00    2.127406e+02    0.000000e+00
   8.671309e-02    6.291630e+00    2.058454e+02    0.000000e+00
   8.970320e-02    6.239705e+00    1.994017e+02    0.000000e+00
   9.269331e-02    6.189735e+00    1.933659e+02    0.000000e+00
   9.568341e-02    6.141582e+00    1.876998e+02    0.000000e+00
   9.867352e-02    6.095297e+00    1.823698e+02    0.000000e+00
   1.016636e-01    6.051186e+00    1.773463e+02    0.000000e+00
   1.046537e-01    6.008401e+00    1.726032e+02    0.000000e+00
   1.076438e-01    5.967016e+00    1.681171e+02    0.000000e+00
   1.106339e-01    5.927029e+00    1.638673e+02    0.000000e+00
   1.136241e-01    5.888301e+00    1.598351e+02    0.000000e+00
   1.166142e-01    5.850725e+00    1.560039e+02    0.000000e+00
   1.196043e-01    5.814509e+00    1.523586e+02    0.000000e+00
   1.225944e-01    5.779396e+00    1.488857e+02    0.000000e+00
   1.255845e-01    5.745169e+00    1.455729e+02    0.000000e+00
   1.285746e-01    5.711700e+00    1.424092e+02    0.000000e+00
   1.315647e-01    5.679560e+00    1.393843e+02    0.000000e+00
   1.345548e-01    5.648278e+00    1.364891e+02    0.000000e+00
   1.375449e-01    5.617677e+00    1.337151e+02    0.000000e+00
   1.405350e-01    5.587744e+00    1.310547e+02    0.000000e+00
   1.435251e-01    5.558917e+00    1.285008e+02    0.000000e+00
   1.465152e-01    5.530641e+00    1.260469e+02    0.000000e+00
   1.495053e-01    5.502891e+00    1.236871e+02    0.000000e+00
   1.524954e-01    5.475777e+00    1.214158e+02    0.000000e+00
   1.554855e-01    5.449616e+00    1.192281e+02    0.000000e+00
   1.584757e-01    5.423878e+00    1.171191e+02    0.000000e+00
   1.614658e-01    5.398532e+00    1.150846e+02    0.000000e+00
   1.644559e-01    5.374047e+00    1.131205e+02    0.000000e+00
   1.674460e-01    5.349908e+00    1.112231e+02    0.000000e+00
   1.704361e-01    5.326099e+00    1.093889e+02    0.000000e+00
   1.734262e-01    5.303116e+00    1.076146e+02    0.000000e+00
   1.764163e-01    5.280528e+00    1.058974e+02    0.000000e+00
   1.794064e-01    5.258263e+00    1.042342e+02    0.000000e+00
   1.823965e-01    5.236545e+00    1.026225e+02    0.000000e+00
   1.853866e-01    5.215168e+00    1.010599e+02    0.000000e+00
   1.883767e-01    5.194159e+00    9.954403e+01    0.000000e+00
   1.913668e-01    5.173590e+00    9.807269e+01    0.000000e+00
   1.943569e-01    5.153313e+00    9.664390e+01    0.000000e+00
   1.973470e-01    5.133564e+00    9.525571e+01    0.000000e+00
   2.003371e-01    5.114065e+00    9.390637e+01    0.000000e+00
   2.033273e-01    5.094725e+00    9.259416e+01    0.000000e+00
   2.063174e-01    5.076047e+00    9.131750e+01    0.000000e+00
   2.093075e-01    5.057532e+00    9.007489e+01    0.000000e+00
   2.122976e-01    5.039237e+00    8.886492e+01    0.000000e+00
   2.152877e-01    5.021343e+00    8.768623e+01    0.000000e+00
