# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.734e-09, Err(IET)=9.923e-13, Q_net=-4.547e-13
# {"name":"Al", "Z":13, "Zstar":4.0513514990638075, "A":26.981539,  "μ[AU]": 5.0273856187e-01, "Te[AU]": 1.102e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413623e+05    8.321805e+00    1.413540e+05    0.000000e+00    1.294706e+04   -3.865999e+01    2.106312e+01    7.336748e+03    0.000000e+00
   1.373798e-03    8.765918e+04    7.049018e+00    8.765213e+04    0.000000e+00    9.409920e+03   -3.298985e+01    1.908694e+01    6.993617e+03    0.000000e+00
   1.806827e-03    5.801105e+04    6.144209e+00    5.800490e+04    0.000000e+00    7.142208e+03   -2.876782e+01    1.761125e+01    6.596115e+03    0.000000e+00
   2.299087e-03    4.032874e+04    5.417122e+00    4.032332e+04    0.000000e+00    5.601939e+03   -2.550098e+01    1.637494e+01    6.144241e+03    0.000000e+00
   2.850578e-03    2.913886e+04    4.872292e+00    2.913399e+04    0.000000e+00    4.508292e+03   -2.289735e+01    1.541426e+01    5.637997e+03    0.000000e+00
   3.461299e-03    2.171709e+04    4.413341e+00    2.171268e+04    0.000000e+00    3.703949e+03   -2.077297e+01    1.457789e+01    5.077380e+03    0.000000e+00
   4.131252e-03    1.660326e+04    4.028861e+00    1.659923e+04    0.000000e+00    3.095221e+03   -1.900617e+01    1.385574e+01    4.462393e+03    0.000000e+00
   4.860435e-03    1.296667e+04    3.708077e+00    1.296296e+04    0.000000e+00    2.623487e+03   -1.751328e+01    1.323606e+01    3.793034e+03    0.000000e+00
   5.648849e-03    1.031096e+04    3.433789e+00    1.030752e+04    0.000000e+00    2.250547e+03   -1.623486e+01    1.269331e+01    3.069303e+03    0.000000e+00
   6.496494e-03    8.327087e+03    3.199719e+00    8.323887e+03    0.000000e+00    1.950644e+03   -1.512750e+01    1.221867e+01    2.607133e+03    0.000000e+00
   7.403370e-03    6.815806e+03    2.988224e+00    6.812818e+03    0.000000e+00    1.705898e+03   -1.415879e+01    1.178044e+01    2.329611e+03    0.000000e+00
   8.369476e-03    5.644741e+03    2.810083e+00    5.641931e+03    0.000000e+00    1.503583e+03   -1.330402e+01    1.140378e+01    2.033964e+03    0.000000e+00
   9.394814e-03    4.723577e+03    2.647545e+00    4.720929e+03    0.000000e+00    1.334444e+03   -1.254404e+01    1.105359e+01    1.785131e+03    0.000000e+00
   1.047938e-02    3.989291e+03    2.501266e+00    3.986790e+03    0.000000e+00    1.191616e+03   -1.186375e+01    1.073282e+01    1.619153e+03    0.000000e+00
   1.162318e-02    3.396989e+03    2.368980e+00    3.394620e+03    0.000000e+00    1.069924e+03   -1.125112e+01    1.043753e+01    1.444110e+03    0.000000e+00
