# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=5.281e-09, Err(IET)=9.924e-13, Q_net=-9.095e-13
# {"name":"Al", "Z":13, "Zstar":4.9941019747090785, "A":26.981539,  "μ[AU]": -1.1972630865e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    1.350535e+01    8.400485e+03    0.000000e+00
   5.980213e-03    1.149742e+01    4.229241e+03    0.000000e+00
   8.970320e-03    1.051413e+01    2.838433e+03    0.000000e+00
   1.196043e-02    9.887975e+00    2.142717e+03    0.000000e+00
   1.495053e-02    9.438348e+00    1.725053e+03    0.000000e+00
   1.794064e-02    9.091407e+00    1.446410e+03    0.000000e+00
   2.093075e-02    8.811819e+00    1.247216e+03    0.000000e+00
   2.392085e-02    8.579415e+00    1.097676e+03    0.000000e+00
   2.691096e-02    8.380763e+00    9.812422e+02    0.000000e+00
   2.990107e-02    8.207070e+00    8.879828e+02    0.000000e+00
   3.289117e-02    8.055336e+00    8.115809e+02    0.000000e+00
   3.588128e-02    7.918184e+00    7.478216e+02    0.000000e+00
   3.887139e-02    7.795982e+00    6.937901e+02    0.000000e+00
   4.186149e-02    7.683713e+00    6.474016e+02    0.000000e+00
   4.485160e-02    7.580898e+00    6.071297e+02    0.000000e+00
   4.784171e-02    7.486499e+00    5.718274e+02    0.000000e+00
   5.083181e-02    7.398548e+00    5.406195e+02    0.000000e+00
   5.382192e-02    7.316357e+00    5.128236e+02    0.000000e+00
   5.681203e-02    7.239332e+00    4.879024e+02    0.000000e+00
   5.980213e-02    7.167298e+00    4.654249e+02    0.000000e+00
   6.279224e-02    7.099249e+00    4.450430e+02    0.000000e+00
   6.578235e-02    7.034959e+00    4.264712e+02    0.000000e+00
   6.877245e-02    6.973839e+00    4.094744e+02    0.000000e+00
   7.176256e-02    6.915700e+00    3.938559e+02    0.000000e+00
   7.475267e-02    6.860305e+00    3.794511e+02    0.000000e+00
   7.774277e-02    6.807330e+00    3.661203e+02    0.000000e+00
   8.073288e-02    6.756641e+00    3.537448e+02    0.000000e+00
   8.372299e-02    6.707983e+00    3.422224e+02    0.000000e+00
