# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=5.281e-09, Err(IET)=9.924e-13, Q_net=-9.095e-13
# {"name":"Al", "Z":13, "Zstar":4.9941019747090785, "A":26.981539,  "μ[AU]": -1.1972630865e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413552e+05    5.256693e+00    1.413499e+05    0.000000e+00    1.294834e+04   -3.865934e+01    1.776559e+01    1.117671e+04    0.000000e+00
   1.373798e-03    8.765306e+04    4.469542e+00    8.764859e+04    0.000000e+00    9.411202e+03   -3.298908e+01    1.634389e+01    1.065526e+04    0.000000e+00
   1.806827e-03    5.800574e+04    3.900864e+00    5.800184e+04    0.000000e+00    7.143491e+03   -2.876695e+01    1.526499e+01    1.005118e+04    0.000000e+00
   2.299087e-03    4.032406e+04    3.453659e+00    4.032060e+04    0.000000e+00    5.603222e+03   -2.550000e+01    1.438029e+01    9.364467e+03    0.000000e+00
   2.850578e-03    2.913464e+04    3.096188e+00    2.913154e+04    0.000000e+00    4.509574e+03   -2.289625e+01    1.364590e+01    8.595130e+03    0.000000e+00
   3.461299e-03    2.171326e+04    2.806875e+00    2.171045e+04    0.000000e+00    3.705231e+03   -2.077176e+01    1.303071e+01    7.743164e+03    0.000000e+00
   4.131252e-03    1.659976e+04    2.566391e+00    1.659720e+04    0.000000e+00    3.096503e+03   -1.900485e+01    1.250319e+01    6.808571e+03    0.000000e+00
   4.860435e-03    1.296344e+04    2.361565e+00    1.296108e+04    0.000000e+00    2.624769e+03   -1.751184e+01    1.204068e+01    5.791349e+03    0.000000e+00
   5.648849e-03    1.030797e+04    2.188407e+00    1.030578e+04    0.000000e+00    2.251830e+03   -1.623331e+01    1.163900e+01    4.691500e+03    0.000000e+00
   6.496494e-03    8.324299e+03    2.036081e+00    8.322263e+03    0.000000e+00    1.951926e+03   -1.512583e+01    1.127683e+01    3.989100e+03    0.000000e+00
   7.403370e-03    6.813207e+03    1.905431e+00    6.811302e+03    0.000000e+00    1.707180e+03   -1.415700e+01    1.095882e+01    3.567279e+03    0.000000e+00
   8.369476e-03    5.642294e+03    1.788712e+00    5.640505e+03    0.000000e+00    1.504865e+03   -1.330212e+01    1.066822e+01    3.117908e+03    0.000000e+00
   9.394814e-03    4.721270e+03    1.685329e+00    4.719585e+03    0.000000e+00    1.335726e+03   -1.254202e+01    1.040527e+01    2.739665e+03    0.000000e+00
   1.047938e-02    3.987112e+03    1.593064e+00    3.985519e+03    0.000000e+00    1.192898e+03   -1.186161e+01    1.016580e+01    2.487315e+03    0.000000e+00
   1.162318e-02    3.394924e+03    1.509687e+00    3.393414e+03    0.000000e+00    1.071206e+03   -1.124887e+01    9.945083e+00    2.221184e+03    0.000000e+00
   1.282621e-02    2.912143e+03    1.434215e+00    2.910709e+03    0.000000e+00    9.666857e+02   -1.069405e+01    9.741366e+00    2.021782e+03    0.000000e+00
   1.408847e-02    2.514757e+03    1.365417e+00    2.513392e+03    0.000000e+00    8.762613e+02   -1.018921e+01    9.552607e+00    1.845467e+03    0.000000e+00
   1.540996e-02    2.184804e+03    1.302738e+00    2.183501e+03    0.000000e+00    7.975158e+02   -9.727812e+00    9.377454e+00    1.682239e+03    0.000000e+00
   1.679069e-02    1.908658e+03    1.245189e+00    1.907413e+03    0.000000e+00    7.285289e+02   -9.304394e+00    9.213714e+00    1.553572e+03    0.000000e+00
   1.823064e-02    1.675864e+03    1.192151e+00    1.674672e+03    0.000000e+00    6.677589e+02   -8.914383e+00    9.060564e+00    1.427091e+03    0.000000e+00
   1.972983e-02    1.478306e+03    1.142959e+00    1.477163e+03    0.000000e+00    6.139574e+02   -8.553915e+00    8.915930e+00    1.327219e+03    0.000000e+00
   2.128824e-02    1.309623e+03    1.097654e+00    1.308525e+03    0.000000e+00    5.661040e+02   -8.219705e+00    8.780827e+00    1.229337e+03    0.000000e+00
   2.290589e-02    1.164775e+03    1.055492e+00    1.163720e+03    0.000000e+00    5.233586e+02   -7.908934e+00    8.653049e+00    1.148436e+03    0.000000e+00
   2.458276e-02    1.039742e+03    1.015999e+00    1.038726e+03    0.000000e+00    4.850240e+02   -7.619174e+00    8.531394e+00    1.071901e+03    0.000000e+00
   2.631887e-02    9.312876e+02    9.792735e-01    9.303083e+02    0.000000e+00    4.505183e+02   -7.348331e+00    8.416852e+00    1.004298e+03    0.000000e+00
   2.811421e-02    8.367856e+02    9.447397e-01    8.358409e+02    0.000000e+00    4.193522e+02   -7.094571e+00    8.307422e+00    9.437137e+02    0.000000e+00
   2.996878e-02    7.540932e+02    9.123711e-01    7.531808e+02    0.000000e+00    3.911123e+02   -6.856300e+00    8.203267e+00    8.862527e+02    0.000000e+00
   3.188258e-02    6.814478e+02    8.818593e-01    6.805659e+02    0.000000e+00    3.654470e+02   -6.632111e+00    8.103802e+00    8.373521e+02    0.000000e+00
   3.385561e-02    6.173925e+02    8.531625e-01    6.165393e+02    0.000000e+00    3.420560e+02   -6.420770e+00    8.008991e+00    7.910158e+02    0.000000e+00
   3.588787e-02    5.607145e+02    8.259825e-01    5.598885e+02    0.000000e+00    3.206815e+02   -6.221177e+00    7.917889e+00    7.477025e+02    0.000000e+00
   3.797937e-02    5.104009e+02    8.003559e-01    5.096005e+02    0.000000e+00    3.011013e+02   -6.032362e+00    7.830775e+00    7.099090e+02    0.000000e+00
