# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=6.317e-09, Err(IET)=9.487e-13, Q_net=0.000e+00
# {"name":"Al", "Z":13, "Zstar":4.048460303947734, "A":26.981539,  "μ[AU]": -1.4509142490e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e+00, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413557e+05    4.294666e+00    1.413514e+05    0.000000e+00    1.294861e+04   -3.865940e+01    1.525038e+01    7.350650e+03  -6.103387e-124
   1.373798e-03    8.765356e+04    3.651137e+00    8.764991e+04    0.000000e+00    9.411473e+03   -3.298914e+01    1.400824e+01    7.007965e+03  -4.369915e-124
   1.806827e-03    5.800617e+04    3.186728e+00    5.800299e+04    0.000000e+00    7.143761e+03   -2.876702e+01    1.306777e+01    6.610979e+03  -2.733202e-124
   2.299087e-03    4.032444e+04    2.821272e+00    4.032162e+04    0.000000e+00    5.603492e+03   -2.550008e+01    1.229511e+01    6.159693e+03  -1.311137e-124
   2.850578e-03    2.913498e+04    2.529181e+00    2.913246e+04    0.000000e+00    4.509844e+03   -2.289634e+01    1.165307e+01    5.654105e+03  -2.064726e-125
   3.461299e-03    2.171357e+04    2.292784e+00    2.171128e+04    0.000000e+00    3.705501e+03   -2.077186e+01    1.111573e+01    5.094217e+03   5.051926e-125
   4.131252e-03    1.660005e+04    2.096267e+00    1.659795e+04    0.000000e+00    3.096773e+03   -1.900496e+01    1.065442e+01    4.480028e+03   7.888626e-125
   4.860435e-03    1.296371e+04    1.928840e+00    1.296178e+04    0.000000e+00    2.625040e+03   -1.751196e+01    1.024947e+01    3.811539e+03   6.650442e-125
   5.648849e-03    1.030822e+04    1.787386e+00    1.030643e+04    0.000000e+00    2.252100e+03   -1.623343e+01    9.898339e+00    3.088748e+03   2.260911e-125
   6.496494e-03    8.324527e+03    1.662848e+00    8.322865e+03    0.000000e+00    1.952197e+03   -1.512596e+01    9.580595e+00    2.627142e+03  -3.460077e-125
   7.403370e-03    6.813420e+03    1.556129e+00    6.811865e+03    0.000000e+00    1.707450e+03   -1.415715e+01    9.302078e+00    2.349916e+03  -7.603937e-125
   8.369476e-03    5.642494e+03    1.460763e+00    5.641034e+03    0.000000e+00    1.505136e+03   -1.330228e+01    9.047258e+00    2.054584e+03  -5.966610e-125
   9.394814e-03    4.721459e+03    1.376271e+00    4.720083e+03    0.000000e+00    1.335996e+03   -1.254218e+01    8.816414e+00    1.805993e+03   6.818085e-125
