# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.598e-09, Err(IET)=9.987e-13, Q_net=1.670e-06
# {"name":"Al", "Z":13, "Zstar":3.3960780940863033, "A":26.981539,  "μ[AU]": 3.5636855537e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413595e+05    5.851084e+00    1.413537e+05    0.000000e+00    1.294702e+04   -3.865974e+01    1.645578e+01    5.156398e+03    0.000000e+00
   1.027128e-03    1.357822e+05    5.840290e+00    1.357764e+05    0.000000e+00    1.260368e+04   -3.814654e+01    1.643749e+01    5.138900e+03    0.000000e+00
   1.054991e-03    1.304245e+05    5.763031e+00    1.304187e+05    0.000000e+00    1.226940e+04   -3.764012e+01    1.630556e+01    5.120928e+03    0.000000e+00
   1.083610e-03    1.252776e+05    5.627596e+00    1.252720e+05    0.000000e+00    1.194396e+04   -3.714040e+01    1.607485e+01    5.102467e+03    0.000000e+00
   1.113006e-03    1.203335e+05    5.580353e+00    1.203279e+05    0.000000e+00    1.162711e+04   -3.664730e+01    1.599320e+01    5.083506e+03    0.000000e+00
   1.143199e-03    1.155840e+05    5.533669e+00    1.155785e+05    0.000000e+00    1.131863e+04   -3.616072e+01    1.591346e+01    5.064031e+03    0.000000e+00
   1.174211e-03    1.110215e+05    5.434283e+00    1.110161e+05    0.000000e+00    1.101831e+04   -3.568057e+01    1.574139e+01    5.044027e+03    0.000000e+00
   1.206065e-03    1.066387e+05    5.321670e+00    1.066334e+05    0.000000e+00    1.072591e+04   -3.520677e+01    1.554597e+01    5.023481e+03    0.000000e+00
   1.238782e-03    1.024285e+05    5.300570e+00    1.024232e+05    0.000000e+00    1.044124e+04   -3.473925e+01    1.550904e+01    5.002377e+03    0.000000e+00
   1.272387e-03    9.838411e+04    5.231660e+00    9.837888e+04    0.000000e+00    1.016409e+04   -3.427790e+01    1.538797e+01    4.980701e+03    0.000000e+00
   1.306904e-03    9.449894e+04    5.120877e+00    9.449382e+04    0.000000e+00    9.894254e+03   -3.382264e+01    1.519324e+01    4.958437e+03    0.000000e+00
   1.342357e-03    9.076683e+04    5.065395e+00    9.076176e+04    0.000000e+00    9.631551e+03   -3.337341e+01    1.509489e+01    4.935569e+03    0.000000e+00
   1.378772e-03    8.718171e+04    5.022284e+00    8.717669e+04    0.000000e+00    9.375788e+03   -3.293011e+01    1.501876e+01    4.912080e+03    0.000000e+00
   1.416175e-03    8.373777e+04    4.941350e+00    8.373282e+04    0.000000e+00    9.126781e+03   -3.249267e+01    1.487403e+01    4.887954e+03    0.000000e+00
   1.454592e-03    8.042943e+04    4.829743e+00    8.042460e+04    0.000000e+00    8.884353e+03   -3.206101e+01    1.467440e+01    4.863174e+03    0.000000e+00
   1.494051e-03    7.725150e+04    4.808482e+00    7.724669e+04    0.000000e+00    8.648328e+03   -3.163506e+01    1.463592e+01    4.837722e+03    0.000000e+00
   1.534581e-03    7.419872e+04    4.752708e+00    7.419396e+04    0.000000e+00    8.418539e+03   -3.121473e+01    1.453520e+01    4.811579e+03    0.000000e+00
   1.576211e-03    7.126616e+04    4.666877e+00    7.126149e+04    0.000000e+00    8.194820e+03   -3.079994e+01    1.437963e+01    4.784727e+03    0.000000e+00
   1.618969e-03    6.844913e+04    4.591768e+00    6.844454e+04    0.000000e+00    7.977012e+03   -3.039064e+01    1.424271e+01    4.757146e+03    0.000000e+00
   1.662888e-03    6.574312e+04    4.557407e+00    6.573856e+04    0.000000e+00    7.764958e+03   -2.998674e+01    1.417994e+01    4.728817e+03    0.000000e+00
   1.707998e-03    6.314370e+04    4.495602e+00    6.313920e+04    0.000000e+00    7.558505e+03   -2.958818e+01    1.406582e+01    4.699720e+03    0.000000e+00
   1.754332e-03    6.064666e+04    4.409899e+00    6.064225e+04    0.000000e+00    7.357508e+03   -2.919486e+01    1.390817e+01    4.669834e+03    0.000000e+00
