# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=7.179e-09, Err(IET)=9.937e-13, Q_net=1.495e-06
# {"name":"Al", "Z":13, "Zstar":3.6245854864299862, "A":26.981539,  "μ[AU]": 5.6771670453e-02, "Te[AU]": 3.675e-01, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    5.101193e+00    4.417012e+03    0.000000e+00
   5.980213e-03    8.876984e+00    2.219964e+03    0.000000e+00
   8.970320e-03    7.990692e+00    1.487492e+03    0.000000e+00
   1.196043e-02    7.430561e+00    1.121159e+03    0.000000e+00
   1.495053e-02    7.028569e+00    9.012862e+02    0.000000e+00
   1.794064e-02    6.723814e+00    7.546416e+02    0.000000e+00
   2.093075e-02    6.478749e+00    6.498440e+02    0.000000e+00
   2.392085e-02    6.275221e+00    5.712000e+02    0.000000e+00
   2.691096e-02    6.102234e+00    5.099932e+02    0.000000e+00
   2.990107e-02    5.952911e+00    4.609920e+02    0.000000e+00
   3.289117e-02    5.822307e+00    4.208686e+02    0.000000e+00
   3.588128e-02    5.705886e+00    3.874033e+02    0.000000e+00
   3.887139e-02    5.601258e+00    3.590604e+02    0.000000e+00
   4.186149e-02    5.506217e+00    3.347422e+02    0.000000e+00
   4.485160e-02    5.420034e+00    3.136442e+02    0.000000e+00
   4.784171e-02    5.340678e+00    2.951626e+02    0.000000e+00
   5.083181e-02    5.267293e+00    2.788361e+02    0.000000e+00
   5.382192e-02    5.199225e+00    2.643056e+02    0.000000e+00
   5.681203e-02    5.135715e+00    2.512879e+02    0.000000e+00
   5.980213e-02    5.076578e+00    2.395560e+02    0.000000e+00
   6.279224e-02    5.021083e+00    2.289266e+02    0.000000e+00
   6.578235e-02    4.968740e+00    2.192493e+02    0.000000e+00
   6.877245e-02    4.919177e+00    2.104003e+02    0.000000e+00
   7.176256e-02    4.872500e+00    2.022760e+02    0.000000e+00
   7.475267e-02    4.828040e+00    1.947897e+02    0.000000e+00
   7.774277e-02    4.785840e+00    1.878678e+02    0.000000e+00
   8.073288e-02    4.745420e+00    1.814479e+02    0.000000e+00
   8.372299e-02    4.707114e+00    1.754761e+02    0.000000e+00
   8.671309e-02    4.670361e+00    1.699063e+02    0.000000e+00
   8.970320e-02    4.634896e+00    1.646983e+02    0.000000e+00
   9.269331e-02    4.601164e+00    1.598173e+02    0.000000e+00
   9.568341e-02    4.564475e+00    1.552327e+02    0.000000e+00
   9.867352e-02    4.528994e+00    1.509176e+02    0.000000e+00
   1.016636e-01    4.502334e+00    1.468484e+02    0.000000e+00
   1.046537e-01    4.470293e+00    1.430040e+02    0.000000e+00
   1.076438e-01    4.448223e+00    1.393659e+02    0.000000e+00
   1.106339e-01    4.417941e+00    1.359173e+02    0.000000e+00
   1.136241e-01    4.390404e+00    1.326434e+02    0.000000e+00
   1.166142e-01    4.372289e+00    1.295308e+02    0.000000e+00
   1.196043e-01    4.343336e+00    1.265675e+02    0.000000e+00
   1.225944e-01    4.318175e+00    1.237426e+02    0.000000e+00
   1.255845e-01    4.299134e+00    1.210464e+02    0.000000e+00
   1.285746e-01    4.276561e+00    1.184698e+02    0.000000e+00
   1.315647e-01    4.251275e+00    1.160049e+02    0.000000e+00
   1.345548e-01    4.231736e+00    1.136442e+02    0.000000e+00
   1.375449e-01    4.216706e+00    1.113809e+02    0.000000e+00
   1.405350e-01    4.192174e+00    1.092090e+02    0.000000e+00
   1.435251e-01    4.170749e+00    1.071228e+02    0.000000e+00
   1.465152e-01    4.152567e+00    1.051170e+02    0.000000e+00
   1.495053e-01    4.136500e+00    1.031869e+02    0.000000e+00
   1.524954e-01    4.118015e+00    1.013282e+02    0.000000e+00
   1.554855e-01    4.098660e+00    9.953663e+01    0.000000e+00
   1.584757e-01    4.080170e+00    9.780858e+01    0.000000e+00
   1.614658e-01    4.063737e+00    9.614050e+01    0.000000e+00
   1.644559e-01    4.049426e+00    9.452921e+01    0.000000e+00
   1.674460e-01    4.033985e+00    9.297167e+01    0.000000e+00
