# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.477e-09, Err(IET)=9.787e-13, Q_net=1.950e-06
# {"name":"Al", "Z":13, "Zstar":4.890584562325731, "A":26.981539,  "μ[AU]": -1.4479934719e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    1.222793e+01    8.057714e+03    0.000000e+00
   5.980213e-03    1.048124e+01    4.057589e+03    0.000000e+00
   8.970320e-03    9.618879e+00    2.723829e+03    0.000000e+00
   1.196043e-02    9.069308e+00    2.056644e+03    0.000000e+00
   1.495053e-02    8.674063e+00    1.656105e+03    0.000000e+00
   1.794064e-02    8.367708e+00    1.388883e+03    0.000000e+00
   2.093075e-02    8.121123e+00    1.197851e+03    0.000000e+00
   2.392085e-02    7.914412e+00    1.054435e+03    0.000000e+00
   2.691096e-02    7.737484e+00    9.427677e+02    0.000000e+00
   2.990107e-02    7.583787e+00    8.533242e+02    0.000000e+00
   3.289117e-02    7.448062e+00    7.800468e+02    0.000000e+00
   3.588128e-02    7.326242e+00    7.188933e+02    0.000000e+00
   3.887139e-02    7.215962e+00    6.670687e+02    0.000000e+00
   4.186149e-02    7.115419e+00    6.225738e+02    0.000000e+00
   4.485160e-02    7.023099e+00    5.839446e+02    0.000000e+00
   4.784171e-02    6.938013e+00    5.500812e+02    0.000000e+00
   5.083181e-02    6.858743e+00    5.201445e+02    0.000000e+00
   5.382192e-02    6.784685e+00    4.934798e+02    0.000000e+00
   5.681203e-02    6.715348e+00    4.695721e+02    0.000000e+00
   5.980213e-02    6.650148e+00    4.480079e+02    0.000000e+00
   6.279224e-02    6.588551e+00    4.284535e+02    0.000000e+00
   6.578235e-02    6.530156e+00    4.106350e+02    0.000000e+00
   6.877245e-02    6.474688e+00    3.943271e+02    0.000000e+00
   7.176256e-02    6.421889e+00    3.793410e+02    0.000000e+00
   7.475267e-02    6.371413e+00    3.655190e+02    0.000000e+00
   7.774277e-02    6.323291e+00    3.527269e+02    0.000000e+00
   8.073288e-02    6.276896e+00    3.408511e+02    0.000000e+00
   8.372299e-02    6.232700e+00    3.297936e+02    0.000000e+00
   8.671309e-02    6.189977e+00    3.194704e+02    0.000000e+00
   8.970320e-02    6.148701e+00    3.098082e+02    0.000000e+00
   9.269331e-02    6.109059e+00    3.007437e+02    0.000000e+00
   9.568341e-02    6.084810e+00    2.922209e+02    0.000000e+00
   9.867352e-02    6.064843e+00    2.841913e+02    0.000000e+00
   1.016636e-01    6.043823e+00    2.766114e+02    0.000000e+00
   1.046537e-01    6.002586e+00    2.694431e+02    0.000000e+00
   1.076438e-01    5.968202e+00    2.626524e+02    0.000000e+00
   1.106339e-01    5.948102e+00    2.562090e+02    0.000000e+00
   1.136241e-01    5.907340e+00    2.500857e+02    0.000000e+00
   1.166142e-01    5.881914e+00    2.442583e+02    0.000000e+00
   1.196043e-01    5.858753e+00    2.387047e+02    0.000000e+00
   1.225944e-01    5.825109e+00    2.334052e+02    0.000000e+00
   1.255845e-01    5.798422e+00    2.283418e+02    0.000000e+00
   1.285746e-01    5.778066e+00    2.234985e+02    0.000000e+00
   1.315647e-01    5.752710e+00    2.188602e+02    0.000000e+00
   1.345548e-01    5.720387e+00    2.144137e+02    0.000000e+00
   1.375449e-01    5.698354e+00    2.101466e+02    0.000000e+00
   1.405350e-01    5.685288e+00    2.060477e+02    0.000000e+00
   1.435251e-01    5.658474e+00    2.021066e+02    0.000000e+00
   1.465152e-01    5.629186e+00    1.983139e+02    0.000000e+00
   1.495053e-01    5.605404e+00    1.946609e+02    0.000000e+00
