# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.477e-09, Err(IET)=9.946e-13, Q_net=1.950e-06
# {"name":"Al", "Z":13, "Zstar":4.890584562325731, "A":26.981539,  "μ[AU]": -1.4479934719e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 1.102e-01, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413520e+05    4.304288e+00    1.413477e+05    0.000000e+00    1.294839e+04   -3.865905e+01    1.597163e+01    1.072005e+04    0.000000e+00
   1.027128e-03    1.357747e+05    4.252503e+00    1.357705e+05    0.000000e+00    1.260505e+04   -3.814584e+01    1.587359e+01    1.068376e+04    0.000000e+00
   1.054991e-03    1.304170e+05    4.187862e+00    1.304129e+05    0.000000e+00    1.227078e+04   -3.763941e+01    1.575195e+01    1.064649e+04    0.000000e+00
   1.083610e-03    1.252703e+05    4.125918e+00    1.252662e+05    0.000000e+00    1.194533e+04   -3.713969e+01    1.563362e+01    1.060820e+04    0.000000e+00
   1.113006e-03    1.203263e+05    4.081836e+00    1.203222e+05    0.000000e+00    1.162848e+04   -3.664658e+01    1.555007e+01    1.056887e+04    0.000000e+00
   1.143199e-03    1.155769e+05    4.026149e+00    1.155729e+05    0.000000e+00    1.132001e+04   -3.615999e+01    1.544320e+01    1.052848e+04    0.000000e+00
   1.174211e-03    1.110145e+05    3.960359e+00    1.110105e+05    0.000000e+00    1.101968e+04   -3.567982e+01    1.531670e+01    1.048699e+04    0.000000e+00
   1.206065e-03    1.066318e+05    3.915372e+00    1.066279e+05    0.000000e+00    1.072728e+04   -3.520602e+01    1.522964e+01    1.044438e+04    0.000000e+00
   1.238782e-03    1.024217e+05    3.867433e+00    1.024178e+05    0.000000e+00    1.044261e+04   -3.473848e+01    1.513631e+01    1.040061e+04    0.000000e+00
   1.272387e-03    9.837736e+04    3.810367e+00    9.837355e+04    0.000000e+00    1.016546e+04   -3.427712e+01    1.502535e+01    1.035566e+04    0.000000e+00
   1.306904e-03    9.449229e+04    3.753311e+00    9.448854e+04    0.000000e+00    9.895626e+03   -3.382185e+01    1.491316e+01    1.030948e+04    0.000000e+00
   1.342357e-03    9.076030e+04    3.712066e+00    9.075658e+04    0.000000e+00    9.632923e+03   -3.337261e+01    1.483237e+01    1.026205e+04    0.000000e+00
   1.378772e-03    8.717525e+04    3.662567e+00    8.717158e+04    0.000000e+00    9.377160e+03   -3.292930e+01    1.473420e+01    1.021334e+04    0.000000e+00
   1.416175e-03    8.373136e+04    3.605910e+00    8.372776e+04    0.000000e+00    9.128154e+03   -3.249185e+01    1.462204e+01    1.016330e+04    0.000000e+00
   1.454592e-03    8.042317e+04    3.560290e+00    8.041961e+04    0.000000e+00    8.885725e+03   -3.206018e+01    1.453084e+01    1.011190e+04    0.000000e+00
   1.494051e-03    7.724530e+04    3.517355e+00    7.724179e+04    0.000000e+00    8.649700e+03   -3.163421e+01    1.444489e+01    1.005912e+04    0.000000e+00
   1.534581e-03    7.419258e+04    3.467961e+00    7.418911e+04    0.000000e+00    8.419911e+03   -3.121387e+01    1.434565e+01    1.000490e+04    0.000000e+00
   1.576211e-03    7.126009e+04    3.413000e+00    7.125667e+04    0.000000e+00    8.196192e+03   -3.079907e+01    1.423441e+01    9.949205e+03    0.000000e+00
   1.618969e-03    6.844319e+04    3.375051e+00    6.843981e+04    0.000000e+00    7.978384e+03   -3.038976e+01    1.415756e+01    9.892003e+03    0.000000e+00
   1.662888e-03    6.573724e+04    3.331951e+00    6.573391e+04    0.000000e+00    7.766330e+03   -2.998585e+01    1.406919e+01    9.833249e+03    0.000000e+00
   1.707998e-03    6.313788e+04    3.283784e+00    6.313459e+04    0.000000e+00    7.559878e+03   -2.958727e+01    1.397107e+01    9.772901e+03    0.000000e+00
   1.754332e-03    6.064093e+04    3.235887e+00    6.063769e+04    0.000000e+00    7.358880e+03   -2.919395e+01    1.387210e+01    9.710917e+03    0.000000e+00
   1.801923e-03    5.824241e+04    3.198241e+00    5.823921e+04    0.000000e+00    7.163192e+03   -2.880582e+01    1.379466e+01    9.647251e+03    0.000000e+00
   1.850804e-03    5.593837e+04    3.156012e+00    5.593522e+04    0.000000e+00    6.972674e+03   -2.842281e+01    1.370696e+01    9.581857e+03    0.000000e+00
   1.901012e-03    5.372511e+04    3.109851e+00    5.372200e+04    0.000000e+00    6.787190e+03   -2.804485e+01    1.361074e+01    9.514690e+03    0.000000e+00
   1.952582e-03    5.159908e+04    3.067138e+00    5.159602e+04    0.000000e+00    6.606607e+03   -2.767188e+01    1.352134e+01    9.445701e+03    0.000000e+00
   2.005551e-03    4.955687e+04    3.030083e+00    4.955384e+04    0.000000e+00    6.430794e+03   -2.730383e+01    1.344314e+01    9.374840e+03    0.000000e+00
   2.059956e-03    4.759512e+04    2.989423e+00    4.759213e+04    0.000000e+00    6.259627e+03   -2.694063e+01    1.335759e+01    9.302057e+03    0.000000e+00
   2.115838e-03    4.571068e+04    2.945706e+00    4.570773e+04    0.000000e+00    6.092982e+03   -2.658221e+01    1.326436e+01    9.227299e+03    0.000000e+00
   2.173235e-03    4.390054e+04    2.906231e+00    4.389763e+04    0.000000e+00    5.930740e+03   -2.622852e+01    1.318065e+01    9.150514e+03    0.000000e+00
   2.232190e-03    4.216176e+04    2.870400e+00    4.215889e+04    0.000000e+00    5.772786e+03   -2.587949e+01    1.310365e+01    9.071645e+03    0.000000e+00
   2.292744e-03    4.049152e+04    2.831757e+00    4.048869e+04    0.000000e+00    5.619004e+03   -2.553505e+01    1.302076e+01    8.990637e+03    0.000000e+00
   2.354940e-03    3.888711e+04    2.790753e+00    3.888432e+04    0.000000e+00    5.469287e+03   -2.519515e+01    1.293206e+01    8.907431e+03    0.000000e+00
   2.418824e-03    3.734598e+04    2.753108e+00    3.734323e+04    0.000000e+00    5.323525e+03   -2.485973e+01    1.285040e+01    8.821969e+03    0.000000e+00
   2.484440e-03    3.586563e+04    2.718902e+00    3.586291e+04    0.000000e+00    5.181615e+03   -2.452872e+01    1.277591e+01    8.734187e+03    0.000000e+00
