# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=9.975e-09, Err(IET)=9.984e-13, Q_net=0.000e+00
# {"name":"Al", "Z":13, "Zstar":4.044954265218528, "A":26.981539,  "μ[AU]": 5.2076904517e-01, "Te[AU]": 3.675e-02, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-03    1.413623e+05    8.537134e+00    1.413538e+05    0.000000e+00    1.294704e+04   -3.865999e+01    2.139548e+01    7.313425e+03    0.000000e+00
   1.373798e-03    8.765925e+04    7.302805e+00    8.765195e+04    0.000000e+00    9.409907e+03   -3.298986e+01    1.949698e+01    6.971378e+03    0.000000e+00
   1.806827e-03    5.801109e+04    6.348064e+00    5.800475e+04    0.000000e+00    7.142195e+03   -2.876783e+01    1.795681e+01    6.575132e+03    0.000000e+00
   2.299087e-03    4.032882e+04    5.629833e+00    4.032319e+04    0.000000e+00    5.601926e+03   -2.550100e+01    1.674969e+01    6.124685e+03    0.000000e+00
   2.850578e-03    2.913890e+04    5.030216e+00    2.913387e+04    0.000000e+00    4.508279e+03   -2.289736e+01    1.570378e+01    5.620040e+03    0.000000e+00
   3.461299e-03    2.171713e+04    4.563417e+00    2.171256e+04    0.000000e+00    3.703936e+03   -2.077298e+01    1.486188e+01    5.061194e+03    0.000000e+00
   4.131252e-03    1.660330e+04    4.176579e+00    1.659913e+04    0.000000e+00    3.095208e+03   -1.900619e+01    1.414320e+01    4.448149e+03    0.000000e+00
   4.860435e-03    1.296671e+04    3.843250e+00    1.296287e+04    0.000000e+00    2.623474e+03   -1.751330e+01    1.350639e+01    3.780905e+03    0.000000e+00
   5.648849e-03    1.031099e+04    3.560797e+00    1.030743e+04    0.000000e+00    2.250534e+03   -1.623488e+01    1.295410e+01    3.059460e+03    0.000000e+00
   6.496494e-03    8.327117e+03    3.311575e+00    8.323806e+03    0.000000e+00    1.950631e+03   -1.512752e+01    1.245447e+01    2.598751e+03    0.000000e+00
